,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Pack Quantity,Range,Volume,Hazardous,Pack Type,Physical State / Form,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Weight,Pack Size,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9
0,P655101,Arctic Hayes ZE Large Pipe Freeze 300ml,Arctic Hayes,21.12,"This 300ml can of Artic Hayes ZE Aero pipe freezer refrigerant aerosol is suitable for a single freeze DIY or domestic plumbing job, providing a safe, fast way to extend or repair pipework with no need to drain down or turn off the main water supply.",Trade Essentials/Pipe Freezing Kits/Pipe Freezing Kits.csv -> Arctic Hayes ZE Large Pipe Freeze 300ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/01/NW-655101_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Arctic_Hayes_ZE1_ZE2_ZEP1_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,
1,P655262,Arctic Hayes Vortex Map-x mixture propane gas (1),Arctic Hayes,12.0,"Burning hotter than propane, this Artic Hayes Vortex Map-X 450ml non-refillable gas canister is ideal for use in high-temperature applications.",Trade Essentials/Pipe Freezing Kits/Pipe Freezing Kits.csv -> Arctic Hayes Vortex Map-x mixture propane gas (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/62/NW-655262_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,
2,P655229,Arctic Hayes Freezer Kit 8-15mm,Arctic Hayes,19.29,"Ideal for small one-off plumbing jobs, this Arctic Aero Hayes freezing kit, including a 150ml can of pipe freezer, is suitable for a single freeze on 8 - 15mm horizontal or vertical pipes.",Trade Essentials/Pipe Freezing Kits/Pipe Freezing Kits.csv -> Arctic Hayes Freezer Kit 8-15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/29/NW-655229_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Arctic_Hayes_ZE1_ZE2_ZEP1_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,
3,P655105,Arctic Hayes Professional Pipe Freeze 500ml,Arctic Hayes,32.79,This Arctic Hayes 509ml professional spray pipe freezer freezes pipes effectively with no need to switch off the mains or drain down the system down.,Trade Essentials/Pipe Freezing Kits/Pipe Freezing Kits.csv -> Arctic Hayes Professional Pipe Freeze 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/05/NW-655105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Arctic_Hayes_ZE1_ZE2_ZEP1_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,
4,PN35501,Rothenberger Pipe Freezing 1000003034 freeze pack 304ml (1),Rothenberger,26.74,"Designed for pipe freezing applications, the Rothenberger Freeze-Pak includes a 304ml can of Quick-Freeze spray, two pipe freezing jackets and four cable ties",Trade Essentials/Pipe Freezing Kits/Pipe Freezing Kits.csv -> Rothenberger Pipe Freezing 1000003034 freeze pack 304ml (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/01/N35501_wm.jpg,,,Red,1,Pipe Freezing,5.481,N,Plastic,Gas,1000003034,Pipe Freezing Ki,N,For pipe freezing,1x 304ml Can of Quick Freeze Spray,2x Pipe Freezing Jackets,4x Cable Ties,,,,,,,,
5,P655104,Arctic Hayes Freezer Kit 8-28mm,Arctic Hayes,28.29,"Containing a 300ml can of pipe freezer, freezing jackets and zip ties, this Arctic Aero Hayes freezing kit is suitable for two small 8 - 15mm freezes or one large 22mm or 28mm freeze where more refrigerant is required. The two supplied jackets allow a pipe to be isolated with a dual freeze and the can is suitable for use on horizontal or vertical pipes.",Trade Essentials/Pipe Freezing Kits/Pipe Freezing Kits.csv -> Arctic Hayes Freezer Kit 8-28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/04/NW-655104_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Arctic_Hayes_ZE1_ZE2_ZEP1_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,
6,P655042,Arctic Hayes spray freezing jacket,Arctic Hayes,1.79,"Designed for use with arctic spray freeze kits, this Arctic Hayes insulated freezing jacket is suitable for 8 - 28mm pipes of any material. This jacket is fully re-usable if thawed and stored correctly.",Trade Essentials/Pipe Freezing Kits/Pipe Freezing Kits.csv -> Arctic Hayes spray freezing jacket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/42/NW-655042_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,
7,PT86484,Rothenberger Rofrost Turbo 28 pipe freeze mach,Rothenberger,759.99,"Supplying quick, reliable freezing of domestic pipes, Rothenberger Rofrost Turbo 28 is suitable for all pipe sizes, with alloy adapters for 8, 10, 12, 15 and 22mm as well as the master freeze clamp, which fits to 28mm pipe. Designed primarily to freeze copper, the Rofrost will also work on plastic composite, steel and stainless steel (1/4 - 11/4""), although freezing times will vary. A must for maintenance and repair work, this handy tool is designed with a master freeze clamp that sits flush to the wall, fitting behind standard clipped pipes. Each clamp is fitted with a temperature display, helping users to gauge a pipe's freeze status when in use.",Trade Essentials/Pipe Freezing Kits/Pipe Freezing Kits.csv -> Rothenberger Rofrost Turbo 28 pipe freeze mach,,Rofrost Turbo 28mm,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/84/NW-T86484_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Prod_Brochure_Jan2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/tn/Rothenberger_RofrostTurbo28_Instrctn.pdf,,,,,,,,,,,,,,,,,,,,,,
8,PS11456,Rems 131011 frigo 2 set,Rems,1765.21,"A clean, easy solution, the REMS Frigo 2 F-Zero electric pipe freezing unit freezes pipes for maintenance, doing away with the expense and time-consuming inconvenience of draining a system down.",Trade Essentials/Pipe Freezing Kits/Pipe Freezing Kits.csv -> Rems 131011 frigo 2 set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ig/o2/REMS Frigo2_wm.jpg,,,,,,,N,Carton,,131012,Pipe Freezing Kit,N,,Electric solution,For freezing of pipes up to 42mm,,1.32700,1 pc,,,,,,
9,P655106,Arctic Hayes professional kit,Arctic Hayes,215.09,"Designed for use by heating and plumbing engineers, this Artic Hayes professional pipe freezing kit with 509ml pipe freezer canister, contains everything you'll need for regular freezing of the most common pipe sizes.",Trade Essentials/Pipe Freezing Kits/Pipe Freezing Kits.csv -> Arctic Hayes professional kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/06/NW-655106_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Arctic_Hayes_ZE1_ZE2_ZEP1_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,
