,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Diameter,Pack Quantity,Weight,Hazardous,Approvals,Material,Size,Wall Thickness (mm),Connection Type 1,Connection Type 2,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Range,Gender
0,PP96522,"Georg Fischer TP upvc pipe (class e) 6mtr x 3/4""",Georg Fischer,9.21,"This Georg Fischer TP 3/4"" pipe is made of polyvinyl chloride (PVC-U) and is suitable for use in the transport of potable water and food products. It is supplied in a length of 6M.","Pipe, Valves and Fittings/Plastic Pipe/U-PVC Pipe/U-PVC Pipe.csv -> Georg Fischer TP upvc pipe (class e) 6mtr x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/26/NW-P96521_P96526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
1,PP26069,"Durapipe UPVC PRE class E pipe 1.1/2"" x 6mtr (Per Metre)",Durapipe,8.36,"Suitable for a wide variety of applications, this Durapipe PRE 1 1/2"" Class E pipe is supplied in a 6M length. Manufactured in resistant and lightweight unplasticised polyvinyl chloride, or PVC-u, this easy to handle spigot-ended pipe can be used in chemical installations and pressurised irrigation systems as well as offering suitability for use in water treatment.","Pipe, Valves and Fittings/Plastic Pipe/U-PVC Pipe/U-PVC Pipe.csv -> Durapipe UPVC PRE class E pipe 1.1/2"" x 6mtr (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Durapipe PVC pipe image_wm.jpg,,Black,1 1/2,Per Metre,1.39842,N,WRAS,Unplasticized Polyvinyl Chloride (PVC-U),1 1/2,3.4,Spigot,Spigot,06513106,N,PVC-u construction,Black colour,Spigot connections,Good levels of chemical resistance,No need for hot works permit,Lightweight design for ease of use,WRAS approved,50 year design life,,
2,PP96531,"Georg Fischer TP upvc pipe (class c) 6mtr x 2""",Georg Fischer,25.89,"This Georg Fischer TP 2"" pipe is made of polyvinyl chloride (PVC-U) and is suitable for use in the transport of potable water and food products. It is supplied in a length of 6M.","Pipe, Valves and Fittings/Plastic Pipe/U-PVC Pipe/U-PVC Pipe.csv -> Georg Fischer TP upvc pipe (class c) 6mtr x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/31/NW-P96531_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
3,PP96528,"Georg Fischer TP upvc pipe (class e) 6mtr x 3""",Georg Fischer,77.91,"This Georg Fischer TP 3"" pipe is made of polyvinyl chloride (PVC-U) and is suitable for use in the transport of potable water and food products. It is supplied in a length of 6M.","Pipe, Valves and Fittings/Plastic Pipe/U-PVC Pipe/U-PVC Pipe.csv -> Georg Fischer TP upvc pipe (class e) 6mtr x 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/29/NW-P96528_P96529_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
4,PP96526,"Georg Fischer TP upvc pipe (class e) 6mtr x 2"" (Per Metre)",Georg Fischer,36.37,"This Georg Fischer TP 2"" pipe is made of polyvinyl chloride (PVC-U) and is suitable for use in the transport of potable water and food products. It is supplied in a length of 6M.","Pipe, Valves and Fittings/Plastic Pipe/U-PVC Pipe/U-PVC Pipe.csv -> Georg Fischer TP upvc pipe (class e) 6mtr x 2"" (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/26/NW-P96521_P96526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
5,PP96525,"Georg Fischer TP upvc pipe (class e) 6mtr x 1.1/2""",Georg Fischer,22.83,"This Georg Fischer TP 1 1/2"" pipe is made of polyvinyl chloride (PVC-U) and is suitable for use in the transport of potable water and food products. It is supplied in a length of 6M.","Pipe, Valves and Fittings/Plastic Pipe/U-PVC Pipe/U-PVC Pipe.csv -> Georg Fischer TP upvc pipe (class e) 6mtr x 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/26/NW-P96521_P96526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
6,PP96523,"Georg Fischer TP upvc pipe (class e) 6mtr x 1""",Georg Fischer,11.53,"This Georg Fischer TP 1"" pipe is made of polyvinyl chloride (PVC-U) and is suitable for use in the transport of potable water and food products. It is supplied in a length of 6M.","Pipe, Valves and Fittings/Plastic Pipe/U-PVC Pipe/U-PVC Pipe.csv -> Georg Fischer TP upvc pipe (class e) 6mtr x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/26/NW-P96521_P96526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
7,PP55428,"Durapipe AVF UPVC PRE class E pipe 1"" 6mtr",Durapipe,4.39,"Supplied in a 6M length, this Durapipe 1"" PRE Class E pipe is manufactured in a lightweight unplasticised polyvinyl chloride, or PVC-U. WRAS approved, this pipe is ideal for use in drinking water systems as well as in pressurised irrigation, chemical installations and for water treatment use.","Pipe, Valves and Fittings/Plastic Pipe/U-PVC Pipe/U-PVC Pipe.csv -> Durapipe AVF UPVC PRE class E pipe 1"" 6mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore PVC pipe image_wm.jpg,,Iron Grey,1,,1.39842,N,WRAS,Unplasticized Polyvinyl Chloride (PVC-U),1,2.2,Solvent Weld,Solvent Weld,RPRE0320,N,PVC-U construction,RAL 7011 colour,Good chemical resistance,No hot works permit required,Lightweight design,50 year design life,WRAS regulation 31 approved,,AVF UPVC,male
8,PP96524,"Georg Fischer TP upvc pipe (class e) 6mtr x 1.1/4""",Georg Fischer,17.92,"This Georg Fischer TP 1 1/4"" pipe is made of polyvinyl chloride (PVC-U) and is suitable for use in the transport of potable water and food products. It is supplied in a length of 6M.","Pipe, Valves and Fittings/Plastic Pipe/U-PVC Pipe/U-PVC Pipe.csv -> Georg Fischer TP upvc pipe (class e) 6mtr x 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/26/NW-P96521_P96526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
9,PP96529,"Georg Fischer TP upvc pipe (class e) 6mtr x 4""",Georg Fischer,119.41,"This Georg Fischer TP 4"" pipe is made of polyvinyl chloride (PVC-U) and is suitable for use in the transport of potable water and food products. It is supplied in a length of 6M.","Pipe, Valves and Fittings/Plastic Pipe/U-PVC Pipe/U-PVC Pipe.csv -> Georg Fischer TP upvc pipe (class e) 6mtr x 4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/29/NW-P96528_P96529_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
