,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Seasonal Space Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 1,Attachment 2,Dimensions mm (H x W x D),Application,Diameter,Part Gas Council number,Max Set Pressure,Pack Quantity,By Model Number,Colour,Flow Rate,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,For Use With,Connection,Exhaust Port Size,Thread Standard,Material,Thread Size,Maximum Operating Temperature,Attachment 3,Model For Use With,Boiler Section,Boiler Range
0,P114053,Keston Heat 2 55 packaged NG boiler 55kW,Keston,2379.7,"Offering a Twin Flue solution for large domestic and light commercial installation, Keston Heat is available in 2 outputs. Keston Heat is available in Natural Gas and LPG versions. Up to 6 boilers can be cascaded using Keston Frame & Header Kits.",Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Keston Heat 2 55 packaged NG boiler 55kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/50/114050_wm.jpg,Natural Gas,Heat 2,5 Years,60.1 kg,A,N,A,5.5 kW,360,96.7,Wall or Frame,355124,Heat Only Boiler,N,Inbuilt weather compensator,Minimum pressure 0.3 bar,Small installation footprint,ECA listed,Inbuilt pump (low energy modulating),Minimum head 3m,5:1 turndown ratio,Low NOx Class 5,Commercial control system compatibility as standard,Can be installed in a cascade producing up to 330kW (6 boilers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P195443,Alpha E-Tec wall-mounting jig for boiler,Alpha,234.12,Alpha PremierPack Pro wall mounting jig has been specifically designed to fit E-Tec boilers and adds an additional 2 years warranty.,Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Alpha E-Tec wall-mounting jig for boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/44/195443_195444_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alpha_E-Tec_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P487111,A O Smith glow ignitor,A O Smith,447.47,"An A O Smith glow igniter for BFC Cyclone, SGS and SGE boilers.",Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> A O Smith glow ignitor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/11/NW-487111_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/AOSmith_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P114052,Keston Heat 2 45 packaged NG boiler 45kW,Keston,2093.5,"Offering a Twin Flue solution for large domestic and light commercial installation, Keston Heat is available in 2 outputs. Keston Heat is available in Natural Gas and LPG versions. Up to 6 boilers can be cascaded using Keston Frame & Header Kits.",Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Keston Heat 2 45 packaged NG boiler 45kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/50/114050_wm.jpg,Natural Gas,Heat 2,5 Years,60.1 kg,A,N,A,45 kW,360,96.0,Wall or Frame,355123,Heat Only Boiler,N,Inbuilt weather compensator,Minimum pressure 0.3 bar,Small installation footprint,ECA listed,Inbuilt pump (low energy modulating),Minimum head 3m,5:1 turndown ratio,Low NOx Class 5,Commercial control system compatibility as standard,Can be installed in a cascade producing up to 330kW (6 boilers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P707301,Ambirad controller with lead (P16),Ambirad,340.33,This Ambirad 230V ignition controller is supplied complete with lead and offers compatibility with a wide range of Ambirad boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Ambirad controller with lead (P16),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/01/NW-707301_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Ambirad_Vision-UT_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P105083,Ideal Spares frame kit,Ideal,275.0,This Ideal frame kit is suitable for the installation of Evomax boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Ideal Spares frame kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/83/NW-105083_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax-Frame-Kit_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P481356,Broag G1G170 fan,Broag,2221.76,"Fully check by a qualified engineer, this Broag G1G170 reconditioned fan for Remeha Commercial (Baxi) boilers includes a rewound motor coil and new bearings and shaft, while the body is painted for a like-new finish. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.",Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Broag G1G170 fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/56/NW-481356_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Remeha_Gas-210_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P120352,Vaillant ecoTEC Plus cascade flue 110 / 110mm 80 - 120kW,Vaillant,140.58,A Vaillant brand 110mm mechanical flue non-return flap valve for installation on the top of a boiler before flue header connection. This part ensures exhaust gas and steam is safely expelled from a property.,Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Vaillant ecoTEC Plus cascade flue 110 / 110mm 80 - 120kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/52/120352_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Vaillant_CommercialSystemBoiler_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P449342,Ambirad Pactrol timer,Ambirad,110.8,"This Ambirad Pactrol burner timer is designed for use in the Ambirad LR5 combustion chamber. Also known as a clock, timeclock or time switch, the timer allows the boiler's user to control when heating and/or hot water is turned on and off to maximise flexibility and comfort.",Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Ambirad Pactrol timer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/42/NW-449342_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ambirad_ARC_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PV06007,Marco Beverage Systems Ecoboiler tap dispense water boiler 2.8kW,Marco Beverage Systems,570.83,"A compact design, the Marco Beverage Systems 2.8kW Ecoboiler boiling water dispenser tap takes up minimal space in a kitchen and plumbs directly into a mains supply so there's no need for bulky boxes and trailing cables. Offering easy servicing, this electronically controlled hot water dispenser requires little upkeep and operates efficiently, helping to keep bills low.",Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Marco Beverage Systems Ecoboiler tap dispense water boiler 2.8kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/07/V06007_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Ecoboiler_Energy_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Marco_Ecoboiler_Tap_New_Spec_Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
