,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Range,Warranty,Depth (mm),Model For Use With,Dimensions (L x W x D),Connection Size,Connection Type,Operating Temperature,Sector
0,P262651,Myson Floortec TOUCH under floor heating touch screen thermostat and remote sensor,Myson,153.46,"Designed especially with underfloor heating systems in mind, the Myson Floortec Touch programmable thermostat with remote floor sensor provides optional 24 hour, 5/2 or 7 day programming for heating to suit a daily or weekly schedule. Featuring a clever Smart Start function, which works by delaying start-up during warmer weather, as well as useful functions such as temperature override and holiday mode, the Touch provides extra efficiency for welcome cost savings and improved control.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> Myson Floortec TOUCH under floor heating touch screen thermostat and remote sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/51/262650_262651_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Myson_Floortec_Wiring-C_Stats_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P517855,JG Underfloor Speedfit actuator 240v,JG Underfloor,32.61,"Suitable for control using a thermostat or programmer, this JG Underfloor Speedfit 240V actuator valve is used to open and close water flow to an individual circuit on an underfloor heating manifold.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> JG Underfloor Speedfit actuator 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/55/517855_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PP42097,Uponor Vario and act nc mt 30x1 5 24v,Uponor,47.56,"The Uponor Vario Plus 24V actuator is designed for use with the Pro 1"" underfloor heating manifold system.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> Uponor Vario and act nc mt 30x1 5 24v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/97/NW-P42097_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_PRO_1inch_Manifold_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P261059,Myson Floortec 240V wiring centre 240v,Myson,159.62,This Myson Floortec wiring centre is designed to connect and control thermostats and actuators in a 230V power supply.,Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> Myson Floortec 240V wiring centre 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/59/261059_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_25085Underfloor_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Myson_Floortec_Wiring-C_Stats_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P517340,Polypipe UFH Systems 2-wire valve actuator,Polypipe,34.14,"This Polypipe two wire valve actuator opens and closes a heating circuit on Polypipe's underfloor heating Smart Plus manifold in reaction to heat demand. Helping to improve your system's energy efficiency by allowing individual room temperature control, this UFCH valve actuator mechanism can help save on utility bills and minimise waste. The actuator uses a PTC resistor-heated wax element and compression spring, the operating voltage applying heat to the wax elevment and therefore moving an integrated ram. The force generated by this movement is transferred to the valve motor for operation of the actuator.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> Polypipe UFH Systems 2-wire valve actuator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/40/517340_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_Plumbing&Heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/n_/19/Polypipe_Underfloor_Heating_Jan_19.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Polypipe_PB00401_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Polypipe_Plumbing_Heating _Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P581459,JG Underfloor Speedfit MKIT01 manifold flow meter,JG Underfloor,11.45,"Offering simple installation, this JG Underfloor Speedfit manifold flow meter is compatible with a wide range of JG underfloor heating systems.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> JG Underfloor Speedfit MKIT01 manifold flow meter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/59/581459_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/JG_Speedfit_UK_Trade_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/JG_Speedfit_UHF_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG UFH Fittings Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P581453,JG Underfloor Speedfit wireless co-ordinator,JG Underfloor,46.4,"Easy to connect, the JG Underfloor Speedfit wireless coordinator enables the communications in a wireless underfloor heating control system and facilitates the automated pairing of JG Aura products.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> JG Underfloor Speedfit wireless co-ordinator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/53/581453_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JGSpeedfit_Aura_Wireless_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/JGSpeedfit_Aura_JGHUB2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/JG_Speedfit_UHF_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/JG_Speedfit_Aura_UFH_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/JG_Speedfit_Instruction_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG UFH Fittings Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P262650,Myson Floortec TOUCH under floor heating touch screen thermostat,Myson,136.57,"Giving homeowners complete control over their room-by-room comfort, the Myson Floortec Touch programmable thermostat provides optional 24 hour, 5/2 or 7 day programming for heating to suit a daily or weekly schedule. Featuring a clever Smart Start function, which works by delaying start-up during warmer weather, as well as useful functions such as temperature override and holiday mode, the Touch provides extra efficiency for welcome cost savings and improved control.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> Myson Floortec TOUCH under floor heating touch screen thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/51/262650_262651_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Myson_Floortec_Wiring-C_Stats_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P518909,Polypipe stainles steel manifold control pack,Polypipe,534.19,"Suitable for use alongside stainless steel manifolds, this Polypipe UFCH manifold control pack is used to keep temperatures reliably consistent in an underfloor system. Usually set between 30°C and 60°C, this easy to use control pack ensures that your UFCH system is both safe and comfortable.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> Polypipe stainles steel manifold control pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/09/NW-518909_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/22/Polypipe_UFH_Product_Guide_2022.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P581508,JG Underfloor JGSTAT4BL wired programmable stat 240V Black,JG Underfloor,59.47,"A simple control for wet underfloor heating systems, the JG Underfloor 240v wired programmable thermostat in black offers a range of useful functions for convenience, comfort and protection. Stylishly designed to look good on any wall, this easy to install thermostat has a back plate designed for pre-fitting and a front plate that can remain uninstalled until all work is done, while standard pattress box sizing is ideal for renovation and new build projects. With an intuitive interface, this thermostat signals the JG Underfloor wiring centre, making setting times and temperatures simple. App-compatible, this smart thermostat can be controlled remotely using your smartphone or digital home assistant.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> JG Underfloor JGSTAT4BL wired programmable stat 240V Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/08/581508_wm.jpg,,,,,,,N,JGSTAT4BL,Wired programmable room thermostat for underfloor heating,N,Mains-wired,Easy to install and set up,7-day programme with 15-minute increments,6x on/off periods,Ambient temperature sensor,Optional connection for external probe to protect against excessive heat,Open Window function detects sudden temperature drops,Adaptive function predicts heat-up times and adjusts to eliminate temperature spikes,Freeze Protection reduces waste in unused rooms,Freeze Protection adjustable from 5 - 17°C,Holiday function maintains low-level heating when unoccupied,Heating Boost boosts for 1 - 9 hours in low temperatures,Anti-seize function protects pump from seizing in low-usage,Smartphone app compatible,Compatible with Alexa or Google Home voice control,Meets Boiler Plus requirements,,,,,,,,,,
