,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Connection Size,Connection Type,Diameter,Range,Warranty,Weight,Hazardous,Drainage Product Type,Material,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Standards,Supplier Product Code,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Pack Quantity,Paintable,Feature 6,Feature 7
0,PF16312,"Center CB CB405:W 45deg spigot bend 1.1/2""",Center CB,0.87,"This Center CB 40mm spigot bend is part of the Center ABS solvent weld waste range, a collection of products ideally suited to creating connections from sanitary appliances to a soil stack or back inlet drain gully. Solvent weld connections ensure a sturdy, permanent joint with the straightforward application of solvent weld cement to the pipe spigot and fitting socket.","Drainage/Waste Pipe and Fittings/Waste Pipe Bends/Waste Pipe Bends.csv -> Center CB CB405:W 45deg spigot bend 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/12/NW-F16312_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF15274,"Center CB 45deg obtuse bend 1.1/2"" White",Center CB,0.91,"Made of ABS, this Center CB 40mm obtuse bend is part of the Center ABS solvent weld waste range, a collection of products ideally suited to creating connections from sanitary appliances to a soil stack or back inlet drain gully. Solvent weld connections ensure a sturdy, permanent joint with the straightforward application of solvent weld cement to the pipe spigot and fitting socket.","Drainage/Waste Pipe and Fittings/Waste Pipe Bends/Waste Pipe Bends.csv -> Center CB 45deg obtuse bend 1.1/2"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/74/NW-F15274_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PF13510,Center CB 90deg compression bend 40mm,Center CB,2.51,"Center CB compression bend is made of polypropylene. The Center compression waste range is the system of choice for many installers. Designed with a universal jointing system, this quick fitting system enables easy connections to new and existing plastic or copper waste pipes. Constructed from white polypropylene for exceptional strength and durability.",Drainage/Waste Pipe and Fittings/Waste Pipe Bends/Waste Pipe Bends.csv -> Center CB 90deg compression bend 40mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/10/NW-F13510_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PF15252,"Center CB 90deg knuckle bend 1.1/4"" White",Center CB,0.85,"This Center CB 32mm ABS knuckle bend is part of the Center ABS solvent weld waste range, a collection of products ideally suited to creating connections from sanitary appliances to a soil stack or back inlet drain gully. Solvent weld connections ensure a sturdy, permanent joint with the straightforward application of solvent weld cement to the pipe spigot and fitting socket.","Drainage/Waste Pipe and Fittings/Waste Pipe Bends/Waste Pipe Bends.csv -> Center CB 90deg knuckle bend 1.1/4"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/52/NW-F15252_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PF15272,"Center CB 90deg knuckle bend 1.1/2"" White",Center CB,0.85,"This Center CB 40mm ABS knuckle bend is part of the Center ABS solvent weld waste range, a collection of products ideally suited to creating connections from sanitary appliances to a soil stack or back inlet drain gully. Solvent weld connections ensure a sturdy, permanent joint with the straightforward application of solvent weld cement to the pipe spigot and fitting socket.","Drainage/Waste Pipe and Fittings/Waste Pipe Bends/Waste Pipe Bends.csv -> Center CB 90deg knuckle bend 1.1/2"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/72/NW-F15272_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PF16272,Center CB 90deg ABS knuckle bend 40mm Black,Center CB,0.92,"This Center CB 40mm ABS knuckle bend is part of the Center ABS solvent weld waste range, a collection of products ideally suited to creating connections from sanitary appliances to a soil stack or back inlet drain gully. Solvent weld connections ensure a sturdy, permanent joint with the straightforward application of solvent weld cement to the pipe spigot and fitting socket.",Drainage/Waste Pipe and Fittings/Waste Pipe Bends/Waste Pipe Bends.csv -> Center CB 90deg ABS knuckle bend 40mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/72/NW-F16272_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PF15254,"Center CB 45deg obtuse bend 1.1/4"" White",Center CB,0.92,"Made of ABS, this Center CB 32mm obtuse bend is part of the Center ABS solvent weld waste range, a collection of products ideally suited to creating connections from sanitary appliances to a soil stack or back inlet drain gully. Solvent weld connections ensure a sturdy, permanent joint with the straightforward application of solvent weld cement to the pipe spigot and fitting socket.","Drainage/Waste Pipe and Fittings/Waste Pipe Bends/Waste Pipe Bends.csv -> Center CB 45deg obtuse bend 1.1/4"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/54/NW-F15254_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PF15273,"Center CB 90deg swept bend 1.1/2"" White",Center CB,0.92,"This Center CB 40mm swept bend is part of the Center ABS solvent weld waste range, a collection of products ideally suited to creating connections from sanitary appliances to a soil stack or back inlet drain gully. Solvent weld connections ensure a sturdy, permanent joint with the straightforward application of solvent weld cement to the pipe spigot and fitting socket.","Drainage/Waste Pipe and Fittings/Waste Pipe Bends/Waste Pipe Bends.csv -> Center CB 90deg swept bend 1.1/2"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/73/NW-F15273_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PF16310,"Center CB CB325:W 45deg spigot bend 1.1/4""",Center CB,0.85,"Center CB spigot bend is made of ABS. The Center ABS solvent weld waste range is perfectly suited for connections from sanitary appliances to either a soil stack or a back inlet drain gully. Constructing a perfect, permanent joint is made easy through the simple application of a solvent weld cement to the pipe spigot and the fitting socket.","Drainage/Waste Pipe and Fittings/Waste Pipe Bends/Waste Pipe Bends.csv -> Center CB CB325:W 45deg spigot bend 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/10/NW-F16310_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PF15292,Center CB ABS swept bend 90degrees cb3 White 50mm,Center CB,4.57,"Center CB knuckle bend is made of ABS. The Center ABS solvent weld waste range is perfectly suited for connections from sanitary appliances to either a soil stack or a back inlet drain gully. Constructing a perfect, permanent joint is made easy through the simple application of a solvent weld cement to the pipe spigot and the fitting socket.",Drainage/Waste Pipe and Fittings/Waste Pipe Bends/Waste Pipe Bends.csv -> Center CB ABS swept bend 90degrees cb3 White 50mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/92/NW-F15292_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
