,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Depth (mm),Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 1,Attachment 2,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 3,Attachment 4
0,P420006,Kingspan Watchman Titan Sonic Advanced,Kingspan,90.95,"The Kingspan Watchman Titan Sonic Advanced is an electronic fuel tank gauge that uses ultrasonic technology to continuously monitor your oil levels and trigger an alarm when they dip low, ensuring you never run out of oil unexpectedly.",Heating/Oil Tanks/Oil Tanks.csv -> Kingspan Watchman Titan Sonic Advanced,,Sonic Advanced Transmitter and Receiver Display Plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/06/420006_wm.jpg,Watchman,N,60,270 x 200 x 60,1002636,Level Monitor,N,One model fits all,Alarm functions,Optional Smart upgrade using Dongle,,,,,,,,,
1,P420218,Kingspan Titan EcoSafe ESSL1400 oil tank with bottom outlet,Kingspan,1655.91,"Easy to manoeuvre and fit into tight spaces, the small footprint Kingspan Titan EcoSafe Slimline ESSL1400 quality bunded, bottom outlet oil tank provides responsibly safe and secure heating oil storage with the added convenience of a supplied WatchMan alarm kit.",Heating/Oil Tanks/Oil Tanks.csv -> Kingspan Titan EcoSafe ESSL1400 oil tank with bottom outlet,,Tank;WatchMan alarm transmitter;WatchMan alarm receiver;PTFE tape;Gate valve ;filter,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/18/420217_420218_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Kingspan_EcoSafeTITANTank_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Kingspan_TitanEcosafe_Tank_Install.pdf,,,,,,,
2,P417388,Kingspan Titan Tiger Loop Bio original bio oil de-aerator pack,Kingspan,104.99,"Suitable for internal or external fitting, the Kingspan TigerLoop original bio oil de-aerator pack removes air from heating oil. Compatible with standard mineral fuels like kerosene and gas oil, the pack is also suitable for use with bio-liquids and bio-liquid/mineral fuel blends.",Heating/Oil Tanks/Oil Tanks.csv -> Kingspan Titan Tiger Loop Bio original bio oil de-aerator pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/88/NW-417388_wm.jpg,Titan Tiger Loop Bio,N,,,417388 PK,Oil De-Aerator,N,"Suitable for kerosene, oil and biofuel",110L/h nozzle capacity,230L/h oil flow,,,120L/h maximum return oil,8L/h de-aerating capacity,70°C maximum operating temperature,+0.5/-0.6 maximum/minimum pressure,"1/4"" BSP female inlet/outlet",,
3,P420145,Kingspan Titan Tiger Loop Bio original bio oil de-aerator,Kingspan,118.64,"Suitable for internal or external fitting, this Kingspan Titan Tiger Loop Bio oil de-aerator removes air from heating oil. This de-aerator is compatible with standard mineral fuels like kerosene and gas oil as well as with bio-liquids and bio-liquid/mineral fuel blends.",Heating/Oil Tanks/Oil Tanks.csv -> Kingspan Titan Tiger Loop Bio original bio oil de-aerator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/45/420145_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Kingspan_Titan_Oil_Storage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Kingspan_Titan_Oil_Storage_Brochure.pdf,,,,,,,
4,P421690,JET Range FVC thermostatic fire valve 95C 10mm x 3mtr,JET Range,45.75,Jet FVC Fuelstop safety fire valve designed to shut down the flow of fuel to the appliance in the event of the burner overheating or a fire near the appliance. The valve is to be installed in the oil line at point of entry to the building. The sensor to be passed though the wall into the building and positioned above the burner in accordance with the burner manufacturer's instructions. The oil line and capillary should be sleeved as it passes through walls and there should not be any sharp bends made in the capillary tube. The safety valve is of a robust mechanical design manufactured of non-corrosive materials for external installation. Please ensure that the valve is installed with the reset button pointing down so that rain water cannot enter the valve body. The reset button can be used as an isolation valve when the burner is being serviced by pulling the button down but must be pressed up to activate the valve into the open position before the burner is fired up. The capillary tube and sensor are intrins,Heating/Oil Tanks/Oil Tanks.csv -> JET Range FVC thermostatic fire valve 95C 10mm x 3mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/90/NW-421685_421690_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_TFV_Installation.pdf,,,,,,,,
5,P417343,Kingspan Electron 1002636 oil tank level monitor pack,Kingspan,99.99,"Alerting you to cases of oil theft and ensuring you never run out of oil without warning, this Kingspan Watchman Sonic Advanced electronic measuring gauge is used to monitor the amount of oil in a tank, sounding an in-home alarm should levels suddenly drop. Continually measuring in-tank oil levels using a tank-mounted transmitter with a 200M range, the Watchman Sonic Advanced makes use of cutting edge ultrasonic level measurement technology for reliable peace of mind.",Heating/Oil Tanks/Oil Tanks.csv -> Kingspan Electron 1002636 oil tank level monitor pack,,Sonic Advanced Transmitter ;Receiver Display Plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/43/NW-417343_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/st/Kingspan_WatchmanSonic_Advanced_Inst.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Kingspan_Watchman_Brochure.pdf,,,,,,,
6,P420094,Titan EcoSafe ESLP1200 bottom outlet plastic oil tank 1200ltr,Titan,1619.58,"The double skinned, bottom outlet Kingspan Titan EcoSafe ESLP1200 Low Profile plastic bunded domestic oil tank provides effective environmental protection and removes the risk of contamination. An excellent choice for domestic, commercial or agricultural heating requirements, the EcoSafe includes a WatchMan Sonic Advanced backed by reliable customer service for complete peace of mind.",Heating/Oil Tanks/Oil Tanks.csv -> Titan EcoSafe ESLP1200 bottom outlet plastic oil tank 1200ltr,,Tank;Watchman Sonic Advanced Level Monitor;PTFE tape;Gate valve ;filter,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/94/420094_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Titan_OilStorage_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Kingspan_TitanEcosafe_Tank_Install.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Kingspan_Titan_Tank_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Titan_OilStorage_Brochure.pdf
7,P421686,JET Range FVC thermostatic fire valve 95C 10mm x 2mtr,JET Range,65.17,Jet FVC Fuelstop safety fire valve designed to shut down the flow of fuel to the appliance in the event of the burner overheating or a fire near the appliance. The valve is to be installed in the oil line at point of entry to the building. The sensor to be passed though the wall into the building and positioned above the burner in accordance with the burner manufacturer's instructions. The oil line and capillary should be sleeved as it passes through walls and there should not be any sharp bends made in the capillary tube. The safety valve is of a robust mechanical design manufactured of non-corrosive materials for external installation. Please ensure that the valve is installed with the reset button pointing down so that rain water cannot enter the valve body. The reset button can be used as an isolation valve when the burner is being serviced by pulling the button down but must be pressed up to activate the valve into the open position before the burner is fired up. The capillary tube and sensor are intrins,Heating/Oil Tanks/Oil Tanks.csv -> JET Range FVC thermostatic fire valve 95C 10mm x 2mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/90/NW-421685_421690_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_TFV_Installation.pdf,,,,,,,,
8,P421687,JET Range FVC thermostatic fire valve 72C 10mm x 3mtr,JET Range,66.64,"This JET Range FVC thermoplastic fire valve is suitable for use with Class C and D fuels including heating oil, kerosene and gas oil or diesel. It offers automatic shut-off in case of overheating issues in a fuel burning appliance and fail safe shut-off in case of capillary or sensor failure.",Heating/Oil Tanks/Oil Tanks.csv -> JET Range FVC thermostatic fire valve 72C 10mm x 3mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/90/NW-421685_421690_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_TFV_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,
9,P420087,Titan EcoSafe ES1000 bottom outlet plastic oil tank 1000ltr,Titan,1324.84,"The double skinned, bottom outlet Kingspan Titan EcoSafe ES1000 Slimline plastic bunded domestic oil tank provides effective environmental protection and removes the risk of contamination. An excellent choice for domestic, commercial or agricultural heating requirements, the EcoSafe includes a WatchMan Sonic Advanced backed by reliable customer service for complete peace of mind.",Heating/Oil Tanks/Oil Tanks.csv -> Titan EcoSafe ES1000 bottom outlet plastic oil tank 1000ltr,,Tank;Watchman Sonic Advanced Level Monitor;PTFE tape;Gate valve ;filter,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/87/420087_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Kingspan_EcoSafeTITANTank_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Titan_OilStorage_Installation.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Kingspan_TitanEcosafe_Tank_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Titan_OilStorage_Brochure.pdf
