,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Connection Size,Connection Type,Range,Thickness,Refrigerant Suitability,Hazardous,Material,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Diameter,Pack Quantity,Size,Connection Type 1,Feature 3,Feature 4,Gender,Connection Type 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Attachment 8,Attachment 9,Attachment 10,Feature 5,Feature 6,Dimensions (L x W x D),Refrigerant,Max Pressure,Sight Glass,Number of Valves,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Voltage (V),Operating Pressure,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Connection,Flow Rate,Warranty,Motor Speed,Horse Power,Depth (mm),Absolute Vacuum,Stages,Oil Capacity
0,P691679,Javac XTR-PRO-DV A2L dual voltage refrigerant recovery unit 240/110,Javac,1078.04,"The portable, dual voltage Javac XTR-PRO-DV recovery machine unit has a heavy duty 1/2 HP high torque AC motor for reduced noise while increasing liquid pumping by up to 50%, ensuring residual vapour moves faster for quick results. Suitable for recovering CFCs, HCFCs and HFs, with blends of A and B variations of most of these gases, the XTR-PRO-DV incorporates a comprehensive built-in manifold analyser.",Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Javac XTR-PRO-DV A2L dual voltage refrigerant recovery unit 240/110,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/79/NW-691679_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Javac_XTR-PRO-DV-A2L_Specsheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Javac_XTR-PRO-DV-A2L_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P611065,Javac RS-750 oxygen free nitrogen regulator 50bar,Javac,216.6,"Used for leak testing and pressure testing, this Javac RS-750 oxygen-free nitrogen regulator is designed for the testing of refrigeration systems using R410A refrigerant gas in accordance with BS EN 378. It is designed for heating, ventilation and air-conditioning HVAC applications.",Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Javac RS-750 oxygen free nitrogen regulator 50bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/65/NW-611065_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Javac_RS-750_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P688581,Javac Bulldog A2L vacuum pump A2L 240/110,Javac,466.43,This Javac Bulldog A2l spark-proof vacuum pump is suitable for A2L/R32 gases. It is supplied with an isolation solenoid valve and dual-oil demister.,Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Javac Bulldog A2L vacuum pump A2L 240/110,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/81/NW-688581_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_VBD1622_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P688125,Javac XTR-Ultra XTR-ULTRA-A2L XTR ultra recovery unit uk a2l 240v,Javac,801.0,"A lightweight version of the popular XTR, this Javac XTR Ultra 240V refrigeration recovery unit is suitable for HFC/HCFC/CFC refrigerant. Weighing just 8.4 kgs, this compact unit is an ideal entry-level recovery machine and offers excellent value for money as well as suitability for small or medium-sized refrigeration and air conditioning applications.",Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Javac XTR-Ultra XTR-ULTRA-A2L XTR ultra recovery unit uk a2l 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/25/NW-688125_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/688125_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/cu/um/Javac_Product_Guide_RecoveryVacuum.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P690688,Javac Procharge 100 digital charging scales 100kg,Javac,246.54,"The Javac Procharge 100 digital charging scale is part of the brand's range of refrigerant servicing tools. With a compact weighing platform and tough case, transportation of this scale is easy and safe while a high resolution LCD display makes it simple to use.",Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Javac Procharge 100 digital charging scales 100kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/88/NW-690688_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_Procharge-100_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P688123,Javac CC CC-141-A2L CC-141-A2L vacuum pump uk a2l,Javac,389.54,"Ideal for commercial air conditioning or automotive applications, this Javac CC-141-A2L vacuum pump is recommended for low duty use. Fitted with an oil demister to minimise the risk of spills, this two-stage pump offers an ultimate vacuum of 15 microns and is supplied with a tri-connector for fitting to 1/4 SAE, 3/8 SAE and 1/2 ACME.",Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Javac CC CC-141-A2L CC-141-A2L vacuum pump uk a2l,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/23/NW-688123_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_CC_A2L_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_UK_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P600801,"JET Range Refrigerant hose set (R410A) 5/16 x 1/4""",JET Range,120.56,"A JET Range three piece pressure hose with ball valve set and 5/16 x 1/4"" connections, colour coded for ease of use.","Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> JET Range Refrigerant hose set (R410A) 5/16 x 1/4""",,HoseBall valve set,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/01/NW-600801_wm.jpg,,,Blue / Red / Yellow,1/4 x 5/16,1/4 / 5/16 SAE female,Refrigerant,1/4 x 5/16 in,R410a,N,"Brass, rubber",4678024,Hose Set,N,Refrigerant charging,3 piece set,60 bar maximum allowable working pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P671190,Refcomm 640QSF-4 access valve cap (Pack of 10),Refcomm,1.53,"Made of brass, this Parker valve cap is designed for use with refrigeration access valves and can also be used in pressure testing, purging and charging refrigeration lines applications.",Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Refcomm 640QSF-4 access valve cap (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/90/NW-671190_wm.jpg,,,,,,,,,N,Brass,40572,Cap Nut,N,,Pack of 10,Brass construction,1/4,pack of 10,14,Flare,Low cost design,For use on either high or low side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P624139,"Refcomm LGL 7090 cylinder adaptor (BSP) 1/4 x 5/8""",Refcomm,16.55,"This Refcom LGL 1/4 x 5/8"" cylinder adapter is made of brass with male flare to female flare BSP connections and fibre gasket.","Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Refcomm LGL 7090 cylinder adaptor (BSP) 1/4 x 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/39/NW-624139_wm.jpg,,,,,,LGL,,,N,Brass,7090,Cylinder Adaptor,N,,Gas Bottle Adaptor,Made of Brass,1/4 x 5/8,,1/4 x 5/8,Flare x Flare BSP,"Size:1/4"" Male Flare to 5/8"" BSP Female",,Male x Female,Flare BSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P690615,Javac 4-valve manifold kit (R410A),Javac,263.72,"Built to EN 973 T3, this Javac four valve manifold with continental hoses is hardwearing and easy to use with 80mm gauge heads and all manifolds either dual seal piston valves or quarter-turn mechanical valves. Manufactured with long life Teflon seals and a larger capacity bore, this manifold withstands maximum levels of flow and works with R-22, R-134A, R-404A, R-407C, R-410A and R-32 refrigerants.",Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Javac 4-valve manifold kit (R410A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/15/NW-690615_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_R32-Manifold_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
