,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Attachment 8,Attachment 9,Attachment 10,Attachment 11
0,P686974,Tecumseh AE2 AE4440Y-FZ1A 1 phase (Voltage Code-FZ) hermetic compressor (R134A),Tecumseh,232.57,"Suitable for residential and commercial air conditioning and refrigeration, the Tecumseh AE2 1/3HP, single phase hermetic reciprocating compressor uses pistons driven by a crankshaft to deliver refrigerant at high pressure from the low side to the high side of a refrigeration system. This compressor is particularly well-suited to use in food service and walk-in coolers.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Tecumseh AE2 AE4440Y-FZ1A 1 phase (Voltage Code-FZ) hermetic compressor (R134A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/76/NW-686972_686976_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tecumseh_686974_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Tecumseh_Europe_181030_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Tecumseh_General_Service_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Tecumseh_General_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Tecumseh_686974_PerformanceDatasheet.pdf,,,,,,
1,P686309,Aspera Embraco NJ2212GK LBP hermetic compressor (R404A),Aspera,379.33,"Suitable for a system with a capillary tube or expansion valve device, the Aspera Embraco 1 1/2HP, single phase hermetic reciprocating compressor is designed for refrigeration applications, offering quiet operation, reliable use and a compact design. This single phase model is supplied with the necessary electrical components.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Aspera Embraco NJ2212GK LBP hermetic compressor (R404A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/09/NW-686309_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Embraco_Compressors_Catalogue_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Embraco_686309_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Whirlpool_HVACR_C_Spares_Catalogue.pdf,,,,,,,,
2,P625331,Whirlpool Embraco Aspera NEK6214Z compressor (R134A) 220-230v 50hz,Whirlpool,283.54,"Supplied with a capillary tube or expansion valve device, the Whirlpool Embraco Aspera 3/4HP, single phase hermetic reciprocating compressor is designed for refrigeration applications, offering quiet operation, reliable use and a compact design. This single phase model is supplied with the necessary electrical components.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Whirlpool Embraco Aspera NEK6214Z compressor (R134A) 220-230v 50hz,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/31/NW-625331_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Embraco_625331_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Embraco_Compressors_Catalogue_2017.pdf,,,,,,,,,
3,P615962,Tecumseh FH 2480Z-XC 230v 1ph valved r452a/r404a,Tecumseh,904.11,"The Tecumseh FH2480Z-XC3A 220 to 240V reciprocating compressor uses pistons driven by a crankshaft, allowing for the high pressure delivery of refrigerant from low side to high side of your refrigeration system.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Tecumseh FH 2480Z-XC 230v 1ph valved r452a/r404a,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/48/NW-656348_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tecumseh_FH2480Z-XC3A_Technical.pdf,,,,,,,,,,
4,P688592,Whirlpool Embraco Aspera NEK2168GK hermetic compressor,Whirlpool,214.32,"Supplied with a capillary tube or expansion valve device, the Whirlpool Embraco Aspera 3/4HP, single phase hermetic reciprocating compressor is designed for refrigeration applications, offering quiet operation, reliable use and a compact design. This single phase model is supplied with the necessary electrical components.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Whirlpool Embraco Aspera NEK2168GK hermetic compressor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/92/NW-688592_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Embraco_Compressors_Catalogue_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Embraco_688592_Technical.pdf,,,,,,,,,
5,P656428,Tecumseh HG 4512Z compressor HP and junior box 230V,Tecumseh,710.79,"Suitable for residential fridge/freezers, air conditioning and commercial refrigeration, the Tecumseh HG4512Z hermetic reciprocating compressor uses pistons driven by a crankshaft to deliver refrigerant at high pressure from the low side to the high side of a refrigeration system. This compressor is particularly well-suited to use in food service and walk-in coolers.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Tecumseh HG 4512Z compressor HP and junior box 230V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/28/NW-656428_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tecumseh_656428_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Tecumseh_General_Catalogue.pdf,,,,,,,,,
6,P686304,Whirlpool Embraco Aspera T2168GK LBP capacitive start and run hermetic compressor (R404A),Whirlpool,435.68,"Supplied with a capillary tube or expansion valve device, the Whirlpool Embraco Aspera 3/4HP, single phase hermetic reciprocating compressor is designed for refrigeration applications, offering quiet operation, reliable use and a compact design. This single phase model is supplied with the necessary electrical components.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Whirlpool Embraco Aspera T2168GK LBP capacitive start and run hermetic compressor (R404A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/04/NW-686304_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Embraco_Compressors_Catalogue_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Whirlpool_HVACR_C_Spares_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Embraco_686304_Technical.pdf,,,,,,,,
7,P686987,Tecumseh AE2 AE2425Z-FZ3C 1 phase (Voltage Code-F) hermetic compressor (R404A),Tecumseh,342.77,"Suitable for residential and commercial air conditioning and refrigeration, the Tecumseh AE2 5/8HP, single phase hermetic reciprocating compressor uses pistons driven by a crankshaft to deliver refrigerant at high pressure from the low side to the high side of a refrigeration system. This compressor is particularly well-suited to use in food service and walk-in coolers.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Tecumseh AE2 AE2425Z-FZ3C 1 phase (Voltage Code-F) hermetic compressor (R404A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/88/NW-686987_686988_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tecumseh_686987_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Tecumseh_General_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Tecumseh_686987_PerformanceDatasheet.pdf,,,,,,,,
8,P683636,Maneurop MTZ MTZ18JA5AVE 1 phase reciprocating compressor,Maneurop,697.3,"Manufactured using high quality components, the Maneurop MTZ 1 1/2HP, single phase hermetic reciprocating compressor is suitable for applications with a wide range of operating conditions and offers a long product life. Designed for medium and high evaporating temperature applications, the MT benefits from internal motor protection, a high efficiency circular valve design and high torque motors.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Maneurop MTZ MTZ18JA5AVE 1 phase reciprocating compressor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/46/NW-683636_683646_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Danfoss_MT_MTZ_NTZ_VTZ_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Maneurop_MT_MTZ_Application_Guide.pdf,,,,,,,,,
9,P686306,Whirlpool Embraco Aspera T2180GK LBP hermetic compressor (R404A),Whirlpool,352.25,"Supplied with a capillary tube or expansion valve device, the Whirlpool Embraco Aspera 1HP, single phase hermetic reciprocating compressor is designed for refrigeration applications, offering quiet operation, reliable use and a compact design. This single phase model is supplied with the necessary electrical components.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Whirlpool Embraco Aspera T2180GK LBP hermetic compressor (R404A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/06/NW-686306_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Embraco_Compressors_Catalogue_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Embraco_686306_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Whirlpool_HVACR_C_Spares_Catalogue.pdf,,,,,,,,
