,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Connection Size,Connection Type,Diameter,Weight,Hazardous,Attachment Type,Handle Colour,Handle Type,Material,Number of Ports,Seal Material,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Body Material,Seat Material,Attachment 2
0,PP97044,"Georg Fischer 22L upvc double union safeblock ball valve 1.1/4""",Georg Fischer,120.7,"This Georg Fischer TP Safeblock double union ball valve includes 1 1/4"" male x male solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/U-PVC Pipe Valves/U-PVC Pipe Valves.csv -> Georg Fischer 22L upvc double union safeblock ball valve 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/49/NW-P97041_P97049_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_P97085_TP_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PP97041,"Georg Fischer 22L upvc double union safeblock ball valve 1/2""",Georg Fischer,53.14,"This Georg Fischer TP Safeblock double union ball valve includes 1/2"" male x male solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/U-PVC Pipe Valves/U-PVC Pipe Valves.csv -> Georg Fischer 22L upvc double union safeblock ball valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/49/NW-P97041_P97049_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_P97085_TP_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PP97045,"Georg Fischer 22L upvc double union safeblock ball valve 1.1/2""",Georg Fischer,152.7,"This Georg Fischer TP Safeblock double union ball valve includes 1 1/2"" male x male solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/U-PVC Pipe Valves/U-PVC Pipe Valves.csv -> Georg Fischer 22L upvc double union safeblock ball valve 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/49/NW-P97041_P97049_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_P97085_TP_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PP27070,"Durapipe UPVC/EPDM double union ball valve 1/2""",Durapipe,38.16,"Suitable for use in irrigation systems and water treatment plants, this Durapipe 1/2"" uPVC/EPDM double union ball valve is also WRAS approved for drinking water applications and highly resistant for use in chemical installations. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/U-PVC Pipe Valves/U-PVC Pipe Valves.csv -> Durapipe UPVC/EPDM double union ball valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/70/P27070_wm.jpg,,1/2,Solvent weld,1/2,0.48087,N,Double Union Ball Valve,RAL 7011,Lever,Unplasticized Polyvinyl Chloride (PVC-U),2,EPDM,WRAS,I7240200,Ball Valve,N,With RAL 7011 lever-type handle,PVC-u construction,With EPDM seal,Excellent chemical resistance,System matched,Compatible with a variety of controls,WRAS approved,25 year design life,,,
4,PP55653,"Durapipe upvc double union economy ball valve 1.1/2""",Durapipe,48.62,"Suitable for use in irrigation systems and water treatment plants, this Durapipe 1 1/2"" uPVC/EPDM double union economy ball valve is also WRAS approved for drinking water applications and highly resistant for use in chemical installations. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/U-PVC Pipe Valves/U-PVC Pipe Valves.csv -> Durapipe upvc double union economy ball valve 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore PVC 322 image_wm.jpg,,1 1/2,Solvent weld,1 1/2,0.48087,N,Double Union Ball Valve,RAL 7011,Lever,Unplasticized Polyvinyl Chloride (PVC-U),2,EPDM,WRAS,I3220500,Ball Valve,N,With RAL 7011 lever-type handle,PVC-u construction,With EPDM seal,Excellent chemical resistance,System matched,Compatible with a variety of controls,WRAS approved,25 year design life,PVC,Polyethylene,
5,PP51092,GF BALL VALVE 546 PRO PVC-U/EPDM 2IN DN50,Georg Fischer,265.18,"Suitable for use in a wide range of settings, this Georg Fischer 546 Pro ball valve is lever-operated and includes 50mm connections. This valve's modular construction ensures simple operation with universal automation options and high levels of process safety. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°.","Pipe, Valves and Fittings/Plastic Pipe Valves/U-PVC Pipe Valves/U-PVC Pipe Valves.csv -> GF BALL VALVE 546 PRO PVC-U/EPDM 2IN DN50",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/92/NW-P51092_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/st/Georg_Fischer_546_Pro_BallValve_Inst.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Georg_Fischer_546_Pro_BallValve_Tech.pdf
6,PP27075,"Durapipe 311E UPVC/EPDM double union ball valve 2""",Durapipe,112.92,"This Durapipe 311E double union ball valve includes 2"" male x male solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/U-PVC Pipe Valves/U-PVC Pipe Valves.csv -> Durapipe 311E UPVC/EPDM double union ball valve 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/75/NW-P27075_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Durapipe_Astore_Technical_May2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PP55654,"Durapipe 322E upvc double union economy ball valve 2""",Durapipe,72.37,"This Durapipe PVC-U ball valve includes 2"" male x male solvent weld connections. It is ideal for use in pressurised irrigation systems, drinking water, chemical installations and for water treatment. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/U-PVC Pipe Valves/U-PVC Pipe Valves.csv -> Durapipe 322E upvc double union economy ball valve 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/54/NW-P55654_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Durapipe_Astore_Technical_May2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PP97043,"Georg Fischer 22L upvc double union safeblock ball valve 1""",Georg Fischer,103.22,"This Georg Fischer TP Safeblock double union ball valve includes 1"" male x male solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/U-PVC Pipe Valves/U-PVC Pipe Valves.csv -> Georg Fischer 22L upvc double union safeblock ball valve 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/49/NW-P97041_P97049_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_P97085_TP_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PP97046,"Georg Fischer 22L upvc double union safeblock ball valve 2""",Georg Fischer,232.93,"This Georg Fischer TP Safeblock double union ball valve includes 2"" male x male solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/U-PVC Pipe Valves/U-PVC Pipe Valves.csv -> Georg Fischer 22L upvc double union safeblock ball valve 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/49/NW-P97041_P97049_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_P97085_TP_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
