,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Volume,Hazardous,Pack Type,Physical State / Form,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Range,Weight,Resistance Features,Feature 6,Feature 7,Thickness,Material
0,PN57031,Blue Hawk sand and cement motar mix 5kg,Blue Hawk,3.61,"A pre-mixed general purpose mortar mix, Blue Hawk sand and cement mortar is suitable for bricklaying, rendering, tile fixing, paths, rockeries and for general repairs on concrete, bricks and masonry. With Blue Hawk Portland cement contained in a polythene bag and fine washed sand in the tub, this product offers an extended storage life.",Trade Essentials/Building Supplies/Building Supplies.csv -> Blue Hawk sand and cement motar mix 5kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/32/NW-N57031_N57032_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Blue_Hawk_Sand_and_CementMortar_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Blue_Hawk_CementConcreteRoofing_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Blue_Hawk_Sand_and_Cement_Mortar_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,
1,PN57032,Blue Hawk sand and cement mortar mix 10kg,Blue Hawk,5.86,"A pre-mixed general purpose mortar mix, Blue Hawk sand and cement mortar is suitable for bricklaying, rendering, tile fixing, paths, rockeries and for general repairs on concrete, bricks and masonry. With Blue Hawk Portland cement contained in a polythene bag and fine washed sand in the tub, this product offers an extended storage life.",Trade Essentials/Building Supplies/Building Supplies.csv -> Blue Hawk sand and cement mortar mix 10kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/32/NW-N57031_N57032_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Blue_Hawk_Sand_and_CementMortar_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Blue_Hawk_CementConcreteRoofing_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Blue_Hawk_Sand_and_Cement_Mortar_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,
2,PIS9924,GRS Bagging limestone chippings 10mm 19kg bag,GRS Bagging,6.99,"These GRS Bagging 10mm limestone chippings are for landscaping and building projects, providing a finishing touch for driveways, water features, ponds, borders, rockeries and footpaths.",Trade Essentials/Building Supplies/Building Supplies.csv -> GRS Bagging limestone chippings 10mm 19kg bag,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/24/IS9924_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/GRS-Bagging_Brochure_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
3,PN02247,Bostik Cementone fire cement 1kg,Bostik,4.05,"Ready-mixed, this Bostik Cementone fire cement is made up of an asbestos-free blend of inorganic fillers and water-based thermo-setting resins. Drying into a cement when exposed to heat, this fire cement is suitable for joint and gap filling, producing smoke-tight joints, and can withstand a maximum temperature of +1250°C.",Trade Essentials/Building Supplies/Building Supplies.csv -> Bostik Cementone fire cement 1kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/48/NW-N02247_N02248_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Cementone_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Bostik_Cementone_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bostik_Cementone_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,
4,P172918,Manthorpe 1-hour fire rated access panel 450 x 450mm,Manthorpe,136.28,"This Manthorpe fire rated access panel creates fire-resistant openings in ceilings and walls to allow for maintenance of concealed engineering services and utility controls. Finished in a white powder coating, the metal panel is easy to clean and can be painted to match the surrounding decor. This panel is fitted with a catch lock opened via a T key, however a lockable version is also available, offering more substantial key lock for extra security.",Trade Essentials/Building Supplies/Building Supplies.csv -> Manthorpe 1-hour fire rated access panel 450 x 450mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/18/NW-172918_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Manthorpe_GL150F_130_450_Instrcts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
5,P172920,Manthorpe Access Panel access panel 300 x 300mm White,Manthorpe,27.34,"A cost-effective solution for access to hidden services, this Manthorpe 343 x 343mm access panel keeps vital valves, electrics and other fittings set into a ceiling or wall in easy reach. Suitable for domestic use, this panel is manufactured from lightweight high-impact polystyrene (HIPS) with a smooth textured finish suitable for painting onto. Easy to install, the panel doors are fully detachable and can be removed if required.",Trade Essentials/Building Supplies/Building Supplies.csv -> Manthorpe Access Panel access panel 300 x 300mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/20/NW-172919_172920_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Manthorpe_GL300_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
6,PN57019,British Gypsum Thistle one coat plaster 7.5kg,British Gypsum,11.25,"Drying to a smooth, matte finish, this gypsum-based British Gypsum Thistle One Coat plaster offers easy hand application to most internal backgrounds. Made up of gypsum hemihydrate formulated with special additives to control its setting profile, this plaster also incorporates a lightweight aggregate to improve workability and make application easy.",Trade Essentials/Building Supplies/Building Supplies.csv -> British Gypsum Thistle one coat plaster 7.5kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/19/NW-N57019_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/British-Gypsum_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/British-Gypsum_OneCoat_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/British-Gypsum_OneCoat_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Artex_British_Gypsum_Plaster_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/British_Gypsum_Thistle_Plaster_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
7,P651126,Arctic Hayes access panel 560 x 560mm,Arctic Hayes,58.98,"A simple, low cost solution, this Arctic Hayes 560 x 560mm (630 x 630mm external) access panel creates a protected openings in ceilings and walls for access to engineering services. Lightweight and slimline, this panel is made of injection-moulded ABS and offers easy installation into any wall or ceiling.",Trade Essentials/Building Supplies/Building Supplies.csv -> Arctic Hayes access panel 560 x 560mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/26/NW-651121_651126_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
8,P651121,Arctic Hayes Access Pannel 100 x 150 mm,Arctic Hayes,10.89,"A simple, low cost solution, this Arctic Hayes 100 x 150mm (180 x 130mm external) access panel creates a protected openings in ceilings and walls for access to engineering services. Lightweight and slimline, this panel is made of injection-moulded ABS and offers easy installation into any wall or ceiling.",Trade Essentials/Building Supplies/Building Supplies.csv -> Arctic Hayes Access Pannel 100 x 150 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/26/NW-651121_651126_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
9,P651123,Arctic Hayes Access Pannel 200 x 200 mm,Arctic Hayes,19.41,"A simple, low cost solution, this Arctic Hayes 200 x 200mm (240 x 240mm external) access panel creates a protected openings in ceilings and walls for access to engineering services. Lightweight and slimline, this panel is made of injection-moulded ABS and offers easy installation into any wall or ceiling.",Trade Essentials/Building Supplies/Building Supplies.csv -> Arctic Hayes Access Pannel 200 x 200 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/26/NW-651121_651126_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
