,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Range,Hazardous,Output,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Fuel Type,Operating Temperature,Voltage (V),Warranty,Depth (mm),Top Design,Overheat Protection,Programmable,Fan Speeds,Controls,Material,Mounting Type,BTU h,Type,Control Device,Fire Frontage,Feature 8,Feature 9,Feature 10
0,P130297,Valor Heartbeat 339 oxysafe natural gas fire,Valor,615.74,"The Valor Heartbeat oxysafe gas fire offers a high heat output of 3.6kW alongside a real flame effect fuel bed. Reliable and easy to use thanks to simple side-mounted controls, the Heartbeat is an efficient, convenient and hassle-free alternative to a real fire.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Valor Heartbeat 339 oxysafe natural gas fire,,1x Fire assembly;1x Ceramic fuel effect (In packaging inside firebox);1x Closure plate;1x Smoke match tube;1x Olive ;olive nut for gas line connection;1X Literature pack,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/97/130297_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Valor_339_Erp.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Valor_Heartbeat_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_HeartbeatOxysafe_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Valor_339_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Complete_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P124062,Robinson Willey Firecharm RS room sealed natural gas fire Black,Robinson Willey,817.34,"Ideal for homes without chimneys, the black Robinson Willey Firecharm RS gas fire combines impressive efficiency with a powerful 3.57kW heat output. Glass-fronted and with a living flame effect, the Firecharm RS is easy to operate via a top-mounted electronic control with disabled-friendly option ideal for elderly users.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Robinson Willey Firecharm RS room sealed natural gas fire Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/62/124062_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/RWilley_FirecharmRS_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWilley_FCRSF9876164_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWilley_Retail_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWilley_Complete_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWilley_FirecharmRS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWiley_FCRSF9876164_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P130122,Flavel Emberglow balanced flue natural gas fire,Flavel,1185.6,"The high efficiency Flavel Emberglow outset gas fire has a stylish cast iron design featuring front and side windows, allowing viewing of the realistic flame effect from anywhere in the room. Operated by a simple manual control system, the 4.3kW output Emberflow provides controllable heating without mess and straightforward installation with all parts included in delivery.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Flavel Emberglow balanced flue natural gas fire,,1x Combustion chamber/burner assembly;1x 2 piece fuel-bed set (packed in separate carton);1xFlue pipe ;flue terminal unit;1x Installation ;Maintenance Instruction Book;1x User Instruction Book;1x Loose items pack;1x Cooler plate;2x Brass finials - to be,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/22/130122_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flavel_EmberglowBF_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Flavel_GasFires_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Flavel_Emberglow_BF_ErP.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P124278,Katell Regent electric fire brushed steel,Katell,185.98,"Providing all the style of a modern open fire alongside the convenience of electric, the Katell Regent electric fire has a contemporary open-fronted design and realistic LED flame technology for the ultimate in cosiness. Suitable for fitting into a 16"" opening, this brushed steel finish fireplace has simple manual controls for variable heat outputs of up to 2kW.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Katell Regent electric fire brushed steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/78/124278_wm.jpg,,,,,,,Steel,Regent,N,2 kW,REG107L,N,Steel construction,Brushed steel finish,With LED flame technology,Offers 1kW and 2kW heat output options,Thermostatically controlled,With fixed coal effect fuel bed,5 year warranty,,,,,,,,,,,,,,,,,,,
4,P124001,Robinson Willey Firegem Visa natural gas fire Black,Robinson Willey,342.09,"Finished with an attractive black and brass casing, the Robinson Willey Firegem Visa Highline natural gas fire boasts heat exchanger technology for excellent efficiency and  impressive 4.87kW heat output. Offering four controllable heat settings, the Firegem Visa Deluxe is supplied with a control handle particularly designed for disabled, elderly or arthritic residents.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Robinson Willey Firegem Visa natural gas fire Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/01/124001_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWilley_Firegem_Visa_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWilley_FGVF99227911Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/RWilley_Visa2_Operting_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWilley_Retail_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWilley_FGVF99227911_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWilley_Complete_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P137702,Be Modern Serena 111740 eco LED log fire Anthracite,Be Modern,337.49,"Suitable for wall mounting or floor standing on any surface, the Be Modern Serena eco LED log fire with Anthracite grey finish and glass fascia creates a cosy feel in any room without the expense and pollution of burning real logs. The Serena's realistic log bed is coupled with a believable LED flame pattern and the choice of two heat settings for energy efficient room heating. Easy to install, this electric fire requires no flueing for faster, disruption-free fitting.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Be Modern Serena 111740 eco LED log fire Anthracite,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/02/137702_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Be_Modern_Serena_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Be Modern_SERENA_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Be_Modern_Serena_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/BeModern_Marble&Limescale_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Be_Modern_Marble_Limescale_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Be Modern_Serena_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P135272,Valor Black Beauty 347 radiant natural gas fire Black,Valor,468.5,"Highly efficient and economical, the Valor Black Beauty radiant gas fire offers a high heat output of up to 4kW. Finished in black with brass detailing for a traditional look, the Black Beauty promises low running costs and simple operation via a top-mounted control.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Valor Black Beauty 347 radiant natural gas fire Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/72/135272_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Valor_BBeauty_341_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Valor_347_Erp.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Complete_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P135345,Valor Dream Slimline 953 convector fire Gold,Valor,535.43,"Ideal for newer homes with shallow flues, the Valor Dream Slimline Convector gas fire is a compact take on the classic Dream fireplace. Combining radiant and active heat through convection by drawing cold air in and through a heat exchanger before releasing warmed up air back into the room, this efficient gold-finished heater offers up to 3.3kW of heat adjusted using Valor's intuitive Fireslide control.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Valor Dream Slimline 953 convector fire Gold,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/45/135345_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Valor_953_Erp.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Dream_Slimline_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_DreamSlimline_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Complete_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P124305,Robinson Willey Firegem Visa Highline electronic fire Black,Robinson Willey,405.44,"Finished with an attractive black and brass casing, the Robinson Willey Firegem Visa Highline electronic gas fire boasts heat exchanger technology for excellent efficiency and  impressive 4.87kW heat output. Offering four controllable heat settings, the Firegem Visa Deluxe is supplied with a control handle particularly designed for disabled, elderly or arthritic residents.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Robinson Willey Firegem Visa Highline electronic fire Black,,Fire assembly;Closure plate;Cooler plate;2x spigots;Spigot restrictor;Control knob adaptor,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/05/124305_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWilley_FGVHLF9895447_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ec/hn/RWilley_Firegem_Visa_Deluxe_Techn.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWilley_FGVF99227911Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWilley_Retail_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWilley_Complete_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/RWilley_Firegem_Visa_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P135856,Valor Dream Full Depth Homeflame 961 high efficiency natural gas fire Gold,Valor,635.83,"Traditionally styled with a gold finish and a glass frontage, the Valor Homeflame Dream gas fire is a full depth unit designed to look good in any interior. Offering a heat output of up to 3.85kW and featuring a realistic coal bed fire effect, the Dream is easy to operate thanks to Valor's Fireslide control.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Valor Dream Full Depth Homeflame 961 high efficiency natural gas fire Gold,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/56/135856_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Valor_HomeflameDream_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Valor_961_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Valor_961_Erp.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Complete_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
