,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Diameter,Thickness,Warranty,Hazardous,Depth (mm),Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Range,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12
0,P262493,Myson Floortec multi layer pipe coiled 16/2mm x 400mtr,Myson,1216.0,"With a 16mm diameter, this 400M coil of Myson Floortec multilayer flexible pipe is easy to install and offers compatibility with almost all Myson Floortec underfloor heating systems.",Heating/Underfloor Heating/Underfloor Heating Pipes/Underfloor Heating Pipes.csv -> Myson Floortec multi layer pipe coiled 16/2mm x 400mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/93/262492_262493_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_25085Underfloor_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P206501,Beneath Heat 200m 16 x 2mm underfloor heating pipe,Beneath Heat,276.0,"A multilayer composite pipe, or MLCP, supplied in a length of 200M, this Beneath Heat 16 x 2mm underfloor heating pipe consists of five layers for reliable, resistant use.",Heating/Underfloor Heating/Underfloor Heating Pipes/Underfloor Heating Pipes.csv -> Beneath Heat 200m 16 x 2mm underfloor heating pipe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/01/206501_wm.jpg,,,680,16mm,50 Years,N,200,660 x 680 x 200,20016MLCP,MLCP,N,Five-layer design,For use in underfloor heating,50 year warranty,,,,,,,,,,,,,,
2,P213835,Beta pipe coil PERT-AL-PERT 16 mm x 200 mtr,Beta,183.6,This Beta five layer PERT-AL-PERT 16mm multilayer composite (MLCP) underfloor heating pipe is supplied in a 200M coiled length.,Heating/Underfloor Heating/Underfloor Heating Pipes/Underfloor Heating Pipes.csv -> Beta pipe coil PERT-AL-PERT 16 mm x 200 mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/35/213835_wm.jpg,,,,,,N,,,PAP16200,Pipe,N,With bend memory for ease of use,Allows zero oxygen ingress,WRAS approved,,,,,,,,,,,,,,
3,P262689,Myson Floortec coil 17 x 2mm 600mtr,Myson,1416.0,"The five layer polyethylene Myson Floortec PEXcellent 17mm diameter underfloor heating pipe, supplied in a 500M coil, includes an integral oxygen barrier. Compatible with most Myson Floortec heating systems, including the low-profile Microboard, this pipe is environmentally-friendly, manufactured with no chemical additives used in either production or disposal.",Heating/Underfloor Heating/Underfloor Heating Pipes/Underfloor Heating Pipes.csv -> Myson Floortec coil 17 x 2mm 600mtr,,Underfloor heating pipe;Integral oxygen barrier,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/89/262686_262689_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P581372,JG Underfloor Speedfit foil faceboard 1250 x 600 x 25mm,JG Underfloor,25.72,"Ideal for new build or renovation projects, this JG Underfloor Speedfit overfit board is a low profile system featuring grooved foil-faced underfloor heating insulation panels. The panels are designed for the installation of 15mm tubing over existing timber floor structures.",Heating/Underfloor Heating/Underfloor Heating Pipes/Underfloor Heating Pipes.csv -> JG Underfloor Speedfit foil faceboard 1250 x 600 x 25mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/72/581372_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/JG_Speedfit_UHF_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_PushFit_Brochure.pdf,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/JG_Speedfit_Aura_UFH_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,
5,P517883,JG Underfloor Speedfit UFH spreader plate (TJI Joist),JG Underfloor,11.16,"Designed for use with composite joists, these JG Underfloor Speedfit spreader plates are fixed from below. Speedfit underfloor heating pipe is fixed into the grooves of the plates and insulation is fitted in the void below to minimise downward heat loss.",Heating/Underfloor Heating/Underfloor Heating Pipes/Underfloor Heating Pipes.csv -> JG Underfloor Speedfit UFH spreader plate (TJI Joist),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/83/517882_517883_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/JG_Speedfit_UHF_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_PushFit_Brochure.pdf,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,
6,P262688,Myson Floortec coil 17 x 2mm 200mtr,Myson,472.0,"The five layer polyethylene Myson Floortec PEXcellent 17mm diameter underfloor heating pipe, supplied in a 200M coil, includes an integral oxygen barrier. Compatible with most Myson Floortec heating systems, including the low-profile Microboard, this pipe is environmentally-friendly, manufactured with no chemical additives used in either production or disposal.",Heating/Underfloor Heating/Underfloor Heating Pipes/Underfloor Heating Pipes.csv -> Myson Floortec coil 17 x 2mm 200mtr,,Underfloor heating pipe;Integral oxygen barrier,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/89/262686_262689_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P581499,JG Underfloor Layflat layflat polybutyle pipe coil 12mmx80m,JG Underfloor,171.35,"Offering improved flexibility compared to standard polybutylene pipe, this JG Layflat 12mm barrier pipe, supplied in an 80M length, helps to make laying long pipe runs and cabling through joists quick and simple. This flexible pipe significantly reduces the need for fittings compared to copper pipe systems, saving on costs and labour. Highly convenient, after being removed from its coil, this pipe 'lays flat and stays flat', meaning there's no annoying spring back or wrestling to keep pipe in place. Consisting of five layers, Layflat pipe has a coloured oxygen barrier at its centre, preventing air ingress to reduce costly corrosion on metal components.",Heating/Underfloor Heating/Underfloor Heating Pipes/Underfloor Heating Pipes.csv -> JG Underfloor Layflat layflat polybutyle pipe coil 12mmx80m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/99/NW-581498_581499_wm.jpg,,,12 mm,,,N,,80 m,12BPB-80C,Barrier Pipe,N,80M length,"Ultra-flexible pipe for fast, simple cabling",Lightweight pipe material,,,,,Layflat,Resists corrosion and scale build-up,Reduced risk of pin hole leaks and blockages,Pipe elasticity reduces risk of burst pipes in freezing conditions,Significant reduction in water hammer noise,"Safe, non-toxic material","Suitable for long runs, ideal for underfloor heating",Standard UK plumbing sizes for reduced waste,Easy to handle,"Won't need flames, flux or chemicals"
8,P581498,JG Underfloor Layflat layflat polybutyle pipe coil 12mmx50m,JG Underfloor,107.11,"Offering improved flexibility compared to standard polybutylene pipe, this JG Layflat 12mm barrier pipe, supplied in a 50M length, helps to make laying long pipe runs and cabling through joists quick and simple. This flexible pipe significantly reduces the need for fittings compared to copper pipe systems, providing savings on cost and labour. Highly convenient, after being removed from its coil, this pipe 'lays flat and stays flat', meaning there's no annoying spring back or wrestling to keep pipe in place. Consisting of five layers, Layflat pipe has a coloured oxygen barrier at its centre, preventing air ingress to reduce costly corrosion on metal components.",Heating/Underfloor Heating/Underfloor Heating Pipes/Underfloor Heating Pipes.csv -> JG Underfloor Layflat layflat polybutyle pipe coil 12mmx50m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/99/NW-581498_581499_wm.jpg,,,12 mm,,,N,,50 m,12BPB-50C,Barrier Pipe,N,50M length,"Ultra-flexible pipe for fast, simple cabling",Lightweight pipe material,,,,,Layflat,Resists corrosion and scale build-up,Reduced risk of pin hole leaks and blockages,Pipe elasticity reduces risk of burst pipes in freezing conditions,Significant reduction in water hammer noise,"Safe, non-toxic material","Suitable for long runs, ideal for underfloor heating",Standard UK plumbing sizes for reduced waste,Easy to handle,"Won't need flames, flux or chemicals"
9,P262687,Myson Floortec coil 17 x 2mm 120mtr,Myson,283.2,"The five layer polyethylene Myson Floortec PEXcellent 17mm diameter underfloor heating pipe, supplied in a 120M coil, includes an integral oxygen barrier. Compatible with most Myson Floortec heating systems, including the low-profile Microboard, this pipe is environmentally-friendly, manufactured with no chemical additives used in either production or disposal.",Heating/Underfloor Heating/Underfloor Heating Pipes/Underfloor Heating Pipes.csv -> Myson Floortec coil 17 x 2mm 120mtr,,Underfloor heating pipe;Integral oxygen barrier,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/89/262686_262689_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
