,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Range,Style,Warranty,Hazardous,Depth (mm),Door Opening Orientation,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
0,PC31005,Nabis Sense WC unit 500mm White Gloss,Nabis,177.9,Nabis Sense 500mm full height WC unit is available in white gloss finish. It is suitable for use with all back to wall toilets.,Bathrooms and Kitchens/Bathroom Furniture/Toilet Units/Toilet Units.csv -> Nabis Sense WC unit 500mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/05/NW-C31005_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Bathroom_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Nabis_Bathroom_Edi1_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,
1,PC22657,Nabis Deco toilet unit 500mm Natural Oak,Nabis,180.62,"Nabis Deco 500mm toilet unit is made of 16mm MFC, 0.8mm ABS laminate and available in natural oak colour. This stylish range of toilet units designed to complement the beautiful Deco range of bathroom furniture.",Bathrooms and Kitchens/Bathroom Furniture/Toilet Units/Toilet Units.csv -> Nabis Deco toilet unit 500mm Natural Oak,,Toilet unit;Fixings - KEKU clips;Fitting instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/57/NW-C22657_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C22655-C22662_Technical.pdf,,,,,,,,,,,,,,,,,,,
2,PC31007,Nabis Sense WC unit 555mm White Gloss,Nabis,186.31,Nabis Sense 500mm full height WC unit is available in white gloss finish. It is suitable for use with all back to wall toilets.,Bathrooms and Kitchens/Bathroom Furniture/Toilet Units/Toilet Units.csv -> Nabis Sense WC unit 555mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/07/NW-C31007_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Bathroom_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Nabis_Bathroom_Edi1_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,
3,PC22665,Nabis Deco left hand tall storage unit Natural Oak,Nabis,199.45,"Nabis Deco left hand wall hung double door tall storage unit is made of 16mm MFC, 0.8mm ABS laminate and available in natural oak colour. This stylish range of tall storage unit is designed to complement the beautiful Deco range of bathroom furniture.",Bathrooms and Kitchens/Bathroom Furniture/Toilet Units/Toilet Units.csv -> Nabis Deco left hand tall storage unit Natural Oak,,Tall storage unit;2x cab hanger wall kit;Fitting instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/65/NW-C22665_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C22663-C22670_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_TalStorageCabinet_Installation.pdf,,,,,,,,,,,,,,,,,,
4,PC22659,Nabis Deco toilet unit 600mm White Gloss,Nabis,205.08,"Nabis Deco 600mm toilet unit is made of 16mm MFC, 0.8mm ABS laminate and available in white gloss finish. This stylish range of toilet units designed to complement the beautiful Deco range of bathroom furniture.",Bathrooms and Kitchens/Bathroom Furniture/Toilet Units/Toilet Units.csv -> Nabis Deco toilet unit 600mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/59/NW-C22659_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C22655-C22662_Technical.pdf,,,,,,,,,,,,,,,,,,,
5,PE10495,Atlanta Fitted toilet unit panel with cistern 600mm Lucia Premium,Atlanta,369.53,"Compatible with back-to-wall and suspended toilets, this Atlanta Fitted 820 x 600mm wall unit with cistern has a full panel design for a neat finish. Designed to significantly save on floor space, this wall unit is finished in cleanly contemporary, light reflecting Lucia White gloss.",Bathrooms and Kitchens/Bathroom Furniture/Toilet Units/Toilet Units.csv -> Atlanta Fitted toilet unit panel with cistern 600mm Lucia Premium,,WC unit;Cistern,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/uc/ia/Fitted - Lucia_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Atlanta_Bath_Furniture_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Atlanta_BathFurniture_Brchr_2019-20.pdf,,,,,,,,,,,,,,,,,,
6,PE03806,Atlanta Fitted full panel toilet unit and cistern 600mm Pearl Grey,Atlanta,307.96,"Compatible with back-to-wall and suspended toilets, this Atlanta Fitted 820 x 600mm wall unit with cistern has a full panel design for a neat finish. Designed to significantly save on floor space, this wall unit is finished in matte Pearl Grey, a fashionable pale tone designed to create a sense of space.",Bathrooms and Kitchens/Bathroom Furniture/Toilet Units/Toilet Units.csv -> Atlanta Fitted full panel toilet unit and cistern 600mm Pearl Grey,,WC unit;Cistern,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/06/NW-E03806_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Atlanta_Bath_Furniture_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Atlanta_BathFurniture_Brchr_2019-20.pdf,,,,,,,,,,,,,,,,,,
7,PE17304,Atlanta Fitted flush plate WC unit and cistern 500mm Pescara Grip,Atlanta,353.03,"Compatible with back-to-wall and suspended toilets, this Atlanta Fitted 820 x 500mm wall unit with cistern has a full panel design for a neat finish. Designed to significantly save on floor space, this wall unit is finished in clean, bright, light reflecting Grip White gloss.",Bathrooms and Kitchens/Bathroom Furniture/Toilet Units/Toilet Units.csv -> Atlanta Fitted flush plate WC unit and cistern 500mm Pescara Grip,,WC unit;Cistern,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/04/E17304_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Atlanta_Bath_Furniture_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Atlanta_BathFurniture_Brchr_2019-20.pdf,,,,,,,,,,,,,,,,,,
8,PE17305,Atlanta Fitted flush plate WC unit and cistern 600mm Pescara Grip,Atlanta,369.53,"Compatible with back-to-wall and suspended toilets, this Atlanta Fitted 820 x 600mm wall unit with cistern has a full panel design for a neat finish. Designed to significantly save on floor space, this wall unit is finished in clean, bright, light reflecting Grip White gloss.",Bathrooms and Kitchens/Bathroom Furniture/Toilet Units/Toilet Units.csv -> Atlanta Fitted flush plate WC unit and cistern 600mm Pescara Grip,,WC unit;Cistern,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/05/E17305_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Atlanta_Bath_Furniture_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Atlanta_BathFurniture_Brchr_2019-20.pdf,,,,,,,,,,,,,,,,,,
9,PE19179,Atlanta Fitted full panel WC and cistern unit 600mm Indigo,Atlanta,307.96,"Compatible with back-to-wall and suspended toilets, this Atlanta Fitted 820 x 600mm wall unit with cistern has a full panel design for a neat finish. Designed to significantly save on floor space, this wall unit is finished in on-trend matte Indigo, a deep blue that provides a stunning backdrop to crisp white sanitaryware and tiling.",Bathrooms and Kitchens/Bathroom Furniture/Toilet Units/Toilet Units.csv -> Atlanta Fitted full panel WC and cistern unit 600mm Indigo,,WC unit;Cistern,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/79/E19179_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Atlanta_Bath_Furniture_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Atlanta_BathFurniture_Brchr_2019-20.pdf,,,,,,,,,,,,,,,,,,
