,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2
0,PF15130,"Center CB 90deg knuckle bend 3/4""",Center CB,1.16,"Made of PVC-U, this Center CB 21.5mm knuckle bend is part of the brand's solvent weld overflow range designed for secure, reliable joints with a built-to-last professional finish. Offering quick, hassle-free installation, this compact system is ideal for toilet overflows and boiler condensate use.","School's Out/Drainage | Maintenance Projects/Drainage | Maintenance Projects.csv -> Center CB 90deg knuckle bend 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/30/NW-F15130_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,
1,PF15120,"Center CB overflow pipe 3mtr x 3/4""",Center CB,2.25,"Made of PVC-U, this Center CB 3M overflow pipe with 21.5mm connections is part of the brand's solvent weld overflow range designed for secure, reliable joints with a built-to-last professional finish. Offering quick, hassle-free installation, this compact system is ideal for toilet overflows and boiler condensate use.","School's Out/Drainage | Maintenance Projects/Drainage | Maintenance Projects.csv -> Center CB overflow pipe 3mtr x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/20/NW-F15120_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,
2,PF15131,"Center CB 45deg bend 3/4""",Center CB,0.73,"Made of durable PVC-U, this Center CB 21.5mm bend is part of the brand's solvent weld overflow range designed for secure, reliable joints with a built-to-last professional finish. Offering quick, hassle-free installation, this compact system is ideal for toilet overflows and boiler condensate use.","School's Out/Drainage | Maintenance Projects/Drainage | Maintenance Projects.csv -> Center CB 45deg bend 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/31/NW-F15131_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,
3,PF15270,Center CB ABS waste pipe 40mm x 3mtr White,Center CB,5.75,"This Center CB 40mm waste pipe, supplied in a 3M length, is part of the Center ABS solvent weld waste range, a collection of products ideally suited to creating connections from sanitary appliances to a soil stack or back inlet drain gully. Solvent weld connections ensure a sturdy, permanent joint with the straightforward application of solvent weld cement to the pipe spigot and fitting socket.",School's Out/Drainage | Maintenance Projects/Drainage | Maintenance Projects.csv -> Center CB ABS waste pipe 40mm x 3mtr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/70/NW-F15270_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,
4,PF15122,Center CB straight connector 20mm,Center CB,0.84,"Made of PVC-U, this Center CB 21.5mm straight coupling is part of the brand's solvent weld overflow range designed for secure, reliable joints with a built-to-last professional finish. Offering quick, hassle-free installation, this compact system is ideal for toilet overflows and boiler condensate use.",School's Out/Drainage | Maintenance Projects/Drainage | Maintenance Projects.csv -> Center CB straight connector 20mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/22/NW-F15122_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,
5,PF15250,"Center CB waste pipe 3mtr x 1.1/4"" White",Center CB,4.82,"Center CB waste pipe is made of ABS. The Center ABS solvent weld waste range is perfectly suited for connections from sanitary appliances to either a soil stack or a back inlet drain gully. Constructing a perfect, permanent joint is made easy through the simple application of a solvent weld cement to the pipe spigot and the fitting socket.","School's Out/Drainage | Maintenance Projects/Drainage | Maintenance Projects.csv -> Center CB waste pipe 3mtr x 1.1/4"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/50/NW-F15250_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,
6,PF15290,"Center CB waste pipe 3 m 2"" White",Center CB,12.49,"Center CB waste pipe is made of ABS. The Center ABS solvent weld waste range is perfectly suited for connections from sanitary appliances to either a soil stack or a back inlet drain gully. Constructing a perfect, permanent joint is made easy through the simple application of a solvent weld cement to the pipe spigot and the fitting socket.","School's Out/Drainage | Maintenance Projects/Drainage | Maintenance Projects.csv -> Center CB waste pipe 3 m 2"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/90/NW-F15290_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,
7,PF13405,"Center CB tubular P-trap 1.1/2"" 40mm",Center CB,5.26,This Center CB 40mm P trap is made of polypropylene and has a 150mm length. It incorporates compression connections and a 75mm adjustable seal.,"School's Out/Drainage | Maintenance Projects/Drainage | Maintenance Projects.csv -> Center CB tubular P-trap 1.1/2"" 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/05/NW-F13405_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Center_Drainage_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/01/19/Drainage Guide PDF 300119.pdf
8,PF15282,"Center CB reducer 2 x 1.1/2"" White",Center CB,1.88,"Center CB reducer is made of ABS. The Center ABS solvent weld waste range is perfectly suited for connections from sanitary appliances to either a soil stack or a back inlet drain gully. Constructing a perfect, permanent joint is made easy through the simple application of a solvent weld cement to the pipe spigot and the fitting socket.","School's Out/Drainage | Maintenance Projects/Drainage | Maintenance Projects.csv -> Center CB reducer 2 x 1.1/2"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/82/NW-F15282_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,
9,PF13455,"Center CB adjustable tubular P-trap 1.1/2"" 40mm",Center CB,4.74,This Center CB 40mm P trap is made of polypropylene and has a 150mm length. It incorporates compression connections and a 75mm adjustable seal.,"School's Out/Drainage | Maintenance Projects/Drainage | Maintenance Projects.csv -> Center CB adjustable tubular P-trap 1.1/2"" 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/55/NW-F13455_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Center_Drainage_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/01/19/Drainage Guide PDF 300119.pdf
