,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Size,Connection Type,Range,Hazardous,Min Outlet Pressure,Max Outlet Pressure,Connection Gender,Material,Seal Material,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Connection,Thread Standard,Max Set Pressure,Thread Size,Maximum Operating Temperature,Application,Grade,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Pack Quantity,Attachment 3,Attachment 4,Attachment 5,Weight,Size,Colour,Operating Temperature,Warranty,Connection Size (mm),Actuator Type,Ball Material,Handle Material,Handle Type,Number of Ports,Operator Type,Seat Material,Bio Fuels,Oil Supply Pipe Connection,Temperature Rating,Nominal Fuel Flow Rate Diesel,Nominal Fuel Flow Rate Kerosine,Manual Reset,Body Material,Manual,Material Type,Thickness,Diameter,Attachment 6,Attachment 7,Attachment 8,Attachment 9,Boiler Section,Boiler Range,Part Gas Council number,Voltage Rating,Dimensions mm (H x W x D),Protection Time,Drainage Product Type,Resistance Features
0,P327884,Center CB Lever *@CB lever ball valve 22mm PN30 30bar,Center CB,6.49,"Ideal for commercial shut-off, this robust Center CB brass manual ball valve is supplied with two ports and 22mm compression end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Center CB Lever *@CB lever ball valve 22mm PN30 30bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/87/NW-327884_327887_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Ball_Valves_Series_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P327885,Center CB Lever *@CB lever ball valve 28mm PN30 30bar,Center CB,16.56,"Ideal for commercial shut-off, this robust Center CB brass manual ball valve is supplied with two ports and 28mm compression end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Center CB Lever *@CB lever ball valve 28mm PN30 30bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/87/NW-327884_327887_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Ball_Valves_Series_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P327883,Center CB Lever *@CB lever ball valve 15mm PN30 30bar,Center CB,5.49,"Ideal for commercial shut-off, this robust Center CB brass manual ball valve is supplied with two ports and 15mm compression end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Center CB Lever *@CB lever ball valve 15mm PN30 30bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/83/NW-327883_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Ball_Valves_Series_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PN11359,"JET Range Automatic Air Vent Check Valve 3/8 x 1/2""",JET Range,8.0,"This JET Range automatic air vent with 3/8 x 1/2"" threaded connections is designed with a vacuum break to prevent air locks. A central heating safety device, the air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range Automatic Air Vent Check Valve 3/8 x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/59/N11359_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/N11359 Installation & User Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/N11359 Auto Air Vent TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PK73629,Honeywell Home D04FM D04FM-ZGC 15 pressure reducing valve,Honeywell Home,36.5,"Protecting household appliances and pipework against excessive pressure, the D04FM pressure reducing valve (PRV) has a compact design that promises to maintain a constant water pressure even where supply pressure is much higher. Reducing noise and saving on waste, this PRV is supplied with 1/2"" female x female compression connections.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Honeywell Home D04FM D04FM-ZGC 15 pressure reducing valve",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/29/NW-K73629_wm.jpg,,,1/2,Compression,D04FM,N,1.5,6,Female x Female,"Brass, Dezincification Resistant",EPDM,WRASEN1567,D04FM-1/2ZGC,Pressure Reducing Valve,N,Spring-loaded balanced seat for constant outlet pressure even where inlet pressure fluctuates,Lightweight design,Compact construction,Available with pressure gauge,16 bar inlet pressure,1.5 - 6 bar outlet pressure,Maximum operating temperature 40°C,Reducing pressure reduces consumption,27L per day can be saved by reducing pressure from 6 to 4 bar,Meets EN 1567,WRAS approved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P310834,Honeywell Home V4043H1056 Home Twin Pack Zone Valve 22 mm,Honeywell Home,171.81,"Suitable for any number of flow control applications, the Honeywell Home V4043H motorised two port zone valve with 22mm compression connections can be used in domestic or light commercial central heating systems. It is designed to be positioned where it won't block a vent or cold feed when closed, and can be plumbed at any angle provided the powerhead isn't below the horizontal level of pipework. V4043H can be fitted into a confined space, however ventilation should be available in order to maintain the valve's ambient temperature range. Access should also be reserved for removal of the valve's powerhead where needed.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Honeywell Home V4043H1056 Home Twin Pack Zone Valve 22 mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/34/310834_wm.jpg,,,22 mm,,,N,,,,"Brass body, metal powerhead.",,,V4043H1056/TW,Motorised Zone Valve,N,Twin pack,Normally closed,Differential pressure if 0.55 bar,Spring-return operation,Manual lever for filling/draining down system,Powerhead replaceable without drain down,Potential-free end switch for electrical control of pump and/or boiler,Quiet operation,Minimal power consumption,SPST end switch,Compression connections,22 mm Compression,22mm Compression,0.55 bar,22 mm,50,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P327894,Center CB Gas Lever ball valve 22mm Brass,Center CB,6.62,"Ideal for commercial shut-off, this robust Center CB brass manual ball valve is supplied with two ports and 22mm compression end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Center CB Gas Lever ball valve 22mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/95/NW-327894_327895_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Gas_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P327893,Center CB Gas Lever ball valve 15mm Brass,Center CB,9.94,"Ideal for commercial shut-off, this robust Center CB brass manual ball valve is supplied with two ports and 15mm compression end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Center CB Gas Lever ball valve 15mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/93/NW-327893_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Gas_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PC51501,Midland Brass washing machine hose 1.5mtr Blue,Midland Brass,4.71,This Midland Brass 1.5M long blue washing machine hose includes a threaded connection.,"Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Midland Brass washing machine hose 1.5mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/01/NW-C51501_wm.jpg,,,,Threaded,,N,,,,,,,BFWMHB-1.5M,Hose,N,Maximum working pressure 100 bar,Maximum working temperature 85°C,CW617N brass material,Manufactured to BS2879/2,WRAS approved,12 month warranty,,,,,,,,,,,,CW617N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P538604,Altecnic 108 Anti-freeze valve 108 anti freeze valve 28mm,Altecnic,93.69,"Preventing ice forming in the circuit of a system, this Altecnic 108 28mm antifreeze valve allows for the draining of circuit medium when temperatures reach 3 C. Usually used in a heat pump system, this draining process minimises the potential for freezing damage to pipework, appliances and valves. This valve is designed for use on fittings and pipes connected by a union.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Altecnic 108 Anti-freeze valve 108 anti freeze valve 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/04/538604_wm.jpg,,,28 mm,,108 Anti-freeze valve,N,,,,Brass,,,108301,Anti-Freeze Valve,N,Max. working pressure: 5 bar,Temperature range: 0–65 °C,Ambient temperature range: -30–60 °C,Opening temperature: 3 °C,Closing temperature: 4 °C,,,,,,,Compression,Compression,,28mm,65,For use with Heat Pumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
