,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Operating Temperature,Range,Warranty,Hazardous,Depth (mm),Mains Connection Size and Type,System Connection Size and Type,Display Type,Drain Connection,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Attachment 6,Voltage (V),Output,Max Fill Pressure,Full Load Current A,Application,Feature 15,Feature 16,Feature 17,Approvals
0,PS05236,JET Range Midi Digital Plus MD231 midi digital plus pressurisation unit,JET Range,1616.63,"Designed to provide a minimum system pressure requirement for sealed systems, the JET Range Midi MD231 Digital Plus compact pressurisation unit is suitable for installation in commercial, industrial and residential properties. With an intuitive password-protected microprocessor including features such as low water/flood protection, VFCs for common faults and pump and pressure failures, this pressurised unit is simple to operate and provides users with a wealth of useful information via its LED display.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> JET Range Midi Digital Plus MD231 midi digital plus pressurisation unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/37/S05235_S05237_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/im/S05236_Jet_IM.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/Jet Midi Pressurisation Unit TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Jet_Digital_Pressurisation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/ig/S05236_Jet_IG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PS05250,JET Range Mini Pressurisation Unit Mini Range M130HL,JET Range,679.79,"The compact, fully enclosed JET Range Mini M130HL mechanical pressurisation unit is a reliable spare part designed to provide a minimum system pressure requirement in sealed systems. The JET Range Mini is particularly designed for air conditioning applications.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> JET Range Mini Pressurisation Unit Mini Range M130HL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/50/S05250_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Mechanical_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/Jet Mini M Pressurisation Unit TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Jet_Digital_Pressurisation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/v2/_2/JET Mechanical Instruction V2.2.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/un/it/Jet_Mini_M_Press_Unit.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PS05235,JET Range Midi Digital Plus MD131 midi digital plus pressurisation unit,JET Range,1318.78,"Designed to provide a minimum system pressure requirement for sealed systems, the JET Range Midi MD131 Digital Plus compact pressurisation unit is suitable for installation in commercial, industrial and residential properties. With an intuitive password-protected microprocessor including features such as low water/flood protection, VFCs for common faults and pump and pressure failures, this pressurised unit is simple to operate and provides users with a wealth of useful information via its LED display.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> JET Range Midi Digital Plus MD131 midi digital plus pressurisation unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/37/S05235_S05237_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/Jet Midi Pressurisation Unit TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Jet_Digital_Pressurisation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/ig/S05235_Jet_IG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/im/S05235_Jet_IM.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PS05244,JET Range Midi Digifiller Digifiller 1.5 midi preset pressure set 125ltr 1.5bar,JET Range,1280.37,"Designed to provide a minimum system pressure requirement for sealed systems, the JET Range Midi Digifiller 1.5 compact pressurisation unit is suitable for installation in commercial, industrial and residential properties. With an intuitive password-protected microprocessor including features such as low water/flood protection, VFCs for common faults and pump and pressure failures, this pressurised unit is simple to operate and provides users with a wealth of useful information via its LED display.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> JET Range Midi Digifiller Digifiller 1.5 midi preset pressure set 125ltr 1.5bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/44/S05244_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/Jet Digifiller Pressurisation Unit TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Jet_Digital_Pressurisation_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PS05246,JET Range Midi Digifiller Digifiller 1.0 midi preset pressure set 125ltr 1bar,JET Range,1280.37,"Designed to provide a minimum system pressure requirement for sealed systems, the JET Range Midi Digifiller 1.0 compact pressurisation unit is suitable for installation in commercial, industrial and residential properties. With an intuitive password-protected microprocessor including features such as low water/flood protection, VFCs for common faults and pump and pressure failures, this pressurised unit is simple to operate and provides users with a wealth of useful information via its LED display.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> JET Range Midi Digifiller Digifiller 1.0 midi preset pressure set 125ltr 1bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/47/S05245_S05247_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/0b/ar/Jet_Digifiller_1.0Bar.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/Jet Digifiller Pressurisation Unit TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Jet_Digital_Pressurisation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/v8/_1/JET Pressurisation Manual - V8.1.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PS05251,JET Range D130 Mini Pressurisation Unit,JET Range,1132.15,"Providing a minimum system pressure requirement to sealed systems, the JET Range D130 Mini digital pressurisation unit provides a range of features including a 2L break tank, electronic pressure transducer and a user-friendly interface providing useful controls and feedback such as event logging and fault reporting. This compact, wall-mounted unit is totally enclosed for simple, neat installation in a range of locations.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> JET Range D130 Mini Pressurisation Unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/51/S05251_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/un/it/Jet_Mini_D_Press_Unit.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Jet_Digital_Pressurisation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/Jet Mini D Pressurisation Unit TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/v8/_1/JET Pressurisation Manual - V8.1.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P111566,Wilo Comfort WM pressurisation unit,Wilo,1553.08,"Wall-mounted, this Wilo Comfort single pump pressurisation units is suitable for heating or chilled water systems up to and including 3.0 bar cold fill pressures and with a maximum expansion of 300L. The unit is fitted with a 4L stainless steel break tank, C/W-type AB air gap, a WRAS approved equilibrium ball float valve, C/W strainer and a low water float for pump protection. The pump has an integral non-return valve and quick release couplings for ease of maintenance while a pressure transducer monitors system pressure, feeding a 0 - 10V signal to the controller.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> Wilo Comfort WM pressurisation unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/66/NW-111566_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Wilo_Pressurisation_Units_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_REACH_Regulation_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P105853,Grundfos PHT D225 standard pressurisation unit,Grundfos,2642.64,The wall-mounted Grundfos PHT-A-D twin pump pressurisation unit is a deeper format pressurisation unit with a 3.6L break tank. Twin pumps allow for duty and standby with automatic switchover.,Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> Grundfos PHT D225 standard pressurisation unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/53/NW-105853_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_PHT_Operating_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Grundfos_Pressurisation_Range_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PS05243,JET Range Maxi Digital Plus MD261 maxi digital plus pressurisation unit,JET Range,2092.18,"Designed to provide a minimum system pressure requirement for sealed systems, the JET Range Maxi MD261 Digital Plus pressurisation unit is suitable for installation in commercial, industrial and residential properties. With an intuitive password-protected microprocessor including features such as low water/flood protection, VFCs for common faults and pump and pressure failures, this pressurised unit is simple to operate and provides users with a wealth of useful information via its LED display.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> JET Range Maxi Digital Plus MD261 maxi digital plus pressurisation unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/43/S05243_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/ig/S05243_Jet_IG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Jet_Digital_Pressurisation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/im/S05243_Jet_IM.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/Jet Maxi Pressurisation Unit TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P870586,Flamco Flexfiller 17463 wall press unit midi 250D,Flamco,2302.41,"Suitable for commercial, industrial or domestic use, the Flamco Wall Press 250D midi unit is a compact and fully-enclosed digital pressurisation unit incorporating an electronic pressure transducer and microprocessor. Offering intuitive operation and with useful features including a service reminder and password protection, this pressurisation unit is suitable for use on a sealed system, meeting a minimum system pressure requirement. Wall-mounted, this 12LPM flow rate top-up pressurisation unit includes a 4L internal break tank and is suitable for systems with a volume of up to 50,000L.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> Flamco Flexfiller 17463 wall press unit midi 250D,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/86/870586_wm.jpg,,,,,,White,5 to 85,Flexfiller,30 months from Date of Supply (DOS) or 2 years from Date Of Commissioning (DOC) whichever is sooner.,N,260,15mm (1/2),15mm (1/2),Digital,22 mm,17463,Pressurisation Units,N,"For system volumes up to 50,000 litres.",Fluid Protection Category 5 (AB Weir Overflow).,System fill mode.,Onscreen Service Reminder - 12 Months.,"Electric pump, 230V 50Hz 1ph.",Colour: White (RAL 9003).,MODBUS RTU Communication Protocol.,Password protected.,Sequential programming menu.,Pressure setting in 0.1 bar increments.,Pump pulse option.,"Flood Protection (Pump Runtime Limiter, Excessive Start Alarm).","Event logging: Alarm activations, Pump Run counter (activations per pump), Cumulative run timer (hours per pump), Electrical interuption.","Volt free contacts: Common Alarm (N/C), High Pressure Alarm (N/O), Low Pressure Alarm (N/O), Sensor Health (N/O), Pump 1 Health (N/O), Pump 2 Health (N/O).",,,,,,,,,,
