,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Connection Type,Range,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Handle Type,Dimensions (L x W x D),Feature 7,Feature 8,Feature 9,Feature 10
0,P689835,Javac ratchet wrench,Javac,14.98,"A Javac ratchet wrench for 1/4"", 3/8"", 5/16"" and 3/16"".",Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Javac ratchet wrench,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/35/NW-689835_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Ratchet-Wrench_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,
1,PT86447,Rothenberger Wide Jaw Wrench 70461 Adjustable Wide Jaw Wrench 10'',Rothenberger,30.48,"Suitable for use in small, confined spaces, this Rothenberger 254mm adjustable wide jaw wrench is designed with a narrow profile and precision thumb turn adjustment.",Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger Wide Jaw Wrench 70461 Adjustable Wide Jaw Wrench 10'',,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/47/NW-T86445_T86447_wm.jpg,,,Black/Red/Silver,10 x 50mm,Wide Jaw Wrench,N,Steel,15 (W) x 265 (H) mm,70461,Adjustable Wrench,N,Ideal when working in confined spaces,Opens to 50mm,Narrow jaw profile,Precise thumbturn adjustment,Calibrated jaws for accurate sizing,Comfortable soft-grip handle,Jaw protectors protect polished surfaces,,,,,,
2,PT86446,Rothenberger Adjustable Wide Jaw Wrench 8'',Rothenberger,24.03,"Ideal for use in confined spots, this Rothenberger 210mm adjustable wide jaw wrench has a narrow profile and precision thumbturn adjustment. The wrench's jaw opens to 38mm.",Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger Adjustable Wide Jaw Wrench 8'',,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/47/NW-T86445_T86447_wm.jpg,,,,,,N,Aluminium,,70460R,Adjustable Wrench,N,,Maximum jaw width 38mm,Narrow jaw profile,Precise thumbturn adjustment,Calibrated jaws for accurate sizing,Comfortable soft-grip handle,Jaw protectors won't damage polished surfaces,Anti-Slip,,,,,
3,P231558,Rothenberger Wide Jaw Wrench 70461 Adjustable Wide Jaw Wrench 10'',Rothenberger,25.0,"Suitable for use in small, confined spaces, this Rothenberger 254mm adjustable wide jaw wrench is designed with a narrow profile and precision thumb turn adjustment.",Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger Wide Jaw Wrench 70461 Adjustable Wide Jaw Wrench 10'',,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/47/NW-T86445_T86447_wm.jpg,,,,,,,,,231558 PK,,,,Opens to 50mm,Narrow jaw profile,Precise thumbturn adjustment,Calibrated jaws for accurate sizing,Comfortable soft-grip handle,Jaw protectors protect polished surfaces,,,,,,
4,PN20130,Rothenberger brass multi-purpose 4 way key,Rothenberger,5.77,"A practical tool for an array of plumbing jobs, this Rothenberger multipurpose four way key eliminates the need to use the awkward and often damaging combination of spanner, wrench and grips. Precision-machined, this key gives an exact fit, while the cross design provides excellent torque, making loosening tight or seized valves or locks easy.",Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger brass multi-purpose 4 way key,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/30/NW-N20130_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rothenberger_Hand Tools_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
5,P689836,Javac offset ratchet wrench,Javac,16.27,"A Javac offset ratchet wrench for 1/4"", 3/8"", 5/16"" and 3/16"".",Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Javac offset ratchet wrench,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/36/NW-689836_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Ratchet-Wrench_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,
6,PT85917,Rothenberger Wrench 70225 telescopic basin wrench,Rothenberger,22.99,"Ideal for use under sinks, the Rothenberger 140 x 23mm telescopic basin nut wrench is intended for working in small spaces and can tighten and loosen screw nuts with diameters of between 10 and 32mm. Designed with a spring-loaded swivel claw, this nut wrench is easy to use, either left or right-handed.",Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger Wrench 70225 telescopic basin wrench,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/17/NW-T85917_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
7,PN16996,Nerrad Tapex Advanced Tap Wrench Technology,Nerrad,163.05,"A handy 18-piece set, this robust Nerrad Tappex advanced tap wrench kit includes unique chrome vanadium sockets for 1/2 and 3/4"" back and supply nuts.",Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Nerrad Tapex Advanced Tap Wrench Technology,,6x extra long flank style forged sockets3/8 inch to 8mm Hex adapter socketPlastic handleSliding T Bar 165mm3/8-1/4 inch reducer 100mm3/8 inch drive extendable ratchet 190-248mm3/8 inch universal joint1/4 inch universal joint3/8 inch drive adjustable exte,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/96/NW-N16996_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/0_/21/Nerrad_Product_Catalogue_2020_21.pdf,,,,,,,,,,,,,,,,,,,,,,,
8,PT52414,"Virax Stillson 012560 stillson pipe wrench 24""",Virax,59.05,"Made of heat-treated steel, this tough Virax Stillson 26mm, 600mm length pipe wrench is equipped with springs, which are housed within the casing, for instant pipe grip, good self-tightening and an efficient ratchet-style action.","Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Virax Stillson 012560 stillson pipe wrench 24""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/14/NW-T52412_T52414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Virax_Stillson_012520-90_Wrench_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Virax_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,
9,PT86445,Rothenberger Wide Jaw Wrench 70459 Adjustable Wide Jaw Wrench 6'',Rothenberger,19.79,"Suitable for use in small, confined spaces, this Rothenberger 152.4mm adjustable wide jaw wrench is designed with a narrow profile and precision thumb turn adjustment.",Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger Wide Jaw Wrench 70459 Adjustable Wide Jaw Wrench 6'',,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/47/NW-T86445_T86447_wm.jpg,,,Black/Red/Silver,6 x 34mm,Wide Jaw Wrench,N,Steel,12 (W) x 170 (H) mm,70459,Adjustable Wrench,N,Ideal when working in confined spaces,Opens to 34mm,Narrow jaw profile,Precise thumbturn adjustment,Calibrated jaws for accurate sizing,Comfortable soft-grip handle,Jaw protectors protect polished surfaces,Anti-Slip,,,,,
