,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Connection Type,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection B size,End Connection C size,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 4
0,PP96653,"TP RB0.TIL 90deg abs equal tee 1""",TP,12.21,"This TP RB0.TIL 1 x 1 x 1"" 90° equal tee is made of high impact, highly elastic ABS. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Tees/Tees.csv -> TP RB0.TIL 90deg abs equal tee 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/59/NW-P96651_P96659_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PP90391,GFP 50MM EQUAL TEE EF SDR11,Georg Fischer,18.66,"This Georg Fischer ELGEF Plus 50 x 50 x 50mm 90° tee with integral pipe fixation is made of polyethylene and is suitable for use in house connections, industrial pressure and in water and gas distribution applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Tees/Tees.csv -> GFP 50MM EQUAL TEE EF SDR11",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/91/NW-P90391_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_ELGEF_Plus_Piping_System_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_ELGEF_Plus_90Deg_Tee_21_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/GF_ELGEF_Plus_Sun_Protection_Flyer.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PM32332,Geberit FlowFit 620.080.00.1 Equal tee 16mm,Geberit,7.65,"Part of a comprehensive system, this Geberit FlowFit 16mm equal tee is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical building systems,","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Tees/Tees.csv -> Geberit FlowFit 620.080.00.1 Equal tee 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32332_Primary_Image_wm.jpg,,,,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21937,Equal,16 mm,16mmØ,16 mm,PPSU Polyphenylsulfone,16 mm,620.080.00.1,tee,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,
3,PP98556,GFP 90MM EQUAL TEE SDR 11,Georg Fischer,36.16,"Made of polyethylene, this Georg Fischer ELGEF Plus 90 x 90 x 90mm 90° equal tee is suitable for use in transport lines, distribution lines, industrial pressure, distribution lines, house connections and water and gas distribution.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Tees/Tees.csv -> GFP 90MM EQUAL TEE SDR 11",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/56/NW-P98556_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/GF_ELGEF_Plus_90Deg_Equal_Tee_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_ELGEF_Plus_Piping_System_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/GF_ELGEF_Plus_PE_D75_250mm_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/GF_ELGEF_Plus_Sun_Protection_Flyer.pdf
4,PP96655,"TP RB0.TIL 90deg abs equal tee 1.1/2""",TP,25.57,"This TP RB0.TIL 1 1/2 x 1 1/2 x 1 1/2"" 90° equal tee is made of high impact, highly elastic ABS. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Tees/Tees.csv -> TP RB0.TIL 90deg abs equal tee 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/59/NW-P96651_P96659_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PP96066,"Georg Fischer RV0.TIL 90deg upvc equal tee 2""",Georg Fischer,16.14,"Ideal for water piping systems, this Georg Fischer 2 x 2 x 2"" 90° tee is made of PVC-U. It is suitable for use in distribution, treatment and sewage water, public/private swimming pools, thermal pools or spas, aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Tees/Tees.csv -> Georg Fischer RV0.TIL 90deg upvc equal tee 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/70/NW-P96061_P96070_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PM32336,Geberit FlowFit 620.084.00.1 Equal tee 40mm,Geberit,27.83,"Part of a comprehensive system, this Geberit FlowFit 40mm equal tee is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical building systems,","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Tees/Tees.csv -> Geberit FlowFit 620.084.00.1 Equal tee 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32336_Primary_Image_wm.jpg,,,,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21940,Equal,40 mm,40mmØ,40 mm,PPSU Polyphenylsulfone,40 mm,620.084.00.1,tee,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,
7,PP96068,"Georg Fischer RV0.TIL 90deg upvc equal tee 3""",Georg Fischer,46.68,"Ideal for water piping systems, this Georg Fischer 3 x 3 x 3"" 90° tee is made of PVC-U. It is suitable for use in distribution, treatment and sewage water, public/private swimming pools, thermal pools or spas, aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Tees/Tees.csv -> Georg Fischer RV0.TIL 90deg upvc equal tee 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/70/NW-P96061_P96070_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PP90387,GFP 125MM EQUAL TEE SDR 11,Georg Fischer,69.54,"Made of polyethylene, this Georg Fischer ELGEF Plus 125 x 125 x 125mm 90° equal tee is suitable for use in transport lines, distribution lines, industrial pressure, distribution lines, house connections and water and gas distribution.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Tees/Tees.csv -> GFP 125MM EQUAL TEE SDR 11",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/87/NW-P90387_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/GF_ELGEF_Plus_90Deg_Equal_Tee_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_ELGEF_Plus_Piping_System_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/GF_ELGEF_Plus_PE_D75_250mm_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/GF_ELGEF_Plus_Sun_Protection_Flyer.pdf
9,PP96062,"Georg Fischer RV0.TIL 90deg upvc equal tee 3/4""",Georg Fischer,3.35,"Ideal for water piping systems, this Georg Fischer 3/4 x 3/4 x /4"" 90° tee is made of PVC-U. It is suitable for use in distribution, treatment and sewage water, public/private swimming pools, thermal pools or spas, aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Tees/Tees.csv -> Georg Fischer RV0.TIL 90deg upvc equal tee 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/70/NW-P96061_P96070_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
