,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Warranty,Hazardous,Depth (mm),Pre-Drilled Waste Hole,Pre-Drilled Overflow,Anti Slip Surface,Grips or Handles,Material,Number of Tap Holes,Shape,Fittings Included,Supplier Product Code,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Position,Type,Anti Slip,Grip Holes,Style,Tap Holes,Grips/Handles
0,PE01232,Nabis Hepburn 1700x750 Nth Shwr Bath,Nabis,207.1,"As elegant as its namesake, the stylish Nabis Hepburn 1700 x 750mm acrylic shower bath offers spacious and luxurious solo bathing. At one end of this white finished bath is a comfortable sloping backrest while its taphole-free design allows the homeowner to opt for deck-mounted, wall-mounted or even standpipe style taps.",Bathrooms and Kitchens/Baths and Bath Panels/Shower Baths/Shower Baths.csv -> Nabis Hepburn 1700x750 Nth Shwr Bath,,Bath;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/32/E01232_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/E01180_E01183 Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PA03219,Nabis Garland shower bath left hand L-shape 1500x850x700mm white,Nabis,235.17,"Designed to maximise showering space, the Nabis Garland 1500mm-shapedeft hand shower bath has a modern, spacious design. Compatible with a range of shower screens, this modern bath is supplied free of tap holes,eaving you to choose the perfect tap and shower set-up for your needs.",Bathrooms and Kitchens/Baths and Bath Panels/Shower Baths/Shower Baths.csv -> Nabis Garland shower bath left hand L-shape 1500x850x700mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/19/A03219_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_GarlandSingleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Baths-Screens_Matrix_21Feb2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Shaped_Bath_Panel_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PA03216,Nabis Garland shower bath left hand L-shape 1700x850x700mm white,Nabis,235.17,"Designed to maximise showering space, the Nabis Garland 1700mm-L shapede ft hand shower bath has a modern, spacious design. Compatible with a range of shower screens, this modern bath is supplied free of tap holes,eaving you to choose the perfect tap and shower set-up for your needs.",Bathrooms and Kitchens/Baths and Bath Panels/Shower Baths/Shower Baths.csv -> Nabis Garland shower bath left hand L-shape 1700x850x700mm white,,Bath;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/16/A03216_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_GarlandSingleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Baths-Screens_Matrix_21Feb2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Shaped_Bath_Panel_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PA03220,Nabis Garland shower bath right hand L-shape 1500x850x700mm white,Nabis,235.17,"Designed to maximise showering space, the Nabis Garland 1500mm-shaped right hand shower bath has a modern, spacious design. Compatible with a range of shower screens, this modern bath is supplied free of tap holes,eaving you to choose the perfect tap and shower set-up for your needs.",Bathrooms and Kitchens/Baths and Bath Panels/Shower Baths/Shower Baths.csv -> Nabis Garland shower bath right hand L-shape 1500x850x700mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/20/A03220_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_GarlandSingleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Baths-Screens_Matrix_21Feb2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Shaped_Bath_Panel_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PA03210,Nabis Taylor shower bath right hand P-shape 1700x850x750mm white,Nabis,222.54,"Designed to maximise space, the Nabis Taylor 1700mm P-shaped right hand shower bath provides you with all the elbow room you need for a comfortable shower. Suitable for bathrooms of almost any size, this modern bath is supplied free of tap holes,eaving you to choose the perfect tap and shower set up for your needs.",Bathrooms and Kitchens/Baths and Bath Panels/Shower Baths/Shower Baths.csv -> Nabis Taylor shower bath right hand P-shape 1700x850x750mm white,,Bath;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/10/NW-A03209_A03210_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_TaylorPShapeBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Baths-Screens_Matrix_21Feb2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_TaylorPShapeBathPanel_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_TaylorPShapeBath_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PA03217,Nabis Garland shower bath right hand L-shape 1700x850x700mm white,Nabis,235.17,"Designed to maximise showering space, the Nabis Garland 1700mm-L shaped right hand shower bath has a modern, spacious design. Compatible with a range of shower screens, this modern bath is supplied free of tap holes,eaving you to choose the perfect tap and shower set-up for your needs.",Bathrooms and Kitchens/Baths and Bath Panels/Shower Baths/Shower Baths.csv -> Nabis Garland shower bath right hand L-shape 1700x850x700mm white,,Bath;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/17/A03217_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_GarlandSingleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Baths-Screens_Matrix_21Feb2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Shaped_Bath_Panel_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PA03224,Nabis Campbell shower bath right hand J-shape 1700x750mm white,Nabis,223.93,"The understated Nabis Campbell 1700mm acrylic J-shaped right hand bath is designed for modern bathrooms where space is at a premium. With a single comfortable back rest end, this bath is supplied without tap holes allowing you to select and install your preferred tap set-up, whether deck or wall-mounted, mixer or separates.",Bathrooms and Kitchens/Baths and Bath Panels/Shower Baths/Shower Baths.csv -> Nabis Campbell shower bath right hand J-shape 1700x750mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/24/NW-A03223_A03224_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_CampbellSinglEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Baths-Screens_Matrix_21Feb2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Shaped_Bath_Panel_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PA03209,Nabis Taylor shower bath left hand P-shape 1700x850x750mm white,Nabis,222.54,"Designed to maximise space, the Nabis Taylor 1700mm P-shapedeft hand shower bath provides you with all the elbow room you need for a comfortable shower. Suitable for bathrooms of almost any size, this modern bath is supplied free of tap holes,eaving you to choose the perfect tap and shower set up for your needs.",Bathrooms and Kitchens/Baths and Bath Panels/Shower Baths/Shower Baths.csv -> Nabis Taylor shower bath left hand P-shape 1700x850x750mm white,,Bath;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/10/NW-A03209_A03210_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_TaylorPShapeBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Baths-Screens_Matrix_21Feb2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_TaylorPShapeBathPanel_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_TaylorPShapeBath_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PA03223,Nabis Campbell shower bath left hand J-shape 1700x750mm white,Nabis,223.93,"The understated Nabis Campbell 1700mm acrylic J-shapedeft hand bath is designed for modern bathrooms where space is at a premium. With a single comfortable back rest end, this bath is supplied without tap holes allowing you to select and install your preferred tap set-up, whether deck or wall-mounted, mixer or separates.",Bathrooms and Kitchens/Baths and Bath Panels/Shower Baths/Shower Baths.csv -> Nabis Campbell shower bath left hand J-shape 1700x750mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/24/NW-A03223_A03224_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_CampbellSinglEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Baths-Screens_Matrix_21Feb2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Shaped_Bath_Panel_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PD09702,"Armitage Shanks Sandringham 21 steel bath 170 x 70cm, grips and anti-slip",Armitage Shanks,354.47,"A simple rectangular design that will blend easily into any domestic or commercial bathroom, the Armitage Shanks Sandringham 21 1700 x 700mm steel bath is designed with a non-slip base and grips for safe use by the whole family. Robustly built, this high quality bath is an economical choice for a bathroom refit.","Bathrooms and Kitchens/Baths and Bath Panels/Shower Baths/Shower Baths.csv -> Armitage Shanks Sandringham 21 steel bath 170 x 70cm, grips and anti-slip",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/02/D09702_wm.jpg,,,,,,White,2 years,N,700,Yes,Yes,Yes,Yes,Porcelain Enamelled Steel,2,Rectangular,No,S183901,N,130 l,Suitable for domestic or commercial use,Slip resistant base,With grips,With 2x tap holes,130L capacity,Porcelain enamelled steel construction,White finish,2 year warranty,,,,,,,
