,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Pack Quantity,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Pack Type,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15
0,P609935,Center CB complete magnetic scale reducer 15mm,Center CB,16.75,"Creating a magnetic field, this Center CB 15mm magnetic scale inhibitor encourages hard scale particles to coalesce into needle-shaped crystals for easy flushing from your water system. Designed for installation on cold water lines, this inhibitor prevents new formation of limescale while also helping to soften existing scale that has previously formed around taps, sinks and showers via regular contact with treated water. In the months after installation you'll notice a gradual increase in hot water efficiency.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Center CB complete magnetic scale reducer 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/35/NW-609935_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/15/mm/Center_Magnetic_Scale_Inhibitor_15mm.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_609935-609938_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_609935-609936_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
1,P122257,Vaillant filter boiler protection kit 22mm (1),Vaillant,160.28,"Incorporating unique magnetic field booster technology, this Vaillant 22mm filter kit offers fast, optimised dirt separation. Removing the very smallest magnetite particles, this filter restores system efficiency while protecting against potentially expensive damage to components. The smart design of this filter allows collected dirt to be removed quickly and without difficulty.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Vaillant filter boiler protection kit 22mm (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/58/NW-122257_122258_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Boiler_Protec_kit_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P605689,Adey Electroscale2 22Mm Compress Fit (1),Adey,73.5,"Suitable for use in areas where water hardness is over 200ppm, the Adey ElectroScale 2 compression fit scale reducer could help installers to meet Part L of Building Regs. Fitted with 22mm connections, this scale reducer reduces the issue of limescale, protecting appliances including kettles and irons, as well as boilers, to preserve efficiency and minimise the risk of damage.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Adey Electroscale2 22Mm Compress Fit (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/89/605689_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_Electroscale_2_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P171320,Cistermiser Combimate Scale reducer 15mm (1),Cistermiser,150.3,Combimate is a user-friendly domestic limescale prevention device that uses Combiphos. Combiphos is a polyphosphate compound that is 100% food grade material approved by FAO/WHO and compliant with the European normative standard (BS) EN 1208 that prevents scale build-up and soft water corrosion in combination boilers and other domestic hot water appliances.,Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Cistermiser Combimate Scale reducer 15mm (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/20/NW-171320_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Cistermiser_Combimate_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P171325,Cistermiser CombiPhos refill pack 800gm,Cistermiser,21.82,"Designed for the Combimate limescale prevention device, this Cistermiser Combiphos refill pack is made from 100% food grade material. Containing 800g of Combiphos, this pack provides enough for a full refill of an entire Combimate unit, and is supplied with an O-ring seal, which should be changed every time Combiphos is replaced. Note that the Combimate dome contains a removable divider tray on which you can select the amount of Combiphos that the particular Combimate you're working with is able to contain.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Cistermiser CombiPhos refill pack 800gm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/25/NW-171325_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Cistermiser_Combiphos_Refill_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Cistermiser_Easyflush_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
5,P609937,Center CB complete electrolytic scale reducer 15mm,Center CB,19.99,"Safely releasing small quantities of zinc, this Center CB 15mm electrolytic scale inhibitor encourages hard scale particles to coalesce into needle-shaped crystals for easy flushing from your water system. Designed for installation on cold water lines, this inhibitor prevents new formation of limescale while also helping to soften existing scale that has previously formed around taps, sinks and showers via regular contact with treated water. In the months after installation you'll notice a gradual increase in heating efficiency.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Center CB complete electrolytic scale reducer 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/37/NW-609937_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/15/mm/Center_Magnetic_Scale_Inhibitor_15mm.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_609937_609938_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_609935-609938_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
6,P609938,Center CB complete electrolytic scale reducer 22mm,Center CB,31.27,"Safely releasing small quantities of zinc, this Center CB 22mm electrolytic scale inhibitor encourages hard scale particles to coalesce into needle-shaped crystals for easy flushing from your water system. Designed for installation on cold water lines, this inhibitor prevents new formation of limescale while also helping to soften existing scale that has previously formed around taps, sinks and showers via regular contact with treated water. In the months after installation you'll notice a gradual increase in heating efficiency.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Center CB complete electrolytic scale reducer 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/38/NW-609938_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/15/mm/Center_Magnetic_Scale_Inhibitor_15mm.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_609937_609938_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_609935-609938_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/609935-8_WRAS Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,
7,P609298,Adey MagnaScale scale reducer 15mm,Adey,24.66,"Recommended for properties with hard water above 200ppm, the Adey MagnaScale 15mm scale reducer protects individual appliances from the damage that can be done by hard water.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Adey MagnaScale scale reducer 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/98/NW-609298_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_Magnascale_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
8,P635637,Grant INHIB03 inhibitor/anti freeze 25L,Grant,110.23,This Grant 25L inhibitor/anti-freeze is formulated for use in Grant's own Aerona heat pumps.,Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Grant INHIB03 inhibitor/anti freeze 25L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/37/635637_wm.jpg,,,,,INHIB03,N,INHIB03,Inhibitor/ Anti-Freeze,N,To be used with alongside our Grant Aerona Heat pumps,25L supply,For heat pump use,,,,,,,,,,,,,,,
9,P292262,Sentinel neutraliser refill,Sentinel,14.79,"Easily extracted, this Sentinel neutraliser can be replaced by a refill bag via the screw-cap access found on top of the unit. This handy feature means that when the neutralisation medium is used up the entire unit won't require replacing.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Sentinel neutraliser refill,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/62/NW-292262_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Scalemaster_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Salamander_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sentinel_SalamanderCondensafe_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,
