,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Pack Quantity,Range,Weight,Phase,Refrigerant Suitability,Hazardous,Depth (mm),Fuse Size (A),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 7
0,P689467,Daikin Sky Air Alpha RZAG35A R32 Outdoor Air Conditioning System 3.5KW,Daikin,1015.98,"Using eco-friendly R-32 refrigerant, the Daikin Sky Air Alpha RZAG-A 3.5kW outdoor air conditioning unit ensures lower energy consumption and a lower refrigerant charge for A+ energy efficiency in cooling and A in heating.",Air Conditioning/Daikin R32 Outdoor Units/Daikin R32 Outdoor Units.csv -> Daikin Sky Air Alpha RZAG35A R32 Outdoor Air Conditioning System 3.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/69/NW-689467_689469_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZAG-A_ECO_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZAG-A_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_RZAG-A_Reference_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_RZAG-A_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZAG-A_RoHS_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Daikin_RZAG-A_Databook.pdf,,,,,,,,,,,,,,,,,,,
1,P619415,Daikin Sky Air Advance RZASG125MV1 R32 Outdoor Split Unit 1Phase 12.5KW,Daikin,1677.08,"Compatible with efficient R-32 refrigerant, the Daikin Sky Air Advance RZASG-MV1 12.1kW ceiling suspended unit can be installed in buildings without suspended ceilings and is ideal for high ceiling rooms. Employing a five step fan speed and auto-swing mode, selected via a wired remote control, this unit improves comfort levels in a room with the option to lock-in settings to prevent over-heating or cooling. Ceiling suspended units and RXM R-32 condensers are cost-effective replacements for older air conditioning equipment, using existing R-22, R-407C or R-410a piping systems where available.",Air Conditioning/Daikin R32 Outdoor Units/Daikin R32 Outdoor Units.csv -> Daikin Sky Air Advance RZASG125MV1 R32 Outdoor Split Unit 1Phase 12.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/15/NW-619415_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin _RZASG_Reference_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZASG-AZAS_RoHS_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_Info_Rqrmt_Ecodesign_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FUA-A_RZASG_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZASG-AZAS_Eco_CE_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin _RZASG_Installation.pdf,,,,,,,,,,,,,,,,,,,
2,P613538,Daikin Emura RXJ25A Emura Outdoor Unit 2.5KW (1),Daikin,736.32,"Guaranteeing operation right down to -20°C, the Daikin Emura 2.5kW wall-mounted outdoor air conditioning unit uses swing-type compressors with a unified vane and roller, meaning fewer moving parts. Offering low vibration and friction, this swing-type air con unit provides better efficiency and improved reliability compared to rotary compressors. With less starting and stopping, the Emura produces more stable temperatures and reduces energy consumption by up to 30%.",Air Conditioning/Daikin R32 Outdoor Units/Daikin R32 Outdoor Units.csv -> Daikin Emura RXJ25A Emura Outdoor Unit 2.5KW (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/39/NW-613537_613539_wm.jpg,,,,,,,1,Emura,33 kg,1 Phase,R-32,N,350,13,9.5 mm,6.35 mm,RXJ25A,Outdoor Unit,N,2kW power,Seasonal efficiency values up to A+++ in cooling and heating,"Choosing for an R-32 product, reduces the environmental impact with 68PCT compared to R-410A","Suitable for all climates, even withstanding severe winter conditions with operation range down to -20°C",Inverter compressors continuously adjust compressor speed to actual demand,
3,P689468,Daikin Sky Air Alpha RZAG50A R32 Outdoor Air Conditioning System 5.0KW,Daikin,1239.89,"Using eco-friendly R-32 refrigerant, the Daikin Sky Air Alpha RZAG-A 5kW outdoor air conditioning unit ensures lower energy consumption and a lower refrigerant charge for A+ energy efficiency in cooling and A in heating.",Air Conditioning/Daikin R32 Outdoor Units/Daikin R32 Outdoor Units.csv -> Daikin Sky Air Alpha RZAG50A R32 Outdoor Air Conditioning System 5.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/69/NW-689467_689469_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZAG-A_ECO_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZAG-A_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_RZAG-A_Reference_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_RZAG-A_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZAG-A_RoHS_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Daikin_RZAG-A_Databook.pdf,,,,,,,,,,,,,,,,,,,
4,P619426,Daikin Sky Air Active AZAS140MY1 R32 Outdoor Split Unit 3Phase 14KW,Daikin,1773.0,"Suitable for use with eco-friendly R-32 refrigerant, the Daikin Sky Air Active AZAS-MV1 three phase 15.5kW outdoor air conditioning unit is a round-flow cassette air conditioner with a compact, low profile design (204mm) for discreet, simple installation into a plastered ceiling. Round-flow indoor units are extremely quiet in operation and highly efficient, with sound levels as low as 28dB and energy labels of A+ for cooling and A for heating.",Air Conditioning/Daikin R32 Outdoor Units/Daikin R32 Outdoor Units.csv -> Daikin Sky Air Active AZAS140MY1 R32 Outdoor Split Unit 3Phase 14KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/26/NW-619426_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin _AZAS-MV1_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZASG-AZAS_RoHS_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_Info_Rqrmt_Ecodesign_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin _AZAS-MV1_Reference_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Daikin_AZAS-M_Databook.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZASG-AZAS_Eco_CE_Declaration.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_AZAS-M_Technical.pdf
5,P619417,Daikin Sky Air Advance RZASG100MY1 R32 Outdoor Split Unit 3Phase 10KW,Daikin,1577.96,"Compatible with efficient R-32 refrigerant, the Daikin Sky Air Advance RZASG-MY1 three phase 9.5kW ceiling suspended unit can be installed in buildings without suspended ceilings and is ideal for high ceiling rooms. Employing a five step fan speed and auto-swing mode, selected via a wired remote control, this unit improves comfort levels in a room with the option to lock-in settings to prevent over-heating or cooling. Ceiling suspended units and RXM R-32 condensers are cost-effective replacements for older air conditioning equipment, using existing R-22, R-407C or R-410a piping systems where available.",Air Conditioning/Daikin R32 Outdoor Units/Daikin R32 Outdoor Units.csv -> Daikin Sky Air Advance RZASG100MY1 R32 Outdoor Split Unit 3Phase 10KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/17/NW-619417_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin _RZASG_Reference_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZASG-AZAS_RoHS_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_Info_Rqrmt_Ecodesign_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZASG-AZAS_Eco_CE_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FUA-A_RZASG_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin _RZASG_Installation.pdf,,,,,,,,,,,,,,,,,,,
6,P689469,Daikin Sky Air Alpha RZAG60A R32 Outdoor Air Conditioning System 6.0KW,Daikin,1358.48,"Using eco-friendly R-32 refrigerant, the Daikin Sky Air Alpha RZAG-A 6kW outdoor air conditioning unit ensures lower energy consumption and a lower refrigerant charge for A+ energy efficiency in cooling and A in heating.",Air Conditioning/Daikin R32 Outdoor Units/Daikin R32 Outdoor Units.csv -> Daikin Sky Air Alpha RZAG60A R32 Outdoor Air Conditioning System 6.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/69/NW-689467_689469_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZAG-A_ECO_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZAG-A_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_RZAG-A_Reference_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_RZAG-A_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZAG-A_RoHS_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Daikin_RZAG-A_Databook.pdf,,,,,,,,,,,,,,,,,,,
7,P697595,Daikin Sky Air Alpha RZAG100NY1 R32 Three Phase Climate Control System 10.0KW,Daikin,2132.85,"The single fan, reduced height Daikin Sky Air Alpha RZAG-NV1 three phase 10.8kW outdoor split unit for R-32 refrigerant is the most compact unit in its category and offers maximised efficiency, with energy labels of A++ in cooling and heating. Suitable for high sensitivity applications for cooling infrastructure, with guaranteed operation in both heating and cooling mode down to -20°C, this unit combines efficiency and comfort using variable refrigerant temperature for seasonal efficiency most of the year and quick reactions during hot summers.",Air Conditioning/Daikin R32 Outdoor Units/Daikin R32 Outdoor Units.csv -> Daikin Sky Air Alpha RZAG100NY1 R32 Three Phase Climate Control System 10.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/95/NW-697590_697595_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FCAHG-H_RZAG-N_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_Sky_Air_Alpha_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZAG-N_RoHS_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZAG-N_ECO_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Daikin_SkyAirAlpha_4P573381-1_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Sky_Air_Alpha_Brochure.pdf,,,,,,,,,,,,,,,,,,,
8,P619413,Daikin Sky Air Advance RZASG71MV1 R32 Outdoor Split Unit 1Phase 7.1KW,Daikin,1106.25,"Compatible with efficient R-32 refrigerant, the Daikin Sky Air Advance RZASG-MV1 6.8kW ceiling suspended unit can be installed in buildings without suspended ceilings and is ideal for high ceiling rooms. Employing a five step fan speed and auto-swing mode, selected via a wired remote control, this unit improves comfort levels in a room with the option to lock-in settings to prevent over-heating or cooling. Ceiling suspended units and RXM R-32 condensers are cost-effective replacements for older air conditioning equipment, using existing R-22, R-407C or R-410a piping systems where available.",Air Conditioning/Daikin R32 Outdoor Units/Daikin R32 Outdoor Units.csv -> Daikin Sky Air Advance RZASG71MV1 R32 Outdoor Split Unit 1Phase 7.1KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/13/NW-619413_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin _RZASG_Reference_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZASG-AZAS_RoHS_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_Info_Rqrmt_Ecodesign_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin _RZASG_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FUA-A_RZASG_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZASG-AZAS_Eco_CE_Declaration.pdf,,,,,,,,,,,,,,,,,,,
9,P619418,Daikin Sky Air Advance RZASG125MY1 R32 Outdoor Split Unit 3Phase 12.5KW,Daikin,1729.29,"Compatible with efficient R-32 refrigerant, the Daikin Sky Air Advance RZASG-MY1 three phase 12.1kW ceiling suspended unit can be installed in buildings without suspended ceilings and is ideal for high ceiling rooms. Employing a five step fan speed and auto-swing mode, selected via a wired remote control, this unit improves comfort levels in a room with the option to lock-in settings to prevent over-heating or cooling. Ceiling suspended units and RXM R-32 condensers are cost-effective replacements for older air conditioning equipment, using existing R-22, R-407C or R-410a piping systems where available.",Air Conditioning/Daikin R32 Outdoor Units/Daikin R32 Outdoor Units.csv -> Daikin Sky Air Advance RZASG125MY1 R32 Outdoor Split Unit 3Phase 12.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/18/NW-619418_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin _RZASG_Reference_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZASG-AZAS_RoHS_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_Info_Rqrmt_Ecodesign_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FUA-A_RZASG_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin _RZASG_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_RZASG-AZAS_Eco_CE_Declaration.pdf,,,,,,,,,,,,,,,,,,,
