,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Attachment 8
0,P688313,JET Range Vacuum HV68/1 pump oil 1ltr,JET Range,33.28,"Suitable for rotary vane vacuum pumps, JET Range pump oil maximises performance and increases the depth of vacuum. With additives to improve anti-wear performance, oxidation resistance, corrosion protection, pour point (cold starting), air release and anti-foaming tendencies, this oil has good demulsibility properties to aid water separation and therefore increase gas ballast performance.",Air Conditioning/HVAC Chemicals & Cleaners/HVAC Chemicals & Cleaners.csv -> JET Range Vacuum HV68/1 pump oil 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/13/NW-688313_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Jet_Pump_Oil_SDS.pdf,,,,,,,
1,P696508,Pump House Diversitech acid eliminator bottle 110g,Pump House,46.78,"Compatible with all refrigerants and oils, Pump House acid neutraliser chemically neutralises acids that form in air conditioning and refrigeration systems due to refrigerant and refrigeration oil break-down, moisture and compressor burn-out. Simple to use, this neutraliser works fast, circulating quickly and leaving no solids or solid residues, it won't harm system components and can prevent system breakdown.",Air Conditioning/HVAC Chemicals & Cleaners/HVAC Chemicals & Cleaners.csv -> Pump House Diversitech acid eliminator bottle 110g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/08/NW-696508_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_Acid_Eliminator_SDS.pdf,,,,,,,
2,P697809,Advanced Engineering Ice 'n' Clean S010169GB ice machine cleaner 5ltr,Advanced Engineering,68.17,"Clearing away limescale and slime, Advanced Engineering Ice 'n' Clean cleaner is suitable for use with all ice machines.",Air Conditioning/HVAC Chemicals & Cleaners/HVAC Chemicals & Cleaners.csv -> Advanced Engineering Ice 'n' Clean S010169GB ice machine cleaner 5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/09/NW-697809_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_Ice_n_Clean_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_Ice_n_Clean_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tt/er/AE_NSF_Letter.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_Ice_n_Clean_&_One_Shot_Technical.pdf,,,
3,P654335,Advanced Engineering VerteX condenser and evaporator cleaner,Advanced Engineering,68.57,"A full-spectrum cleaner, Advanced Engineering VerteX neutral pH 7 condenser and evaporator cleaner has a unique formulation that allows it to change its own pH balance to better combat a wide range of soiling.",Air Conditioning/HVAC Chemicals & Cleaners/HVAC Chemicals & Cleaners.csv -> Advanced Engineering VerteX condenser and evaporator cleaner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/35/NW-654335_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/654335_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/AE_VerteX_EnviroCoil_EasyClean_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_VerteX_SDS.pdf,,,,
4,P696489,Pump House DiversiTech Pro-Foam+-GB alkaline based condensing coil cleaner,Pump House,65.1,"Suitable for condensers, Pump House DiversiTech Pro-Care alkaline-based concentrated coil cleaner with disinfectant is efficient and effective, killing MRSA, legionella and many other germs while protecting coils for up to six months.",Air Conditioning/HVAC Chemicals & Cleaners/HVAC Chemicals & Cleaners.csv -> Pump House DiversiTech Pro-Foam+-GB alkaline based condensing coil cleaner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/89/696489_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_Pro_Care_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTech_Pro_Care_SDS.pdf,,,,,
5,P696495,Pump House DiversiTech G2G-Foam+ pre-mixed alkaline foaming coil cleaner,Pump House,26.89,"Pump House DiversiTech heavy duty foaming outdoor condenser coil cleaner effectively removes soils and dirt and brightens outdoor coils. Reaching embedded dirt fast, DiversiTech cleaner doesn't leave salty deposits on coils.",Air Conditioning/HVAC Chemicals & Cleaners/HVAC Chemicals & Cleaners.csv -> Pump House DiversiTech G2G-Foam+ pre-mixed alkaline foaming coil cleaner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/95/NW-696495_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_G2G_Foam_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,,,,,,
6,P696506,Pump House Case Clean AER-C-600 case and diffuser cleaner 600ml,Pump House,17.73,"Pump House Case Clean cleaner is used to clean cases and fascias, removing marks from most plastics, metals and glass. This cleaner is ideal for use on fan coils, cassette units and boiler cases.",Air Conditioning/HVAC Chemicals & Cleaners/HVAC Chemicals & Cleaners.csv -> Pump House Case Clean AER-C-600 case and diffuser cleaner 600ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/06/NW-696506_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_Case_Clean_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pump_House_696506_Technical.pdf,,,,,,
7,P695498,Pump House DiversiTech SPRO-COOL ice machine cleaner liquid 500ml,Pump House,18.9,"Pump House DiversiTech Pro-Cool no-odour concentrated liquid cleaner for ice machines is nickel and metal-safe. Pro-Cool works fast to remove soiling and minerals, leaving no unpleasant chemical smells behind.",Air Conditioning/HVAC Chemicals & Cleaners/HVAC Chemicals & Cleaners.csv -> Pump House DiversiTech SPRO-COOL ice machine cleaner liquid 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/98/NW-695498_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_Pro_Cool_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTech_Pro_Cool_SDS.pdf,,,,,
8,P696494,Pump House DiversiTech G2G-Care pre-mixed liquid coil cleaner and disinfectant 1ltr,Pump House,29.4,"Suitable for evaporator use, Pump House DiversiTech G2G-Care pre-mixed liquid coil cleaner and disinfectant efficiently and effectively cleans and protects indoor coils. Killing MRSA, legionella and many other germs, this cleaner also eliminates slime and contaminants.",Air Conditioning/HVAC Chemicals & Cleaners/HVAC Chemicals & Cleaners.csv -> Pump House DiversiTech G2G-Care pre-mixed liquid coil cleaner and disinfectant 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/94/NW-696494_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_G2G_Care_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTech_G2G_Care_SDS.pdf,,,,,
9,P696491,Pump House DiversiTech Pro-Green+-GB universal coil cleaner 5ltr,Pump House,102.84,"Suitable for condensers, evaporators and air filters, Pump House DiversiTech Pro-Green concentrated coil cleaner is an environmentally friendly product, employing bio-degradable, earth-friendly components to clean away even stubborn dirt and deposits quickly, restoring the appearance and performance of coils. Pro-Green delivers cleaning performance for both indoor and outdoor coils and is safe for use on all metals and roofing materials.",Air Conditioning/HVAC Chemicals & Cleaners/HVAC Chemicals & Cleaners.csv -> Pump House DiversiTech Pro-Green+-GB universal coil cleaner 5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/91/NW-696491_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTech_Pro_Green_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_ProGreen_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,,,,,
