,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 1,Attachment 2,Range,Battery Life,Power Supply,Application,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 3,Attachment 4,Pack Quantity,Weight
0,PS30073,"Rems Multi-angle mini pressing ring set M(M15,M22, M28, Mini-Z8)",Rems,684.58,"This REMS multi-angle mini pressing ring set includes M15, M22, M28 and Mini-Z8 rings for use with the brand's Mini Press.","Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Rems Multi-angle mini pressing ring set M(M15,M22, M28, Mini-Z8)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/73/S30073_wm.jpg,N,411 x 251 x 70,574618,M-profile,N,Includes 4x pressing rings,For use with REMS Mini Press,,,,,,,,,,,,,,,
1,PM90850,Geberit Mapress pressing collar 54mm,Geberit,680.82,"Made of steel, this Geberit Mapress 54mm pressing collar is suitable for operating pressures up to 25 bar.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Geberit Mapress pressing collar 54mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/50/NW-M90849_M90850_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,
2,PM43343,Geberit Mapress 690.125.00.1 pressing jaw 28mm,Geberit,152.88,"Designed for use with Geberit-compatible Mapress pressing toolss, this Geberit Mapress 28mm press jaw is made of a tough metal with zinc plating.  Highly robust, this jaw is suitable for industrial use. For pressing tools with Geberit compatibility [1]",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Geberit Mapress 690.125.00.1 pressing jaw 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M43343_Primary_Image_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,
3,PT86480,Rothenberger compact twin turbo press jaw M35 x 35mm,Rothenberger,111.95,"This Rothenberger Romax 35mm twin turbo press jaw presses diameters of 12 - 35mm. Its twin cylinder design, keeping the motor and piston in parallel, reduces the tool's total length to just 340mm, while a centralised centre of gravity reduces fatigue during use.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Rothenberger compact twin turbo press jaw M35 x 35mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/80/NW-T86479_T86480_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,
4,PM90846,Geberit Mapress adaptor jaw,Geberit,264.93,"Made of steel, this Geberit Mapress adapter jaw offers ease of cleaning and maintenance.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Geberit Mapress adaptor jaw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/46/NW-M90846_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,
5,P830325,Regin vessel jet - digital,Regin,110.6,"German designed, this Regin vessel jet is a professional hand held air compressor, easier to use than a hand or foot pump, particularly in restricted spaces. Portable, versatile and durable, this vessel jet is ideal for inflating on the go.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Regin vessel jet - digital,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/25/NW-830325_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Regin_REGK01_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,
6,PT02644,Rothenberger dry diamond core drill bit 65 x 150mm,Rothenberger,39.27,"This Rothenberger 65 x 150mm dry diamond core drill bit is compatible with both standard and rotary SDS electric drills. It is manufactured with a 1/2"" BSP female thread and has a diamond segment measuring 7mm.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Rothenberger dry diamond core drill bit 65 x 150mm,,1x Core Drill,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/44/T02644_wm.jpg,N,,89005R,Dry Diamond Core Drill Bit,N,,,,,,,,,,,,,,,,,
7,PT86486,Rothenberger Compact III M15-22-28 CAS 2AH Press Jaw Set,Rothenberger,1278.96,"Supplied with a variety of pressing jaws, the Romax Compact III is an electro-hydraulic radial press machine suitable for system-compliant pressing of metal and plastic fittings. Suitable for use in challenging positions, this comfortable, easy to operate press uses a piston force of 19kN and has a press cycle of 3 seconds. Meanwhile, Constant Force Technology (CFT) ensures pressing force over the complete pressing cycle. The Compact III is app-compatible, allowing users to collect real-time data of machine parameters and create press protocols on-site for easier ongoing working.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Rothenberger Compact III M15-22-28 CAS 2AH Press Jaw Set,,"M15, M22 and M28 M-profile jaws;2.0Ah battery;battery charger;carry case",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/86/T86486_wm.jpg,N,,1000004332,Pressing Jaw,N,For industrial use,Real-time pressing data available through Rothenberger app,,,Compact III,240 Presses per charge,18v,Industrial,Offers 3 second pressing via effective pressure build-up,Presses fittings up to Ø 35mm in metal and Ø 40mm in plastic,Perfectly balanced center of gravity for comfortable work,Just 2.5kg weight distributed over 340mm length,Offers 240 presses per charge,,,,
8,PV33198,Milwaukee M12 hydraulic presstool Mset,Milwaukee,1428.7,"Compact and light, weighing just 1.8kg, the Milwaukee M12 sub compact force logic hydraulic press tool combines powerful results with user comfort. Offering seamless battery-to-tool communication, which prevents incomplete pressing using a pre-press battery check, this smart tool minimises wasted time and frustration while ensuring long-term reliability, providing a proven 40,000+ cycles between calibration inspections. This tool is fitted with a RedLithium battery pack for fade-free performance for longer runtime and an improved tool lifespan.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Milwaukee M12 hydraulic presstool Mset,,Press tool;2x M12 B2 battery packs;C12 C charger;Kit box,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/98/NW-V33198_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Milwaukee_M12_HPT_202C_M_Set_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/V33198_Technical.pdf,,,,,,,,,,,,,
9,PM43266,Geberit pressing tool,Geberit,1903.21,This Geberit pressing tool is suitable for use in sanitary and piping applications.,Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Geberit pressing tool,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/66/NW-M43266_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,
