,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Voltage (V),Warranty,Weight,Hazardous,Sound Power Level (Indoors),Output,Depth (mm),Mounting Type,Compressor Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 1,Attachment 2,Attachment 3,Feature 9,Feature 10,Feature 11,Feature 12,Attachment 4,Attachment 5,Attachment 6,Refrigerant Suitability
0,P115374,Ideal Heating Logic Air AH750666 Logic Air Monobloc Heat Pump 8kW,Ideal Heating,3321.47,"Offering high levels of efficiency in heating and hot water, the Ideal Heating Logic Air AH750666 8kW monobloc heat pump delivers reliable low carbon heating to your home. Designed with weather compensation for improved cost savings and comfort, this heat pump delivers ease of use and green technology for a reduced carbon footprint with minimal effort.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Ideal Heating Logic Air AH750666 Logic Air Monobloc Heat Pump 8kW,,Heat Pump,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/74/115374_wm.jpg,Logic Air,230,2 years,120kg,N,55,8 kW,558,Floor Standing,Twin-Rotary,AH750666,Air to Water Heat Pump,N,For floor standing installation,Twin rotary compressor,Operates quietly,Intuitive control for ease of use,Smart weather compensation,Uses low carbon refrigerant with zero ozone depletion and low Global Warming Potential (GWP),2 year warranty,,,,,,,,,,,,
1,P131044,Samsung AE050RXYDEG/EU 1 phase mono air source heat pump 5 - 4.35kW R32,Samsung,1564.22,"Extremely energy efficient, the Samsung AE050RXYDEG/EU single phase mono air source heat pump uses the heat from the air to supply both heating and hot water. Transferring ambient air into a property via a hydronic system like underfloor heating, this heat pump helps to improve efficiency, requiring less power input than a conventional boiler while also offering a higher output. Bolted to anti-vibration feet, the AE050RXYDEG/EU operates quietly to minimise disruption.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Samsung AE050RXYDEG/EU 1 phase mono air source heat pump 5 - 4.35kW R32,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/44/131044_wm.jpg,,220 - 240,7 Year,58.5 kg,N,45 dB(A),5 kW,310,Bolted to Anti-Vibrate Feet,BLDC Twin Rotary,HHSMG6000051,Air to Water Heat Pump,N,"SCOP of 4.85, best on the MCS database",Offers 65°C hot water,45dB(A) sound level for disruption-free operation,Offers outputs of 5kW,Low GWP for more efficient use,Compatible with R32 refrigerant,With anti-vibration feet,7 year warranty,,,,,,,,,,,
2,P115373,Ideal Heating Logic Air AH750665 Logic Air Monobloc Heat Pump 5kW,Ideal Heating,2977.25,"Offering high levels of efficiency in heating and hot water, the Ideal Heating Logic Air AH750665 5kW monobloc heat pump delivers reliable low carbon heating to your home. Designed with weather compensation for improved cost savings and comfort, this heat pump delivers ease of use and green technology for a reduced carbon footprint with minimal effort.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Ideal Heating Logic Air AH750665 Logic Air Monobloc Heat Pump 5kW,,Heat Pump,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/73/115373_wm.jpg,Logic Air,230,2 years,86 kg,N,52,5 kW,558,Floor Standing,Twin-Rotary,AH750665,Air to Water Heat Pump,N,For floor standing installation,Twin rotary compressor,Operates quietly,Intuitive control for ease of use,Smart weather compensation,Uses low carbon refrigerant with zero ozone depletion and low Global Warming Potential (GWP),2 year warranty,,,,,,,,,,,,
3,P119664,Vaillant aroTHERM plus VWL 105 / 6 air source heat pump 10kW,Vaillant,5323.55,"An outdoor solution with monobloc technology, the Vaillant aroTHERM Plus 10kW air-to-water heat pump offers excellent performance combined with a high level of energy efficiency. Employing natural refrigerant R290, the aroTHERM Plus has an extremely low Global Warming Potential (GWP) of 3. It also operates very quietly, with a 54dB(A) sound level, making it suitable for flexible installation in even the most densely populated housing estates.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Vaillant aroTHERM plus VWL 105 / 6 air source heat pump 10kW,,Air-to-water heat pumpDirt filterSafety valveExpansion vesselFilling loop and pressure gaugeValvesHydraulic and wiring connectionsHeating systemWarranty card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/64/NW-119664_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aroTHERM_plus_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_aroTHERM_plus_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_aroTHERM_plus_VWL_Install.pdf,,,,,,,,
4,P635951,Grant Aerona inverter driver air source heat pump - R32 10kW,Grant,3270.89,"Compatible with eco-friendly R32 refrigerant, the Grant Aerona³ 10kW inverter driver air source heat pump is highly efficient for cleaner running and improved convenience. Compact in design, this pump runs extremely quietly, making it a great choice for home systems. A reliable unit, Aerona³ has a simplified design for ease of installation and maintenance and hassle-free operation.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Grant Aerona inverter driver air source heat pump - R32 10kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/51/635951_wm.jpg,Aerona,230,"2 Years minimum, subject to T&C's",9.9kg,N,60.8 dB(A),13 kW,403,Floor,DC twin rotary - inverter driven,HPID10R32BODY,R32 Air Source Heat Pump,N,Inverter driven,Excellent SCOPs across range,Compact footprint for minimal impact on surroundings,2 year warranty subject to T&Cs,,,,,,,,,,,,,,,
5,P143371,Samsung AE080RXYDEG/EU 1 phase mono air source heat pump 8 - 6.37kW R32,Samsung,1845.22,"Extremely energy efficient, the Samsung AE080RXYDEG/EU single phase mono air source heat pump uses the heat from the air to supply both heating and hot water. Transferring ambient air into a property via a hydronic system like underfloor heating, this heat pump helps to improve efficiency, requiring less power input than a conventional boiler while also offering a higher output. Bolted to anti-vibration feet, the AE080RXYDEG/EU operates quietly to minimise disruption.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Samsung AE080RXYDEG/EU 1 phase mono air source heat pump 8 - 6.37kW R32,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/72/143370_143372_wm.jpg,,220 - 240,7 Year,76 kg,N,48 dB(A),8 kW,330,Bolted to Anti-Vibrate Feet,BLDC Twin Rotary,HHSM-G600008-1,Air to Air Heat Pump,N,"SCOP of 4.85, best on the MCS database",Offers 65°C hot water,45dB(A) sound level for disruption-free operation,Offers outputs of 5kW,Low GWP for more efficient use,Compatible with R32 refrigerant,With anti-vibration feet,7 year warranty,,,,,,,,,,,
6,P605851,Mitsubishi Ecodan PUZ monobloc ASHP unit 5kW,Mitsubishi,1907.18,"A highly flexible solution, the Mitsubishi Ecodan PUZ 5kW air source heat pump unit is suitable for installation in any property type, from smaller dwellings to large size commercial spaces. An efficient alternative to traditionally high carbon heating systems, this ASHP makes use of reliable renewable technology for sustainable space heating and hot water with no need for flues, gas or ventilation.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Mitsubishi Ecodan PUZ monobloc ASHP unit 5kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/51/605851_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Mitsi_Heating_Catalogue_2021.pdf,,,,,,,,,,
7,P694131,Daikin Altherma EDLA08EV3 Low Temperature Small Monobloc - Heating Only 8KW,Daikin,3859.47,"Suitable for heating only use, the Daikin Altherma 8kW low temperature air-to-water monobloc has a compact, single package design that is ideal for installation in properties where indoor space is limited. In addition to supplying heat, the Altherma can be adapted to provide domestic hot water.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Daikin Altherma EDLA08EV3 Low Temperature Small Monobloc - Heating Only 8KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/31/694131_wm.jpg,Altherma,230 +/-10%,,88.0,N,62.0,8 kW,362,Floor,Hermetically sealed swing compressor,EDLA08EV3,Low Temperature Small Monobloc,N,Monobloc all-in-one concept including hydraulic parts,WLAN cartridge included,Can be combined with domestic hot water,Energy efficient,Heat only based on air-to-water heat pump technology,Separate back-up heater kit,,,,,,,,,,,,,
8,P610189,Mitsubishi Ecodan PUZ monobloc unit 6kw,Mitsubishi,2459.9,"Suitable for matching with pre-plumbed cylinders, if desired, the advanced and reliable Mitsubishi Ecodan PUZ 6kW monobloc unit helps engineers to create an efficient alternative to traditional carbon-based heating systems.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Mitsubishi Ecodan PUZ monobloc unit 6kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/90/610189_610190_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Mitsi_Heating_Catalogue_2021.pdf,,,,,,,,,,
9,P490731,Bosch Compress 2000 AWF 8kW Heat Pump Full Monoblock,Bosch,3498.0,"An all-in-one unit for ease of installation, the Bosch Compress 2000 AWF 8kW monobloc heat pump incorporates a circulation pump, expansion vessel and PHE. This reversible single phase pump is intended for outdoor installation with touchscreen controls installed inside for easy operation while maximising space.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Bosch Compress 2000 AWF 8kW Heat Pump Full Monoblock,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/31/490731_wm.jpg,,230,2 years,105kg,N,59dB(A),7 kW,445,Floor or Wall,Rotary,7738602279,Air to Water Heat Pump,N,Low installation footprint,"Circulation pump, expansion vessel and PHE are integrated",Indoor unit not required,"Easy, quick installation",Installers so not need to know how to handle refrigerants,Intuitive touchscreen interface,Interface is detached fom ODU and installed indoors,Suitable for cascading up to 6 units,,,,"3 sound modes available, standard, silent and super silent",Range of accessories available,2 year warranty,,,,,
