,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Diameter,Range,Weight,Hazardous,Approvals,Gender,Material,Size,Wall Thickness (mm),Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Length (M),Pack Quantity,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 5,Attachment 6,Attachment 7
0,P113302,Glow-worm PP extension pipe 1mtr DN60/101,Glow-worm,60.9,"Designed to extend a flue by up to 1M, this Glow-worm DN60/101 extension pipe, made of white polypropylene (PP), offers compatibility with high efficiency condensing boilers.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Glow-worm PP extension pipe 1mtr DN60/101",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/02/NW-113301_113302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_Worm_Energy_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PP13424,Georg Fischer PROGEF PP (NP10) pipe 5mtr x 25mm (Per Metre),Georg Fischer,2.96,"Suitable for a wide range of uses, this Georg Fischer PROGEF 25mm pipe is made of 2.3mm polypropylene homopolymer (PP-H). Highly reliable, this durable pipe is supplied in 5M lengths.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer PROGEF PP (NP10) pipe 5mtr x 25mm (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/25/NW-P13423_P13425_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Georg_Fischer_PROGEF_Pipe_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PP12015,Durapipe HTA CPVC pipe (PN16) 3mtr x 32mm,Durapipe,8.68,"Quick and easy to install, this Durapipe HTA 32mm pipe, is made of chlorinated polyvinyl chloride (PVC-C), a suitable choice for domestic hot and cold water services. A cost-effective copper alternative, this high quality 2.4mm thick pipe, supplied in a 3M length, is resistant to limescale and corrosion, ensuring an always smooth bore and optimised flow.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe HTA CPVC pipe (PN16) 3mtr x 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/20/NW-P12015_P12020_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_HTA_Girpi_Cleaner_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_HTA_Rerfix_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Durapipe_HTA_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Durapipe-HTA_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PP96158,"TP RV0.QRL upvc stub serrated 3""",TP,20.48,"This TP 3"" serrated flange adapter is made of PVC-U. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> TP RV0.QRL upvc stub serrated 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/60/NW-P96158_P96160_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PP55429,"Durapipe PRE class E pipe 1.1/4"" 6mtr",Durapipe,6.74,"This Durapipe 1 1/4"" pipe, supplied in a 6M length is made of lightweight unplasticised polyvinyl chloride (PVC-U), ideal for use in pressurised irrigation systems and drinking water, in chemical installations and for water treatment.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe PRE class E pipe 1.1/4"" 6mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/29/NW-P55429_wm.jpg,,,,,Iron Grey,1.1/4,AVF UPVC,1.39842,N,WRAS,male,Unplasticized Polyvinyl Chloride (PVC-U),1.1/4,27,Solvent Weld,Solvent Weld,RPRE0400,Upvc Pipe,N,Priced per metre,Good chemical resistance,No hot works permit required,Lightweight design,50 year design life,WRAS regulation 31 approved,,,,,,,,,,
5,PP31030,M OF GF ABS CL T PIPE 169018106 6M   1/2,Georg Fischer,18.92,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class T 1/2"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF GF ABS CL T PIPE 169018106 6M   1/2",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,,,,,Grey,1/2,,,N,"WRAS, DWI",male,ABS,1/2 in,3.6,Spigot,Spigot,169018106,,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,6,Per Metre,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,
6,PP31011,M OF GF ABS CL C PIPE 169018040 6M     6,Georg Fischer,279.81,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class C 6"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF GF ABS CL C PIPE 169018040 6M     6",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,,,,,Grey,6,,,N,"WRAS, DWI",male,ABS,6 in,9.9,Spigot,Spigot,169018042,,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,6,Per Metre,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,
7,PP56429,"Durapipe SuperFlo ABS PRE class E pipe 1.1/4"" x 6mtr (Per Metre)",Durapipe,16.53,"Supplied in a 6M length, this Durapipe SuperFlo grey 1 1/4"" pipe is manufactured in an ABS Class E material. Installed using plain end x press-fit connections, this lightweight yet durable pipe requires no hot works during fitting.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe SuperFlo ABS PRE class E pipe 1.1/4"" x 6mtr (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/29/NW-P56429_wm.jpg,,,,,Grey,1.1/4,SuperFLO,1.39842,N,WRAS,,ABS,1.1/4,2.4,Press fit,Plain End,SPAE040A,,N,Ductile at low temperatures,No hot works permit required,Lightweight design,50 year design life,WRAS approved,,,Per Metre,,,,,,,,
8,PP31035,M OF GF ABS CL T PIPE 169018111B 6M    2,Georg Fischer,74.01,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class T 2"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF GF ABS CL T PIPE 169018111B 6M    2",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,,,,,Grey,2,,,N,"WRAS, DWI",male,ABS,2 in,7.2,Spigot,Spigot,169018111,,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,6,Per Metre,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,
9,PP31033,M OF GF ABS CL T PIPE 169018109 6M 1.1/4,Georg Fischer,53.66,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class T 1 1/4"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF GF ABS CL T PIPE 169018109 6M 1.1/4",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,,,,,Grey,1.1/4,,,N,"WRAS, DWI",male,ABS,1 1/4 in,5.3,Spigot,Spigot,169018109,,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,6,Per Metre,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,
