,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Weight,Phase,Refrigerant Suitability,Hazardous,Depth (mm),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Range,UK Total Cooling,Nominal Heating (kW),Max Sound Pressure,UK Sensible Cooling,Nominal Cooling (kW),Max Airflow (m/min),Min Air Flow (m/min),Min Sound Pressure,Fuse Size (A),Feature 5,Feature 6,Warranty,Attachment 1,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 2,Attachment 3
0,P610081,Fujitsu ASEG24KMTE 7KW Standard Wall Indoor,Fujitsu,556.58,"Suitable for large living rooms, bedrooms or offices, the Fujitsu Eco 7kW wall-mounted indoor air conditioning unit provides the features you'll need for convenient whole-room comfort. A slimline design that fits effortlessly into any space, this smart air con unit is Wi-Fi connected ready for smartphone control, giving you easy access from anywhere in the building. The Eco lives up to its name too, using heat pump inverter technology to reduce energy consumption and improve overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASEG24KMTE 7KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/81/610081_wm.jpg,12.5,1,R-32,N,240,1/2,1/4,ASEG24KMTE,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,,,,,,
1,P610086,Fujitsu ASEH12KLTA 3.6KW Eco Wall Indoor,Fujitsu,158.67,"Suitable for large living rooms, bedrooms or offices, the Fujitsu Eco 3.6kW wall-mounted indoor air conditioning unit provides the features you'll need for convenient whole-room comfort. A slimline design that fits effortlessly into any space, this smart air con unit is Wi-Fi connected ready for smartphone control, giving you easy access from anywhere in the building. The Eco lives up to its name too, using heat pump inverter technology to reduce energy consumption and improve overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASEH12KLTA 3.6KW Eco Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/86/610086_wm.jpg,7.5,1,R-32,N,218,.3/8,1/4,ASEH12KLTA,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,,,,,,
2,P700066,Fujitsu ASEH09KNCA 2.6KW Eco Plus Wall Mounted Id,Fujitsu,171.59,"Sleekly designed to fit into any space, the Fujitsu Eco+ 2.6kW wall-mounted indoor air conditioning unit has a slimline silhouette to minimise its impact on your interior. Wi-Fi connected, this unit is ready for smartphone control, giving you easy access from anywhere in the building while heat pump inverter technology reduces the Eco+'s energy consumption and improves overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASEH09KNCA 2.6KW Eco Plus Wall Mounted Id,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/66/700066_wm.jpg,9,1,R-32,N,222,.3/8,1/4,ASEH09KNCA,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,,,,,,
3,P650378,Fujitsu VRF AUXK034GLEH 10.0KW Cassette Indoor Unit,Fujitsu,1014.6,"The user-friendly Fujitsu Airstage VRF 10k cassette indoor air conditioning unit is designed for excellent efficiency and reduced noise during operation. Simple to install and requiring minimal maintenance, this unit is compact and attractive, ensuring it suits most interior spaces. With a VRF fan coil and R410A refrigerant compatibility, the Airstage supplies economical and reliable cooling and heating for an always comfortable internal environment.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu VRF AUXK034GLEH 10.0KW Cassette Indoor Unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/78/650378_wm.jpg,29.5,1,R410a,N,840,5/8,3/8,AUXK034GLEH,Full size cassette,N,Single phase,230V 50Hz,Cooling capacity of 10kW,Heating capacity of 11.2kW,VRF,7.4,11.2,39,5.9,10.0,1440,1150,33,5,Air flow rate of 1150 to 1440M³/h,Compatible with R410A refrigerant,,,,,,,,
4,P616569,Fujitsu VRF ARXK014GLGH Indoor Slim Duct 4.5KW,Fujitsu,641.9,"The slimline and compact Fujitsu VRF ARXK014GLGH 4.5kW bulkhead duct low static pressure ducted indoor air conditioning unit is ideal for premises where space is limited or where a larger size unit would negatively affect interior design. Operating quietly to minimise disruption, this AC unit is easy to control for reliable cooling and heating of the whole room.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu VRF ARXK014GLGH Indoor Slim Duct 4.5KW,,Indoor unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/69/616569_wm.jpg,1.6 kg,1,R410a,N,450,1/2 in,1/4 in,ARXK014GLGH,Ducted unit,N,Slimline design,Suitable for tight ceiling spaces,Selectable air intake direction for flexible siting,3 year warranty,VRF,3.30,5.0,34 dB,2.90,4.5,760 M/min,340 M/min,22 dB,5,,,3 Years,,,,,,,
5,P697537,Fujitsu Medium Static Pressure Duct ARXG54KHTAP R32 Medium Indoor Static Duct Unit 14KW,Fujitsu,1076.87,"Ideal for large open plan offices or small shop fronts, the Fujitsu medium static pressure ducted air conditioning unit has a low sound rating down to 21dB for undisruptive use and includes a weekly timer and a 'set temperature auto return' function for reliable, predictable comfort.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Medium Static Pressure Duct ARXG54KHTAP R32 Medium Indoor Static Duct Unit 14KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/37/NW-697532_697537_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,,,,,
6,P700061,Fujitsu ASEG22KMTE 5KW S Wall Indoor Multi,Fujitsu,474.78,"Neatly designed and extremely quiet, the Fujitsu 5kW ASEG-KMTE indoor air conditioning unit minimises its impact on the senses with clever design while also ensuring you feel the climate comfort it's capable of delivering. Suited to any location, from server rooms to living rooms, and from offices to kids' bedrooms, this unit offers a host of helpful features, including air-cleaning filters and automatic operation functions. This air con unit uses heat pump inverter technology for high levels of efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASEG22KMTE 5KW S Wall Indoor Multi,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/61/700061_wm.jpg,12.5,1,R-32,N,240,1/2,1/4,ASEG22KMTE,Split Wall Mount Indoor unit,N,Compatible with outdoor multi-splits only,Quiet operation,Highly efficient,For wall mounting,,,,,,,,,,,Includes air cleaning filters,,,,,,,,,
7,P697513,Fujitsu AUXG22KVLA R32 Compact Cassette Indoor Unit 6.0KW,Fujitsu,432.35,"The smallest unit in the range, the Fujitsu compact cassette air conditioning unit is suitable for rooms up to 25M² and fits neatly into a ceiling grid for convenient space saving. Offering year-round comfort through heating and cooling, this sleekly designed unit with classic fascia panel is supplied with a hardwired controller for easy operation.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AUXG22KVLA R32 Compact Cassette Indoor Unit 6.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/14/NW-697510_697514_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,,,,,,
8,P691494,Fujitsu VRF AUXB018GLEH Compact Cassette Unit 5.6KW,Fujitsu,767.01,"Offering a compact, quiet and highly efficient design, the Fujitsu Airstage VRF AUXB018GLEH 5.6kW compact cassette indoor air conditioning unit is a modern choice for contemporary spaces. Units in this range are attractively designed and have been manufactured for ease of installation and maintenance. Airstage air con units are also effortless to operate, making achieving the interior climate that suits you simple.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu VRF AUXB018GLEH Compact Cassette Unit 5.6KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/94/691494_wm.jpg,26,1,R410a,N,570,1/2,1/4,AUXB018GLEH,VRF Indoor,N,Single phase,Compact design,230V 50Hz,Cooling capacity of 5.6kW,VRF,4.2,6.3,41,3.2,5.6,710,111,27,3,Heating capacity of 6.3kW,Air flow rate of 400 - 710M3/h,,,Suitable for R410A refrigerant,,,,,
9,P675282,Fujitsu AUYG24LVLA R410A Compact Cassette 7.1KW,Fujitsu,672.81,"The Fujitsu indoor cassette air conditioning unit is suitable for both residential and commercial use, in shops, meeting rooms, hotels, gyms and restaurants. With a two stage turbo fan and quiet operation, this unit also includes the IR seven day programmable timer and user-friendly 24 hour control.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AUYG24LVLA R410A Compact Cassette 7.1KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/82/NW-675279_675282_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Fujitsu_Split_Systems_Catalog.pdf,,,,,,
