,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Colour,Diameter,Range,Voltage (V),Warranty,Phase,Hazardous,Depth (mm),Air Volume (m3 per s),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Fuel Type,Output,Fan Speeds,Mounting Type,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Operating Temperature,Top Design,Overheat Protection,Programmable,Controls,IP Rating,BTU h,Attachment 8
0,P655180,Center CB upright fan heater 2kW,Center CB,15.63,"Center CB upright fan heater Incorporates two heat settings and a temperature control dial. It is the perfect, low-cost solution for the heating of small offices, garages or as a temporary solution.",Heating/Warm Air Heating/Warm Air Heating.csv -> Center CB upright fan heater 2kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/80/NW-655180_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/655180_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/655180_Data Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P222115,Myson Hi-Line 15-10 radio control fan convector,Myson,498.64,"The high level wall-mounted Myson Hi-Line 15-10 fan convectors is designed to fit into a space above a door. Providing rapid, reliable heat from above, the Hi-Line connects directly to a central heating system to deliver three optional levels of heat from 8390 to 12,590 BTU/h via easy remote control.",Heating/Warm Air Heating/Warm Air Heating.csv -> Myson Hi-Line 15-10 radio control fan convector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/16/222113_222116_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_HHeater&Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_FanConvector_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_HiLine_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_FanConvector_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_HiLineRC_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_ProductRange_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P222120,Myson Lo-Line RC 14-10 fan convector,Myson,498.64,"Ideal for heating cold conservatories, the MYSON Lo-Line RC 14-10 is a low level, wall-mounted fan convector delivering on-demand high heat outputs without taking up valuable space. Connected up to your central heating and featuring three modes selected via remote control or digital display, the Lo-Line produces 8111 to 11,829 BTU/h heating comfort.",Heating/Warm Air Heating/Warm Air Heating.csv -> Myson Lo-Line RC 14-10 fan convector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/21/222120_222121_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_FanConvector_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_LoLine_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_FanConvector_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_LoLine_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_LoLineRC_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P222116,Myson Hi-Line 20-14 radio control fan convector,Myson,615.47,"The high level wall-mounted Myson Hi-Line 20-14 fan convectors is designed to fit into a space above a door. Providing rapid, reliable heat from above, the Hi-Line connects directly to a central heating system to deliver three optional levels of heat from 11,831 to 16,921 BTU/h via easy remote control.",Heating/Warm Air Heating/Warm Air Heating.csv -> Myson Hi-Line 20-14 radio control fan convector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/16/222113_222116_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_HHeater&Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_FanConvector_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_HiLine_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_FanConvector_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_HiLineRC_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_ProductRange_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P118801,Valor Brazilia F5S natural gas wall heater Oak,Valor,371.27,"Ideal for spaces that are difficult to heat, the 1.5kW Valor Brazilia F5S wall heater can help to improve comfort in chilly conservatories, halls, landings and bathrooms. Designed with a smart beige finish and oak effect side panels, this handy wall heater can be fitted alongside your existing heating system but is also suitable for whole-home heating. Compatible with natural gas, the Brazilia can be converted to LPG with a separately available LPG kit.",Heating/Warm Air Heating/Warm Air Heating.csv -> Valor Brazilia F5S natural gas wall heater Oak,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/01/NW-118801_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Valor_Brochure_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Valor_Brazillia_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P222000,Myson Kickspace 500 hydronic fan convector with grille White,Myson,246.48,"Ideal for homes where room is at a premium, the Myson Kickspace 500 fan convector is a smart solution to heating without wasting precious wall space. Installed neatly under units, making it particularly suitable for kitchens, this clever heater connects to your central heating system to deliver two levels of fan-powered comfort, from 3057 to 3980 BTU/h.",Heating/Warm Air Heating/Warm Air Heating.csv -> Myson Kickspace 500 hydronic fan convector with grille White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/02/222000_222002_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_FanConvector_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_FanConvector_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_KickSpace_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_Kickspace_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Myson_Kickspace_General_Info_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_ProductRange_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P118800,Valor Brazilia F5 natural gas wall heater Beige,Valor,351.38,"A slimline unit designed to suit smaller rooms, the Valor Brazilia F5 1.5kW wall heater in neutral Country Beige is a practical choice for simple home heating. The Brazilia's manual controls are easily accessible on the front of the unit, making choosing between the available low, medium and high heat settings simple.",Heating/Warm Air Heating/Warm Air Heating.csv -> Valor Brazilia F5 natural gas wall heater Beige,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/00/NW-118800_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Valor_Brochure_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Valor_Brazillia_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P204189,Smiths Space Saver SS80 hydronic plinth heater,Smiths,218.03,"Helping you to make the most of valuable wall space, the Smiths Space Saver SS80 0.8 - 1.1kW plinth heater does away with space-wasting kitchen radiators, freeing up room for cupboards or appliances. Fitting into cabinet plinths underneath storage, the Space Saver provides efficient heat at low level. Most commonly used in kitchens and utility rooms, the Space Saver is also ideal for heating in non-domestic spaces such as reception areas and changing rooms or even in libraries.",Heating/Warm Air Heating/Warm Air Heating.csv -> Smiths Space Saver SS80 hydronic plinth heater,,Plinth heater;Stainless steel grille;Pre-wired mains cable;2x fixing screws;One pair of flexible installation hoses,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/89/NW-204189_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Smiths_Space_Saver_Hydronic_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Smiths_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Smiths_Space_Saver_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/SmithsEnvironmental_Isolube_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P222001,Myson Kickspace 600 hydronic fan convector with grille White,Myson,300.62,"Ideal for homes where room is at a premium, the Myson Kickspace 600 fan convector is a smart solution to heating without wasting precious wall space. Installed neatly under units, making it particularly suitable for kitchens, this clever heater connects to your central heating system to deliver two levels of fan-powered comfort, from 4361 to 5545 BTU/h.",Heating/Warm Air Heating/Warm Air Heating.csv -> Myson Kickspace 600 hydronic fan convector with grille White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/02/222000_222002_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_FanConvector_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_FanConvector_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_KickSpace_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_Kickspace_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Myson_Kickspace_General_Info_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_ProductRange_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P222121,Myson Lo-Line RC 19-15 fan convector,Myson,615.47,"Ideal for heating cold conservatories, the MYSON Lo-Line RC 19-15 is a low level, wall-mounted fan convector delivering on-demand high heat outputs without taking up valuable space. Connected up to your central heating and featuring three modes selected via remote control, the Lo-Line produces 12,327 to 15,831 BTU/h heating comfort.",Heating/Warm Air Heating/Warm Air Heating.csv -> Myson Lo-Line RC 19-15 fan convector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/21/222120_222121_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_LoLine_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_FanConvector_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_FanConvector_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_LoLine_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_LoLineRC_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
