,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Weight,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Dimensions (L x W x D),Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 3
0,P418040,Rothenberger Gas & Water Testing 67017R u-gauge rubber hose 2mtr,Rothenberger,4.36,"Used for pressure testing gas installations with a U-gauge and digital manometer, this 2M long Rothenberger 1/4"" bore hose allows for compliance with Gas Safety Regulations.",Trade Essentials/Van and Site Essentials/Van Essentials/Van Essentials.csv -> Rothenberger Gas & Water Testing 67017R u-gauge rubber hose 2mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/40/NW-418040_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,
1,P689167,Advanced Engineering HydroSprayer cleaner applicator,Advanced Engineering,68.3,"Suitable for use indoors and outdoors, this Advanced Engineering HydroSprayer cleaner applicator is designed for use with Advanced coil cleaner concentrates. Easy to clean and fill, the HydroSprayer features an adjustable nozzle, providing just enough pressure to effectively clean without causing damage.",Trade Essentials/Van and Site Essentials/Van Essentials/Van Essentials.csv -> Advanced Engineering HydroSprayer cleaner applicator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/67/NW-689167_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_HydroSprayer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,
2,P689073,Advanced Engineering AC-Pro gas system labels (30),Advanced Engineering,29.57,These Advanced Engineering F-gas system adhesive labels are a simple way to help you and your clients comply with specific aspects of the F-Gas Regulations.,Trade Essentials/Van and Site Essentials/Van Essentials/Van Essentials.csv -> Advanced Engineering AC-Pro gas system labels (30),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/73/NW-689073_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Advanced-Engineering_AC-Pro_Tech.pdf,,,,,,,,,,,,,,,
3,PN68201,Encasement Boiler Casing - 200x400x200 x 495 FSC,Encasement,50.58,An Encasement 200 x 400 x 200 x 495mm (F) boiler casing.,Trade Essentials/Van and Site Essentials/Van Essentials/Van Essentials.csv -> Encasement Boiler Casing - 200x400x200 x 495 FSC,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/01/N68201_wm.jpg,,,300.00000,N,BC200400200495,Boiler Casing,N,Casing is made from 8mm Plywood,White laminate finish.,,,,,,,,
4,P469595,Testo irda printer for flue gas analysers,Testo,236.65,"Helping to make working with a flue gas analyser or similar tool simpler, this Testo IRDA universal printer with infrared interface has a two second data transfer, storing print data before carrying out a requested print job quickly and without keeping your analyser out of action. Saved black on white, readings are stored with a date and time, making it easier to find just what you looking for.",Trade Essentials/Van and Site Essentials/Van Essentials/Van Essentials.csv -> Testo irda printer for flue gas analysers,,4x type AA batteries,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/95/NW-469595_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Testo_0554_0549_Printer_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Testo_0554-0549_Brochure.pdf,,,,,,,,,,,,,,,
5,PN42771,Pendock Boiler Casing Boiler casing self assembly,Pendock,39.61,"Environmentally-friendly and sustainably sourced, these Pendock 500 x 400mm, 8mm thick boiler pipe casings hide the hot, unsightly pipes of wall-mounted boilers. This ensures a neater finish and keeps both engineers and residents safe from scalding.",Trade Essentials/Van and Site Essentials/Van Essentials/Van Essentials.csv -> Pendock Boiler Casing Boiler casing self assembly,,2 No MX 200 x 200 x 500mm & 1 No H joint 500mm,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/71/N42771_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pendock_Brochure.pdf,,,,,,,,,,,,,,,,
6,PH74230,Stadium builders bucket 3 gallon Black,Stadium,1.34,This Stadium BB4 10L capacity pour and scoop bucket offers easy scooping and accurate pouring.,Trade Essentials/Van and Site Essentials/Van Essentials/Van Essentials.csv -> Stadium builders bucket 3 gallon Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/30/NW-H74230_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Flambeau_Stadium_Product_Guide_2018.pdf,,,,,,,,,,,,,,,,
7,P655243,"Arctic Hayes Van Pack contains: 1 x scraper, 1 x deIcer, 1 x screenwash",Arctic Hayes,8.41,"Containing a range of cold weather essentials, this Arctic Hayes WK400 winter pack includes an ice scraper, de-icer and screen wash. Keep this pack in your van or car so you're always prepared for an icy start to the day.","Trade Essentials/Van and Site Essentials/Van Essentials/Van Essentials.csv -> Arctic Hayes Van Pack contains: 1 x scraper, 1 x deIcer, 1 x screenwash",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/_a/655243_A_wm.jpg,,,,N,WK400,Winter Kit,N,Arctic Hayes De-Icer Spray,This rapid action formulation helps prevent freezing to as low as -10°C,295mm x 130mm x 60mm,"It quickly removes frost from all types of glass, helps release frozen locks","With its Non-Smear formulation, leaves no marks on the glass to give increased visibility","Arctic Hayes Screen Wash this concentrated solution is designed to rapidly remove grime, dirt and insects from windscreens, leaving a smear free screen, giving added visibility",When used undiluted (100% screen wash) helps prevent freezing in the vehicle washer bottle as low as -5°C,Arctic Hayes Ice Scraper high quality Ice Scraper with foam grip handle,A must have van or car  essential over the winter period,
8,PT00017,JET Range ochre gloss 2.5ltr,JET Range,24.7,"Fast drying, this Jet hardwearing polyurethane ochre gloss is suitable for use in commercial and industrial environments.",Trade Essentials/Van and Site Essentials/Van Essentials/Van Essentials.csv -> JET Range ochre gloss 2.5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/17/NW-T00017_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_T00002-016_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_T000017-270_Technical.pdf,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Jet_T00017_MSDS.pdf
9,PT86867,Rothenberger 72091 pipe and drain cleaning coil,Rothenberger,7.24,This practical Rothenberger pipe and drain cleaning coil is designed for unblocking and clearing domestic wastes and waste pipes in bathrooms and kitchens.,Trade Essentials/Van and Site Essentials/Van Essentials/Van Essentials.csv -> Rothenberger 72091 pipe and drain cleaning coil,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/67/NW-T86867_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,
