,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Range,Hazardous,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Connection,Connection Size,Weight,Thread Standard,Material,Thread Size,Maximum Operating Temperature,Attachment 3,Attachment 4,Feature 7,Feature 8,Feature 9,Pack Quantity
0,P310812,Honeywell Home 4000-3916-001 4000-3916-001 P/Head = V4043H,Honeywell Home,60.99,"Designed for V4043 Series three port motorised valves, this replacement powerhead is suitable for field replacement of heads in diverting and straight through valves with no need to drain the system. A head which does not require the system to be drained is identified by a small round bump on the cover and a 6 or higher OS suffix number. Only two screws and two locating pegs are used to connect heads to the body.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Honeywell Home 4000-3916-001 4000-3916-001 P/Head = V4043H,,Replacement head;1m lead,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/12/NW_310812_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PN11359,"JET Range Automatic Air Vent Check Valve 3/8 x 1/2""",JET Range,8.0,"This JET Range automatic air vent with 3/8 x 1/2"" threaded connections is designed with a vacuum break to prevent air locks. A central heating safety device, the air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.","Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> JET Range Automatic Air Vent Check Valve 3/8 x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/59/N11359_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/N11359 Installation & User Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/N11359 Auto Air Vent TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P310075,Honeywell Home 42005748-001 @ hw home 42005748-001 wiring centre,Honeywell Home,19.25,"Simplifying Sundial plan central heating wiring, this wiring centre is compatible with C, S and Y plan systems and offers clearly labelled, single terminal connections. Suitable for basic and pump overrun boilers, the Sundial plan wiring centre is suitable for all 5A rated applications.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Honeywell Home 42005748-001 @ hw home 42005748-001 wiring centre,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/75/310075_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P310080,Honeywell Home @ hw home 42002116-002 junction box 10wy,Honeywell Home,8.63,"Compatible with basic and pump overrun boilers, this 10 way junction box simplifies the wiring of Sundial plan central heating installations. This universal box can be used with any 15A rated wiring application.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Honeywell Home @ hw home 42002116-002 junction box 10wy,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/80/310080_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P312704,Honeywell Home hw home wireless relay box,Honeywell Home,57.07,"Offering simple, all-in-one control, this wireless relay box is suitable for any time and temperature controlled systems, including boilers, zone valves, towel rails, electric radiators, air-to-air heat pumps and buffer cylinder fed systems such as biomass and ground source heat pumps. Compatible with the Honeywell Home Evohome controller and many other Honeywell Home wireless products, the BDR91 is a highliy reliable wireless relay box that is built to last.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Honeywell Home hw home wireless relay box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/04/NW-312704_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P307745,Secure Radbot SCV100-000         Radbot 1 - Intelligent thermostatic radiator valve,Secure,38.65,"Suitable for new or retrofit installation, the Secure Radbot 1 is an intelligent thermostatic radiator valve suitable for use in domestic heating systems. Providing individualised control of a radiator, this TRV makes it easy to set your home's heating room by room with no need for a connection to Wi-Fi or smartphone apps.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Secure Radbot SCV100-000         Radbot 1 - Intelligent thermostatic radiator valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/45/307745_wm.jpg,,,Radbot,N,190 x 60,SCV100-000,Domestic heating control,N,Domestic heating,Intelligent thermostatic radiator valve,New or retrofit installation,Energy efficiency - Save up to 30% on energy,No requirement for wifi or app,Control of individual radiators / zoning,Only heat rooms when occupied,,,,,,,,,,,,,
6,P340011,Center CB 2-port replacement head valve,Center CB,33.67,This Center CB replacement head with 22mm compression fitting is suitable for use with the EHE0200156 two port motorised valve.,Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Center CB 2-port replacement head valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/11/NW-340011_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_340011_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P120069,Vaillant sensoCOMFORT 0010036819 control unit,Vaillant,229.63,"Designed for multi-zone heating systems, the Vaillant Senso Comfort VRC720 heating control works with Vaillant boilers and heat pumps to make sure that appliances work at optimum efficiency. Suitable for complex systems, multiple heating zones, underfloor heating and renewable technologies, Senso Comfort employs trivia technology, which means that when used on a hybrid system, it automatically chooses the most efficient, cost-effective solution, saving energy and money. Easy to install, the Senso Comfort offers guided commissioning that detects the eBus components of the system and offers pre-defined settings, meaning less manual inputting for installers.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Vaillant sensoCOMFORT 0010036819 control unit,,"Installation accessories include outdoor sensor, operating and installation instructions.",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/69/NW-120069_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_SensoHome_VRC720F_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_SensoComfort_Control_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P310813,Honeywell Home 4000-3916-002 hw home 4000-3916-002 p/head = v4044a/c,Honeywell Home,96.84,"Designed for V4044A/C Series three port motorised valves, this replacement powerhead is suitable for field replacement of heads in diverting and straight through valves with no need to drain the system. A head which does not require the system to be drained is identified by a small round bump on the cover and a 6 or higher OS suffix number. Only two screws and two locating pegs are used to connect heads to the body.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Honeywell Home 4000-3916-002 hw home 4000-3916-002 p/head = v4044a/c,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/13/310813_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P310814,Honeywell Home 4000-3916-003 4000-3916-003 P/Head = V4073A,Honeywell Home,89.99,"Designed for V4043 Series three port motorised valves, this replacement powerhead is suitable for field replacement of heads in diverting and straight through valves with no need to drain the system. A head which does not require the system to be drained is identified by a small round bump on the cover and a 6 or higher OS suffix number. Only two screws and two locating pegs are used to connect heads to the body.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Honeywell Home 4000-3916-003 4000-3916-003 P/Head = V4073A,,Replacement head;1m lead,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/14/310814_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
