,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Connection Type,Diameter,Weight,Hazardous,Equal / Unequal,Angle,Dimensions (L x W x D),Material,Connection Type 1,Connection Type 2,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Connection Size,Size,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 6,Attachment 7
0,PF97105,Center Underground Drainage 460mm Chamber Base 110mm Outlets,Center,40.5,"Center Brand Inspection Chambers, Covers and Frames complement our Underground Drainage pipe and fittings",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 460mm Chamber Base 110mm Outlets,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/05/F97105_wm.jpg,Black,Push Fit,460mm,2.858,N,Unequal,0,240 x 605 x 593,Polypropylene,Push-Fit,Push-Fit,BS 7158BBA 89/2206,UG440 CB,Inspection Chamber,N,"Inspection Chambers, Covers and Frames are made from black Polypropylene.",,,,,,,,,,,,,,,,
1,PF97077,Center Polycore 110mm 3m Pipe Single Socket,Center,25.8,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Polycore 110mm 3m Pipe Single Socket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/77/F97077_wm.jpg,Terracotta,Push Fit,110mm,3.117,N,Equal,0,3000 x 110 x 110,PVC,Push-Fit,Push-Fit,BS EN 13476-2BBA 89/2206,F97077CB,Single Socket Pipe,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
2,PF97107,Center Underground Drainage 460mm Riser 215mm,Center,18.9,"Center Brand Inspection Chambers, Covers and Frames complement our Underground Drainage pipe and fittings",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 460mm Riser 215mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/07/F97107_wm.jpg,Black,Push Fit,460mm,2.261,N,Equal,0,250 x 490 x 490,Polypropylene,Push-Fit,Push-Fit,BBA 89/2206,UG431 CB,Inspection Chamber,N,"Inspection Chambers, Covers and Frames are made from black Polypropylene.",,,,,,,,,,,,,,,,
3,PF97095,Center Underground Drainage 110mm Square Hopper Back Inlet Including Square Plastic Grid,Center,14.91,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm Square Hopper Back Inlet Including Square Plastic Grid,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/95/F97095_wm.jpg,,Push Fit,110mm,0.72,N,Equal,0,155 x 220 x 245,PVC,Push-Fit,Push-Fit,BBA 89/2206,UG414B CB,Square Hopper,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
4,PF97082,Center Underground Drainage 110mm 45° Bend Single Socket,Center,7.2,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm 45° Bend Single Socket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/82/F97082_wm.jpg,Terracotta,Push Fit,110mm,0.39,N,Equal,45,126 x 155 x 185,PVC,Push-Fit,Push-Fit,BS EN 1401-1,F97082CB,Single Socket Bend,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
5,PF97089,Center Underground Drainage 110mm 87.5° Rest Bend Double Socket,Center,14.13,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm 87.5° Rest Bend Double Socket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/89/F97089_wm.jpg,Terracotta,Push Fit,110mm,0.653,N,Equal,87.5,130 x 280 x 280,PVC,Push-Fit,Push-Fit,BS EN 1401-1,UG483 CB,Long Radius Bend,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
6,PF97079,Center Underground Drainage 110mm 87.5° Long Radius Bend Single Socket,Center,8.4,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm 87.5° Long Radius Bend Single Socket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/79/F97079_wm.jpg,Terracotta,Push Fit,110mm,0.71,N,Equal,87.5,130 x 265 x 295,PVC,Push-Fit,Push-Fit,BS EN 1401-1,F97079CB,Long Radius Bend,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
7,PF97091,Center Underground Drainage 110mm 45° Equal Junction Double Socket,Center,16.71,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm 45° Equal Junction Double Socket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/91/F97091_wm.jpg,Terracotta,Push Fit,110mm,0.66,N,Equal,45,130 x 235 x 276,PVC,Push-Fit,Push-Fit,BS EN 1401-1,UG406 CB,Equal Junction,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
8,PF97084,Center Underground Drainage 110mm 30° Bend Single Socket,Center,6.0,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm 30° Bend Single Socket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/84/F97084_wm.jpg,Terracotta,Push Fit,110mm,0.2884,N,Equal,30,130 x 140 x 170,PVC,Push-Fit,Push-Fit,BS EN 1401-1BBA 89/2206,F97084CB,Single Socket Bend,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
9,PF97083,Center Underground Drainage 110mm 30° Bend Double Socket,Center,9.0,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm 30° Bend Double Socket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/83/F97083_wm.jpg,Terracotta,Push Fit,110mm,0.357,N,Equal,30,130 x 160 x 180,PVC,Push-Fit,Push-Fit,BS EN 1401-1,F97083CB,Double Socket Bend,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
