,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Connection Type,Diameter,Finish,Length (M),Pack Quantity,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Thickness,Material Type
0,PC50651,"Tesla Gas Product gas meter blanking disc 1""",Tesla,1.05,"This Tesla 1"" gas meter sealing disc is made of brass.","Pipe, Valves and Fittings/Plumbers Brassware/Gas Pipe Fittings/Gas Pipe Fittings.csv -> Tesla Gas Product gas meter blanking disc 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/51/NW-C50650_C50651_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Tesla_Product_Guide_2017.pdf,,,,,,,,,,,,,,,,,,,
1,PC50641,"Tesla Gas Product gas meter union and washer 1"" x 28mm Brass (1)",Tesla,5.49,"This Tesla 1"" x 28mm meter union is made of brass and grooved, allowing for the fitting of meter brackets.","Pipe, Valves and Fittings/Plumbers Brassware/Gas Pipe Fittings/Gas Pipe Fittings.csv -> Tesla Gas Product gas meter union and washer 1"" x 28mm Brass (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/41/NW-C50640_C50641_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Tesla_Product_Guide_2017.pdf,,,,,,,,,,,,,,,,,,,
2,PC50640,"Tesla Gas Product gas meter union and washer 1"" x 22mm Brass (10)",Tesla,4.3,"This Tesla 1"" x 22mm meter union is made of brass and grooved, allowing for the fitting of meter brackets.","Pipe, Valves and Fittings/Plumbers Brassware/Gas Pipe Fittings/Gas Pipe Fittings.csv -> Tesla Gas Product gas meter union and washer 1"" x 22mm Brass (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/41/NW-C50640_C50641_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Tesla_Product_Guide_2017.pdf,,,,,,,,,,,,,,,,,,,
3,PC50653,"Tesla gas meter blanking disc washer 1"" (100)",Tesla,0.21,"This Tesla 1"" blanking washer is designed for gas meters.","Pipe, Valves and Fittings/Plumbers Brassware/Gas Pipe Fittings/Gas Pipe Fittings.csv -> Tesla gas meter blanking disc washer 1"" (100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/53/NW-C50652_C50653_wm.jpg,,Black,Washer,3 mm,Matt,0.033,100,N,Brass,1,GMUW1,Washer,N,Constructed from hardwearing materials,Reliable design,Manufactured to European standards,,,,
4,PC50814,Midland Brass cooker restraining chain quick release (10),Midland Brass,3.32,This quick-release Midland Brass Salvus cooker restraining chain is made of tough brass.,"Pipe, Valves and Fittings/Plumbers Brassware/Gas Pipe Fittings/Gas Pipe Fittings.csv -> Midland Brass cooker restraining chain quick release (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/14/NW-C50814_wm.jpg,,,Shackle Clip & Eye Hook,,,,10,N,Brass,Chain 13 long,BFGHSC,Restraining Chain,N,Cooker restraining chain quick release,Manufactured in Italy,Robust design,Allows the drainage of washing machines and dish washers,Extendible up to 21 meters,,
5,PC50650,"Tesla Gas Product gas meter blanking disc 3/4"" (100)",Tesla,0.88,"This Tesla 3/4"" gas meter sealing disc is made of brass.","Pipe, Valves and Fittings/Plumbers Brassware/Gas Pipe Fittings/Gas Pipe Fittings.csv -> Tesla Gas Product gas meter blanking disc 3/4"" (100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/51/NW-C50650_C50651_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Tesla_Product_Guide_2017.pdf,,,,,,,,,,,,,,,,,,,
6,PC50791,Tesla GCRCHOOK freestanding cooker restraining chain (1),Tesla,2.48,A Tesla 1M restraining chain for safe fitting of freestanding cookers.,"Pipe, Valves and Fittings/Plumbers Brassware/Gas Pipe Fittings/Gas Pipe Fittings.csv -> Tesla GCRCHOOK freestanding cooker restraining chain (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/91/NW-C50791_wm.jpg,,Silver,Wall mounted hook & eye,15 mm,,1.02,1,N,Steel,n/a,GCRCHOOK,Restraining Chain,N,For freestanding cooker,Hardwearing steel construction,Reliable design,Manufactured to European standards,,n/a,
7,PC50657,"Tesla gas socket bayonet 1/2"" blank plug",Tesla,16.72,"Providing a secondary seal, this Tesla 1/2"" gas socket blank plug with bayonet fitting keeps debris and other contaminants from entering the bayonet cooker hose when it is disconnected during works.","Pipe, Valves and Fittings/Plumbers Brassware/Gas Pipe Fittings/Gas Pipe Fittings.csv -> Tesla gas socket bayonet 1/2"" blank plug",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/57/C50657_wm.jpg,,,Bayonet,,,,,N,Brass,1/2 in,SBP12,Blanking Plug,N,For use with bayonet sockets only,Brass construction,Manufactured to BS669,,,,
8,P497878,"Midland Brass gas meter bracket 22mm x 3/4""",Midland Brass,8.09,"Designed to suspend a gas meter, this Midland Brass meter bracket employs the two male threaded bosses on the top of a meter. Designed with grooved surfaces, adapters and unions are slid into the slots in the meter bracket to attach the meter. A security washer and shear bolt is then ideally used to prevent unauthorised removal. These meter brackets can be fixed to a wall or to a floor-mounted bracket.","Pipe, Valves and Fittings/Plumbers Brassware/Gas Pipe Fittings/Gas Pipe Fittings.csv -> Midland Brass gas meter bracket 22mm x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/78/NW-497878_wm.jpg,,,Threaded,,,,,N,Steel,22 x 3/4,BFGMSB,Gas Meter Bracket,N,"For G4, U6, E6 and g130 meters with 152.4mm connection centres",Steel construction,"3/4"" inlet connection",,,,Brass
9,PC50652,"Tesla Gas Product gas meter blanking disc washer 3/4"" (100)",Tesla,0.21,"A Tesla 3/4"" gas meter union washer.","Pipe, Valves and Fittings/Plumbers Brassware/Gas Pipe Fittings/Gas Pipe Fittings.csv -> Tesla Gas Product gas meter blanking disc washer 3/4"" (100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/53/NW-C50652_C50653_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Tesla_Product_Guide_2017.pdf,,,,,,,,,,,,,,,,,,,
