,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Style,Warranty,Hazardous,Depth (mm),Door Opening Orientation,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12
0,PC24087,Nabis Grace doors for 600mm double wall unit 656 x 296mm Charcoal Grey Gloss,Nabis,179.2,Nabis Grace door pack is available in charcoal grey gloss finish and suitable for use with 600mm double wall units. The Nabis furniture range is designed with versatility. This range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Cabinets/Bathroom Cabinets.csv -> Nabis Grace doors for 600mm double wall unit 656 x 296mm Charcoal Grey Gloss,,2x doors,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/87/NW-C24087_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Double_Wall_Unit_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
1,PC24073,Nabis Elegance doors for 500mm double wall unit 656 x 246mm Cashmere Gloss,Nabis,121.45,Nabis Elegance fascia pack is available in cashmere gloss finish and suitable for use with double wall units. The Nabis furniture range is designed with versatility in mind. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Cabinets/Bathroom Cabinets.csv -> Nabis Elegance doors for 500mm double wall unit 656 x 246mm Cashmere Gloss,,2x doors,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/73/NW-C24073_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Double_Wall_Unit_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
2,PC22679,* NAB DEC 800MM MIRROR CABINET WH GLOSS,Nabis,400.91,"As practical as it is stylish, this white gloss finish Nabis Deco 660 x 800mm bathroom mirror cabinet unit provides useful storage alongside a single socket for your shaver or toothbrush and an overhead light. Elegantly designed, this mirrored cabinet is designed to blend seamlessly with the rest of the Deco range.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Cabinets/Bathroom Cabinets.csv -> * NAB DEC 800MM MIRROR CABINET WH GLOSS,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/79/NW-C22679_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_C22671-C22682_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C22671-C22682_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,
3,PD30319,Croydex Avon double door small cabinet Stainless Steel,Croydex,106.87,"Made of stainless steel, this Croydex Avon 440 x 430 x 160mm two door bathroom cabinet brings a touch of industrial style to a bathroom. With a fixed internal stainless steel shelf, this unit is easy to install using the supplied fixtures and fittings.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Cabinets/Bathroom Cabinets.csv -> Croydex Avon double door small cabinet Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/19/NW-D30319_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Croydex_Cabinets_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
4,PC22584,* NAB CLASSIC 525MM SGL MIRROR CABINT RH,Nabis,274.89,"Nabis Classic right hand single mirror cabinet is available in earl grey colour. This new 'Classical' range for a sophisticated and traditional, yet stylish look for the user bathroom.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Cabinets/Bathroom Cabinets.csv -> * NAB CLASSIC 525MM SGL MIRROR CABINT RH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/84/NW-C22583_C22584_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Bathroom_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Nabis_Bathroom_Edi1_Brochure_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Nabis_M_Cabinet_W525_D150_H696_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,
5,PC22675,* NAB DEC 600MM MIRROR CABINET WH GL,Nabis,376.2,"As practical as it is stylish, this white gloss finish Nabis Deco 660 x 600mm bathroom mirror cabinet unit provides useful storage alongside a single socket for your shaver or toothbrush and an overhead light. Elegantly designed, this mirrored cabinet is designed to blend seamlessly with the rest of the Deco range.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Cabinets/Bathroom Cabinets.csv -> * NAB DEC 600MM MIRROR CABINET WH GL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/75/NW-C22675_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_C22671-C22682_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C22671-C22682_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,
6,PE11192,Hib Exos cabinet 60cm,Hib,741.68,"Helping to streamline morning and evening routines, the HiB Exos 700 x 600 x 122mm one-door mirrored bathroom cabinet is fitted with USB and shaver charging sockets to keep electric toothbrushes and other personal electricals ready to go. Precision lighting is included to help make tasks like shaving and make-up application easy, while a demisting pad helps to keep the mirrored door clear, even while the shower runs. Designed to suit any bathroom decor, the Exos is a simple, practical unit offering much more than just toiletry storage.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Cabinets/Bathroom Cabinets.csv -> Hib Exos cabinet 60cm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/92/NW-E11192_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Hib_UK_2022_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
7,PE10569,HIB ISOE 50 CABINET,Hib,570.05,"Soft curves and precision illumination combined with amazing functionality, Isoe is the complete bathroom cabinet package. Its understated appearance of seamless curves, ambient lighting and mirrored sides ensure Isoe’s style versatility, perfect for bathrooms of all shapes, sizes and designs.  For those seeking functionality, Isoe delivers plenty of features including an electric toothbrush charger, 2 pin and double USB charger, ensuring that all your personal devices can be kept charged.  The adjustable shelving provides ample storage, plus a useful ‘keep clean’ mat and touchless operation improves hygiene.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Cabinets/Bathroom Cabinets.csv -> HIB ISOE 50 CABINET,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/69/E10569_wm.jpg,,,,Clear,Modern,5 Year Glass 2 Years Electrical,N,123,Hinged,Aluminium,54300,Bathroom Cabinets,N,With LED illumination,Precision door illumination,2-pin integrated charging socket,With USB charging socket,Toothbrush charger and toothbrush head storage,Double sided mirrored door,Heated pad in door,With mirrored sides,Lighting offers touch-free operation,Removable keep-clean mat,5 year warranty on glass,2 year warranty on electrics
8,PC22671,* NAB DEC 500MM MIRROR CABINET WH GL,Nabis,369.4,"As practical as it is stylish, this white gloss finish Nabis Deco 660 x 500mm bathroom mirror cabinet unit provides useful storage alongside a single socket for your shaver or toothbrush and an overhead light. Elegantly designed, this mirrored cabinet is designed to blend seamlessly with the rest of the Deco range.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Cabinets/Bathroom Cabinets.csv -> * NAB DEC 500MM MIRROR CABINET WH GL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/71/NW-C22671_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_C22671-C22682_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C22671-C22682_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,
9,PE10570,Hib isoe 60 cabinet,Hib,650.6,"Soft curves and precision illumination combined with amazing functionality, Isoe is the complete bathroom cabinet package. Its understated appearance of seamless curves, ambient lighting and mirrored sides ensure Isoe’s style versatility, perfect for bathrooms of all shapes, sizes and designs.  For those seeking functionality, Isoe delivers plenty of features including an electric toothbrush charger, 2 pin and double USB charger, ensuring that all your personal devices can be kept charged.  The adjustable shelving provides ample storage, plus a useful ‘keep clean’ mat and touchless operation improves hygiene.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Cabinets/Bathroom Cabinets.csv -> Hib isoe 60 cabinet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/70/E10570_wm.jpg,,,,Clear,Modern,5 Year Glass 2 Years Electrical,N,124,Hinged,Aluminium,54350,Bathroom Cabinets,N,With LED illumination,Precision door illumination,2-pin integrated charging socket,With USB charging socket,Toothbrush charger and toothbrush head storage,2x double sided mirrored doors,Heated pad in door,With mirrored sides,Lighting offers touch-free operation,Removable keep-clean mat,5 year warranty on glass,2 year warranty on electrics
