,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Colour,Projection Depth,Range,Style,Warranty,Watts,Weight,Hazardous,Fuel Source,Material,Orientation,Shape,Wall to Centre Tapping,BTU h,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9
0,P610136,CenterRad Streyt double panel flat tube radiator 1800 x 505mm 5469BTU Anthracite,CenterRad,333.27,"CenterRad Streyt double panel flat tube designer radiator offers designer style without compromising on performance. With its smooth front panel combines designer style with exceptionally high heat outputs. Available as a vertical model, the CenterRad Streyt complements a range of interiors without compromising on performance. Available as a vertical model with a single (V10) in white, the CenterRad Streyt complements a range of interiors without compromising on performance.",Radiators/Central Heating Radiators/Designer Radiators/Designer Radiators.csv -> CenterRad Streyt double panel flat tube radiator 1800 x 505mm 5469BTU Anthracite,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/37/610134_610137_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterRad_Streyt_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterRad_Streyt_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/CenterRad_Brochure_June2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P610132,CenterRad Streyt double panel flat tube radiator 1800 x 505mm 5469BTU White,CenterRad,300.0,"CenterRad Streyt double panel flat tube designer radiator offers designer style without compromising on performance. With its smooth front panel combines designer style with exceptionally high heat outputs. Available as a vertical model, the CenterRad Streyt complements a range of interiors without compromising on performance. Available as a vertical model with a single (V10) in white, the CenterRad Streyt complements a range of interiors without compromising on performance.",Radiators/Central Heating Radiators/Designer Radiators/Designer Radiators.csv -> CenterRad Streyt double panel flat tube radiator 1800 x 505mm 5469BTU White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/33/610130_610133_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterRad_Streyt_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterRad_Streyt_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/CenterRad_Brochure_June2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P610131,CenterRad Streyt double panel flat tube radiator 1800 x 433mm 4756BTU White,CenterRad,277.77,"CenterRad Streyt double panel flat tube designer radiator offers designer style without compromising on performance. With its smooth front panel combines designer style with exceptionally high heat outputs. Available as a vertical model, the CenterRad Streyt complements a range of interiors without compromising on performance. Available as a vertical model with a single (V10) in white, the CenterRad Streyt complements a range of interiors without compromising on performance.",Radiators/Central Heating Radiators/Designer Radiators/Designer Radiators.csv -> CenterRad Streyt double panel flat tube radiator 1800 x 433mm 4756BTU White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/33/610130_610133_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterRad_Streyt_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterRad_Streyt_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/CenterRad_Brochure_June2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P241094,CenterRad Deco radiator pack 600mm DG 1800mm 9739B,CenterRad,396.43,"The contemporary CenterRad Deco horizontal flat panel radiator includes all the great features of the CenterRad Plan with the addition of a sleek decorative front panel designed to fit effortlessly into a modern residential or commercial setting. With a white powder-coated steel finish, the 9739 BTU/h Deco is the ideal combination of good looks and high performance and is an excellent alternative to the classical lines of the CenterRad Compact or CenterRail towel warmer.",Radiators/Central Heating Radiators/Designer Radiators/Designer Radiators.csv -> CenterRad Deco radiator pack 600mm DG 1800mm 9739B,,Flat panel radiator;Fixing brackets;Vents ;plugs,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/00/241073_241100_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/ar/CenterRad_Deco_Label_Rear.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/34363_CenterRad_Brochure_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/ar/CenterRad_Compact_Label_Rear.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ri/nt/Center_LeafletToPrint.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/de/co/32024_Tech_Sheet_CenterRad_Deco.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterRad_Deco_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P610134,CenterRad Streyt double panel flat tube radiator 1800 x 288mm 3286BTU Anthracite,CenterRad,246.66,"CenterRad Streyt double panel flat tube designer radiator offers designer style without compromising on performance. With its smooth front panel combines designer style with exceptionally high heat outputs. Available as a vertical model, the CenterRad Streyt complements a range of interiors without compromising on performance. Available as a vertical model with a single (V10) in white, the CenterRad Streyt complements a range of interiors without compromising on performance.",Radiators/Central Heating Radiators/Designer Radiators/Designer Radiators.csv -> CenterRad Streyt double panel flat tube radiator 1800 x 288mm 3286BTU Anthracite,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/37/610134_610137_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterRad_Streyt_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterRad_Streyt_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/CenterRad_Brochure_June2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P610124,CenterRad Streyt single panel flat tube radiator 1800 x 505mm 3555BTU White,CenterRad,222.18,"CenterRad Streyt single panel flat tube designer radiator offers designer style without compromising on performance. With its smooth front panel combines designer style with exceptionally high heat outputs. Available as a vertical model, the CenterRad Streyt complements a range of interiors without compromising on performance. Available as a vertical model with a single (V10) in white, the CenterRad Streyt complements a range of interiors without compromising on performance.",Radiators/Central Heating Radiators/Designer Radiators/Designer Radiators.csv -> CenterRad Streyt single panel flat tube radiator 1800 x 505mm 3555BTU White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/25/610122_610125_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterRad_Streyt_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterRad_Streyt_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/CenterRad_Brochure_June2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P262547,Stelrad Vita Deco Vertical K2 decorative radiator 1800 x 600mm,Stelrad,468.82,"A premium radiator with plenty of style, the Stelrad Vita Deco Vertical brings Stelrad's dependable functionality together with chic, modern design. This tall unit has an understated 50mm lined front panel finished in elegant, clean white, a great addition to elegant contemporary interiors, especially where wall space is limited. Easy to install, the maintenance-free Vita Deco Vertical offers reliable heating power of 2214 BTU/h.",Radiators/Central Heating Radiators/Designer Radiators/Designer Radiators.csv -> Stelrad Vita Deco Vertical K2 decorative radiator 1800 x 600mm,,Designer style vertical radiator;Fixing brackets;Vents ;plugs,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/47/262545_262547_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Stelrad_Vita_Series_Brochure_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Vita_Deco_Vertical_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P268455,Purmo Adagio S70 vertical radiator 1800 x 680mm White,Purmo,375.05,"Ideal for installation in the design-led home, the Purmo Adagio 70 vertical single panel radiator, with its white powder-coated exterior, brings together the classic and the contemporary for a high-end, stylish look. The UK-built Adagio 70 provides reliable heating of up to 6844 BTU/h which, combined with its traditional-meets-modern design, makes it a perfect finishing touch for any room of the house.",Radiators/Central Heating Radiators/Designer Radiators/Designer Radiators.csv -> Purmo Adagio S70 vertical radiator 1800 x 680mm White,,Column radiator;Fixing brackets;Vents ;plugs,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/Adagio_S70_V_White_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Purmo_Adagio_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Purmo_Design_Radiators_Brochure_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P241082,CenterRad Deco radiator pack 450mm DG 1600mm 6892B,CenterRad,323.69,"The contemporary CenterRad Deco horizontal flat panel radiator includes all the great features of the CenterRad Plan with the addition of a sleek decorative front panel designed to fit effortlessly into a modern residential or commercial setting. With a white powder-coated steel finish, the 6892 BTU/h Deco is the ideal combination of good looks and high performance and is an excellent alternative to the classical lines of the CenterRad Compact or CenterRail towel warmer.",Radiators/Central Heating Radiators/Designer Radiators/Designer Radiators.csv -> CenterRad Deco radiator pack 450mm DG 1600mm 6892B,,Flat panel radiator;Fixing brackets;Vents ;plugs,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/00/241073_241100_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/ar/CenterRad_Deco_Label_Rear.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/ar/CenterRad_Compact_Label_Rear.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ri/nt/Center_LeafletToPrint.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterRad_Deco_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P268424,Purmo Slieve V20 double panel vertical radiator 1600 x 505mm White,Purmo,295.41,"Built to combine designer good looks with reliably high output heat, the attractive Purmo Slieve V20 vertical double panel radiator provides the perfect finishing touch for a design-led interior. This high quality radiator boasts a smoothly contoured front panel with hardwearing white powder-coated steel finish alongside the convenience of 4913 BTU/h heat, proving that there really doesn't have to be a trade off between style and comfort.",Radiators/Central Heating Radiators/Designer Radiators/Designer Radiators.csv -> Purmo Slieve V20 double panel vertical radiator 1600 x 505mm White,,Designer radiator;Fixing brackets;Vents ;plugs,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/26/268424_268426_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Purmo_Design_Radiators_Brochure_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Slieve Vertical Installation Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Purmo_Slieve_Vertical_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
