,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Connection Type,Operating Temperature,Warranty,Hazardous,Approvals,Max Pressure,Material,Operating Pressure,Maximum Operating Temperature,Supplier Product Code,WEEE Compliant,Application,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 5,Type,Attachment 6,Attachment 7,Boiler Section,Boiler Range,Setting Range,Dimensions mm (H x W x D),Range,Pack Type,Colour,Flow Rate,Voltage (V),Phase,Depth (mm),Rated Speed,Enclosure Class,Frequency,Pressure Rating,Standards,Dimensions (L x W x D),Smart,Switch Type,Battery Back Up,Number of Zones,Switching Capacity (amps),Programmable Duration,On / Off Periods per Day,Auto GMT / BST,Display Type,Installation Type,Number of Channels,Pack Quantity,Output,Connection Size,Maximum Velocity,Efficient Dirt Particle Removal Range,Size,Working Pressure,Part Gas Council number,Operating Temperature Range (C),Range For Use With,Connection,Thread Standard,Max Set Pressure,Connection Gender,Thread Size,Feature 12,Feature 13,Feature 14,Volume,Physical State / Form,By Model Number,Torque Rating,Position Indicator,Operating Range,Override Type,Running Time Motor,Cable Length (m),Position Feedback,Protection Class,Weight,Attachment 8,Number of Ports,Operator Type,Seal Material,Model For Use With,Spray Angle,Diameter,Air Volume (m3 per s),Capacitance,Feature 15,Feature 16,Area (m2),Output (W),Fuel Type,Fan Speeds,Mounting Type,Feature 17,Feature 18,Refrigerant Suitability,Seasonal Efficiency Energy Label Heating,UK Total Cooling,Seasonal Efficiency Energy Label Cooling,Nominal Heating (kW),Max Sound Pressure,UK Sensible Cooling,Nominal Cooling (kW),Max Airflow (m/min),Fuse Size (A),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Feature 19,Attachment Type,Pipe Diameter,Mains Connection Size and Type,System Connection Size and Type,Drain Connection,Attachment 9,Top Design,Overheat Protection,Programmable,Controls,BTU h,IP Rating,Finish,Max Fill Pressure,Full Load Current A,Thickness,Sector,Flue Type,Flue Diameter,Flue Length,Control Device,Fire Frontage,Flue Size,Material Type,Min Outlet Pressure,Max Outlet Pressure,Feature 20,Feature 21,Feature 22
0,P340022,Center Heating Controls EHE0200322 RF wireless 7-day programmable room thermostat,Center,47.01,"This Center CB RF wireless 7-day programmable room thermostat is designed for efficient heating control. While adaptive control technology maintains home temperatures by matching the heating system output to demand, optimum start/stop learns the system's warm-up/cool-down response times, calculating the best possible time to switch on and off. These features not only improve heating comfort in the home but improve energy use for potential cost savings.",Heating/Heating.csv -> Center Heating Controls EHE0200322 RF wireless 7-day programmable room thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/_a/340022_A_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/340022_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Center_340022_340023_Userguide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/340022_Startguide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/340022_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P609932,Center CB system filter 22mm Black,Center,58.49,"Highly efficient, the Center CB 22mm system filter provides low maintenance protection from the potentially damaging effects of magnetite and other debris in a heating system. Easy to fit and maintain, this filter has an innovative horizontal design, ideal for tight spaces or installations where the filter may be visible, such as in the kitchen boiler cupboard. Incorporating a unique, single bypass valve, the filter can be serviced quickly and easily without ceasing running of the heating system. Offering an exceptional first pass capture rate, the Center System Filter helps to minimise the risks of debris in both brand new and existing heating systems.",Heating/Heating.csv -> Center CB system filter 22mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/32/609932_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_609932_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_609932_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P609406,Adey MagnaClean Micro2 Magnaclean Micro 2 & Chemical Box,Adey,100.56,"The Adey MagnaClean Micro2 filter and chemical pack contains Magnaclean Micro2 with two essential installation chemicals, the MC1 protector and MC3 cleaner make installing a new central heating system simple.",Heating/Heating.csv -> Adey MagnaClean Micro2 Magnaclean Micro 2 & Chemical Box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/06/NW-609406_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P123305,Ideal Heating Horizontal Flue Terminal 600mm,Ideal Heating,68.57,This is the standard non-telescopic flue which is 600mm long for use with Ideal Logic Boilers.,Heating/Heating.csv -> Ideal Heating Horizontal Flue Terminal 600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/05/123305_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P310820,Honeywell Home V4043H 1056 V4043H 1056 22Mm Zone Vlv 240V,Honeywell Home,80.99,"This V4043H motorised two port zone valve with 22mm compression connections is suitable for a variety of flow control applications in domestic and light commercial central heating systems. Positioned where it cannot block any vent or cold feed when closed, this valve can be plumbed at any angle but the powerhead should not be below the horizontal level of the pipework. If fitted in a confined space, ventilation must be available to keep the valve within its ambient temperature range and access should be available for removing the powerhead if required",Heating/Heating.csv -> Honeywell Home V4043H 1056 V4043H 1056 22Mm Zone Vlv 240V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/20/310820_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P597825,Center Potable Shock Arrestor 0.16L 1/2,Center,20.25,"Designed to eliminate the damaging effects and noise of water hammer, the Center CB 0.16L potable water shock arrester is suitable for hot, cold and potable water. Absorbing the wave of pressure before it develops into noisy water hammer, this shock arrester has two sections separated by a rubber diaphragm. One section contains a nitrogen gas cushion under pressure, the other is in contact with the water with the gas cushion absorbing incoming pressure as required.",Heating/Heating.csv -> Center Potable Shock Arrestor 0.16L 1/2,,Flexofit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/25/597825_wm.jpg,,,,,G1/2 M,N/A,2 years from Date of Supply (DOS),N,WRAS,10 Bar,Stainless Steel,N/A,90 Degrees,24496,N,Potable Water/DHW,0.18 l,Compact design,Absorbs water hammer to minimise nooise and damage,Suitable for potable water,"Suitable for hot, cold and cooling circuits",3 bar nitrogen pre-charge,Nitrogen filling for longer pre-charge retention,"With 1/2"" BSP male threaded connection",Rolled 304 stainless steel construction,EPDM rubber diaphragm,WRAS approved,2 year warranty from date of supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P310709,Honeywell Home T3R Y3H710RF0053 @ hw home t3r wireles stat+stand 5+2 day,Honeywell Home,71.76,"Suitable for use in domestic heating systems, the T3R wireless 5+2 day programmable thermostat is particularly recommended for social housing, new build properties and for mass installation jobs. It is compatible with a variety of boilers and systems, including 24 to 230V on/off units such as gas and oil boilers, combi-boilers and heat pumps, however it cannot be used for operation of electric boilers. Easy to operate, the T3R provides OpenTherm control for reliable time and temperature switching. A stand is supplied with this unit for ease of storage.",Heating/Heating.csv -> Honeywell Home T3R Y3H710RF0053 @ hw home t3r wireles stat+stand 5+2 day,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/09/310709_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Honeywell_T3_User_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P609935,Center CB complete magnetic scale reducer 15mm,Center CB,16.75,"Creating a magnetic field, this Center CB 15mm magnetic scale inhibitor encourages hard scale particles to coalesce into needle-shaped crystals for easy flushing from your water system. Designed for installation on cold water lines, this inhibitor prevents new formation of limescale while also helping to soften existing scale that has previously formed around taps, sinks and showers via regular contact with treated water. In the months after installation you'll notice a gradual increase in hot water efficiency.",Heating/Heating.csv -> Center CB complete magnetic scale reducer 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/35/NW-609935_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/15/mm/Center_Magnetic_Scale_Inhibitor_15mm.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_609935-609938_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_609935-609936_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P310701,Honeywell Home Lyric Y4H910RF4003 T4R Wireless 7 Day Prog Stat,Honeywell Home,120.0,"Suitable for domestic or light commercial use, the Lyric T4R modern wireless 7 day programmable room thermostat offers automatic time and temperature control and compatibility with 24 - 230V on/off appliances such as gas boilers, combi boilers and zone valves. This thermostat can be used as a temperature sensing device in an S or Y Plan system and can control combination boiler installations or additional zones in an S Plan Plus system.",Heating/Heating.csv -> Honeywell Home Lyric Y4H910RF4003 T4R Wireless 7 Day Prog Stat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/01/310701_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P310824,Honeywell Home V4073A V4073A1039 V4073A 1039 22Mm Mid Pos Valve,Honeywell Home,106.75,"This V4073A motorised diverter valve with 22mm compression connections controls the flow of water in domestic central heating systems, where both radiator and hot water cylinder circuits are pumped. Suitable for small-to-medium sized installations, this mid-position diverter valve should be used in conjunction with a room thermostat and cylinder thermostat for full temperature control of a conventional, fully pumped central heating installation. This type of control system is known as Sundial Y Plan and components can be connected using the Sundial Plan Wiring Centre, including dedicated terminations with no need for a wiring diagram.",Heating/Heating.csv -> Honeywell Home V4073A V4073A1039 V4073A 1039 22Mm Mid Pos Valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/24/310824_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
