,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Type,Hazardous,End Connection A size,Material,Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Attachment 1,Diameter,Feature 1,Feature 2,Feature 3,Approvals,Feature 4,Feature 5,Weight,Equal / Unequal,End Connection B size,End Connection C size
0,PL80555,Geldbach screwed flange PN16 100mm,Geldbach,39.19,This Geldbach BS4504/13 100mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach screwed flange PN16 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/55/NW-L80555_wm.jpg,Flange,N,100mm,Carbon Steel,100 mm,Flange,D10016/400,Screwed Flange,N,,,,,,,,,,,,
1,PL80540,Geldbach screwed flange PN16 50m,Geldbach,21.74,This Geldbach BS4504/13 50mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach screwed flange PN16 50m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/40/NW-L80540_wm.jpg,Flange,N,50 mm,Carbon Steel,50 mm,Flange,D05016/400,Screwed Flange,N,,,,,,,,,,,,
2,PL80845,Marla Tube PN16 black blank flange 65mm,Marla Tube,18.63,"This Marla Tube 65mm blank or blind flange is made of carbon steel. Used to blind or seal a pipeline and a valve/pressure vessel and block the flow of the fluid, a blind flange provides easy access to the pipeline, quickly unbolting to allow an operator to carry out works inside the terminal end of the pipe.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube PN16 black blank flange 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/45/NW-L80845_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Flange_Technical.pdf,,,,,,,,,,,
3,PL80655,Geldbach slip on weld flange PN16 100mm,Geldbach,34.06,This Geldbach BS4504/12 100mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange PN16 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/55/NW-L80655_wm.jpg,Flange,N,100mm,Carbon Steel,100 mm,Flange,D10016/500,Slip-On Weld Flange,N,,,,,,,,,,,,
4,PL80130,Geldbach screwed flange PN6 32mm,Geldbach,14.37,This Geldbach BS4504/13 32mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach screwed flange PN6 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/30/NW-L80130_wm.jpg,Flange,N,32 mm,Carbon Steel,32 mm,Flange,D03206/400,Screwed Flange,N,,,,,,,,,,,,
5,PL80515,Geldbach screwed flange PN16 15mm,Geldbach,9.91,This Geldbach BS4504/13 15mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach screwed flange PN16 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/15/NW-L80515_wm.jpg,Flange,N,15mm,Carbon Steel,15 mm,Flange,D01516/400,Screwed Flange,N,,,,,,,,,,,,
6,PL71328,"Marla Tube T-E welding and drilled flange 2"" Black",Marla Tube,117.61,"This Marla Tube T-E 2"" welded and drilled flange is made of carbon steel. This fitting offers durability and resistance to high mechanical stress and temperature extremes.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube T-E welding and drilled flange 2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/28/NW-L71328_wm.jpg,Flange,N,2,Carbon Steel,2,Flange,C020E0SO00,Flange,N,,2,Made of carbon steel,Black finish,Table E screwed flange,,,,,,,
7,PL82036,Marla Tube BS4504/01 PN16 slip on plate flange 50mm,Marla Tube,12.5,"This Marla Tube 50mm slip-on flange is made of carbon steel and is designed to be connected to a pipe or fittings by two fillet welds, one inside and one outside of the cavity of the flange. The bore size of a slip-on flange is larger than the outside diameter of the connecting pipe, allowing the pipe to slide into the flange.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube BS4504/01 PN16 slip on plate flange 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/47/NW-L82035_L82047_wm.jpg,Flange,N,50 mm,Carbon Steel,50 mm,Flange,D05016/300,Slip-On Flange,N,,,Made of carbon steel,"Slim, compact design",PN16,BS4504/01EN 1092-1,Meets BS 4504/01,Meets EN 1092-1,,,,
8,PL80680,Geldbach slip on weld flange PN16 300mm,Geldbach,159.94,This Geldbach BS4504/12 300mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange PN16 300mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/80/NW-L80680_wm.jpg,Flange,N,300 mm,Carbon Steel,300 mm,Flange,D30016/500,Slip-On Weld Flange,N,,,,,,,,,,,,
9,PL82035,Marla Tube BS4504/01 PN16 slip on plate flange 40mm,Marla Tube,9.59,"This Marla Tube 40mm slip-on flange is made of carbon steel and is designed to be connected to a pipe or fittings by two fillet welds, one inside and one outside of the cavity of the flange. The bore size of a slip-on flange is larger than the outside diameter of the connecting pipe, allowing the pipe to slide into the flange.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube BS4504/01 PN16 slip on plate flange 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/47/NW-L82035_L82047_wm.jpg,Flange,N,40 mm,Carbon Steel,40 mm,Flange,D04016/300,Slip-On Flange,N,,,Made of carbon steel,"Slim, compact design",PN16,BS4504/01EN 1092-1,Meets BS 4504/01,Meets EN 1092-1,,,,
