,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Range,Thickness,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Warranty,Diameter,Depth (mm)
0,P261068,Myson Floortec MPRT RF radio frequency programmable thermostat,Myson,166.65,"Slimline and easy to use, the intuitive Myson Floortec MPRT RF programmable thermostat uses Smart Start technology to help users save up to 10% on heating bills by adjusting start-up to meet required temperatures at chosen times. This smart self-learning function makes heating more efficient, responding to climate conditions for comfort and convenience. Compatible with Myson Floortec underfloor heating systems and connectable to a 24V hard-wired wiring centre, this single thermostat offers control over several loops with simple 7 day programming and a choice of temperature settings.",Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> Myson Floortec MPRT RF radio frequency programmable thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/68/261068_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_25085Underfloor_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Myson_Floortec_Wiring-C_Stats_Tech.pdf,,,,,,,,,,,,,,,,,,,,
1,P581480,JG Underfloor LowFit foiled panel 16mm 12mm pipe,JG Underfloor,22.26,"Designed for installation over existing concrete or timber flooring, this JG LowFit 1250 x 600mm foil panel has a 16mm depth to help minimise height gain. With a light weight and high compressive strength, this sturdy panel is pre-grooved with return bends, easily cut with a small knife, so there's no need for additional panel variations. Offering fast, straightforward installation, LowFit panels include foil moulded into the straight grooves for improved system performance.",Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> JG Underfloor LowFit foiled panel 16mm 12mm pipe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/80/NW-581480_wm.jpg,,,,Lowfit,16mm,N,1250 x 600 mm,JGLOWFIT16F,Foiled Panel,N,Suitable for laying over existing timber or concrete floors,Suitable for single or multiple rooms,Easy to install,Low profile 16mm panel for 12mm pipe,Lightweight,High compressive strength,Good heat output from non-screened system,Return bends are indented into panel for ease of installation,Pre-grooved channels with thick foil covering for good heat dispersion,Made from 100% recyclable material,,,
2,P581478,JG Underfloor Lowfit castelled panel 20mm 15mm pipe,JG Underfloor,16.73,"JG LowFit™ 20mm Castellated Panels are designed to provide a high output, low height, screeded underfloor system. The 20mm panel has equally spaced castellations at 50mm to allow 15mm pipe to be clipped in securely and accurately as per design specifications Installation of the panels is fast and simple as it features an overlapping alignment system for simple hassle-free panel laying, as well as a super strong adhesive backing. This allows for the panel to be installed directly onto the existing sub floor structure. The open grid design ensures the screed layer poured on top flows smoothly and evenly over the panel.",Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> JG Underfloor Lowfit castelled panel 20mm 15mm pipe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/78/NW-581478_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/22/John_Guest_RWC_Product_Guide_Feb2022.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/581478_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/JG_Underfloor_Heating_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,
3,P581457,JG Underfloor Speedfit JGUFHPACK30/4 under floor heating pack - up to 30mtr2,JG Underfloor,984.43,"Designed for solid floors, the JG Underfloor Speedfit underfloor heating pack is suitable for spaces of up to 30M². Including a control unit and thermostat, as well as the underfloor heating piping and fixtures, Speedfit is an ideal choice for straightforward all-in-one installation in conservatories or extensions.",Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> JG Underfloor Speedfit JGUFHPACK30/4 under floor heating pack - up to 30mtr2,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/57/581457_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_UFH_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
4,P262689,Myson Floortec coil 17 x 2mm 600mtr,Myson,1416.0,"The five layer polyethylene Myson Floortec PEXcellent 17mm diameter underfloor heating pipe, supplied in a 500M coil, includes an integral oxygen barrier. Compatible with most Myson Floortec heating systems, including the low-profile Microboard, this pipe is environmentally-friendly, manufactured with no chemical additives used in either production or disposal.",Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> Myson Floortec coil 17 x 2mm 600mtr,,Underfloor heating pipe;Integral oxygen barrier,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/89/262686_262689_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,,,,,,,,,,,,,,,,,,,,,,
5,P261935,Myson Floortec double floor plate 1000 x 388mm,Myson,18.68,"Specifically designed for use with underfloor heating, this Myson Floortec double floor plate measures 1000 x 388mm.",Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> Myson Floortec double floor plate 1000 x 388mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/35/261935_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_25085Underfloor_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
6,P206199,Beneath Heat saswell 230v 2 wire actuator,Beneath Heat,17.22,This Beneath Heat 230V two-wire NC actuator head is designed for use in underfloor heating applications.,Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> Beneath Heat saswell 230v 2 wire actuator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/99/206199_wm.jpg,,,,,,N,,SA91,UFH Control,N,Two-wire design,Normally closed,For underfloor heating use,,,,,,,,,,
7,P262686,Myson Floortec coil 17 x 2mm 80mtr,Myson,188.8,"The five layer polyethylene Myson Floortec PEXcellent 17mm diameter underfloor heating pipe, supplied in an 80M coil, includes an integral oxygen barrier. Compatible with most Myson Floortec heating systems, including the low-profile Microboard, this pipe is environmentally-friendly, manufactured with no chemical additives used in either production or disposal.",Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> Myson Floortec coil 17 x 2mm 80mtr,,Underfloor heating pipe;Integral oxygen barrier,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/89/262686_262689_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,,,,,,,,,,,,,,,,,,,,,,
8,P262688,Myson Floortec coil 17 x 2mm 200mtr,Myson,472.0,"The five layer polyethylene Myson Floortec PEXcellent 17mm diameter underfloor heating pipe, supplied in a 200M coil, includes an integral oxygen barrier. Compatible with most Myson Floortec heating systems, including the low-profile Microboard, this pipe is environmentally-friendly, manufactured with no chemical additives used in either production or disposal.",Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> Myson Floortec coil 17 x 2mm 200mtr,,Underfloor heating pipe;Integral oxygen barrier,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/89/262686_262689_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,,,,,,,,,,,,,,,,,,,,,,
9,P581481,JG Underfloor Lowfit fibr mesh panel 16mm 12mm pipe,JG Underfloor,26.99,"Providing a high output in low height screed floor underfloor heating systems, JG Underfloor LowFit 16mm low profile castellated panels feature equally spaced castellations at 50mm, allowing for the secure clipping in of 12mm pipe. With an overlapping alignment system, LowFit offers quick, easy installation and features strong adhesive backing for reliable adherence to an existing sub floor structure. Designed for use in solid screed floors, LowFit has an open grid design for uninterrupted flow and even settling of your screed.",Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> JG Underfloor Lowfit fibr mesh panel 16mm 12mm pipe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/81/NW-581481_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/22/John_Guest_RWC_Product_Guide_Feb2022.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/JG_Underfloor_Heating_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
