,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Range,Connection Type,Diameter,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Feature 7,Feature 8,Feature 9,Pack Quantity,Depth (mm),Feature 10,Feature 11,Feature 12,Attachment 4,Finish,Weight
0,P171203,Fluidmaster Univers Cistern Repair Pk,Fluidmaster,31.49,"Promising high quality and reliable durability, this Fluidmaster PRO Series universal cistern pack was developed with plumbing professionals in mind. A handy addition to your stockroom, this pack includes a brass shank fill valve, flush valve and fittings.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Fluidmaster Univers Cistern Repair Pk,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/03/NW-171203_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/lv/Fluidmaster_Toilet_Symptom_Fill_Valv.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/lu/nk/Fluidmaster_Toilet_Symptom_Clunk.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P257474,Center cistern lever and nylon arm,Center,6.99,"This Center cistern lever and arm pack is built around a lever made of solid metal with a smooth chrome finish. Also included in the pack is a multi-purpose nylon lift arm and a 1/2"" bush, giving you everything you'll need for a complete fitting job.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Center cistern lever and nylon arm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/74/257474_wm.jpg,,,,N,PPSLEV374503,Lever and Arm Pack,N,Solid metal and nylon construction,Metal is chrome-plated,Suitable for most lever flush cisterns,Lever shape ensures space to fully grab handle for ease of flushing,With bush nut and plastic lift arm,,,,,,,,,,,,,,,,,,,,,,
2,PB92100,"Thomas Dudley Turbo 88 high two part syphon 6-9ltr 9""",Thomas Dudley,18.75,"This Thomas Dudley Turbo 88 high 9"" two part siphon is supplied as standard in Dudley Tri-Shell cisterns and available as an optional extra in many others so it's ideal for retrofit and replacement. With its two part design there's no need to disconnect the water supply or take the cistern apart, simply pull out the siphon body for service in under five minutes.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Turbo 88 high two part syphon 6-9ltr 9""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/05/NW-B92100_B92105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PB92104,Thomas Dudley Turbo 88 telescopic duo flush syphon 191-241mm,Thomas Dudley,19.75,"This Thomas Dudley Turbo 88 high adjustable two part siphon is supplied as standard in Dudley Tri-Shell cisterns and available as an optional extra in many others so it's ideal for retrofit and replacement. With its two part design there's no need to disconnect the water supply or take the cistern apart, simply pull out the siphon body for service in under five minutes.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Turbo 88 telescopic duo flush syphon 191-241mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/05/NW-B92100_B92105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P257471,Center WC cistern close coupling kit,Center,6.25,"Containing all you'll need for a securely watertight toilet connection, this Center WC cistern close coupling kit incorporates a 1 1/2"" cranked steel plate, 1 1/2"" rubber doughnut washer and nuts, bolts and washers.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Center WC cistern close coupling kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/71/257471_wm.jpg,,,,N,PPSCCK374425,Cistern Kit,N,For close-coupled WCs,"For cisterns with 1 1/2"" outlet",Includes cranked steel plate,"With nuts, bolts and washers",Includes doughnut washer,,,,,,,,,,,,,,,,,,,,,,
5,P103681,"Fluidmaster Pro Series dual flush split adjustable syphon 7.1/12 -9.1/2""",Fluidmaster,19.25,"The Fluidmaster Pro Series universal dual split flush siphon is a fit for nearly all 1 1/2"" lever operated toilet cisterns.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Fluidmaster Pro Series dual flush split adjustable syphon 7.1/12 -9.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/81/NW-103681_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Fluidmaster_Pro_Ultra_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PD32484,Ideal Standard cistern cover button dual flush long ratchet,Ideal Standard,14.99,This Ideal Standard dual push button is designed for dual flush Armitage Shanks toilet models. It includes two metal elements for a variable flush.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Ideal Standard cistern cover button dual flush long ratchet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/84/NW-D32484_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P257472,"Center internal flushpipe connector 1 1/2""",Center,3.77,"Simply pushing on for a reliable leak-proof seal, the Center 1 1/2"" internal flush pipe connector is for use in internal WC plumbing. Manufactured in robust PVC in a white finish to suit most bathroom suites, this standard size connector is designed to fit most sanitaryware.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Center internal flushpipe connector 1 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/72/257472_wm.jpg,,,,N,PPSFLS374452,Flush Pipe Connector,N,PVC construction,White colour,For internal use,Suitable for 38mm connections,Suits most sanitaryware,Easy installation,,,,,,,,,,,,,,,,,,,,,
8,PC58935,"Thomas Dudley Dudley close coupled flat plate kit 1.5""",Thomas Dudley,6.84,"This complete flat plate close coupled kit contains everything you'll need to seal an Ideal Standard cistern to a pan with a reliable, watertight connection.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Dudley close coupled flat plate kit 1.5""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/35/NW-C58935_wm.jpg,,,,N,PTOCCK363770,Close Coupling Kit,N,"Supplied with 1 1/2"" flat plate, nuts, bolts and I.S sealing ring","For cisterns with 1 1/2"" outlet",,,,,Dudley,,,,,,,,,,,,,,,,,,,,
9,PC58986,Masefield Delchem bottom inlet with adjustable plastic arm,Masefield,8.52,A Masefield Delchem bottom inlet cistern float valve with adjustable arm.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Masefield Delchem bottom inlet with adjustable plastic arm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/86/NW-C58986_wm.jpg,,,,N,367016,Float Valve,N,Supplied with adjustable float arm extendable 152 - 229mm,"1/2"" plastic tail",Float supplied separately,Fits most cisterns,Approved to BS1212 Part 3,,Delchem,,,,,,,,,,,,,,,,,,,,
10,P173001,"Wirquin plastic float with insert (bsw) 4.1/2"" 5/16"" Brass",Wirquin,2.13,"These Wirquin 4 1/2 x 5/16"" plastic floats include brass inserts and offer compatibility with most toilet cisterns.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Wirquin plastic float with insert (bsw) 4.1/2"" 5/16"" Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/01/NW-173001_wm.jpg,,,,N,DBS042WC,Float with Insert,N,Pack of 10,Plastic float,For use with toilets,"With 5/16"" brass insert",Blue colour,,,Float,4.5,Brass insert,Unequal,4-1/2,5/16,Plastic,4-1/2 x 5/16,BSW,,,,,,,,,,,
11,PC01008,Thomas Dudley Dudley doughnut shape plate bolts close coupling kit,Thomas Dudley,6.36,This close coupling kit with doughnut washer is a useful set designed to secure a close coupled cistern to a close coupled pan with watertight security.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Dudley doughnut shape plate bolts close coupling kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/08/C01008_wm.jpg,,,,N,PTOCCK363765,Close Coupling Kit,N,"Supplied with 1 1/2"" cranked plate, nuts, bolts and standard rubber doughnut washer","For cisterns with 1 1/2"" outlet",,,,,Dudley,,,,,,,,,,,,,,,,,,,,
12,PC58985,Masefield Delchem side inlet with adjustable plastic arm,Masefield,5.46,This Masefield Delchem side inlet cistern float valve with adjustable arm is supplied with high pressure and low pressure restrictor seats attached to the float arm.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Masefield Delchem side inlet with adjustable plastic arm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/85/NW-C58985_wm.jpg,,,,N,367015,Float Valve,N,Supplied with adjustable float arm extendable 152 - 229mm,"1/2"" plastic tail",Float supplied separately,Fits most cisterns,Quiet and efficient fill,Reduces water hammer,Delchem,,,,,,,,,,High pressure seat for 3 - 14 bar water pressure,Low pressure seat for water pressure of 3 bar and under,Approved to BS1212 Part 3,,,,,,,,
13,P257486,Center flux brushes 3 pack,Center,8.99,"Ideally shaped for applying liquid or paste flux, these Center flux brushes are designed with wooden handles and crimped nylon bristles to minimise the damage done by corrosive substances used when soldering pipes.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Center flux brushes 3 pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/86/257486_wm.jpg,,,,N,PHTPLC374588,Flux Brush Pack,N,Pack of 3,With wooden handles,Fine brushes reduce corrosive damage,Ideal for use when soldering pipe with flux paste,,,,,,,,,,,,,,,,,,,,,,,
14,PC01009,Thomas Dudley Dudley close coupling bolt set - cistern to pan,Thomas Dudley,2.59,This close coupling bolt set is a handy replacement kit designed to secure a close coupled cistern to a close coupled pan.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Dudley close coupling bolt set - cistern to pan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/09/C01009_wm.jpg,,,,N,PTOCCS363768,Bolt Set,N,"Supplied with nuts, bolts and washers",Long type bolts,Multiple washers ensure a watertight fit,,,,Dudley,,,,,,,,,,,,,,,,,,,,
15,PC93231,Ideal Standard nozzle (for 505 Chrome Plated),Ideal Standard,7.75,An Ideal Standard aerator for basin mixers and taps.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Ideal Standard nozzle (for 505 Chrome Plated),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/31/NW-C93231_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PB92101,"Thomas Dudley Turbo 88 high two part syphon 6-9ltr 8.5""",Thomas Dudley,23.42,"The Thomas Dudley Turbo 88 high 8.5"" two part siphon is an ideal replacement in most ceramic and plastic cisterns. A 6/7/9L convertible design, this siphon offers easy, fast maintenance.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Turbo 88 high two part syphon 6-9ltr 8.5""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/05/NW-B92100_B92105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TDudley_Turbo88_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
