,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Pack Quantity,Range,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 1,Colour,Material,Size,Application,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Drive,Connection Type,Handle Type,Weight,Power Supply,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 2,Diameter,Head Material,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Length (M),Warranty
0,P581061,Center CB Webbed Abrasive Strip  SEL0004CB webbed abrasive mini strips (Pack of 10),Center CB,7.18,This Center CB webbed abrasive mini strip cleans pipework quickly and easily.,Trade Essentials/Hand Tools/Hand Tools.csv -> Center CB Webbed Abrasive Strip  SEL0004CB webbed abrasive mini strips (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/61/NW-581061_wm.jpg,pack of 10,Webbed Abrasive Strip,N,250mm x 50mm x 8mm,SEL0004CB,Abrasive Mini Strip,N,10 strips,For use in wet and dry applications,Alternative to steel wool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P581062,Center CB webbed abrasive strip roll 5mtr,Center CB,8.99,This Center CB webbed abrasive strip cleans pipework quickly and easily.,Trade Essentials/Hand Tools/Hand Tools.csv -> Center CB webbed abrasive strip roll 5mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/62/NW-581062_wm.jpg,,,N,5000 mm (L),SEL0001CB,Abrasive Strip Roll,N,5M roll,Alternative to steel wool,Suitable for use in wet and dry conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PT64054,Rothenberger 8.8802 pipe slice copper tube cutter 22mm,Rothenberger,19.42,"This Rothenberger pipe slice kit ensures accurate one-handed cutting of 22mm copper tube. Suitable for use in confined or open spaces, this pipe slice automatically adjusts and locks on with an automatic self-clamping action for smooth cutting with no deformation.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger 8.8802 pipe slice copper tube cutter 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/53/T64053_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PN34250,Rothenberger pipe slice copper tube cutter 28mm,Rothenberger,30.35,"This Rothenberger pipe slice kit ensures accurate one-handed cutting of 28mm copper tube. Suitable for use in confined or open spaces, this pipe slice automatically adjusts and locks on with an automatic self-clamping action for smooth cutting with no deformation.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger pipe slice copper tube cutter 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/50/NW-N34250_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT64053,Rothenberger Pipeslice Copper Tube Cutter 15mm,Rothenberger,17.72,"This Rothenberger pipe slice kit ensures accurate one-handed cutting of 15mm copper tube. Suitable for use in confined or open spaces, this pipe slice automatically adjusts and locks on with an automatic self-clamping action for smooth cutting with no deformation.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger Pipeslice Copper Tube Cutter 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/53/T64053_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PT85876,Rothenberger Plasticut Pro Plasticut Pro 35 42mm 1.1/4In-1.1/2In,Rothenberger,31.32,"Suitable for cutting different sizes and types of plastic pipe, the Rothenberger Plasticut Pro 35 - 42mm (1 1/4 - 1 1/2"") cutting tool is a unique rotary pipe cutter with an easy to change blade. Supplied with a handy replacement blade, the Plasticut Pro has a simple hinged body that fits two different pipe profiles. Cutting cleanly and squarely, the tool's re-engineered blade will not deform a pipe.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger Plasticut Pro Plasticut Pro 35 42mm 1.1/4In-1.1/2In,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/76/NW-T85876_wm.jpg,,Plasticut Pro,N,,1000003042,Plasticut Pro,N,Cuts both 35mm and 42mm pipe,New hinged design,Simple and safe to use,,Red,Plastic,32mm-40mm,Plastic Pipe Cutting,Clean square cuts,Minimum pipe deformation,With 1 replacement blade,Easy change blade,Replacement blades available,Cuts barrier pipe,,,,,,,,,,,,,,,,,,
6,PT02783,Rothenberger 6 piece euro line screwdriver set,Rothenberger,31.49,"This Rothenberger Euroline six piece screwdriver set includes pozi and slotted screwdrivers manufactured in robust, highly resistant steel with dual-component handles. The set includes 5.5 x 125mm and 6.5 x 150mm slotted screwdrivers, 3.5 x 75mm and 4 x 100mm electricians screwdrivers and no.1 PZ1 100mm and No.2 PZ2 125mm pozidrive screwdrivers.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger 6 piece euro line screwdriver set,,1x - 5.5 x 125mm Slotted;6.5 x 150mm Slotted;1x - 3.5 x 75mm Electricians;1x - 4.0 x 100mm Electricians;1x - No.1 Pozidrive x 100mm (PZ1);1x - No.2 Pozidrive x 125mm (PZ2),https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/83/T02783_wm.jpg,,,N,,73571,Screwdriver Set,N,6 piece set,With two-component handles,Steel screwdriver construction,,,Steel,Multiple,,Offers high power transmission,High torsional strength,Guaranteed perfect fit in screw head,Colour coded pieces for ease of recognition,"Resistant to oil, grease and hydrocarbons",,Pozi and Slot,,,,,,,,,,,,,,,,,
7,PN20115,Rothenberger No.50 copper tube cutter 12-50mm,Rothenberger,31.28,"The Rothenberger No. 50 tube cutter is suitable for cutting copper, brass, aluminium and thin-walled steel pipes with diameters of 12 to 50mm ready for connection. A two-in-one tool capable of cutting close to flares for reduced waste, No. 50 has a foldable internal deburrer and a spare cutter hidden inside the handle.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger No.50 copper tube cutter 12-50mm,,1x Tube Cutter,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/15/N20115_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rothenberger_Hand Tools_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT86447,Rothenberger Wide Jaw Wrench 70461 Adjustable Wide Jaw Wrench 10'',Rothenberger,30.48,"Suitable for use in small, confined spaces, this Rothenberger 254mm adjustable wide jaw wrench is designed with a narrow profile and precision thumb turn adjustment.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger Wide Jaw Wrench 70461 Adjustable Wide Jaw Wrench 10'',,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/47/NW-T86445_T86447_wm.jpg,,Wide Jaw Wrench,N,,70461,Adjustable Wrench,N,Opens to 50mm,Narrow jaw profile,Precise thumbturn adjustment,,Black/Red/Silver,Steel,15 (W) x 265 (H) mm,Ideal when working in confined spaces,Calibrated jaws for accurate sizing,Comfortable soft-grip handle,Jaw protectors protect polished surfaces,,,,,10 x 50mm,,,,,,,,,,,,,,,,
9,PN39447,Rothenberger multi bender 12-15-22mm,Rothenberger,71.38,"Cost effective and time efficient, this Rothenberger multibender bends copper and stainless steel pipes with 15 and 22mm diameters. Creating sweeping bends and curves, this tool removes the need tor tight 90° bend fittings, reducing frictional resistance and making for a faster and more efficient system.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger multi bender 12-15-22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/47/NW-N39447_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT86446,Rothenberger Adjustable Wide Jaw Wrench 8'',Rothenberger,24.03,"Ideal for use in confined spots, this Rothenberger 210mm adjustable wide jaw wrench has a narrow profile and precision thumbturn adjustment. The wrench's jaw opens to 38mm.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger Adjustable Wide Jaw Wrench 8'',,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/47/NW-T86445_T86447_wm.jpg,,,N,,70460R,Adjustable Wrench,N,Maximum jaw width 38mm,Narrow jaw profile,Precise thumbturn adjustment,,,Aluminium,,,Calibrated jaws for accurate sizing,Comfortable soft-grip handle,Jaw protectors won't damage polished surfaces,,,,,,Anti-Slip,,,,,,,,,,,,,,,
11,P257447,Center brass clock type radiator key,Center,1.71,"With its easy-grip design, the Center brass clock-type radiator key makes bleeding radiators simple. With its conventional female end, this radiator key is used to release air from a central heating system - a job that may need to be carried out if a radiator feels cold at the top but remains warm lower down.",Trade Essentials/Hand Tools/Hand Tools.csv -> Center brass clock type radiator key,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/47/257447_wm.jpg,,,N,,PPSNUT374504,Radiator Key,N,High quality brass construction,Clock-type design,Square female end,,Brass,Brass,39 x 33.5 x 8.3,Commercial,For commercial applications,,,,,,,,,,,,,,,,,,,,,,,
12,PN20123,"Rothenberger traditional force cup 5""",Rothenberger,5.96,"The Rothenberger 5"" traditional force cup is easy to use and highly effective. It employs water pressure to reliably clear blockages from drains and pipes.","Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger traditional force cup 5""",,1x Force Cup,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/23/N20123_wm.jpg,,,N,465 x 135 x 135 mm,130052,Plunger,N,For effective blockage removal,For drain or pipe unblocking,Uses water pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
