,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Connection Size,Connection Type,Material Type,Material,Size,Type,Diameter,Length (M),Operating Temperature,Warranty,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Gender,Connection Type 1,Weight,Attachment 1,Attachment 2,Attachment 3,Pack Quantity,Grade,Connection Type 2,Feature 4
0,P505454,Center CB Brass Hexagon Bush 1/2 x 1/4,Center CB,0.96,"Made of hardwearing brass, this Navigator MSL 1/2 x 1/4"" threaded hexagonal bush is suitable for use in domestic plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Center CB Brass Hexagon Bush 1/2 x 1/4",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/19/505419_wm.jpg,N,CMBRBUSH-DB,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
1,P505128,"Midland Brass brass blanking cap and washer 3/4""",Midland Brass,1.43,"This Midland Brass 3/4"" blanking cap and washer is made of metallic finished brass and includes threaded connections.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Midland Brass brass blanking cap and washer 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/28/NW-505128_wm.jpg,N,MBRBCWS-E,N,Cooker chain assembly kit,Snap shackle/quick release design,Similar to that illustrated in BS 6172,3/4 inch,Threaded,Brass,Brass,3/4 in,Cap and Washer,,,,,,,,,,,,,,,,,,
2,P505441,Center CB Brass Hexagon Bush 1/2 x 3/8,Center CB,1.46,"Manufactured in robust brass, this Navigator MSL 1/2 x 3/8"" threaded hexagonal bush is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Center CB Brass Hexagon Bush 1/2 x 3/8",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/19/505419_wm.jpg,N,CMBRBUSH-DC,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
3,P505448,Center CB Brass Hexagon Nipple 1/2,Center CB,1.47,"Made of hardwearing brass, this Navigator MSL 1/2"" threaded hexagonal nipple is suitable for use in hot or cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Center CB Brass Hexagon Nipple 1/2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/58/505458_wm.jpg,N,CMBRHN-D,N,Suitable for use in hot and cold water,Brass construction,Self colour,,,,,,,,,,,,,,,,,,,,,,,,
4,P505418,Center CB Brass Hexagon Bush 1 x 3/4,Center CB,1.34,"Manufactured in robust brass, this Navigator MSL 1 x 3/4"" threaded hexagonal bush is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Center CB Brass Hexagon Bush 1 x 3/4",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/19/505419_wm.jpg,N,CMBRBUSH-FE,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
5,P255693,"Midland Brass copper tube 350mm and wall plate 1/2"" x 15mm",Midland Brass,6.5,"Made of brass and copper, this Midland Brass 1/2"" wall plate and copper tube has a contemporary brushed finish.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Midland Brass copper tube 350mm and wall plate 1/2"" x 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/93/NW-255693_wm.jpg,N,CBFWPT350-15D,N,"15mm x 1/2"" straight brass wall plate fitting with 350mm copper tube attached",,,1/2 inch,,,,,Wall Plate and Copper Tube,1/2,0.35,,,,,,,,,,,,,,,,
6,P505440,Center CB Brass Hex Head Flanged Plug 1/4,Center CB,1.27,"Manufactured in robust brass, this Navigator MSL 1/4"" threaded flanged plug is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Center CB Brass Hex Head Flanged Plug 1/4",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/34/505434_wm.jpg,N,CMBRFP-B,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
7,P505449,Center CB Brass Hex Head Flanged Plug 1/2,Center CB,1.58,"Manufactured in robust brass, this Navigator MSL 1/2"" threaded flanged plug is suitable for use in domestic plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Center CB Brass Hex Head Flanged Plug 1/2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/34/505434_wm.jpg,N,CMBRFP-D,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
8,P505438,Center CB Brass Hexagon Bush 3/4 x 1/2,Center CB,1.45,"Manufactured in robust brass, this Navigator MSL 3/4 x 1/2"" threaded hexagonal bush is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Center CB Brass Hexagon Bush 3/4 x 1/2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/19/505419_wm.jpg,N,CMBRBUSH-ED,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
9,P505430,Center CB Brass Hexagon Bush 1/2  x 1/8,Center CB,1.81,"Manufactured in robust brass, this Navigator MSL 1/2 x 1/8"" threaded hexagonal bush is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Center CB Brass Hexagon Bush 1/2  x 1/8",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/19/505419_wm.jpg,N,CMBRBUSH-DA,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
