,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Hazardous,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Range,Warranty,Depth (mm),Smart,Switch Type,Battery Back Up,Number of Zones,Switching Capacity (amps),Programmable Duration,On / Off Periods per Day,Auto GMT / BST,Dimensions (L x W x D),Dimensions mm (H x W x D),Display Type,Installation Type,Number of Channels,Application,Feature 5,Feature 6,Pack Quantity,Voltage (V),Setting Range,Operating Temperature Range (C),Feature 7,Feature 8,Feature 9,Attachment 5,Attachment 6,Attachment 7,Attachment 8,Diameter,Operating Temperature,Weight,Range For Use With
0,P340023,Center CB EHE0200123 wired 7-day programmable room thermostat,Center CB,32.5,"This Center CB RF wired 7-day programmable room thermostat offers reliable technology designed for efficient heating. While adaptive control technology maintains home temperature by matching the heating system output to demand, optimum start/stop learns the system's warm-up/cool-down response times, calculating the best possible time to switch on and off. These features not only improve heating comfort in the home but improve energy use for potential cost savings.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Center CB EHE0200123 wired 7-day programmable room thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/23/NW-340023_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/340023_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Center_340022_340023_Userguide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/340022_Startguide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/340023_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P240710,Honeywell Home St9400C Programmr 7Day 2 Chan,Honeywell Home,91.76,"Controlling heating and stored hot water in complete systems, the ST9400C two channel, seven day programmer has up to three on/off periods per day, optional 5/2 or one day programming and independent heating and hot water control for maximum efficiency. Offering the option to set as a mini programmer for older gravity circulation stored hot water systems, where there is no interlocking control valve, ST9400C is suitable for combi boilers, heating zones or any application where small electric loads are switched. The programmer's Line of Text (LoT) display gives clear instructions whenever any button or slider is used for simple, hassle-free use.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Honeywell Home St9400C Programmr 7Day 2 Chan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/10/240710_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P336334,Hive Active Heating Thermostat V3,Hive,128.32,"Intuitive and easy to use, this Hive thermostat can be installed with an existing home heating system. Using Hive's Active Heating System and the iOS and Android compatible Hive app, users have complete control of their comfort via smartphone, tablet or even computer. Plugging into a broadband router, the Hive hub allows remote control of a thermostat while the receiver provides direct communication between the stat and boiler.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Hive Active Heating Thermostat V3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/34/336334_wm.jpg,,,,,N,Control Panel,Compatible with all boilers,851814,Thermostat,N,Controllable via smartphone or device,"Compatible with Alexa, Google Assistant and Siri",Controls boilers with a separate hot water tank,Professional installation required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P336335,Hive Active Heating &Hot Wtr T/Stat V3,Hive,128.32,"Suitable for boilers with separate hot water tanks, this Hive thermostat can be easily controlled via your smartphone or smart speaker making setting your comfort simple, whether from the comfort of your sofa or on your way home from the supermarket.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Hive Active Heating &Hot Wtr T/Stat V3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/35/336335_wm.jpg,,,,,N,Control Panel,Compatible with all boilers,851816,Thermostat,N,Controllable via smartphone or device,"Compatible with Alexa, Google Assistant and Siri",Controls boilers with a separate hot water tank,Professional installation required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P310521,Honeywell Home T6360B 1028 T6360B 1028 Room Stat 240V 10A,Honeywell Home,21.0,"The T6360B room thermostat is a standard model complete with heat anticipator and RFI suppressor to protect from external electrical interference. As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Honeywell Home T6360B 1028 T6360B 1028 Room Stat 240V 10A,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/21/310521_wm.jpg,,,,,N,Control Panel,N/A,T6360B1028,Thermostat,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P302050,Drayton RTS1 Room Tstat Spst 240V,Drayton,16.0,The Drayton RTS1 room thermostat with SPST contacts employs electronic sensing for highly accurate temperature control.,Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Drayton RTS1 Room Tstat Spst 240V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/50/NW-302050_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_RTS_Thermostat_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Drayton_RTS_Quick_Start_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/Drayton_Product_Catalogue_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_RTS_Thermostat_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P340006,Center CB 2-channel 5/2 day programmer,Center CB,29.0,This Center CB 5/2 day two channel electronic full programmer offers accurate time control for central heating installations with separate programmes for heating and hot water. It can be used to program individual heating schedules for weekdays and weekends.,Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Center CB 2-channel 5/2 day programmer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/06/NW-340006_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/CenterCB_340006_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_340006_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P311892,Honeywell Home DT4 @ hw home dt4 wired digital thermostat,Honeywell Home,33.0,"Suitable for use in houses or apartments, the Honeywell Home DT4 wired digital thermostat supplies reliable room temperature control via heating, cooling and off modes. Slimline and modern, this thermostat blends style and functionality with operation via a large, easy to read LED display and simple wake up button. The DT4 wired thermostat is suitable for use in a range of systems, including hybrid and green energy systems.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Honeywell Home DT4 @ hw home dt4 wired digital thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/92/311892_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P336034,Drayton Lifestyle LP722 Lp722 7Day Programmer,Drayton,69.25,"Allowing for independent settings for each day of the week, the Drayton Lifestyle LP722 7 day programmer can help provide impressive energy savings for those whose day-to-day life is less predictable, ideal for part time or shift workers. A holiday mode allows temporary shut down while you're away.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Drayton Lifestyle LP722 Lp722 7Day Programmer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/34/NW-336034_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_Lifestyle_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_Lifestyle_LP_LPSI_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P240707,Honeywell Home St9100C Timer 7 Day 1 Channel,Honeywell Home,66.76,"Designed for control of a combi boiler or single zone, the ST9100C one channel time switch is suitable for mains, low voltage or potential-free switching of a heating load. This seven day timer offers up to three on/off switchings per day with the flexibility to programme each day differently with optional 5/2 or one day programming set up during install. The ST9100C's Line of Text (LoT) display gives clear instructions whenever any button or slider is touched, making everything, from installation to daily use, simple and confusion-free.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Honeywell Home St9100C Timer 7 Day 1 Channel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/07/240707_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
