,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Connection Size,Connection Type,Diameter,Range,Warranty,Weight,Hazardous,Drainage Product Type,Material,Resistance Features,Wall Thickness (mm),Paintable,Standards,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8
0,PF68581,Polypipe PolyFlow deep capacity gutter Black (4m),Polypipe,87.32,"Suitable for domestic use, particularly in high rainfall areas, this Polyflow deep capacity gutter is made of black PVC-U and incorporates 117mm push-fit ends. It is supplied in a 4M length.",Drainage/Rainwater Guttering and Fittings/Rainwater Guttering and Fittings.csv -> Polypipe PolyFlow deep capacity gutter Black (4m),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/81/NW-F68581_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_Plumbing&Heating_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PQ64823,"Wavin Osma RoundLine gutter 4.1/2"" x 4mtr Black",Wavin,40.2,"Ideal for domestic use, this Wavin Osma RoundLine 112mm hanging gutter is made of black PVC-U with a classic half-round profile. It is supplied in a 4M length.","Drainage/Rainwater Guttering and Fittings/Rainwater Guttering and Fittings.csv -> Wavin Osma RoundLine gutter 4.1/2"" x 4mtr Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/23/NW-Q64823_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
2,PQ64460,"Wavin Osma RoundLine gutter support bracket 4.1/2"" Black",Wavin,2.87,"Ideal for domestic use, this Wavin Osma RoundLine 112mm gutter support bracket for hanging gutters is made of black PVC-U with a classic half-round profile.","Drainage/Rainwater Guttering and Fittings/Rainwater Guttering and Fittings.csv -> Wavin Osma RoundLine gutter support bracket 4.1/2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/60/NW-Q64460_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
3,PF68588,Polypipe Polyflow deep fascia bracket 75mm Black,Polypipe,5.41,"Suitable for domestic use, this Polypipe fascia bracket is made of white PVC-U and incorporates 117mm push-fit ends.",Drainage/Rainwater Guttering and Fittings/Rainwater Guttering and Fittings.csv -> Polypipe Polyflow deep fascia bracket 75mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/88/NW-F68588_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ti/Polypipe_Rainwater_System_BBA_Certi.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PF87779,Calder hank lead wool 500g,Calder,16.62,"Suitable for use as a caulking agent for sealing joints between lead and steel fittings, this 1/2kg hank of Calder lead wool is made of thin strands of lead. Supplied in a range of lead alloy specifications ranging from 0 to 0.5% antimony to chemical A, lead wool is available in different make-ups to suit a variety of applications.",Drainage/Rainwater Guttering and Fittings/Rainwater Guttering and Fittings.csv -> Calder hank lead wool 500g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/79/NW-F87779_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Calder_Lead-Related_Prods_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Calder_Lead_Metal_Sheet_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PH39150,"Bluebird GWB25 galvanised wire balloon 2.1/2""",Bluebird,2.64,"This Bluebird 2 1/2"" wire balloon is made of steel with a galvanised finish. It is designed for use in drainage pipes and guttering.","Drainage/Rainwater Guttering and Fittings/Rainwater Guttering and Fittings.csv -> Bluebird GWB25 galvanised wire balloon 2.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/50/NW-H39150_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bluebird_Fixings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PF87110,Calder Code 4 lead flashing 37kg (Code-4) 3mtr x 600mm,Calder,241.5,"The professional's choice for a wide range of applications, this Calder Code 4 3000 x 600mm roofing lead flashing roll is suitable for valley gutters, porches and dormers. Extremely malleable and easy to work with, this hard wearing and high quality 1.8mm thick flashing offers outstanding levels of protection from the elements. Produced to BS EN 12588, Calder Code 4 flashing provides predictable, reliable performance where correctly specified and fitted.",Drainage/Rainwater Guttering and Fittings/Rainwater Guttering and Fittings.csv -> Calder Code 4 lead flashing 37kg (Code-4) 3mtr x 600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/10/NW-F87110_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Calder_Lead-Related_Prods_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Calder_Roofing_Products_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Calder_LeadMetalSheet_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
7,PQ64837,Wavin Wavin Osma RoundLine build-in spike 200mm long,Wavin,8.79,"Made of silver steel, this Wavin Osma RoundLine 200mm long build-in spike with 68mm push-fit connection is part of the smart semi-round profile RoundLine domestic guttering system.",Drainage/Rainwater Guttering and Fittings/Rainwater Guttering and Fittings.csv -> Wavin Wavin Osma RoundLine build-in spike 200mm long,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/37/NW-Q64837_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
8,PQ64818,"Wavin Osma RoundLine pipe bracket 2.1/2"" Black",Wavin,4.97,"Ideal for domestic use, this Wavin Osma RoundLine 68mm pipe bracket with single screw lock facility is made of black PVC-U with a classic half-round profile.","Drainage/Rainwater Guttering and Fittings/Rainwater Guttering and Fittings.csv -> Wavin Osma RoundLine pipe bracket 2.1/2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/18/NW-Q64818_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
9,PF68582,Polypipe Polyflow deep gutter union 75mm Black,Polypipe,12.87,"Suitable for domestic use, this Polypipe deep gutter union is made of black PVC-U and incorporates 117mm push-fit ends.",Drainage/Rainwater Guttering and Fittings/Rainwater Guttering and Fittings.csv -> Polypipe Polyflow deep gutter union 75mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/82/NW-F68582_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ti/Polypipe_Rainwater_System_BBA_Certi.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
