,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Pack Size,Pack Type,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Pack Quantity,Attachment 5,Weight,Colour,Physical State / Form,Application,Testing Capability,Battery Life,Power Supply,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Connection Size,Diameter,Length (M),Size
0,P581046,Center Cleaning 1102 3 plyable perforated wipes,Center,4.05,"Supplied in an easy-tear roll, these Center CB perforated wipes are made of a good quality three-ply tissue, ideal to keep in the van or workshop for quick wiping down and mopping up spillages.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Center Cleaning 1102 3 plyable perforated wipes,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/46/581046_wm.jpg,Cleaning,N,1,Roll,470 x 377 x 512,1102,Perforated Wipes,N,Blue colour,Strong 3-ply,Multi-purpose use,Excellent cleaning ability,Offer value for money,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P688748,Pump House Pro-Universal universal coil cleaner 5ltr,Pump House,102.84,"Suitable for condensers, evaporators and air filters, Pump House DiversiTech Pro-Universal coil cleaner is a NSF food safe registered universal indoor and outdoor solution for effective cleaning with no detrimental effect on coils. Pro-Universal's inhibitor prevents the cleaner from attacking delicate fins, concentrating its power on actively breaking down soil and dirt. Non-foaming, this self rinsing product is safer for the user and the environment compared to traditional foaming coil cleaners.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Pump House Pro-Universal universal coil cleaner 5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/48/NW-688748_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTech_Pro_Univr_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_ProUniv_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
2,PN57863,Duracell Procell AA battery (Pack of 10),Duracell,4.47,"Made using superior cell design, these Duracell Procell alkaline manganese dioxide AA batteries meet stringent battery standards, incorporating parts of the ANSI and IEC battery standards for safety and quality. Economically packaged in bulk and individually date-coded for effective inventory management, Procell alkaline batteries are designed in collaboration with manufacturers for effective use in professional devices.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Duracell Procell AA battery (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/64/NW-N57861_N57864_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Duracell_MN1500_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P613235,Diversitech Swoosh CO2 swoosh cartridges,Diversitech,45.52,This pack of Diversitech Swoosh drain gun CO2 cartridges delivers 800psi of oil-free air for condensate drain clearing. Each cartridge is environmentally safe and can be recycled.,Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Diversitech Swoosh CO2 swoosh cartridges,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/35/NW-613235_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Diversitech_SWOOSH_Drain_Gun_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Diversitech_SWOOSH_Drain_Gun_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P651277,Center CB spray duster 300ml,Center CB,16.04,"Center CB spray duster provides a simple solution to the problem of dust & debris in a wide range of technical equipment. Producing a high-pressure, non-flammable dry stream this spray duster is perfect for use on all types of technical and delicate equipment such as burner jets and heat exchangers to remove cobwebs, dust & debris. It is also versatile, being safe to use on access panels, appliance casings, computer equipment, keyboards, and other electrical equipment. Supplied with straw for access to hard to reach places.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Center CB spray duster 300ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/77/NW-651277_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_651277_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_651277_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P514518,Center CB Cotton Twill Dust Sheet 12 x 9ft,Center CB,9.49,"Superior to the usually used plain cotton sheeting, this Center CB 12 x 9' twill dust sheet is ideally folded in two to provide protection to carpets, flooring and furniture when painting and decorating.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Center CB Cotton Twill Dust Sheet 12 x 9ft,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/at/ed/NW-514518-UPDATED_wm.jpg,,N,,,12 (L) x 9' (W),AD62822,Twill Dust Sheet,N,Professional quality,Heavy duty cotton twill,Laminated backing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P689167,Advanced Engineering HydroSprayer cleaner applicator,Advanced Engineering,68.3,"Suitable for use indoors and outdoors, this Advanced Engineering HydroSprayer cleaner applicator is designed for use with Advanced coil cleaner concentrates. Easy to clean and fill, the HydroSprayer features an adjustable nozzle, providing just enough pressure to effectively clean without causing damage.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Advanced Engineering HydroSprayer cleaner applicator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/67/NW-689167_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_HydroSprayer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P514526,Big Wipes Heavy Duty Surface Wipes – Red Top,Big Wipes,13.99,"Big, thick and tough, these Big Wipes Red Top heavy-duty hand cleaner wipes are tough on grime yet kind to your hands. A high-performance, mobile multi-cleaner, water-based Red Tops will tackle any dirt or stain, removing paint, adhesives, sealants, silicone, PU foam and general dirt and grime while protecting skin with their blend of skin conditioners.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Big Wipes Heavy Duty Surface Wipes – Red Top,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/26/NW_514526_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Big-Wipes_Multi-Purpose_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P292341,Melpass Unblock-A-Block unlock a block drain clearer 1ltr,Melpass,9.43,"Unlock-A-Block is a highly concentrated blend of sodium and potassium hydroxides specifically designed to attack various materials that create blockages commonly caused by hair, grease, fat, oils, etc. This unique formulation is heavier than water and is designed to bind the active chemical ingredients together, allowing them to sink through other liquids to the source of the problem with minimum loss of activity, even deep within drainage systems. Unlock-A-Block is supplied as a full strength, heavy duty, industrial formulation, which makes it suitable for both the treatment of problem drains or for regular dosing as a preventative maintenance procedure. Unlock-A-Block is 100% water soluble and mixes with hard or soft water without issue. Unlock-A-Block can be used in all types of drains and grease traps to reduce foul odours and to kill a wide range of bacteria and fungi. Dosing regularly can ensure a free-flowing system all year round.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Melpass Unblock-A-Block unlock a block drain clearer 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/41/292341_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Melpass_Unlock-A-Block_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/Liquid Science_292341_TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PN57006,Floorprotec TacBac clear carpet protection 0.6m x 100m,Floorprotec,26.85,"Used to protect carpeted areas and staircases, this Floorprotec TacBac clear self-adhesive carpet protection film can be laid freehand in single strips or across a whole carpet area to create a waterproof barrier protecting from dirt, spills and foot traffic. Providing optimal health and safety adherence, TacBac won't travel like loose protection methods such as dust sheets.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Floorprotec TacBac clear carpet protection 0.6m x 100m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/06/NW-N57006_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Floorprotec_TacBac_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
