,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Connection Type,Operating Temperature,Warranty,Weight,Hazardous,Water Heating Declared Load Profile,Sound Power Level (Indoors),Output,Depth (mm),Re-heat times,Anti Legionella Function,Thermostat Temperature,Useage Single / Multi Point,Controls,Eco Setting,ErP Rating,IP Rating,Material,Max Pressure (Psi),Min Pressure (Psi),Mounting Type,Water Connection,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Range,Water Pressure,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Attachment 5,Attachment 6,Attachment 7,Attachment 8
0,PD74293,Vokera Aquanova LE NG heater and flue pack,Vokera,499.99,"Supplying instantaneous hot water to multiple outlets, the Vokera AquaNova LE NG water heater helps to improve consumer comfort in those homes where water is in high demand. Robustly built and offering high levels of performance, this 30kW LPG heater has an ErP A rating in recognition of its excellent levels of energy efficiency while its included flue is just one feature that helps to make installation fast and simple. Easy to use, the Aquanova is fitted with a simple digital display for intuitive operation.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Instant Water Heaters.csv -> Vokera Aquanova LE NG heater and flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/pk/D74293 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Vokera_AquaNova_LE_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PD70540,Heatrae Sadia Handy 3 hand wash unit and spout pack 3.1kW,Heatrae Sadia,113.49,"The manually operated Heatrae Sadia Handy 3 unvented handwash unit requires only a cold water supply and a mains electrical connection and includes push-fit connections for fast, convenient and neat installation over a basin or sink. Providing instant on-demand hot water, this practical, slimline and compact 3.2kW unit is ideal for use in workplace washrooms, offering high levels of protection from scalding and pressure build-up and an ErP A rating for improved efficiency.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Instant Water Heaters.csv -> Heatrae Sadia Handy 3 hand wash unit and spout pack 3.1kW,,Water heater;Spout assembly;Fixing screws ;plugs;Installation ;user Instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/40/D70540_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Handy_Handwash_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PD68910,Elson Handwash EHW3 manual handwash 3kW,Elson,69.0,"Install the compact Elson EHW3 2kW hand wash unit anywhere where handwashing facilities are vital but space is limited or a full hot water system isn't necessary. Ideal for staff or customer toilets or for medical or dental surgeries, the EHW3 has a convenient stainless steel swivel spout for convenience and a power on indicator as a handy reminder to switch off at the end of the day.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Instant Water Heaters.csv -> Elson Handwash EHW3 manual handwash 3kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/10/D68910_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Elson_EHW3_HW_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PD72603,Triton T30I T30I  electric handwash with arm new 3kW,Triton,92.7,"With its neat, compact design, the Triton T30I Handwash fits effortlessly into smaller spaces in order to supply instant hot water in those awkward locations where only a cold mains water supply is available.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Instant Water Heaters.csv -> Triton T30I T30I  electric handwash with arm new 3kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/03/D72603_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Triton_Instaflow_T30I_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Triton_Instaflow_T30I_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PD70446,Heatrae Sadia Multipoint Powerpack 9 instantaneous water heater 9kw,Heatrae Sadia,326.44,"The high quality 9kW Heatrae Sadia Multipoint Instantaneous unvented water heater is a reliable choice for busy residences such as student accommodation or bedsits, or to supply hot water in remote spots like garages or workrooms. Compact yet powerful, the ErP A-rated Multipoint is capable of supplying a shower outlet or spray tap.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Instant Water Heaters.csv -> Heatrae Sadia Multipoint Powerpack 9 instantaneous water heater 9kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/46/D70446_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HeatraeSadia_Multipoint_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HS_Unvented_PoU_Hot_Water_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Multipoint_Instant_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PD68140,Santon Hand Hygiene EV 2008/3 hand wash unit 3.1kw,Santon,107.71,"The compact, easy to install Santon EV 2008/3 instantaneous unvented hand wash unit effortlessly supplies on-demand hot water to a basin via a useful swivel spray outlet. The perfect choice for commercial properties where controlled water flow is required, the 3.1kW output Santon EV is ErP A-rated for cost-effective energy efficiency and reduced waste.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Instant Water Heaters.csv -> Santon Hand Hygiene EV 2008/3 hand wash unit 3.1kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/40/D68140_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_EV2008_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Santon_EV2008_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PD68142,Santon Hand Hygiene EV 2008 NT no touch handwash unit,Santon,170.2,"The Santon EV 2008 NT instantaneous no-touch unvented hand wash unit brings together economy and hygiene, providing on-demand hot water for handwashing in those environments where cleanliness is key. User-friendly, with a straightforward touch-free on/off control dial and tamper-proof adjuster for temperature flow control, this ErP A-rated 3.1kW Santon unit is supplied with a swivel spray outlet for direct water dispensing to a single basin.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Instant Water Heaters.csv -> Santon Hand Hygiene EV 2008 NT no touch handwash unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/42/D68142_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_EV2008_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Santon_EV2008_NT_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P112173,Hyco RHO thermostatic 4.4kW 140x190x80 inline water heater - white,Hyco,178.46,"Ideal for hand washing applications, the Hyco Rho 4.4kW thermostatic inline water heater is used to serve a single basin with a spray head tap. A compact unit, the Rho can help to save on space while also improving efficiency.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Instant Water Heaters.csv -> Hyco RHO thermostatic 4.4kW 140x190x80 inline water heater - white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/41/596341_wm.jpg,,,,,White,Compression,Temperature Factory Set At 38°C And Can Be Adjusted By The User Between 30°C and 48°C. Temperatures Vary Dependent On Incoming Water Temperature And Water Flow Rate,1 Year Parts Or Replacement Unit,1.6 kg,N,XXS,15 dB,44 kW,80,N/A,No,Adjusted By The User Between 30°C and 48,Single,Electronic,No,A,IPX4,Easy Clean High Impact ABS,108.78,14.5,Wall Mounted ONLY,1/2 BSP Male (40mm Apart Centre To Centre). Fittings Require (Not Supplied): 2 x 15mm Compression To 1/2 BSP Female Adapter.,IN44T,N,White finish,Instant hot water supplied to a single outlet,Improves efficiency with no standing losses,Compact design saves on space,External electronic thermostatic control is accurate to the nearest degree,Compatible with spray head taps with M22/ M24 nozzles,Not suitable for use with thermostatic mixing valves,Not suitable for supplying a single lever-operated mixer tap,Confirm that flow rate and temperature performance is adequate before installation,,,,,,,,,,,
8,P126716,Vokera Aquanova LE AquaNova LE NG multipoint water heater natural gas,Vokera,864.23,"Suitable for supplying water to multiple outlets, the high performance 30kW Vokera AquaNova LE natural gas water heater provides the comfort and convenience of instanaeous hot water. ErP A-rated for energy efficiency, this durably built water heater offers easy installation and user-friendly operation through an intuitive digital display.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Instant Water Heaters.csv -> Vokera Aquanova LE AquaNova LE NG multipoint water heater natural gas,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/16/126716_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Vokera_AquaNova_LE_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PD70445,Heatrae Sadia Multipoint Powerpack 7 instantaneous water heater 7kw,Heatrae Sadia,326.44,"The high quality 7kW Heatrae Sadia Multipoint Instantaneous unvented water heater is a reliable choice for busy residences such as student accommodation or bedsits, or to supply hot water in remote spots like garages or workrooms. Compact yet powerful, the ErP A-rated Multipoint is capable of supplying a shower outlet or spray tap.",Water Heating and Storage/Water Heaters/Instant Water Heaters/Instant Water Heaters.csv -> Heatrae Sadia Multipoint Powerpack 7 instantaneous water heater 7kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/45/D70445_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HeatraeSadia_Multipoint_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Multipoint_Instant_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HS_Unvented_PoU_Hot_Water_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
