,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Anti Slip,Colour,Grip Holes,Hazardous,Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Finish,Range,Thickness,Warranty,Material,Depth (mm),Pre-Drilled Waste Hole,Pre-Drilled Overflow,Anti Slip Surface,Grips or Handles,Number of Tap Holes,Shape,Fittings Included,Capacity Litre,Attachment 5,Feature 7,Feature 8,Position,Grips/Handles,Material Type,Style,Weight,Height (mm)
0,PA03230,Nabis Panel bath front panel 1700x510mm white,Nabis,22.49,Nabis front panel is easy to install and has a modern style that allows it to blend with any bathroom design.,Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Nabis Panel bath front panel 1700x510mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/33/A03230_33_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_MonroeDoubleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_BardotSingleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Jones_SingleEndBath_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PB61010,Nabis Steel Bath two tap hole enameled steel bath with twin grip and anti slip 1700 x 700mm White,Nabis,184.21,"Easy to install, this 1700mm Nabis rectangular bath is made of tough enamelled steel and includes chrome bath grips and an anti-slip surface for safer, more stable use.",Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Nabis Steel Bath two tap hole enameled steel bath with twin grip and anti slip 1700 x 700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/10/NW-B61010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Steel_Baths_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Wolseley_Care_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PA00240,Twyford David Wilson bath front panel White,Twyford,140.29,"With a modern, minimal design that won’t look out of place in the traditionally styled or contemporary bathroom and suitable for most baths, this Twyford 1700 x 510mm twin skin bath front panel is trimmable to fit your needs.  Made of double-skinned polystyrene with an outer skin of 3mm and a 2mm inner skin, this tough panel has a bonded, deep-ribbed backing for additional rigidity.  Simple to install, the bath panel is secured under the bath rim using clips provided, making it easy to remove should access to plumbing work be required and creating a sleek, tidy finish in all styles of bathroom.",Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Twyford David Wilson bath front panel White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/A00240_Primary_Image_wm.jpg,,,,,N,White,N,N,None,PP8170WH,Bath Front Panel,N,Deep ribbing for strength and rigidity,Universal panel,Can be trimmed to fit,Acrylic construction,Exact colour match to Twyford baths,2 year warranty,,,,,,,,,,,,,,,,,,,,,,,
3,PA03203,Nabis Jones singled ended bath straight 1700x750mm white,Nabis,175.55,"The practical, classically designed Nabis Jones 1700mm acrylic bath is designed to suit any bathroom, modern or traditional. With a single comfortable back rest end and a generous 750mm width, this bath is supplied without tap holes allowing you to select and install your preferred tap set-up, whether deck or wall-mounted, mixer or separates.",Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Nabis Jones singled ended bath straight 1700x750mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/03/NW-A03203_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Baths-Screens_Matrix_21Feb2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_StandardBathPanel_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Jones_SingleEndBath_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PD03928,Ideal Standard Tempo Cube no tap hole bath 1700 x 700mm White,Ideal Standard,242.9,The minimalist design of the Ideal Standard Tempo Cube 700mm width bath is ideal for contemporary bathrooms. This bath is designed to form a cohesive suite with other products in the Tempo range with Ideal Form and Ideal Form Plus+ versions available.,Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Ideal Standard Tempo Cube no tap hole bath 1700 x 700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/28/NW-D03928_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_E258001_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PD01724,Roca Gap reinforced standard bath front panel 1700mm White,Roca,198.68,This Roca Gap 515 x 1700mm reinforced front bath panel in white is suitable for acrylic baths.,Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Roca Gap reinforced standard bath front panel 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/25/NW-D01724_D01725_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D01724_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PA03202,Nabis Jones single ended bath straight 1700x700 white,Nabis,146.31,"The practical, classically designed Nabis Jones 1700mm acrylic bath is designed to suit any bathroom, modern or traditional. With a single comfortable back rest end, this bath is supplied without tap holes allowing you to select and install your preferred tap set-up, whether deck or wall-mounted, mixer or separates.",Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Nabis Jones single ended bath straight 1700x700 white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/02/NW-A03202_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Baths-Screens_Matrix_21Feb2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_StandardBathPanel_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Jones_SingleEndBath_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PA03218,Nabis Garland shower bath L-shape front panel 1700x510mm white,Nabis,72.51,Nabis Garland L shaped front panel is easy to install and has a modern style that allows it to blend with any bathroom design.,Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Nabis Garland shower bath L-shape front panel 1700x510mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/8_/22/A03218_22_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_GarlandSingleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Shaped_Bath_Panel_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PA17825,Ideal Standard Unilux front bath panel 1700mm White,Ideal Standard,112.55,"Complementing almost any bathroom design, this Ideal Standard Unilux 510 x 1700mm bath front panel is made of acrylic with a smart white gloss finish. Robustly made, this 16mm thick panel is built to last.",Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Ideal Standard Unilux front bath panel 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/25/NW-A17825_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/IS_Bath_Book_Brchr_2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PA03070,Nabis Bardot 2 tap hole bath 1700 x 700mm,Nabis,157.06,"Simple and elegant, the Nabis Bardot 1700mm acrylic bath is designed for maximum comfort. With a single comfortable back rest end, this bath is supplied with pre-drilled tap holes.",Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Nabis Bardot 2 tap hole bath 1700 x 700mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/70/NW-A03070_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A03070_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Nabis_A03070_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PE01232,Nabis Hepburn 1700x750 Nth Shwr Bath,Nabis,207.1,"As elegant as its namesake, the stylish Nabis Hepburn 1700 x 750mm acrylic shower bath offers spacious and luxurious solo bathing. At one end of this white finished bath is a comfortable sloping backrest while its taphole-free design allows the homeowner to opt for deck-mounted, wall-mounted or even standpipe style taps.",Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Nabis Hepburn 1700x750 Nth Shwr Bath,,Bath;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/32/E01232_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/E01180_E01183 Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PA03219,Nabis Garland shower bath left hand L-shape 1500x850x700mm white,Nabis,235.17,"Designed to maximise showering space, the Nabis Garland 1500mm-shapedeft hand shower bath has a modern, spacious design. Compatible with a range of shower screens, this modern bath is supplied free of tap holes,eaving you to choose the perfect tap and shower set-up for your needs.",Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Nabis Garland shower bath left hand L-shape 1500x850x700mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/19/A03219_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_GarlandSingleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Baths-Screens_Matrix_21Feb2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Shaped_Bath_Panel_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PD03935,Ideal Standard Tempo Cube no tap hole double ended bath 1800 x 800mm White,Ideal Standard,342.53,"Theuxuriant Ideal Standard Tempo Cube 1800mm bath is double-ended and supplied without tap holes to allow for the use of wall-mounted taps. With its gently sloping interior, the Tempo Cube has more than enough space for two.",Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Ideal Standard Tempo Cube no tap hole double ended bath 1800 x 800mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/35/NW-D03935_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_E258401_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PD09654,Ideal Standard Sandringham 21 bath including twin grips and tread 1700mm White,Ideal Standard,158.88,"With its updated interior shape, the 1700mm Ideal Standard Sandringham 21 bath provides the most comfortable bathing position yet. With a tread pattern and chrome-plated handgrips, this bath provides additional stability during use.",Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Ideal Standard Sandringham 21 bath including twin grips and tread 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/54/NW-D09654_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Armitage_Shanks_MENA_Edi1_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_E028401_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PA64300,Ideal Standard Nisa flat bath front panel 1700mm White,Ideal Standard,63.22,"Suitable for use with steel baths, the Ideal Standard Nisa 1700mm flat bath front panel has a simple design to fit most bathroom decors. It is made of tough acrylic with a white gloss finish.",Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Ideal Standard Nisa flat bath front panel 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/00/NW-A64300_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AShanks_Nisa_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PA71100,Ideal Standard Uniline super strength front bath panel 1700mm White,Ideal Standard,125.79,"Complementing almost any bathroom design, this Ideal Standard Uniline 510 x 1700mm bath front panel is made of acrylic with a smart white gloss finish. Robustly made, this 35mm thick panel is built to last.",Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Ideal Standard Uniline super strength front bath panel 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/00/NW-A71100_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/IS_Bath_Book_Brchr_2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PD09652,Ideal Standard Sandringham 21 bath with no grips 1700mm White,Ideal Standard,147.54,"With its updated interior shape, the 1700mm Ideal Standard Sandringham 21 bath provides the most comfortable bathing position yet.",Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Ideal Standard Sandringham 21 bath with no grips 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/52/NW-D09652_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Armitage_Shanks_MENA_Edi1_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_E028201_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PB03313,Ideal Standard Unilux front panel 1700 x 3.4mm White,Ideal Standard,125.37,"The unfussy, modern design of the Ideal Standard Unilux 1700mm bath front panel, along with its white finish and tough build, make it suitable for almost any bathroom.",Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Ideal Standard Unilux front panel 1700 x 3.4mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/13/NW-B03313_wm.jpg,,,,,N,White/Gloss,,N,,E320201,Bath Front Panel,N,High impact polystyrene construction,Contemporary design,,,,,Gloss,Unilux,16mm,5 Years,Acrylic,,,,,,,,,,,,,,,,,,
18,PA03204,Nabis Bardot single ended bath round 1700x700mm white,Nabis,157.06,"Simple and elegant, the Nabis Bardot 1700mm acrylic bath is designed for maximum comfort. With a single comfortable back rest end, this bath is supplied without tap holes allowing you to select and install your preferred tap set-up, whether deck or wall-mounted, mixer or separates.",Bathrooms and Kitchens/Baths and Bath Panels/Baths and Bath Panels.csv -> Nabis Bardot single ended bath round 1700x700mm white,,Bath;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/06/NW-A03204_A03206_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Baths-Screens_Matrix_21Feb2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_StandardBathPanel_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_BardotSingleEndBath_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
