,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 1,Feature 3,Attachment 2,Range,Weight,Dimensions mm (H x W x D),Application,Feature 4
0,P443755,Glow-worm flue duct front assembly,Glow-worm,49.06,"This Glow-worm flue duct part is a front assembly part suitable for use in Flexicom, British Gas and Ultimate units.  Product features •Suitable for use with Flexicom, British Gas and Ultimate appliances •Flue duct outlet lower moulding only  Manufacturer Part Number: 0020020718",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm flue duct front assembly,,Flue duct outlet lower moulding,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/55/443755_wm.jpg,N,"24HX, 30CX, 35CX, 12HX, 18HX, 15HX, 18SX, BG330+, 24CX, 24H, 30HX, 30SX, 35HX",Flue,"Flexicom, British Gas, Ultimate",H42740,"18HX,24CX,35CX,15HX,24HX,30CX,35HX,12HX,24H,BG330,30SX,30HX,18SX",0020020718,Duct Front Assembly,N,"Suitable for use with Flexicom, British Gas and Ultimate appliances",Flue duct outlet lower moulding only,,,,,,,,
1,P442249,Glow-worm flue adaptor,Glow-worm,157.05,"This Glow-worm flue adapter is suitable for use on HXI, Ultracom, CXI, Xtramax, Eden, British Gas, Xeon and SXI appliances.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm flue adaptor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/49/442249_wm.jpg,N,"24HXI, 30HXI, 38CXi, 18SXi, 38CXI, 24CXi, 30CXi, Xtramax HE, Sb, 18HXI, BG330, 18HXi, 38HXi, Condens 30, Cb, 15HXI, 38HXI, 12HXi, 15HXi, 24HXi, Condens 18, 18SXI, 30SXI, 24CX, 30HXi, 30SXi, 24CXI, 30CXI, Vb, 12HXI, 30CX",Flue,"HXI, Ultracom, CXI, Xtramax, Eden, British Gas, Xeon, SXI",H28496,"24CX,30SXI,Condens 30,30CX,38CXI,BG330,24CXI,Vb,Condens 18,24HXI,Sb,18SXI,12HXI,30CXI,Xtramax HE,30HXI,38HXI,15HXI,18HXI,Cb",801614,Adaptor,N,"Suitable for use with Glow-worm HXI, Ultracom, CXI, Xtramax, Eden, British Gas, Xeon and SXI appliances",Adaptor only,,,,,,,,
2,P200287,Glow-worm horizontal flue kit 60/100 PP,Glow-worm,99.5,"This Glow-worm terminal is designed for use in a boiler's flue section. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm horizontal flue kit 60/100 PP,,Terminal only,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/87/200287_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Glow-worm_Energy_Installation.pdf,,,,,,,
3,P113302,Glow-worm PP extension pipe 1mtr DN60/101,Glow-worm,60.9,"Designed to extend a flue by up to 1M, this Glow-worm DN60/101 extension pipe, made of white polypropylene (PP), offers compatibility with high efficiency condensing boilers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm PP extension pipe 1mtr DN60/101,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/02/NW-113301_113302_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_Worm_Energy_Range_Brochure.pdf,,,,,,,
4,P108775,Glow-worm plume management kit Black,Glow-worm,85.05,"This Glow-worm plume management kit is used to solve the issue of nuisance pluming, where the plume caused by a condensing boiler causes an obstruction in a garden, side passage or courtyard. This neat, simple black piping fits onto a horizontal flue, redirecting the plume away from the flue duct.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm plume management kit Black,,variable termination kit black,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/75/108775_wm.jpg,N,,Flue,Domestic Boilers,n/a,,0020219531,Plume Management Kit,N,Variable Termination Kit DN60 PP Black,,,,,,,,,
5,P109003,Glow-worm 25-45deg roof tile Black,Glow-worm,38.86,This Glow-worm 24 - 45° pitched roof flashing tile in black is designed for compatibility with current Glow-worm flue systems and 60/100 vertical flue terminals.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm 25-45deg roof tile Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/03/NW-109003_wm.jpg,N,,Flue,Energy,,,0020258676,Pitched Roof Flashing,N,Suitable for use with 60/100 flue range,Compatible with current Glow-worm flue systems,,For use with vertical flue terminal,,,,,,
6,P108977,Glow-worm Flue rear telescopic flue kit,Glow-worm,137.7,"Ideal for retrofit installations, this Glow-worm Easicom 60/100mm rear telescopic flue kit provides flexibility for most fitting jobs. The flue is designed to expel steam and gases produced during a boiler's normal operation.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm Flue rear telescopic flue kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/77/108977_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/89/77/108977.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow-worm_Easicom3_Brochure.pdf,,,,,
7,P333952,Glow-worm Flue Range 60/100 vertical flue 60/100 Black,Glow-worm,94.0,This Glow-worm 60/100mm vertical flue terminal is made of black polypropylene (PP). A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm Flue Range 60/100 vertical flue 60/100 Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/52/333952_wm.jpg,N,,Flue,,,,333952 PK,Vertical Flue Pack,N,Black vertical flue terminal,,,,,Flue Range,2720 kg,1000 x 160 x 160 mm,For use with a Glow-worm boiler requiring a vertical flue installation,
8,P411487,Glow-worm flue pipe,Glow-worm,40.14,"This Glow-worm flue pipe can be fitted to Energy, Energy 7, Home, Betacom, Easicom, Energy 2, Sustain, Ultimate 2, Ultimate 3 and Essential boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm flue pipe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/87/411487_wm.jpg,N,"30s, 25s, 35c, 30r, Betacom 4 30C, Easicom 2 28, Easicom 3 25r, 30r, 30c P, 30c, 25s, Easicom 3 25s, 30c, 30c, 30c, 30c, Ultimate 3 25r, Easicom 3 28c, 25r, 30s, 25r, 35c, 28c, 35c, 25r, Ultimate 3 25s, Ultimate 3 35c, Betacom 3 30C, 30r, 25s, 25r, 25s,",Flue,"Energy, Energy 7, Home, Betacom, Easicom, Energy 2, Sustain, Ultimate 2, Ultimate 3, Essential",J27514,,0020195518,Flue Pipe,N,"Suitable for use with Energy, Energy 7, Home, Betacom and Easicom units","Compatible with Energy 2, Sustain, Ultimate 2, Ultimate 3 and Essential models",,,,,,,,
9,P113306,Glow-worm 87deg PP elbow pipe DN60/100,Glow-worm,42.0,"Suitable for vertical or horizontal flue installations, this Glow-worm DN60/100 87° elbow pack incorporates an air pipe clamp and two elbows. Compatible with high efficiency Glow-worm boilers, this kit can help to solve siting problems.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm 87deg PP elbow pipe DN60/100,,Air pipe clamp;Elbow,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/06/NW-113306_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_Worm_Energy_Range_Brochure.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Glow-Worm_Air_Flue_Systems_Install.pdf,,,,,
