,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Model For Use With,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Part Gas Council number,Attachment 1,By Model Number,Body Material,Attachment 2,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Pack Quantity,Range,Attachment 3,Range For Use With,Weight,Warranty,Depth (mm),Flue Type,Flue Diameter,Flue Length,Flue Size,For Use With
0,P476313,Vaillant 0010028086 printed circuit board,Vaillant,188.99,"This Vaillant printed circuit board is a genuine spare part for Guernsey/Jersey only (condensing), ecoTEC VU (condensing), ecoTEC VUW (condensing) and ecoTEC VUI (condensing) boilers. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.   Manufacturer Part Number: 0010028086  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 0010028086 printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/13/476313_wm.jpg,N,"ecoTEC pro 26 VUW 266/5-3 R4, ecoTEC plus 615 VU 156/5-5 R6, ecoTEC plus 618 VU 186/5-5, ecoTEC plus 618 VU 186/5-5 R4 LPG, ecoTEC plus 630 VU 306/5-5 R4, ecoTEC plus 630 VU 306/5-5 R6 LPG, ecoTEC plus 637 VU 376/5-5 R4, ecoTEC plus 824 VUW 246/5-5 R4, e",Control Panel,"Appliances ONLY for Guernsey/Jersey (condensing), ecoTEC VU (condensing), ecoTEC VUW (condensing), ecoTEC VUI (condensing)",0010028086,Printed Circuit Board,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P417853,Vaillant 0010030632 pump high efficiency,Vaillant,296.17,"This Vaillant high efficiency pump is a replacement part suitable for ecoTEC Pro and ecoTEC Plus boilers.  The pump moves heated water around a boiler, via the heat exchangers and into the radiators or hot taps. The pump is normally located before the diverter valve in a combi to allow circulation through a heating and hot water system.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it, first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 0010030632 pump high efficiency,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/53/417853_wm.jpg,N,,PumpConnection Parts,ecoTEC proecoTEC plus,0010030632,,N,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P475785,Vaillant expansion vessel,Vaillant,108.0,"An official Vaillant replacement part, this expansion vessel is for use in ecoMAX VUW (condensing), ecoTEC VU (condensing), ecoTEC VUW (condensing), Home (condensing), Guernsey/Jersey only (condensing), ecoMAX VU (condensing), ecoTEC VUI (condensing) and VWL (heat pump accessory) appliances. A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.   Manufacturer Part Number: 181051  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant expansion vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/85/475785_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTEC+_824837612637_Parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P501619,Vaillant printed circuit board,Vaillant,228.49,"A genuine Vaillant PCB (printed circuit board) for ecoTEC VU (condensing), ecoTEC VUW (condensing) and ecoTEC VUI (condensing) boilers. The control centre of a boiler, the PCB monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.   Manufacturer Part Number: 0020132764  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/19/501619_wm.jpg,N,"ecoTEC plus 615 VU 156/3-5, ecoTEC plus 618 VU 186/3-5 R1, ecoTEC plus 831 VUW 316/3-5 R5, ecoTEC pro 28 VUW 286/3-3 R1, ecoTEC plus 630 VU 306/3-5, ecoTEC plus 630 VU 306/3-5 R1, ecoTEC plus 637 VU 376/3-5 R1, ecoTEC plus 824 VUW 246/3-5, ecoTEC pro 24",Control Panel,"ecoTEC VU (condensing), ecoTEC VUW (condensing), ecoTEC VUI (condensing)",0020132764,Printed Circuit Board,N,725445,,"ecoTEC plus 630 VU 306/3-5 LPG,ecoTEC plus 612 VU 126/3-5 R1,ecoTEC plus 630 VU 306/3-5 R1,ecoTEC plus 618 VU 186/3-5,ecoTEC plus 630 VU 306/3-5,ecoTEC plus 615 VU 156/3-5 R1,ecoTEC plus 637 VU,ecoTEC plus 624 VU 246/3-5,ecoTEC plus 618 VU 186/3-5 R1 LPG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P501596,Vaillant diverter valve composite,Vaillant,83.75,"This replacement Vaillant diverter valve is compatible with ecoTEC VUW (condensing), ecoTEC VUI (condensing) and Guernsey/Jersey only (condensing) boilers. A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.   Manufacturer Part Number: 0020020015  At Wolseley, we carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant diverter valve composite,,Diverter valve;5x gaskets;Pin;3x screws,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/96/501596_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vaillant_ecoTEC_pro_24-28_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P501620,Vaillant diverter valve with adaptor,Vaillant,137.89,"This Vaillant replacement diverter valve is compatible with ecoTEC VUW (condensing) and ecoTEC VUI (condensing) boilers. A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.   Manufacturer Part Number: 0020132682  At Wolseley, we know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant diverter valve with adaptor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/20/501620_wm.jpg,N,"ecoTEC plus 831 VUW 316/3-5 LPG, ecoTEC plus 831 VUW 316/3-5 R1 LPG, ecoTEC pro 24 VUW 246/3-3 R2, ecoTEC pro 28 VUW 286/3-3, ecoTEC plus 824 VUW 246/3-5, ecoTEC plus 824 VUW 246/3-5 R1, ecoTEC pro 28 VUW 286/3-3 R1, ecoTEC plus 837 VUW 376/3-5 R1, ecoTE",Diverter Valve,"ecoTEC VUW (condensing), ecoTEC VUI (condensing)",0020132682,Diverter Valve,N,726819,,"ecoTEC plus 83,ecoTEC plus 831 VUW 316/3-5 R5,ecoTEC pro 28 VUW 286/3-3 R1,ecoTEC plus 837 VUW 376/3-5 R1,ecoTEC plus 937 VUI 376/3-5,ecoTEC plus 824 VUW 246/3-5,ecoTEC plus 824 VUW 246/3-5 R3,ecoTEC plus 831 VUW 316/3-5 R1,ecoTEC plus 824 VUW 246/3-5 R1",Brass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P476248,Vaillant sensor (F75),Vaillant,22.49,"A Vaillant water pressure sensor with pin and clip for Guernsey/Jersey only (condensing), ecoTEC VU (condensing), ecoTEC VUI (condensing), ecoTEC VUW (condensing), Home (condensing), VWF (heat pump), VWL (heat pump), VWS (heat pump), VWL (heat pump accessory) and VWS (heat pump hybrid) units. Pressure sensors control internal water, gas and air pressure inside a boiler or closed system.   Manufacturer Part Number: 0020059717  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant sensor (F75),,Sensor;Pin;Clip,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/48/476248_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTEC+_824837612637_Parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P498962,Vaillant 178985 pressure relief valve,Vaillant,15.26,"This Vaillant pressure relief valve is a replacement part suitable for use with Guernsey/Jersey only (condensing), ecoTEC VU (condensing), ecoTEC VUI (condensing), ecoTEC VUW (condensing), VWL (heat pump) and Home (condensing) boilers. The pressure relief valve helps to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.   Manufacturer Part Number: 178985  At Wolseley, we carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 178985 pressure relief valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/62/498962_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTEC+_824837612637_Parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P409048,Vaillant electrode,Vaillant,31.17,"An official Vaillant spare, this ignition spark electrode is suitable for Guernsey/Jersey only (condensing), ecoTEC VU (condensing), ecoTEC VUI (condensing) and ecoTEC VUW (condensing) boilers. An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.   Manufacturer Part Number: 0020133816  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/48/409048_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vaillant_ecoTEC_exclusive_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P476306,Vaillant single sealing gasket,Vaillant,18.95,"This Vaillant brand gasket is a spare part for use in the gas assembly of Guernsey/Jersey only (condensing), ecoMAX VU (condensing), ecoTEC VU (condensing), ecoTEC VUW (condensing), ecoMAX VUW (condensing) and ecoTEC VUI (condensing) appliances. O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.   Manufacturer Part Number: 0020038679  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant single sealing gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/06/476306_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTEC+_415418428438_Parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
