,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Seasonal Space Heating Energy Efficiency %,Output,Depth (mm),Dry Weight (kg),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Water Heating Energy Efficiency Class,Feature 9,Feature 10,Feature 11,Feature 12
0,P333940,Worcester Bosch Greenstar Danesmoor 18/25 2022+ utility system boiler,Worcester Bosch,2061.0,"An oil boiler ideal for the kitchen or utility room in homes of almost any size, the Worcester Bosch Greenstar Danesmoor Utility System 18/25 2022+ system boiler has been designed based on customer feedback to deliver on user-friendly performance and ease of installation. Lightweight and flexible, this reliable ErP A-rated boiler is fitted with an easy to remove one-piece primary baffle and cross firing burner and offers effortless access to oil and hydraulic connections.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Worcester Bosch Greenstar Danesmoor 18/25 2022+ utility system boiler,,Boiler;Greenstar Danesmoor installation;Commissioning ;servicing instruction manual;User instructions;Fascia information card;Guarantee registration card;BSP plug;ErP label;Flue damper,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/58/115356_115358_wm.jpg,White,Oil,Greenstar Danesmoor,2 years,9.8 kg,A,N,A,25 kW,600,98,90.6,Floor Standing,333940 PK,System Boiler,N,Cross firing burner,Accepts a 30°C return temperature making the appliance perfect for modern heating designs,One piece baffle for quick and easy servicing,Lightweight aiding installation,Easy access oil and hydraulic connections,Compatible with solar thermal,80/125mm room sealed flues with lengths of up to 8m available,Plume management of up to 5m with conventional and flexi-flue kits also available,,,,,,,,,,,
1,P333941,Worcester Bosch Greenstar Danesmoor 25/32 2022+ utility system boiler,Worcester Bosch,2502.0,"An oil boiler ideal for the kitchen or utility room in homes of almost any size, the Worcester Bosch Greenstar Danesmoor Utility System 25/32 2022+ system boiler has been designed based on customer feedback to deliver on user-friendly performance and ease of installation. Lightweight and flexible, this reliable ErP A-rated boiler is fitted with an easy to remove one-piece primary baffle and cross firing burner and offers effortless access to oil and hydraulic connections.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Worcester Bosch Greenstar Danesmoor 25/32 2022+ utility system boiler,,Boiler;Greenstar Danesmoor installation;Commissioning ;servicing instruction manual;User instructions;Fascia information card;Guarantee registration card;BSP plug;ErP label;Flue damper,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/58/115356_115358_wm.jpg,White,Oil,Greenstar Danesmoor,2 years,102 kg,A,N,A,32 kW,600,102,90.5,Floor Standing,333941 PK,System Boiler,N,Cross firing burner,Accepts a 30°C return temperature making the appliance perfect for modern heating designs,One piece baffle for quick and easy servicing,Lightweight aiding installation,Easy access oil and hydraulic connections,Compatible with solar thermal,80/125mm room sealed flues with lengths of up to 8m available,Plume management of up to 5m with conventional and flexi-flue kits also available,,,,,,,,,,,
2,P117038,Grant Vortex Eco External System 26/35 external sealed module system boiler 26/35kw,Grant,2800.64,"The steel-enclosed Grant Vortex Eco External 26/35 condensing boiler is tough and reliable, allowing for installation anywhere outside of the home and standing up to all conditions. With a multi-directional flue and extremely low noise levels, this unit makes installation easy and flexible while cutting edge components such as a Riello RDB low-NOx burner and Grant's own design stainless steel heat exchanger provide ErP A-rated efficiency and reliable operation even under the stresses of inclement weather.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Grant Vortex Eco External System 26/35 external sealed module system boiler 26/35kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/38/117036_117038_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grant_Vortex_Burner_Settings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_VortexEcoExternalSystem_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Grant_Vortex_Eco_External_26-35_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Oil_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Oil-Boiler_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_VortexEcoExternal_Installation.pdf,,,,,
3,P333894,Grant Vortex Eco VTXSECO15/21 ERP floor standing oil boiler,Grant,1685.0,"Ideal for installation in utility rooms, the Grant Vortex Eco Utility boiler features the cutting edge Vortex stainless steel heat exchanger and up-to-the-minute Riello burner technology for reliable, efficient and powerful home heating. With a plain, simple casing, an easy to use control panel and straightforward pipework arrangement, this 21kW utility boiler provides hassle-free installation and is supplied with a factory-fitted expansion vessel and high efficiency circulating pump, doing away with the requirement for a feed and expansion tank in the loft.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Grant Vortex Eco VTXSECO15/21 ERP floor standing oil boiler,,Boiler;Expansion vessel;Filling loop;Pressure gauge;Automatic air vent;Pressure relief valve;Circulating pump,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/96/333894_333896_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Vortex_Eco_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Brochure.pdf,,,,,,,,,
4,P117037,Grant Vortex Eco External System 21/26 external sealed system boiler 21/26kw,Grant,2398.13,"The steel-enclosed Grant Vortex Eco External 21/26 condensing boiler is tough and reliable, allowing for installation anywhere outside of the home and standing up to all conditions. With a multi-directional flue and extremely low noise levels, this unit makes installation easy and flexible while cutting edge components such as a Riello RDB low-NOx burner and Grant's own design stainless steel heat exchanger provide ErP A-rated efficiency and reliable operation even under the stresses of inclement weather.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Grant Vortex Eco External System 21/26 external sealed system boiler 21/26kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/38/117036_117038_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grant_Vortex_Burner_Settings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_VortexEcoExternalSystem_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Oil_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Oil-Boiler_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/117037_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_VortexEcoExternal_Installation.pdf,,,,,
5,P333895,Grant Vortex Eco VTXSECO21/26 ERP floor standing oil boiler,Grant,1832.0,"Ideal for installation in utility rooms, the Grant Vortex Eco Utility boiler features the cutting edge Vortex stainless steel heat exchanger and up-to-the-minute Riello burner technology for reliable, efficient and powerful home heating. With a plain, simple casing, an easy to use control panel and straightforward pipework arrangement, this 26kW utility boiler provides hassle-free installation and is supplied with a factory-fitted expansion vessel and high efficiency circulating pump, doing away with the requirement for a feed and expansion tank in the loft.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Grant Vortex Eco VTXSECO21/26 ERP floor standing oil boiler,,Boiler;Expansion vessel;Filling loop;Pressure gauge;Automatic air vent;Pressure relief valve;Circulating pump,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/96/333894_333896_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Vortex_Eco_Installation.pdf,,,,,,,,,
6,P333944,Worcester Bosch Greenstar Danesmoor 25/32 2022+ external system boiler,Worcester Bosch,3028.0,"Suitable for heating most properties of most sizes, the Worcester Bosch Greenstar Danesmoor External System 25/32 2022+ system boiler is designed with a tough, weatherproof cabinet for installation outside the house, meaning there's no need to dedicate a whole kitchen cupboard to running your home heating. With a one-piece stainless steel primary baffle and cross firing burner, this 32kW system boiler offers high levels of efficiency and quick, easy servicing to help reduce running and maintenance costs.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Worcester Bosch Greenstar Danesmoor 25/32 2022+ external system boiler,,Boiler;Greenstar Danesmoor External installation;Commissioning ;servicing instruction manual;User instructions;Guarantee registration card;Condensate trap;Cabinet key;100mm services duct;Balanced flue kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/61/115359_115361_wm.jpg,White,Oil,Greenstar Danesmoor,2 years,131 kg,A,N,A,32 kW,780,115,90.7,Floor Standing,333944 PK,System Boiler,N,Floor standing design,With cross firing burner,Suitable for 30°C return temperature to suit modern heating designs,One-piece baffle for faster servicing,Lightweight design makes installation simple,With easy-access oil and hydraulic connections,Durable casing designed to blend into garden environments,80/125mm room sealed flues available in lengths of up to 8M,,,,,,,A,Plume management up to 5M with conventional and flexi-flue kits available,ErP A-rated for efficiency,IP45 protection,2 year warranty
7,P333916,Grant Vortex Eco External System 21/26 floor standing oil boiler,Grant,2126.0,"Robustly built to withstand challenging outdoor conditions, the steel-enclosed Grant Vortex Eco External 21/26 condensing boiler is designed for installation outside the home, against a wall or as a freestanding unit. The boiler's multi-directional flue and conveniently quiet operation make siting easy in even the most difficult of locations, while internal components including a tough stainless steel heat exchanger and Riello RDB low-NOx burner help to achieve an ErP A rating.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Grant Vortex Eco External System 21/26 floor standing oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rn/al/Grant_Vortex_Eco_External_wm.jpg,White/Gloss,Oil,Vortex Eco External System,5 Year,136 kg,A,N,A,26 kW,800,136,91.67,Floor Standing,333916 PK,External System Boiler Pack,N,Suitable for fitting against a wall or freestanding away from the property,Factory-fitted multi-directional flue for flexible fitting,Exceptionally quiet operation,Galvanised steel enclosure,High quality powder-coated paint finish for weather protection,Fitted with Riello RDB low-NOx burner,Unique Grant Vortex stainless steel heat exchanger,Mains isolating switch and test switch,,,,,,,,Factory-fitted frost stat set to 5°C,5 year warranty available when following Grant installation specification and guidelines,,
8,P115360,Worcester Bosch Greenstar Danesmoor 18/25 2022+ external system boiler,Worcester Bosch,2828.08,"Suitable for heating most properties of most sizes, the Worcester Bosch Greenstar Danesmoor External System 18/25 2022+ system boiler is designed with a tough, weatherproof cabinet for installation outside the house, meaning there's no need to dedicate a whole kitchen cupboard to running your home heating. With a one-piece stainless steel primary baffle and cross firing burner, this 25kW system boiler offers high levels of efficiency and quick, easy servicing to help reduce running and maintenance costs.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Worcester Bosch Greenstar Danesmoor 18/25 2022+ external system boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/61/115359_115361_wm.jpg,,Oil,Greenstar Danesmoor,2 years,121 kg,A,N,,25 kW,780,121,90.9,Floor Standing,7731600258,System Boiler,N,Floor standing design,With cross firing burner,Suitable for 30°C return temperature to suit modern heating designs,One-piece baffle for faster servicing,Lightweight design makes installation simple,With easy-access oil and hydraulic connections,Durable casing designed to blend into garden environments,80/125mm room sealed flues available in lengths of up to 8M,,,,,,,A,Plume management up to 5M with conventional and flexi-flue kits available,ErP A-rated for efficiency,IP45 protection,2 year warranty
9,P333915,Grant Vortex Eco External System 15/21 floor standing oil boiler,Grant,1934.0,"Robustly built to withstand challenging outdoor conditions, the steel-enclosed Grant Vortex Eco External 15/21 condensing boiler is designed for installation outside the home, either against a wall or as a freestanding unit. The boiler's multi-directional flue and conveniently quiet operation make siting easy in even the most difficult of locations while internal components, including a tough stainless steel heat exchanger and Riello RDB low-NOx burner, help to achieve an ErP A rating.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Grant Vortex Eco External System 15/21 floor standing oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rn/al/Grant_Vortex_Eco_External_wm.jpg,White/Gloss,Oil,Vortex Eco External System,5 Year,136 kg,A,N,A,21 kW,800,136,92.68,Floor Standing,333915 PK,External System Boiler Pack,N,Suitable for fitting against a wall or freestanding away from the property,Factory-fitted multi-directional flue for flexible fitting,Exceptionally quiet operation,Galvanised steel enclosure,High quality powder-coated paint finish for weather protection,Fitted with Riello RDB low-NOx burner,Unique Grant Vortex stainless steel heat exchanger,Mains isolating switch and test switch,,,,,,,,Factory-fitted frost stat set to 5°C,5 year warranty available when following Grant installation specification and guidelines,,
