,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Range,Hazardous,Boiler Section,Boiler Range,Part Gas Council number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Model For Use With,By Model Number,Attachment 6,Attachment 7,Weight,Depth (mm),Dimensions (L x W x D),Range For Use With,Flue Type,Flue Diameter,Flue Length,Warranty,Flue Size
0,P123305,Ideal Heating Horizontal Flue Terminal 600mm,Ideal Heating,68.57,This is the standard non-telescopic flue which is 600mm long for use with Ideal Logic Boilers.,Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Ideal Heating Horizontal Flue Terminal 600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/05/123305_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P100850,Worcester Bosch 100Mm Telescopic Horiz Flue Kit,Worcester Bosch,90.83,The Worcester 100mm Telescopic Horizontal Flue Kit performs an invaluable job in taking gases from your boiler outside of your property and is compatible with all wall mounted Worcester Greenstar boilers.,Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Worcester Bosch 100Mm Telescopic Horiz Flue Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/50/100850_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_WM_Gas_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_60-100mm_RS_Horiz_Flue_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P100853,Worcester 90 deg bend 60/100mm,Worcester,45.99,This Worcester 100 x 180mm elbow in white makes installing boilers around obstructions simpler. This part is suitable for use with the Robot Coupe range.,Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Worcester 90 deg bend 60/100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/53/NW-100853_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P123910,Ideal Spares  universal weather collar,Ideal,45.99,"Suitable for roof fluing, this Ideal 100mm universal weather collar offers simple plume management, preventing weather infiltration into a heating system. Suitable for use on all roofing types, this collar is compatible with the Hobart HCM300 Cutter and HCM450 cutter.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Ideal Spares  universal weather collar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/10/NW-123910_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P100845,Worcester plume pitched flashing,Worcester,49.49,"A genuine Worcester part, this pitched flashing kit is suitable for use with Greenstar CDI Classic 29, 34 and 38 and CDI Classic LPG 29, 34 and 38. This kit seals a roof to prevent the ingress of water.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Worcester plume pitched flashing,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/45/NW-100845_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P105157,Worcester 60/100Mm Long Telescopic Flue Kit,Worcester,120.54,This Worcester 100mm white-coated telescopic flue kit is designed for use with Greenstar 2000. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.,Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Worcester 60/100Mm Long Telescopic Flue Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/57/NW-105157_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P211195,Baxi Multifit 2 flue extension and support bracket 60/100 1mtr,Baxi,59.96,"The Baxi and Potterton Multifit 1000mm flue extension allows for extension of internal flue system to each and outside wall or roof. The concentric 60/100mm construction can be used with other Baxi and Potterton flue extension equipment to get the desired length, angle and distance for the installation.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Baxi Multifit 2 flue extension and support bracket 60/100 1mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/95/211195_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Potterton_Gold_Tita_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P493246,Clesse Compac TR800 OPSO 2cyl ACO Kit,Clesse,128.78,"Telemetry-ready, this Clesse CompacTR800 OPSO two-cylinder LPG automatic changeover regulator kit is compatible with the electronic CompacTi device, allowing for remote cylinder readings and notifications. The CompacTR800 includes a push-to-set over-pressure safety system with inbuilt indication and is supplied with pigtails, an ECV and safety plaque.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Clesse Compac TR800 OPSO 2cyl ACO Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/46/493246_wm.jpg,,,,,,Compac TR800,N,Control Panel,N/A,n/a,UU5185K-TR,Changeover,N,Telemetry ready to accept CompacTi remote electronic cylinder monitoring device.,"Excellent change-over performance, further enhanced by the CompacTi device when fitted using Clesse Integrated Intelligence to delay notification on the CompacTi application until all gas is used on one side.",OPSO “Push to Set” Consumer safety system with indication,“le Clic” changeover head position with reserve indicator,37 mbar outlet and 5kg/h (70kW) maximum capacity,Non return valves and filters on both Inlet ports to prevent leakage when changing cylinders,Equipped with a limited flow safety relief valve (LRV),Protected breather vents positioned under the tough plastic ABS Weather proof designed casing,Engineer adjustable pressure regulation,,,,,,,,,,,,,
8,P211202,Baxi Multifit 2 standard telescopic flue 60/100mm White,Baxi,120.95,"With white aluminium on the main extension, with white terminal end, this robust telescopic flue is the standard choice for normal installation through a domestic property wall. Featuring push seal jointing and positive fixing screws, build quality is superb and of the standard you would expect.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Baxi Multifit 2 standard telescopic flue 60/100mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/02/211201_211202_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Potterton_Gold_Tita_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P417415,"Center CB Terminal Guard round 9.5 x 8.5"" Stainless Steel",Center CB,23.84,"Designed to cover the terminal end of a horizontal flue, our Center terminal guards are easy to install and perfect for both condensing and non-condensing gas boiler applications.   Where the outlet is sited in a vulnerable position or to prevent entry of any matter, a Center terminal guard will provide robust protection of the outlet. The guard is manufactured using electropolished 304 stainless steel to provide a professional finish.","Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Center CB Terminal Guard round 9.5 x 8.5"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/15/417415_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/CenterCB_417415_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417415_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
