,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Range,Warranty,Hazardous,Depth (mm),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 3,Feature 4
0,PA05046,Center CB Multi-Function Handset Chrome,Center CB,5.99,"Finished in chrome, this Center CB 80mm shower handset offers three spray patterns for personalised use. The shower's rubber nozzles are easy to clean for improved resistance to limescale and better flow.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Center CB Multi-Function Handset Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/46/NW-A05046_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_CB_A05044_A05058_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033-A05060_Shower_Technical.pdf,,,,,,,,,,,,,
1,PD61764,Mira Beat multi mode shower head Chrome Plated,Mira,37.35,"Delivering a unique spray experience, the luxuriant Mira Beat four spray showerhead is compatible with all hoses and works on any system. Finished in bright chrome, this showerhead is easy to maintain thanks to limescale-busting rub-clean nozzles.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Mira Beat multi mode shower head Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/64/NW-D61764_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Access_Fittings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Beat_Showerhead_Fitting_Install.pdf,,,,,,,,,,,,,
2,PD51943,Ideal Standard Ecotherm shower kit wirh exposed mixer 600mm,Ideal Standard,103.88,The Ideal Standard EcoTherm 600mm shower kit is supplied complete with an exposed-style mixer.,Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Ideal Standard Ecotherm shower kit wirh exposed mixer 600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/43/D51943_wm.jpg,,,Chrome,Ecotherm,5 Years,N,645,A7255AA,Shower kit,N,Chrome finish,Exposed design,5 year warranty,,
3,PA05048,Nabis multi function luxury handset,Nabis,8.74,"Easy to clean, this Nabis shower handset is made of smart chrome-plated plastic. Incorporating five spray functions, this handheld shower helps to bring a touch of luxury to your morning routine.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Nabis multi function luxury handset,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/48/NW-A05048_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033-A05060_Shower_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Handset_Installation.pdf,,,,,,,,,,,,,
4,PA05047,Center CB multi-function handset White,Center,4.21,"Finished in white, this Center CB 80mm shower handset offers three spray patterns for personalised use. The shower's rubber nozzles are easy to clean for improved resistance to limescale and better flow.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Center CB multi-function handset White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/47/NW-A05047_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/tn/Center_CB_A05044_A05058_Fit_Instrctn.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Shower_Technical.pdf,,,,,,,,,,,,,
5,PD61464,Mira Response shower head White,Mira,25.56,"The white and grey Mira Response showerhead offers four generous spray modes for a shower to suit your mood. Easy to clean, the Response has limescale-resistant rub-clean nozzles.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Mira Response shower head White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/64/NW-D61464_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Access_Fittings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_ResponseShowerFitting_Install.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_ResponseSF_Installation.pdf,
6,PA05039,* NAB SQUARE SHOWER HANDSET,Nabis,6.07,"A smart choice for modern bathrooms, this Nabis single function square shower handset is made of tough plastic yet has a smart chrome finish.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> * NAB SQUARE SHOWER HANDSET,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/39/NW-A05039_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Shower_Technical.pdf,,,,,,,,,,,,,,
7,PD61569,Mira Logic 4 spray shower head Chrome Plated,Mira,29.48,"The Mira Logic chrome four spray showerhead includes a water-saving economy setting for eco-friendly peace of mind. It’s easy to clean too, thanks to limescale-busting rub clean rubber nozzles while rubberised finger grips help maintain your hold even with soapy hands.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Mira Logic 4 spray shower head Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/69/NW-D61569_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Access_Fittings_Brochure.pdf,,,,,,,,,,,,,,
8,PA05606,Nabis Barford hand shower,Nabis,11.59,"Finished in chrome, this Nabis Barford handheld shower is suitable for use with the A05019 Barford lever two taphole bath/shower mixer and kit.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Nabis Barford hand shower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/95/597495_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Bathroom_Tap_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_Parts_List.pdf,
9,PA05628,Nabis Swish/Corda Spare Shower Handset 110,Nabis,5.0,This Nabis Swish/Corda shower handset is finished in a neat chrome to match in with most bathroom schemes.,Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Nabis Swish/Corda Spare Shower Handset 110,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/17/597517_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Bathroom_Tap_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_Parts_List.pdf,
