,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Warranty,Hazardous,Depth (mm),Supplier Product Code,Type,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10
0,P191030,Kingspan Ferham FC50GL Low Level Cistern 227ltr including byelaw kit,Kingspan,207.42,"Ideal for loft installation, this Kingspan Ferham FC50GL 227L low level cold water cistern pack with integrated lid is also known as a coffin tank due to its shape, designed for spaces with reduced head height. Fully enclosed, this tank protects water from contamination by debris or pests, ensuring the hygienic storage and supply of cold water.",Water Heating and Storage/Cold Water Tank Supplies & Accessories/Plastic Cold Water Tank Lids and Covers/Plastic Cold Water Tank Lids and Covers.csv -> Kingspan Ferham FC50GL Low Level Cistern 227ltr including byelaw kit,,Cistern;Fitting lid;22mm Byelaw 30 fittings;Backing plate;60mm insulation jacket;Ties,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/30/NW-191030_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Kingspan_Ferham_DL_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kingspan_Ferham_Low_Level_Technical.pdf,,,,,,,,,,,,,,,,,
1,P180212,Kingspan Ferham FC15G Oval  Cold Water Cistern Kit 68ltr,Kingspan,118.11,"Supplied with a range of accessories, this 68L capacity Kingspan Ferham FC15G open top oval (stackable) cistern kit is intended for the storage and supply of cold potable water to an open-vented cylinder or for use as an expansion tank in vented heating systems.",Water Heating and Storage/Cold Water Tank Supplies & Accessories/Plastic Cold Water Tank Lids and Covers/Plastic Cold Water Tank Lids and Covers.csv -> Kingspan Ferham FC15G Oval  Cold Water Cistern Kit 68ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/15/180212_180215_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kingspan_Ferham_Oval_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Kingspan_Ferham_Tank_Guide.pdf,,,,,,,,,,,,,,,,,
2,P180215,Kingspan Ferham FC50G Oval  Cold Water Cistern Kit 227ltr,Kingspan,204.28,"Supplied with a range of accessories, this 227L capacity Kingspan Ferham FC50G open top oval (stackable) cistern kit is intended for the storage and supply of cold potable water to an open-vented cylinder or for use as an expansion tank in vented heating systems.",Water Heating and Storage/Cold Water Tank Supplies & Accessories/Plastic Cold Water Tank Lids and Covers/Plastic Cold Water Tank Lids and Covers.csv -> Kingspan Ferham FC50G Oval  Cold Water Cistern Kit 227ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/15/180212_180215_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kingspan_Ferham_Oval_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Kingspan_Ferham_Tank_Guide.pdf,,,,,,,,,,,,,,,,,
3,P187041,Polytank 36-24-36 50GL Rectangular Tank and Insulation,Polytank,200.64,The Polytank 36-24-23 is a highly durable 227L capacity rectangular water tank that's ideal for a variety of applications. This strong and long-lasting tank comes with a complete fitting kit that includes a Byelaw 30 compliant ball valve and insulation for a secure and watertight installation.,Water Heating and Storage/Cold Water Tank Supplies & Accessories/Plastic Cold Water Tank Lids and Covers/Plastic Cold Water Tank Lids and Covers.csv -> Polytank 36-24-36 50GL Rectangular Tank and Insulation,,Water tank;Byelaw 30 kit;Fitting instructions;Ball valve;Float;Ball valve back plate;22mm compression tank connector;Angled service valve;Insulation ;ties,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/41/NW_187041_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polytank_Poly_Tank_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Polytank_Poly_Tank_List.pdf,,,,,,,,,,,,,,,,,
4,P180214,Kingspan Ferham FC40G Oval  Cold Water Cistern Kit 182ltr,Kingspan,192.5,"The Kingspan Ferham FC40G is a top-of-the-line stackable oval cistern kit with a spacious 182 litre capacity, ideal for storing and supplying cold drinking water to open-vented cylinders or for use as an expansion tank in vented heating systems. This convenient kit includes everything you need for installation, containing the plastic water tank, lids, and all the necessary tank accessories.",Water Heating and Storage/Cold Water Tank Supplies & Accessories/Plastic Cold Water Tank Lids and Covers/Plastic Cold Water Tank Lids and Covers.csv -> Kingspan Ferham FC40G Oval  Cold Water Cistern Kit 182ltr,,Cistern;Fitting lid;22mm Byelaw 30 fittings;Backing plate;60mm insulation jacket;Ties,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/15/180212_180215_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kingspan_Ferham_Oval_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Kingspan_Ferham_Tank_Guide.pdf,,,,,,,,,,,,,,,,,
5,P180209,Kingspan Ferham BK25GC Byelaw Kit including lid jacket for FC25GC Circular Cistern Tank,Kingspan,70.77,"This Kingspan Ferham accessories kit with lid, Byelaw 30 fittings, backing plate, insulation jacket and ties is designed for use with the 114L FC25GC open top circular tank.",Water Heating and Storage/Cold Water Tank Supplies & Accessories/Plastic Cold Water Tank Lids and Covers/Plastic Cold Water Tank Lids and Covers.csv -> Kingspan Ferham BK25GC Byelaw Kit including lid jacket for FC25GC Circular Cistern Tank,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/09/180209_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Kingspan_Ferham_Circular_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Kingspan_Ferham_Tank_Guide.pdf,,,,,,,,,,,,,,,,,
6,P180206,Kingspan Ferham FC4G rectangular cistern 18ltr,Kingspan,13.49,This 18L capacity Kingspan Ferham FC4G open top rectangular (stackable) cistern is intended for the storage and supply of cold potable water to an open-vented cylinder or for use as an expansion tank in vented heating systems.,Water Heating and Storage/Cold Water Tank Supplies & Accessories/Plastic Cold Water Tank Lids and Covers/Plastic Cold Water Tank Lids and Covers.csv -> Kingspan Ferham FC4G rectangular cistern 18ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/06/180206_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kingspan_Ferham_Rect_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Kingspan_Ferham_Tank_Guide.pdf,,,,,,,,,,,,,,,,,
7,P180207,Kingspan Ferham BK4G Byelaw Kit including lid jacket for FC4G Rectangular Cistern Tank,Kingspan,12.88,"This Kingspan Ferham accessories kit with lid, backing plate, insulation jacket and ties is designed for use with the FC4G open top rectangular tank.",Water Heating and Storage/Cold Water Tank Supplies & Accessories/Plastic Cold Water Tank Lids and Covers/Plastic Cold Water Tank Lids and Covers.csv -> Kingspan Ferham BK4G Byelaw Kit including lid jacket for FC4G Rectangular Cistern Tank,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/07/180207_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kingspan_Ferham_Rect_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Kingspan_Ferham_Tank_Guide.pdf,,,,,,,,,,,,,,,,,
8,P187001,"Polytank rectangular tank and insulation 24 x 16 x 15"" 12gallon",Polytank,122.31,"Designed for ease of installation, the Polytank 24 x 16 x 15"" 12 gallon rectangular tank is supplied with everything you'll need for in-one-go fitting, including internal components and instructions. Also included is a snap-on lid, ball valve and tank connector as well as insulation.","Water Heating and Storage/Cold Water Tank Supplies & Accessories/Plastic Cold Water Tank Lids and Covers/Plastic Cold Water Tank Lids and Covers.csv -> Polytank rectangular tank and insulation 24 x 16 x 15"" 12gallon",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/01/187001_wm.jpg,,,12 Month Manufactureres Warranty,N,610,PT2000 24X16X15,Water Stotage Tank,N,5.5 l,With snap-on polylid,With byelaw fitting instructions,"With 1/2"" BS1212 part 2 ball valve and backplate","Includes 4 1/2"" float",With 22mm compression tank connector,"With 155mm x 1/2"" angled service valve",Includes insulation and ties,WRAS approved,Kitemarked to BS4213:2004,12 month warranty
9,P180210,Kingspan Ferham FC50G Circular Cold Water Cistern Kit 227ltr,Kingspan,82.52,This Kingspan Ferham 227L capacity circular open top (stackable) FC50GC cistern is intended for the storage and supply of cold potable water to an open-vented cylinder or for use as an expansion tank in vented heating systems.,Water Heating and Storage/Cold Water Tank Supplies & Accessories/Plastic Cold Water Tank Lids and Covers/Plastic Cold Water Tank Lids and Covers.csv -> Kingspan Ferham FC50G Circular Cold Water Cistern Kit 227ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/10/180210_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Kingspan_Ferham_Circular_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Kingspan_Ferham_Tank_Guide.pdf,,,,,,,,,,,,,,,,,
