,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Range,Style,Warranty,Hazardous,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 5
0,P246175,Danfoss RA remote adjuster 2mtr,Danfoss,115.48,This Danfoss RA remote temperature adjuster for 2M tube offers frost protection as well as limiting and locking of a temperature set-point.,Radiators/Radiator Valves/Decorative Radiator Valves/Decorative Radiator Valves.csv -> Danfoss RA remote adjuster 2mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/77/NW-246175_246177_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Danfoss_Remote_T_Adjuster_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesD_RA_G_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_Product_Overview_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_2000_Technical.pdf,,,,,,,,,,,,,,
1,P250799,Intatec Inta angled radiator valve twin pack 15mm,Intatec,20.81,"Designed for bathroom use, the Intatec Inta manual radiator valve (MRV) has a neat, stylish chrome finish well-suited to modern towel rails.",Radiators/Radiator Valves/Decorative Radiator Valves/Decorative Radiator Valves.csv -> Intatec Inta angled radiator valve twin pack 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/99/250799_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/07/99/250799.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Intatec_Rad valves_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Intatec_Rad_valves_Technical.pdf,,,,,,,,,,,,,,,
2,P246035,Danfoss RLV-D drain-off tail piece,Danfoss,4.5,This Danfoss RLV-D drain-off tailpiece allows for easy local radiator drainage.,Radiators/Radiator Valves/Decorative Radiator Valves/Decorative Radiator Valves.csv -> Danfoss RLV-D drain-off tail piece,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/35/NW-246035_wm.jpg,,,,,Metal / Nickel,RLV-D,Circular,1 year,N,Metal,003L0105,Drain Off Tail Piece,N,Metallic finish,Circular style,For use with RLV-D thermostatic radiator valves,1 year warranty,
3,P246424,"Danfoss KOV fittings 1/2 "" x 15mm",Danfoss,6.83,This Danfoss KOV compression fitting is compatible with steel and copper tubings.,"Radiators/Radiator Valves/Decorative Radiator Valves/Decorative Radiator Valves.csv -> Danfoss KOV fittings 1/2 "" x 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/24/NW-246424_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Danfoss_Fitting_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Danfoss_Compression_Fitting_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_Commercial_TRV_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Danfoss_Acc_Compression_Fitting_Tech.pdf,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_Valve_Bodies_Technical.pdf
4,P250798,Intatec Inta straight radiator valve twin pack 15mm,Intatec,17.63,"Designed for bathroom use, the Intatec Inta manual radiator valve (MRV) has a neat, stylish chrome finish well-suited to modern towel rails.",Radiators/Radiator Valves/Decorative Radiator Valves/Decorative Radiator Valves.csv -> Intatec Inta straight radiator valve twin pack 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/98/250798_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/07/98/250798.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Intatec_Rad valves_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Intatec_Rad_valves_Technical.pdf,,,,,,,,,,,,,,,
5,P250800,Intatec I-Therm corner radiator valve twin pack 15mm,Intatec,21.0,"This Intatec I-Therm radiator valve twin pack contains two brass valves, each with a smooth polished chrome finish, 1/2"" radiator connection and 15mm pipe connection.",Radiators/Radiator Valves/Decorative Radiator Valves/Decorative Radiator Valves.csv -> Intatec I-Therm corner radiator valve twin pack 15mm,,2 valves,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/00/250800_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Intatec_Rad valves_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intatec_Combined_Brochure.pdf,,,,,,,,,,,,,,,,
6,P247391,Drayton TRV4 TRV integral head only Chrome,Drayton,32.73,"Ideal for towel rails, the bathroom-suitable Drayton TRV4 chrome straight integral head has a neat, wipe-clean finish and contemporary chrome design. The TRV4 incorporates a double gland seal and non-stick, pre-set internals, a useful feature designed to allow for balancing the radiator through the TRV.",Radiators/Radiator Valves/Decorative Radiator Valves/Decorative Radiator Valves.csv -> Drayton TRV4 TRV integral head only Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/91/247391_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_TRV4_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_TRV4_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Drayton_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_D34_11_TRV_Installation.pdf,,,,,,,,,,,,,,
7,P246125,"Danfoss RA-G20 angled valve 3/4""",Danfoss,66.72,"Designed for conventional one-pipe heating systems with thermosiphon operation, the Danfoss RA-G radiator valve is a high-capacity, low-resistance valve with large diameter valve cones for high capacities at low proportional offsets. This ensures that comfortable temperatures are maintained under all load conditions. This valve incorporates a gland-seal assembly that can be replaced without specialised tools and with no requirement to drain down. Connections are R 3/4"" x Rp 3/4"".","Radiators/Radiator Valves/Decorative Radiator Valves/Decorative Radiator Valves.csv -> Danfoss RA-G20 angled valve 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/25/NW-246125_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_G_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesD_RA_G_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_Product_Overview_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_One_Pipe_System_Brochure.pdf,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Danfoss_Renovation_1Pipe_System_Brcr.pdf
8,P651247,Arctic Hayes radiator drain down kit,Arctic Hayes,16.83,"This Arctic Hayes radiator draining kit makes draining down a heating system a mess-free job for professionals and DIYers alike. A universal kit for 8 - 22mm pipe bores, this handy set helps you to avoid damage to floors and carpets.",Radiators/Radiator Valves/Decorative Radiator Valves/Decorative Radiator Valves.csv -> Arctic Hayes radiator drain down kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/47/651247_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/ArcticProducts_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Arctic_Hayes_RadDrainingTray_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Arctic_Hayes_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Arctic_RadDrainingTray_Installation.pdf,,,,,,,,,,,,,,
9,P246177,Danfoss RA remote adjuster 8mtr,Danfoss,136.71,This Danfoss RA remote temperature adjuster for 8M tube offers frost protection as well as limiting and locking of a temperature set-point.,Radiators/Radiator Valves/Decorative Radiator Valves/Decorative Radiator Valves.csv -> Danfoss RA remote adjuster 8mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/77/NW-246175_246177_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Danfoss_Remote_T_Adjuster_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesD_RA_G_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_Product_Overview_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_2000_Technical.pdf,,,,,,,,,,,,,,
