,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Thickness,Warranty,Hazardous,Frame Colour,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Range,Feature 7,Feature 8,Attachment 1,Attachment 2,Attachment 3,Attachment 4
0,PT26394,Essentials Element 750x1300mm curved bath screen with 5mm glass,Essentials,70.09,"An elegant design, the Essentials Element 750 x 1300mm curved bath screen is manufactured in toughened safety glass for reliable safety. Fitted with a chrome frame, this bath screen offers flexible fitting and folds both into the bath area and away from it for convenient, space-saving use.",Showering/Shower Curtains and Screens/Curved Shower Screens/Curved Shower Screens.csv -> Essentials Element 750x1300mm curved bath screen with 5mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/94/T26394_wm.jpg,Chrome,5 mm,5 Years,N,Chrome,AluminiumGlass,EB301,Shower Screen,N,Curved design,5mm toughened safety glass construction,Suitable for left or right-handed fitting,Folds inwards and outwards,Chrome frame,5 year warranty,,,,,,,
1,PD06008,Mira Elevate hinged bath screen curved 800mm,Mira,142.91,"A minimal, sleek design, the Mira Elevate 1450 x 800mm curved bath screen incorporates a patented water retention seal, keeping water from seeping underneath the screen and over the bath's edge. Manufactured in toughened safety glass, this screen is made to last.",Showering/Shower Curtains and Screens/Curved Shower Screens/Curved Shower Screens.csv -> Mira Elevate hinged bath screen curved 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/08/D06008_wm.jpg,Chrome,5 mm,10 Year,N,Chrome,Toughened Safety Glass,2.1814.108,Bath Screen,N,Single pivot hinge,With lifting effect,Patented water retention feature,Unhanded design,Door swings in or out for easy access,Chrome frame,Elevate,Toughened safety glass,10 year warranty,,,,
2,PT41181,Scudo 6mm radius single bath screen,Scudo,82.69,"Manufactured in Aquashield protected 6mm thick glass, this Scudo 800 x 1400mm radius barrel hinge shower screen reduces splashing when using an over bath shower.",Showering/Shower Curtains and Screens/Curved Shower Screens/Curved Shower Screens.csv -> Scudo 6mm radius single bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/81/T41181_wm.jpg,Clear,6mm,"Lifetime (fixed parts only) parts, 2 years moving parts and seals",N,Chrome,Aluminium,LS010N,Radius barrel hinge,N,Universal right or left-handed fitting,With Aquashield protection,6mm thick glass construction,Clear glass,Aluminium frame,Lifetime warranty on fixed parts,,2 year warranty on moving parts and seals,,,,,
3,PD29077,Ionic single square fixed bath screen,Ionic,111.17,"The minimalist Ionic MB0 fixed square bath/shower screen is manufactured from 6mm toughened safety glass to provide watertight, leak-free practicality in your bathroom.",Showering/Shower Curtains and Screens/Curved Shower Screens/Curved Shower Screens.csv -> Ionic single square fixed bath screen,,Fixed square bath screen;Fixed panel;Wall profile;3 piece screws (3.9 x 40 mm);3 piece wall plugs,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/77/UP-D29077_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ionic_Fixed_Panel_Bathscreen_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D29077_Technical.pdf,,
4,PD06009,Mira Elevate static panel bath screen 300mm,Mira,82.0,"Providing a sleek finishing touch for a minimalist bathroom, the Mira Elevate 1450 x 300mm static bath screen has a smart semi-frameless design. Easy to install thanks to its adjustable profile, this screen is manufactured in toughened glass for long lasting use.",Showering/Shower Curtains and Screens/Curved Shower Screens/Curved Shower Screens.csv -> Mira Elevate static panel bath screen 300mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/09/D06009_wm.jpg,Chrome,5 mm,10 Year,N,Chrome,Toughened Safety Glass,2.1814.109,Bath Screen,N,Made using 5mm toughened safety glass,Adjustable profiles for uneven walls,Semi-frameless design,Chrome frame,10 year warranty,,Elevate,,,,,,
5,PD00012,Coram square bath screen 800mm Chrome/Clear,Coram,137.74,"With concealed fixings and a smooth hinge, the Coram Classic square bath screen is discreet yet spacious, ideal for small spaces. Easy to install, with a unique levelling system leaving no exposed screws, the Coram Classic is an ideal screen for use with high performance showers.",Showering/Shower Curtains and Screens/Curved Shower Screens/Curved Shower Screens.csv -> Coram square bath screen 800mm Chrome/Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/12/UP-D00012_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Frameless_Bathscreen_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_Bathscreen_Technical.pdf,
6,PD28954,Ionic single curved bath screen,Ionic,120.71,"The frameless Ionic single curved bath/shower screen offers minimalist looks and maximum protection from shower spray. Easy to install with the option to retrofit to existing holes using the Easy-Fit system, this screen is built in tough 6mm bath and features HydraSEAL for added protection against leaks.",Showering/Shower Curtains and Screens/Curved Shower Screens/Curved Shower Screens.csv -> Ionic single curved bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/54/UP-D28954_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Easy_Fit_Profile_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/3_/14/Ionic_Showering_Brochure_2013_14.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D28954_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Single_Bathscreen_Installation.pdf
7,PD28956,Ionic 2 panel folding curved bath screen,Ionic,192.86,"The space efficient Ionic 2 panel folding curved bath/shower screen has a smooth pivot action, folding back for maximum access. Manufactured from strong 6mm safety glass with a chrome-finish aluminium frame, this robust screen features the unique HydraSEAL for added leakproof peace of mind and includes Easy-Fit for a simple, mess-free retrofit using existing screw holes.",Showering/Shower Curtains and Screens/Curved Shower Screens/Curved Shower Screens.csv -> Ionic 2 panel folding curved bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/56/UP-D28956_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/3_/14/Ionic_Showering_Brochure_2013_14.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D28956_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D28956_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Single_Bathscreen_Installation.pdf
8,PD23770,Roman Haven6 power shower bath screen,Roman,149.22,"Suitable for use with power showers, the Roman Haven6 1500 x 815mm bath screen helps to minimise splashing, keeping that after-shower clean-up to a minimum. Suitable for any bathroom, this screen has a simple glass and aluminium design.",Showering/Shower Curtains and Screens/Curved Shower Screens/Curved Shower Screens.csv -> Roman Haven6 power shower bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/70/NW-D23770_wm.jpg,Bright Silver,6mm,Lifetime,N,Bright Silver,Glass & Aluminium,H2D10CS,Bath Screen,N,Rotates through 180° for access,6mm thick glass,Frameless design with square glass,Unique sealing system,Reversible for left or right hand fixing,Adjustment of 810 to 825mm,Haven6,Lifetime warranty,,,,,
9,PT41185,Scudo P-shaped bath screen,Scudo,101.43,"Designed for P-shaped baths, this Scudo 800 x 1700mm P-shaped barrel hinge shower screen, manufactured in Aquashield protected glass, reduces splashing when using an over bath shower.",Showering/Shower Curtains and Screens/Curved Shower Screens/Curved Shower Screens.csv -> Scudo P-shaped bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/85/T41185_wm.jpg,Clear,6mm,"Lifetime (fixed parts only) parts, 2 years moving parts and seals",N,Chrome,Aluminium,SCREEN002,P Shaped barrel hinge,N,Universal right or left-handed fitting,With Aquashield protection,6mm thick glass construction,Clear glass,Aluminium frame,Lifetime warranty on fixed parts,,2 year warranty on moving parts and seals,,,,,
10,PD25382,Coram curved bath screen 800mm Chrome Plated/Clear,Coram,114.65,"The Coram 800mm curved bath screen includes concealed fixings and a smooth hinge for easier cleaning and a neat, unobtrusive look. The chrome-finished aluminium frame is corrosion-resistant for a longer, rust-free life.",Showering/Shower Curtains and Screens/Curved Shower Screens/Curved Shower Screens.csv -> Coram curved bath screen 800mm Chrome Plated/Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/82/UP-D25382_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Frameless_Bathscreen_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_Bathscreen_Technical.pdf,
11,PD65402,Coram Premier 8 1100 return panel 200mm Chrome,Coram,278.68,"A modern and attractive semi-frameless design, this Coram Premier 8 shower panel has a 1100mm width and stands at 2000mm for full coverage. Helping to create a spacious shower enclosure, this easy to clean thick glass panel is available in a wide variety of additional dimensions.",Showering/Shower Curtains and Screens/Curved Shower Screens/Curved Shower Screens.csv -> Coram Premier 8 1100 return panel 200mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/03/NW-D65401_D65403_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Premier_8_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_Premier_8_Technical.pdf,,
12,PD28957,Ionic 2 panel curved bath screen,Ionic,343.74,"Save space with the Ionic 2 panel curved bath screen with inbuilt chrome towel rail and fitted internal shelves. With a pleasingly smooth pivot action, this two panel curved bath screen slides into place with ease for a more relaxing shower experience while HydraSEAL provides a uniquely reliable barrier to prevent water escaping. Supplied with an Easy-Fit mechanism, replacing an old bath shower screen is simple, with no need to drill new holes into the bathroom wall.",Showering/Shower Curtains and Screens/Curved Shower Screens/Curved Shower Screens.csv -> Ionic 2 panel curved bath screen,,Curved bath screen;Clear seal;Moving glass panel;Fixed glass panel;Tower rail;Wall profile;5 piece screws (3.9 x 30mm);3 piece wall plugs;2 piece brackets;3 piece screws (4 x 16mm);3 piece screw cover caps;3 piece screw cover cap clips;2 piece wall profi,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/57/UP-D28957_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/3_/14/Ionic_Showering_Brochure_2013_14.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D28957_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Single_Bathscreen_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D28957_Technical.pdf
13,PT41186,Scudo L-shaped bath screen,Scudo,131.2,"Designed for L-shaped baths, this Scudo 850 x 1700mm L-shaped barrel hinge shower screen, manufactured in Aquashield protected glass, reduces splashing when using an over bath shower.",Showering/Shower Curtains and Screens/Curved Shower Screens/Curved Shower Screens.csv -> Scudo L-shaped bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/86/T41186_wm.jpg,Clear,6mm,"Lifetime (fixed parts only) parts, 2 years moving parts and seals",N,Chrome,Aluminium,SCREEN003,L Shaped barrel Hinge,N,Universal right or left-handed fitting,With Aquashield protection,6mm thick glass construction,Clear glass,Aluminium frame,Lifetime warranty on fixed parts,,2 year warranty on moving parts and seals,,,,,
