,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Range,Warranty,Weight,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Depth (mm),Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 4
0,PD77422,Bristan Cobalt dual control shower pack,Bristan,410.76,"Uniquely designed for boldly modern bathrooms, the Bristan Cobalt shower pack with fixed head and wall outlet handset incorporates square shapes for a clean, eye-catching look. Built for easy fitting in UK homes, the Cobalt requires a wall cavity depth of just 35mm making it a perfect choice for smaller bathrooms and challenging installation jobs.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Bristan Cobalt dual control shower pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/22/D77422_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Bristan_Cobalt_COB_SHCDIV_C_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Bristan_Cobalt_C_WOSQ02_C_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Bristan_Cobalt_COBALT_SHWR_PK_Tech.pdf,,,,,,,,,,,,,,,,
1,PD63833,Ideal Standard thermostatic mixing valve 15mm Chrome Plated,Ideal Standard,109.91,"This 15mm Ideal Standard thermostatic mixing valve supplied pre-mixed water at a set temperature to a basin, bidet, bath or shower. It is designed for installation under a basin or bidet, immediately below the hot water inlet.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Ideal Standard thermostatic mixing valve 15mm Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/34/NW-D63833_D63834_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_A5900_Technical.pdf,,,,,,,,,,,,,,,,,,
2,PD63834,Ideal Standard thermostatic mixing valve 22mm Chrome Plated,Ideal Standard,138.81,"This Ideal Standard 22mm thermostatic mixing valve supplies pre-mixed water at a set temperature. Designed to be installed under a basin, bidet or bath, immediately below the hot water inlet, the mixer should be commissioned to temperature during installation.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Ideal Standard thermostatic mixing valve 22mm Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/34/NW-D63833_D63834_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_A5901_Technical.pdf,,,,,,,,,,,,,,,,,,
3,PC43144,"Deva Spares-tapware ceramic disc valves 1/2"" (Pair)",Deva,21.32,"A pair of Deva 1/2"" ceramic disc valves for hot and cold taps.","Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Deva Spares-tapware ceramic disc valves 1/2"" (Pair)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/44/NW-C43144_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Methven_Shower-Tap_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_CDV001_Technical.pdf,,,,,,,,,,,,,,,,,
4,PQ97158,Hansgrohe Ecomax selector,Hansgrohe,61.36,A Hansgrohe Ecomax selector.,Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Hansgrohe Ecomax selector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/58/NW-Q97158_wm.jpg,,,,Black,Ecomax,5 Years,0.1Kg,N,97164000,Selector,N,5 year warranty,,,,,,,
5,P170763,Fluidmaster SHOWER TRAPS hi flow shower trap 90mm Chrome,Fluidmaster,9.92,"This Fluidmaster 90mm top access shower trap incorporates a chrome waste covertrap body, washer and compression nut.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Fluidmaster SHOWER TRAPS hi flow shower trap 90mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/63/NW-170763_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Fluidmaster_UK_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,
6,PA05445,Nabis Regal diverter,Nabis,7.75,This Nabis Regal diverter head is specifically designed for use on the A05403 deck-mounted bath/shower mixer.,Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Nabis Regal diverter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/45/A05445_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,,,,,,,,,
7,PA05459,Nabis Regal spare diverter for A05412,Nabis,3.46,This Nabis Regal diverter is suitable for the A05412 bath/shower mixer.,Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Nabis Regal spare diverter for A05412,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/59/A05459_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,,,,,,,,,
8,PE98766,VADO TE W/M EXPOSED THERMOSTATC SHWR VLV,Vado,355.0,"Designed for wall mounting, the Vado TE exposed thermostatic single outlet shower valve is fitted with 3/4"" x 1/2"" x 50mm male eccentric connections and has a high-shine polished chrome finish.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> VADO TE W/M EXPOSED THERMOSTATC SHWR VLV,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/66/E98766_wm.jpg,,,,Chrome,TE,15 Years,,N,TE-149T-C/P,Shower Valve,N,With 2x handles,140,Single outlet,For wall mounted installation,"Suitable for gravity, pumped, combi and pressurised systems",Chrome finish,15 year warranty,
9,PE95824,Vado exposed shower valve and central outlet and flow regulator 6l/pm Chrome Plated,Vado,215.01,"Finished in a smart, high-shine chrome, the Vado exposed shower valve and central outlet will suit most bathroom schemes. This thermostatic shower valve is fitted with a 6LPM flow regulator, ensuring comfortable delivery coupled with water economy.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Vado exposed shower valve and central outlet and flow regulator 6l/pm Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/24/E95824_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vado_Brochure.pdf,,,,,,,,,,,,,,,,,,
