,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Range,Style,Warranty,Hazardous,Sector,Depth (mm),Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
0,P171676,Saracen 2 in 1 thermostatic mixing valve 15mm,Saracen,27.25,"Providing accurate temperature control, the Saracen 2-in-1 anti-scald thermostatic mixing valve is supplied with 15mm copper x copper compression end connections.",Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Saracen 2 in 1 thermostatic mixing valve 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/76/NW-171676_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_i/om/171676-79_Saracen_IOM.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ac/en/A4_Saracen.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_TMV2_TMV3_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/16/76/A4_Saracen_171676.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_TMV_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PD67381,"Saracen Non Concussive Non-Concussive Deck Mounted Basin Tap, 7 seconds",Saracen,38.25,"Modern, safe and reliable, the Saracen non-concussive, deck-mounted seven-second basin tap offers push operation, making it suitable for users with reduced mobility. Closing automatically after seven seconds of use, this tap helps to minimise water waste in unsupervised public bathrooms and changing rooms. Designed with a 100mm projection, this brass tap with chrome finish is supplied with red (hot) and blue (cold) indicator gaskets.","Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Saracen Non Concussive Non-Concussive Deck Mounted Basin Tap, 7 seconds",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/81/NW-D67381_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_Basin_Tap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/D67381_Saracen_TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PD67383,"Saracen TMV3 basin lever tap, flexible tails",Saracen,188.74,"Supplied with flexi-tails, the Saracen TMV3 basin level tap is safe, reliable and attractively designed. The smooth, easy grip sequential lever, operated by hand or elbow, makes this deck-mounted tap user-friendly, even for those with reduced dexterity. Meanwhile proven anti-scald technology, a safe touch body and self-draining spout ensure accident-free operation. Ideal for sheltered accommodation, less-able bathrooms and domestic use, this deck-mounted tap also provides thermostatic protection.","Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Saracen TMV3 basin lever tap, flexible tails",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/84/NW-D67383_D67384_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/D67383_Saracen_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_TMV3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PD12141,Rada Thermotap-3 copper thermostatic mixing tap,Rada,287.19,"Easy to use, the Rada Thermotap-3L thermostatic mixing tap has a 100mm lever control offering single sequential lever control from cold through to a pre-set maximum temperature. Installation of this deck-mounted tap is easy and quick while day-to-day care is equally simple thanks to the durable easy-clean chrome finish.",Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Rada Thermotap-3 copper thermostatic mixing tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/42/NW-D12141_D12142_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Rada_Thermotap_3_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/at/ic/Rada_Thermotap_3_Schematic.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rada_Thermotap_3_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rada_Thermotap_3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PC90125,Ideal Standard Contour 21 1 tap hole lever sequential thermostatic basin mixer,Ideal Standard,387.51,"Made for the non-residential sector, the practical Ideal Standard Contour 21 thermostatic washbasin mixer is suitable for balanced and unbalanced low or high water pressure systems. With an eye-catching modern design, this chrome deck-mounted tap offers intuitive single lever operation.",Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Ideal Standard Contour 21 1 tap hole lever sequential thermostatic basin mixer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/25/NW-C90125_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Contour_21_A4169AA_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PD67382,"Saracen Non Concussive non-concussive wall mouted basin tap, 7 seconds",Saracen,49.64,"Modern, safe and reliable, the Saracen non-concussive, wall-mounted seven-second basin tap offers push operation, making it suitable for users with reduced mobility. Closing automatically after seven seconds of use, this tap helps to minimise water waste in unsupervised public bathrooms and changing rooms. Designed with a 100mm projection, this brass tap with chrome finish is supplied with red (hot) and blue (cold) indicator gaskets.","Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Saracen Non Concussive non-concussive wall mouted basin tap, 7 seconds",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/82/NW-D67382_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/D67382_Saracen_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_Wall_Basin_Tap_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PD90009,Intatec Non Concussive  manual non-concussive time flow mixer tap,Intatec,200.58,"Suitable for use with Inta's range of thermostatic mixing valves, the Intatec manual mixer tap with adjustable temperature control combines user-friendly operation with economical water delivery. Supplying water with a simple press, this deck-mounted tap has a non-concussive action to automatically close after around 15 seconds, reducing water waste. For additional comfort, water temperature can be adjusted by twisting the control knob.",Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Intatec Non Concussive  manual non-concussive time flow mixer tap,,Manual mixer tapM8 retaining screwSealing washerRetaining plateRetaining nutCopper tailSealing washer,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/09/NW-D90009_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Intatec_NC230CP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Intatec_NC230CP_Spare_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Intatec_NC230CP_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PC01171,Deva dual source sensor tap,Deva,308.4,"The Deva mono basin sensor tap offers convenient and hygienic water saving automatic operation. Made of brass with a chrome finish, this sensor tap is suitable for high pressure systems and ideal for public bathrooms.",Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Deva dual source sensor tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/71/NW-C01171_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_SENSOR2_D_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Deva_Shower-Tap_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PD61182,Rada Thermotap-3 thermostatic mixing tap with short lever,Rada,287.19,"Easy to use, the Rada Thermotap-3L thermostatic mixing tap has a 100mm lever control offering single sequential lever control from cold through to a pre-set maximum temperature. Installation of this deck-mounted tap is easy and quick while day-to-day care is equally simple thanks to the durable easy-clean chrome finish.",Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Rada Thermotap-3 thermostatic mixing tap with short lever,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/83/NW-D61182_D61183_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Rada_Thermotap_3_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/at/ic/Rada_Thermotap_3_Schematic.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rada_Thermotap_3_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rada_Thermotap3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PD67380,"Saracen Non Concussive non-concussive deck mounted basin tap, 3 seconds",Saracen,50.09,"Modern, safe and reliable, the Saracen non-concussive, deck-mounted three-second basin tap offers push operation, making it suitable for users with reduced mobility. Closing automatically after three seconds of use, this tap helps to minimise water waste in unsupervised public bathrooms and changing rooms. Designed with a 100mm projection, this brass tap with chrome finish is supplied with red (hot) and blue (cold) indicator gaskets.","Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Saracen Non Concussive non-concussive deck mounted basin tap, 3 seconds",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/_1/D67380_1_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_Basin_Tap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/D67380_Saracen_TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
