,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Hazardous,Bend (in degrees),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 1,Attachment 2,Attachment 3,Dimensions (L x W x D)
0,PG15981,Domus single metal airbrick 220 x 90mm Cotswold,Domus,97.97,"Non-combustible, the Domus Ventilation Solis Air Brick 220 x 90mm single metal airbrick, finished in a Cotswold Beige to seamlessly blend with its surroundings, maintains low resistance and ensures compliance with fire regs, providing peace of mind for both residents and developers.",Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus single metal airbrick 220 x 90mm Cotswold,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/81/G15981_wm.jpg,Cotswold Beige,N,N/A,Metal,SOL-AB-220X90C,Fire Rated AirBrick,N,Metal construction,Cotswold Beige finish,Low resistance,Compatible with Domus Rigid and Thermal ducting range,Non-combustible as set out in Approved Document B (fire safety),"Air brick powder coating pre-qualified to EN13501-1 classification A2-s1,d0","Air brick material 1.5mm galvanised steel, fire class A1 ‘no contribution to fire’",,,,
1,P800200,"Stadium Ducting  pvc extension tube 1 m  x 5""",Stadium,23.34,"Suitable for use with tumble driers or extractor fans, this Stadium 1M PVC rigid ducting extension tube is compatible with rigid ducting and can be installed behind kitchen units or cupboards, behind baths or in loft spaces.","Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Stadium Ducting  pvc extension tube 1 m  x 5""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/00/800200_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Stadium_Brochure.pdf,,,
2,PG21379,Xpelair Simply Silent Contour C4TSR 2 speed axial fan with timer 100 mm,Xpelair,46.76,"The two-speed Xpelair Simply Silent Contour C4TSR axial extract fan with timer offers effortless fitting into walls, windows, ceilings or panels. Eliminating humidity, condensation and odour, this almost silent fan, incorporating Ghost Air Movement Technology, helps to improve air quality in bathrooms, shower rooms, cloakrooms and toilets. The C4TSR is supplied with both a square and a round baffle to suit the user's preference and the fan's speed is selected at install to help meet Part F of Building Regulations.",Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Xpelair Simply Silent Contour C4TSR 2 speed axial fan with timer 100 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/79/NW-G21378_G21379_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Xpelair_Simply_Silent_Contour_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Xpelair_Product_Catalogue_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Xpelair_Simply_Silent_Contour_Tech.pdf,
3,P800174,Stadium Black hole  BM418 Anti-Draught Core Drill Vent Kit,Stadium,27.28,"This Stadium 5"" multi-size core vent is designed with fixed anti-draught baffles to minimise cold, noisy draughts. Made of polypropylene, this vent has a brown outer cowl around its white grille.",Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Stadium Black hole  BM418 Anti-Draught Core Drill Vent Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/74/NW-800174_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Stadium_Product_Guide.pdf,,,
4,PG75583,Domus round flexible PVC hose 100 mm 3mtr,Domus,16.12,"Highly flexible, this Domus flexible hose is suitable for use in the kitchen, utility room, bathroom or toilets of residential properties. It is also suitable for use in small offices, medical premises, leisure facilities, restaurants and in student accommodation.",Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus round flexible PVC hose 100 mm 3mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/83/NW-G75583_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Domus_Specification_Guide_2021.pdf,,
5,PG76688,Xpelair XIMX XIMX100T inline mixed flow fan timer,Xpelair,107.79,"Suitable for a whole range of domestic ducted applications, the two speed Xpelair XIMX XIMX100T inline mixed flow extract fan is a practical, maintenance-free choice designed for simple installation with an easy-access terminal box for simplified electrical connection. The XIMX is supplied with a mounting cradle, making both fitting and ongoing inspection straightforward.",Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Xpelair XIMX XIMX100T inline mixed flow fan timer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/88/G76687_G76688_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Xpelair_XIMX_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Xpelair_XIMX_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Xpelair_Product_Catalogue.pdf,
6,PG76087,Domus Ancillaries ducting sealant 310ml,Domus,19.93,A 310ml bottle of Domus rigid duct intumescent sealant designed for sealing between rigid duct connectors.,Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus Ancillaries ducting sealant 310ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/87/G76087_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Domus_DDSEAL_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,,
7,PG76738,Domus EasiPipe 150 adjustble hose clip 125mm 125-6 Steel,Domus,5.99,"This aluminium Domus EasiPipe 150 diameter adjustable hose clip is intended to provide a secure, air-tight connection around flexible hose.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus EasiPipe 150 adjustble hose clip 125mm 125-6 Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/38/G76737_G76738_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_Domus_Brochure.pdf,,
8,PG76719,Domus EasiPipe 100 flexible PVC hose 100mm 3mtr White,Domus,8.99,"Reducing pressure drops and almost completely eliminating air leakage, the Domus EasiPipe 100 rigid duct flexible hose is suitable for use in the bathroom, toilet or utility room. This wire-reinforced, flexible PVC ducting has a round profile for compatibility with the Domus Ventilation rigid PVC product range, helping to overcome the issue of installations where a rigid component can't be installed. The use of flexible hose is recommended for use in the ducting of tumble driers or for other slow moving air applications.",Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus EasiPipe 100 flexible PVC hose 100mm 3mtr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/20/NW-G76719_G76720_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Domus_EasiPipe100_Flexible_Hose_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Domus_Ventilation_Ducting_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Domus_Specification_Guide_2021.pdf,
9,PG74857,Domus SDF SDF100B axial fan 100mm,Domus,23.89,"Ensuring effective ventilation and extraction in a bathroom, the single phase Domus SDF axial extractor fan reduces the risk of condensation and the resulting build-up of mould. Helping installers to meet the stringent requirements of building regs, this extractor fan runs quietly meaning that users won't be tempted to turn it off when enjoying a long, hot bath or steamy shower.",Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus SDF SDF100B axial fan 100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/58/G74857_G74858_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Domus_SDF_100_150_Installation.pdf,,
