,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Pack Quantity,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Attachment 2,Attachment 3,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Attachment 4,Attachment 5,Colour,Diameter,Material,Size,Connection Type,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Connection Type 1,Depth (mm),Material Type,Warranty,Finish,Weight,Dimensions mm (H x W x D),Design Type,Shape,Fittings Included
0,PC93265,Ideal Standard Conceala 1.5 dual flush pneumatic outlet valve 180 O/F no cage (1),Ideal Standard,35.49,This Ideal Standard 1.5L dual flush pneumatic outlet valve is suitable for use in the brand's Conceala cisterns.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Ideal Standard Conceala 1.5 dual flush pneumatic outlet valve 180 O/F no cage (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/65/C93265_wm.jpg,1,Conceala,N,EV98167,Flush Valve,N,Pneumatic operation,1.5L capacity,For Conceala cisterns,Without cage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PB24004,Nabis dual flush cable valve,Nabis,18.25,"Offering a universal fit, this Nabis dual flush valve cable can be used in both 1 1/2"" and 2"" outlets.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Nabis dual flush cable valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/04/NW-B24004_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_B24004_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P171087,"Fluidmaster Pro Series bottom entry float valve shank 1/2"" Brass",Fluidmaster,14.49,"The professional-grade Fluidmaster Pro Series fill valve with bottom entry and 1/2"" heavy-duty brass shank is designed to meet high standards of performance and quality for minimal maintenance requirements.","Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Fluidmaster Pro Series bottom entry float valve shank 1/2"" Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/87/NW-171087_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/171087_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Fluidmaster_Opella_Catalogue_2013.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PA05105,Center H0112 tap reviver metal head 1/2 (1 pair),Center,7.99,"An easy update for old or broken taps, this pack of two Center CB 1/2"" basin tap revivers with metal heads is suitable for BS5412 and BS1010 bathroom taps. With no need to disturb existing plumbing, tap revivers are a fast fix for tired bathrooms.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Center H0112 tap reviver metal head 1/2 (1 pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/05/A05105_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/ad/A05105 TDS Center tap reviver metal head.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/A05105 - Data Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PD00776,Siamp Optima 49 dual flush outlet valve,Siamp,28.49,"The compact, water saving Siamp Optima 49 dual flush valve is for plastic or ceramic cisterns with lid holes between 16 and 50mm.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Siamp Optima 49 dual flush outlet valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/76/NW-D00776_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siamp_Optima_49_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Siamp_Product_Catalogue_2014.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siamp_Optima_49_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P171203,Fluidmaster Univers Cistern Repair Pk,Fluidmaster,31.49,"Promising high quality and reliable durability, this Fluidmaster PRO Series universal cistern pack was developed with plumbing professionals in mind. A handy addition to your stockroom, this pack includes a brass shank fill valve, flush valve and fittings.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Fluidmaster Univers Cistern Repair Pk,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/03/NW-171203_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/lv/Fluidmaster_Toilet_Symptom_Fill_Valv.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/lu/nk/Fluidmaster_Toilet_Symptom_Clunk.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P171116,"Fluidmaster Pro Series cable dual flush valve 1.1/2""",Fluidmaster,11.5,"A popular choice with professional plumbers, the easy fit, easy maintenance Fluidmaster Pro Series button operated cable dual flush valve fits 1 1/2"" and 2"" flush outlets.","Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Fluidmaster Pro Series cable dual flush valve 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/16/NW-171116_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Fluidmaster_Opella_Catalogue_2013.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/171119_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P257474,Center cistern lever and nylon arm,Center,6.99,"This Center cistern lever and arm pack is built around a lever made of solid metal with a smooth chrome finish. Also included in the pack is a multi-purpose nylon lift arm and a 1/2"" bush, giving you everything you'll need for a complete fitting job.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Center cistern lever and nylon arm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/74/257474_wm.jpg,,,N,PPSLEV374503,Lever and Arm Pack,N,Solid metal and nylon construction,Metal is chrome-plated,Suitable for most lever flush cisterns,Lever shape ensures space to fully grab handle for ease of flushing,,,,With bush nut and plastic lift arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PB92100,"Thomas Dudley Turbo 88 high two part syphon 6-9ltr 9""",Thomas Dudley,18.75,"This Thomas Dudley Turbo 88 high 9"" two part siphon is supplied as standard in Dudley Tri-Shell cisterns and available as an optional extra in many others so it's ideal for retrofit and replacement. With its two part design there's no need to disconnect the water supply or take the cistern apart, simply pull out the siphon body for service in under five minutes.","Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Thomas Dudley Turbo 88 high two part syphon 6-9ltr 9""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/05/NW-B92100_B92105_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PC92756,Ideal Standard flush valve seal and seal clip,Ideal Standard,3.99,An Ideal Standard spare flush valve seal with seal clip.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Ideal Standard flush valve seal and seal clip,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/56/NW-C92756_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IStandard_LiveTheIdeal_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
