,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Diameter,Length (M),Pack Quantity,Hazardous,Approvals,Gender,Material,Size,Wall Thickness (mm),Connection Type 1,Connection Type 2,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Weight,Range
0,PP31021,M OF GF ABS CL E PIPE 169018085 6M 1.1/2,Georg Fischer,44.14,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class E 1 1/2"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> M OF GF ABS CL E PIPE 169018085 6M 1.1/2",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,Grey,1 1/2,6,Per Metre,N,"WRAS, DWI",male,ABS,1 1/2 in,4.5,Spigot,Spigot,169018085,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,,,,
1,PP31035,M OF GF ABS CL T PIPE 169018111B 6M    2,Georg Fischer,74.01,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class T 2"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> M OF GF ABS CL T PIPE 169018111B 6M    2",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,Grey,2,6,Per Metre,N,"WRAS, DWI",male,ABS,2 in,7.2,Spigot,Spigot,169018111,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,,,,
2,PP57925,"Georg Fischer TP ABS pipe (class E) 6mtr x 2""",Georg Fischer,94.62,"Made of ABS, this Georg Fischer TP 2"" pipe offers high impact resistance and elasticity, performing throughout a wide temperature range and at pressures up to 15 bar. This 6M long pipe is resistant to a range of acids, bases, salts and oils.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> Georg Fischer TP ABS pipe (class E) 6mtr x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/25/NW-P57922_P57925_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,
3,PP31030,M OF GF ABS CL T PIPE 169018106 6M   1/2,Georg Fischer,18.92,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class T 1/2"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> M OF GF ABS CL T PIPE 169018106 6M   1/2",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,Grey,1/2,6,Per Metre,N,"WRAS, DWI",male,ABS,1/2 in,3.6,Spigot,Spigot,169018106,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,,,,
4,PP02006,"Durapipe SuperFLO ABS polyethylene pipe class C 2"" (6 metre)",Durapipe,26.27,"Ideal for low temperature fluid transportation, this Durapipe SuperFLO 2"" pipe is made of acrylonitrile butadiene styrene (ABS) for resistance to corrosion, durability and economy, saving time and money on-site with quick, straightforward installation. Lightweight and easy to handle, this 3.6mm thick ABS pipe, supplied in 6M length, remains highly ductile right down to -40°C.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> Durapipe SuperFLO ABS polyethylene pipe class C 2"" (6 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/06/NW-P02006_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_SuperFLO_ABS_Solvent_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Durapipe_SuperFLO_ABS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_Eco_Cleaner_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Durapipe_SuperFLO_ABS_Technical_Brcr.pdf,,
5,PP57922,"Georg Fischer TP ABS pipe (class E) 6mtr x 1"" (Per Metre)",Georg Fischer,38.36,"Made of ABS, this Georg Fischer TP 1"" pipe offers high impact resistance and elasticity, performing throughout a wide temperature range and at pressures up to 15 bar. This 6M long pipe is resistant to a range of acids, bases, salts and oils.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> Georg Fischer TP ABS pipe (class E) 6mtr x 1"" (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/25/NW-P57922_P57925_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,
6,PP31020,M OF GF ABS CL E PIPE 169018084 6M 1.1/4,Georg Fischer,33.48,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class E 1 1/4"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> M OF GF ABS CL E PIPE 169018084 6M 1.1/4",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/bs/_1/ABS 1_wm.jpg,Grey,1.1/4,6,Per Metre,N,"WRAS, DWI",male,ABS,1 1/4 in,3.9,Spigot,Spigot,169018084,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,,,0.52000,
7,PP31011,M OF GF ABS CL C PIPE 169018040 6M     6,Georg Fischer,279.81,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class C 6"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> M OF GF ABS CL C PIPE 169018040 6M     6",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,Grey,6,6,Per Metre,N,"WRAS, DWI",male,ABS,6 in,9.9,Spigot,Spigot,169018042,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,,,,
8,PP56429,"Durapipe SuperFlo ABS PRE class E pipe 1.1/4"" x 6mtr (Per Metre)",Durapipe,16.53,"Supplied in a 6M length, this Durapipe SuperFlo grey 1 1/4"" pipe is manufactured in an ABS Class E material. Installed using plain end x press-fit connections, this lightweight yet durable pipe requires no hot works during fitting.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> Durapipe SuperFlo ABS PRE class E pipe 1.1/4"" x 6mtr (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/29/NW-P56429_wm.jpg,Grey,1.1/4,,Per Metre,N,WRAS,,ABS,1.1/4,2.4,Press fit,Plain End,SPAE040A,N,Ductile at low temperatures,No hot works permit required,Lightweight design,50 year design life,WRAS approved,,,,,,,,,,,1.39842,SuperFLO
9,PP31033,M OF GF ABS CL T PIPE 169018109 6M 1.1/4,Georg Fischer,53.66,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class T 1 1/4"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> M OF GF ABS CL T PIPE 169018109 6M 1.1/4",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,Grey,1.1/4,6,Per Metre,N,"WRAS, DWI",male,ABS,1 1/4 in,5.3,Spigot,Spigot,169018109,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,,,,
