,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Size,Connection Type,Diameter,Weight,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Angle,Range,Body Material,Handle Type,Seal Material,Feature 7,Feature 8,End Connection B size,Connection Type 2,Material Type
0,PF66458,Polypipe Solvent Weld Waste - ABS straight coupling 40mm White,Polypipe,4.11,"Made of white ABS, this Polypipe straight coupling with 40mm solvent weld connections is suitable for domestic applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> Polypipe Solvent Weld Waste - ABS straight coupling 40mm White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/58/NW-F66458_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF66358,Polypipe Solvent Weld Waste - ABS straight coupling 32mm White,Polypipe,3.84,"Made of white ABS, this Polypipe straight coupling with 32mm solvent weld connections is suitable for domestic applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> Polypipe Solvent Weld Waste - ABS straight coupling 32mm White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/58/NW-F66358_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PF66461,Polypipe Solvent Weld Waste - ABS threaded coupling 40mm White,Polypipe,5.74,"Made of white ABS, this Polypipe threaded coupling with 40mm solvent weld connections is suitable for domestic applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> Polypipe Solvent Weld Waste - ABS threaded coupling 40mm White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/61/NW-F66461_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PP96646,"TP RB0.MAL abs socket 2""",TP,15.72,"This TP RB0.MAL 2 x 2"" socket is made of high impact, highly elastic ABS. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> TP RB0.MAL abs socket 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/46/NW-P96641_P96646_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PP96746,"TP RB0.MAR abs socket adaptor (bsp) 2""",TP,46.75,"This TP RB0.MAR 2 x 2"" socket adapter is made of high impact, highly elastic ABS and includes a stainless steel A2 reinforcing ring and plain/BSP threaded connection. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> TP RB0.MAR abs socket adaptor (bsp) 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/46/NW-P96741_P96746_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PP56013,"Durapipe abs socket 3""",Durapipe,13.24,"Suitable for pressurised irrigation, this Durapipe ABS 3"" socket can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval. Ductile at low temperatures, this robust fitting has solvent weld connections for secure installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> Durapipe abs socket 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore ABS Socket image_wm.jpg,,,3 in,Solvent weld,3,0.16296,N,WRAS,Equal,3,3,ABS (Acrylonitrile Butadiene Styrene),3,Solvent Weld,SMA40900,Pipe Socket,N,Lightweight ABS construction,Ductile at low temperatures,Solvent weld connections,No need for hot works permit,WRAS approved,50 year design life,,,,,,,,,,
6,PP56237,"Durapipe socket 3/4""",Durapipe,2.68,"Suitable for pressurised irrigation, this Durapipe ABS 3/4"" socket can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval. Ductile at low temperatures, this robust fitting has solvent weld connections for secure installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> Durapipe socket 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ab/s)/Socket plain-threaded(abs)_wm.jpg,,,3/4 in,Threaded,,0.16296,N,WRAS,Equal,3/4,3/4,ABS (Acrylonitrile Butadiene Styrene),3/4,Solvent Weld,SMA60250,Socket,N,Lightweight ABS construction,Ductile at low temperatures,Solvent weld connections,No need for hot works permit,WRAS approved,50 year design life,,,,,,,,,,
7,PP96693,"TP RB0.RCL abs reducing bush 1.1/2 x 1.1/4""",TP,9.11,"This TP RB0.RCL 1 1/2 x 1 1/4"" reducing bush is made of high impact, highly elastic ABS. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> TP RB0.RCL abs reducing bush 1.1/2 x 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/98/NW-P96690_P96698_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PP56006,"Durapipe abs socket 1/2""",Durapipe,0.91,"Suitable for pressurised irrigation, this Durapipe ABS 1/2"" socket can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval. Ductile at low temperatures, this robust fitting has solvent weld connections for secure installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> Durapipe abs socket 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore ABS Socket image_wm.jpg,,,1/2 in,Solvent weld,1/2,0.16296,N,WRAS,Equal,12,1/2,ABS (Acrylonitrile Butadiene Styrene),12,Solvent Weld,SMA40200,Pipe Socket,N,Lightweight ABS construction,Ductile at low temperatures,Solvent weld connections,No need for hot works permit,WRAS approved,50 year design life,,,,,,,,,,
9,PP56029,"Durapipe 90degree abs elbow 1.1/4""",Durapipe,3.34,"Suitable for pressurised irrigation, this Durapipe ABS 1 1/4"" 90° elbow can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval. Ductile at low temperatures, this robust fitting has solvent weld connections for secure installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> Durapipe 90degree abs elbow 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore ABS 90d elbow image_wm.jpg,,,1.1/4 in,Solvent weld,1.1/4,0.27231,N,WRAS,Equal,1.1/4,1 1/4,ABS (Acrylonitrile Butadiene Styrene),1.1/4,Solvent Weld,SGO40400,Elbow,N,Lightweight ABS construction,Ductile at low temperatures,Solvent weld connections,No need for hot works permit,WRAS approved,50 year design life,90,,,,,,,,,
