,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Connection Size,Material Type,Material,By Model Number,Attachment 2,Weight
0,P479460,Vokera 20039202 gas valve,Vokera,203.54,"This Vokera replacement gas valve is suitable for use in Excel, Mynute i, Procombi, Sabre, Unica, Vibe, Vision, Compact, Easi-Heat Plus, Maxim, Mynute, Verve and Mynute HE appliances.  The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera 20039202 gas valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/60/479460_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vokera_Vibe_20A_ERP_Spare_Parts_List.pdf,,,,,,,,,,,,,,,,,,,
1,P479327,Vokera 3 way valve cartridge,Vokera,87.91,"This Vokera three-way valve cartridge is designed for use in the diverter valve of Easi-Heat Plus, Mynute, Procombi, Unica, Compact, Mynute EHE, Mynute HE, Sabre, Vision, Linea, Excel and Vibe units.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera 3 way valve cartridge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/27/479327_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vokera_Procombi_85_100_120_HE_Parts.pdf,,,,,,,,,,,,,,,,,,,
2,P479448,Vokera 20044364 safety valve,Vokera,28.5,"This Vokera safety relief valve is suitable for Procombi, Vision, Mynute, Compact, Excel, Mynute EHE, Linea, Sabre, Unica, Mynute i, Mynute HE, Easi-Heat Plus, Maxim, Vibe, Evolve and Vision Plus boilers.  The pressure relief valve helps to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera 20044364 safety valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/48/479448_wm.jpg,,N,"100 HE, 120 HE, 20 S, 24 SE, 25, 25 A, 25 C, 25 EHE, 25 HE, 25 S, 25HE, 25HE Plus, 28 HE LPG, 28 HE, 29, 29 A, 29 EHE, 29 HE, 29HE, 29HE Plus, 29HE System, 30 C, 30 HE, 32 HE, 32 HE LPG, 35 EHE, 35 HE, 35HE, 36 HE, 36 HE LPG, 85 HE, A28, A32, A36, CT 25,",Diverter Valve,"Procombi, Vision, Mynute, Compact, Excel, Mynute EHE, Linea, Sabre, Unica, Mynute i, Mynute HE, Easi-Heat Plus, Maxim, Vibe, Evolve, Vision Plus",727500,20044364,Safety Relief Valve,N,,,,,,,,,,,
3,P800043,Vokera heating flow cock,Vokera,42.75,"This Vokera brand flow cock is for use in the diverter valve of Syntesi, Unica, Linea, Vision and Hydra boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.   We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera heating flow cock,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/43/800043_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Syntesi_Installation.pdf,,,,,,,,,,,,,,,,,,,
4,P478894,Vokera thermister,Vokera,17.3,"Supplied with a washer, this Vokera thermistor is a spare part for use in Compact, Linea, Mynute EHE, Syntesi, Mynute, Sabre, Rain, AquaNova, Synergy, Option, Excell and Elidra boilers.  The sensor is employed to increase circuit resistance in line with temperature drops. A boiler's printed control board (PCB) sends a current to the thermistor, deciding whether a decrease or increase in heat is required by reading the relative resistance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera thermister,,SensorWasher,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/94/478894_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vokera_Option_24_Spare_Parts_List.pdf,,,,,,,,,,,,,,,,,,,
5,P801502,Vokera 2907 safety valve,Vokera,19.8,"This Vokera safety relief valve is suitable for Mynute HE, Rain, Unica, Compact, Mynute, Sabre and Synergy boilers.  The pressure relief valve helps to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera 2907 safety valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/02/801502_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Mynute_HE_Installation.pdf,,,,,,,,,,,,,,,,,,,
6,P801479,Vokera actuator cable,Vokera,82.12,"This Vokera actuator cable is a spare part for use in the diverter valve section of Compact, Easi-Heat Plus, Procombi, Unica, Sabre, Vision, Excel, Maxim and Linea boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera actuator cable,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/79/801479_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vokera_Unica_32HE_36HE_Parts_List.pdf,,,,,,,,,,,,,,,,,,,
7,P801501,Vokera 3 way valve cartridg,Vokera,62.14,"This Vokera three-way valve cartridge is suitable for use in the diverter valve of the brand's Easi-Heat Plus, Maxim, Procombi, Compact, Unica, Vision, Sabre and Excel units.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera 3 way valve cartridg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/01/801501_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vokera_Procombi_A28_A32_A36_Parts.pdf,,,,,,,,,,,,,,,,,,,
8,P801483,"Vokera heat water cock 3/4 """,Vokera,22.3,"This Vokera water cock is suitable for Excel, Procombi, Sabre, Maxim, Compact and Easi-Heat Plus boilers.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.","Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera heat water cock 3/4 """,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/83/801483_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Compact_A_Installation.pdf,,,,,,,,,,,,,,,,,,,
9,P801482,Vokera dual printed circuit board Red,Vokera,290.95,"A genuine Vokera printed circuit board for Sabre and Compact boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera dual printed circuit board Red,,Printed circuit board only,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/82/801482_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vokera_Compact_24-28_Parts_List.pdf,,,,,,,,,,,,,,,,,,,
