,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Connection Type,Range,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Handle Type,Material Type,Pack Quantity,Nut Types,Washer Type,Screw / Bolt Type,Set Type,Screw / Bolt Length,Screw / Bolt Sizes,Drive,Bolt Type,Total Pack Quantity
0,PF16200,Center CB Weld Cement 102400 tin solvent cement 250ml (1),Center CB,6.25,"Suitable for a wide range of applications, this Center CB solvent cement forms a welded joint in plastic pipes.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Center CB Weld Cement 102400 tin solvent cement 250ml (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/00/NW-F16200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/F16200_Safety Data Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/CENTER_BRAND_F16200_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P571983,Center CB Standard PTFE Tape 12mtr x 12mm x 0.075mm (1),Center CB,0.32,"Center CB thread-sealing PTFE tape is designed specifically to aid the sealing of a joint where threaded or compression fittings are used. This versatile tape is compatible with a wide array of liquids including potable water and is suitable for use on multiple types of materials including plastic, brass, copper, aluminium, steel, galvanised steel and iron. This WRAS approved tape benefits from being resistant to enzymatic and micro-biological attack whilst also being non-toxic and non-flammable making in the perfect choice for professional installers. It is used in the applications of plumbing, heating, automotive, mechanical and hydraulic systems.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Center CB Standard PTFE Tape 12mtr x 12mm x 0.075mm (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/83/571983_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_571983-571984_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_571983_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PT16716,Loctite 55 threaded pipe sealing cord 160m White,Loctite,12.49,"Suitable for sealing metal and plastic pipes and fittings, this Loctite 55 thread sealing cord offers immediate full pressure sealing and allows for re-adjustments. Loctite 55 needs no cure time for an immediate seal.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Loctite 55 threaded pipe sealing cord 160m White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/16/T16716_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Loctite_55_48x160m_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ro/hs/Loctite_55_48x160m_RoHS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Loctite_55_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PT16508,Henkel Loctite pipe thread sealant 50ml,Henkel,25.49,"Suitable for straight or taper-straight connections, Loctite 577 medium strength general purpose thread sealant fills clearances between threads and seals, braking them at the same time. Providing instant low pressure sealing for metal threaded pipes and fittings and other threaded assemblies, Loctite 577 won't loosen, shrink or crack and has good chemical and thermal resistance.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Henkel Loctite pipe thread sealant 50ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/08/T16507_T16508_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Loctite_577_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/T16508_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PN37664,Center CB Shower and Sanitaryware Silicone White 300ml,Center CB,4.93,"A single component sealant based on silicones, this Center CB shower and sanitary sealant offers an elastic finish for joints in bathrooms and kitchens, top sealing in glazing, refrigerator sealing, container construction and air-conditioning systems.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Center CB Shower and Sanitaryware Silicone White 300ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ro/nt/N37664-FRONT_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Center_CB_Silicone_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P655801,Rothenberger Super Fire 2 3-5644X brazing torch,Rothenberger,85.0,"Offering fully adjustable flame control and a constant flame mode, the Rothenberger Super Fire 2 torch has a guaranteed 360° anti flare. A 1"" thread connection is suitable for use with MAP/Pro and propane while the option to fit a swirl flame or cool tip with filter jet, for safer burning and a finer flame, makes this a real all-rounder for a wide range of brazing and soldering jobs. Fully serviceable, the Super Fire 2 is compatible with replacement parts for a long service life.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Rothenberger Super Fire 2 3-5644X brazing torch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/01/NW-655801_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Rothenberger_SuperFire2_Torch_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Rothenberger_QuickFireSuperFireGuide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Refrgrtn_AC_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PN37660,Center CB universal silicone 300ml Clear,Center CB,4.71,"A single component sealant based on silicones, this Center CB clear universal silicone sealant is ideal for making connection joints between walls and bathtubs or shower bases, for sealing joints in sanitary and other often damp rooms, including bathrooms, toilets and wet rooms.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Center CB universal silicone 300ml Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/60/NW-N37660_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Center_CB_Universal_Silicone_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PN20114,"Rothenberger Plumbers Soldering Mat 10 x 10""",Rothenberger,12.67,"Protecting surfaces during soldering, this Rothenberger 10 x 10"" plumbers soldering mat deflects heat up to 1000°C. Incorporating Ecomab high temperature paper infill and reinforced Kevlar thread binding, this flexible two-ply gold silica mat offers increased strength and integrity, wrapping around corners and pipework for added convenience.","School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Rothenberger Plumbers Soldering Mat 10 x 10""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/14/NW-N20114_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Rothenberger_Silicatex_600_1200_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PF15215,Center CB silicone lubricant spray 400ml,Center CB,4.94,This Center CB all purpose silicone spray is a dry silicone lubricant and mould release agent designed to ease friction between two surfaces.,School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Center CB silicone lubricant spray 400ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/15/F15215_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_F15215_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_F15215_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P688849,Rothenberger 3.5741 oxygen cylinder 110bar,Rothenberger,31.2,"This Rothenberger 950ml 110 bar disposable oxygen cylinder is a mobile version of the brand's 2L oxygen cylinder. Ideally suited for portable use, it is compatible with Rothenberger ALLGAS mobile or Roxy kit series gas welding and brazing devices.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Rothenberger 3.5741 oxygen cylinder 110bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/49/NW-688849_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rothenberger_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Rothenberger_Oxygen-Cylinder_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PN61356,Center CB N61356* silver waterproof duct tape 50mm x 50mtr (1),Center CB,7.75,"A must-have for general maintenance, this Center CB 50mm silver waterproof duct tape is a vinyl cloth reinforced tape with adhesive backing, ideal for temporary repair work. It is suitable for a wide range of tasks, from sealing and insulating to hole closure, repairs, masking, packaging, holding and bundling, and for both interior and exterior use.",School's Out/Tools & Materials | Maintenance Projects/Tools & Materials | Maintenance Projects.csv -> Center CB N61356* silver waterproof duct tape 50mm x 50mtr (1),,x1 duct tape,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/56/N61356_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_CB_Duct_Tape_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
