,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Application,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Range For Use With,Boiler Section,Boiler Range,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Pack Quantity,Pack Type,Weight,Connection Size,Connection Type
0,P609932,Center CB system filter 22mm Black,Center,58.49,"Highly efficient, the Center CB 22mm system filter provides low maintenance protection from the potentially damaging effects of magnetite and other debris in a heating system. Easy to fit and maintain, this filter has an innovative horizontal design, ideal for tight spaces or installations where the filter may be visible, such as in the kitchen boiler cupboard. Incorporating a unique, single bypass valve, the filter can be serviced quickly and easily without ceasing running of the heating system. Offering an exceptional first pass capture rate, the Center System Filter helps to minimise the risks of debris in both brand new and existing heating systems.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Center CB system filter 22mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/32/609932_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_609932_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_609932_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P609406,Adey MagnaClean Micro2 Magnaclean Micro 2 & Chemical Box,Adey,100.56,"The Adey MagnaClean Micro2 filter and chemical pack contains Magnaclean Micro2 with two essential installation chemicals, the MC1 protector and MC3 cleaner make installing a new central heating system simple.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Adey MagnaClean Micro2 Magnaclean Micro 2 & Chemical Box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/06/NW-609406_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P609405,Adey MagnaClean Micro2 Magnaclean Micro 2 Filter,Adey,83.63,"The compact Adey MagnaClean Micro2 filter is designed for installation in the smallest spaces. Though small in size, this filter delivers powerful protection from damaging magnetite and other system debris.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Adey MagnaClean Micro2 Magnaclean Micro 2 Filter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/05/NW-609405_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P105287,Worcester Bosch Greenstar  G/Star System Filter Mini 22mm,Worcester Bosch,157.99,"Protecting Greenstar boilers from common pollutants and debris, this Worcester Bosch Greenstar 22mm mini system filter range is effective against debris, magnetite and iron oxide. A filter of this kind limits system damage, minimising the need for expensive repairs and reducing the risk of system failure. For use with sealed or open vented central heating systems with 22mm central heating pipes.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Worcester Bosch Greenstar  G/Star System Filter Mini 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/87/105287_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Worcester_Bosch_Gas_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/52/87/105287.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_Greenstar_System_Filter_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P100303,Worcester Bosch Greenstar Greenstar System Filter 22mm,Worcester Bosch,133.49,"Protecting against the damage that can be caused by system debris and pollutants, the Worcester Bosch Greenstar 22mm system filter helps homeowners to avoid costly maintenance. Extensively tested in systems, this filter is proven effective in removing iron oxide, magnetite and non-magnetic metal flakes as well as other system pollutants.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Worcester Bosch Greenstar Greenstar System Filter 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/04/NW-100303_100304_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Systemfilter_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P609534,Adey MagnaClean Professional2 Magnaclean Pro2 22Mm & Chemicl Pk,Adey,110.93,"Harnessing new technology, the Adey MagnaClean Professional2 filter and chemical pack provides excellent central heating protection and ease of installation. Not only will MagnaClean Pro help to extend the lifespan of your central heating system, it will also reduce maintenance costs, reduce fuel bills and minimise your boiler's impact on the environment. With a removable spacer positioned between the valves, this in-line push-fit filter is easy to fit in the most convenient spot.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Adey MagnaClean Professional2 Magnaclean Pro2 22Mm & Chemicl Pk,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/34/609534_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_MagnaCleanProf2_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P609530,Adey MagnaClean Professional O ring service kit,Adey,15.75,"Replace filter seals as required with this Adey MagnaClean Professional O-ring seal kit, suitable for MagnaClean Professional and Micro 22 or 28mm filters.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Adey MagnaClean Professional O ring service kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/30/NW-609530_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_MCProfessional_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_MagnaCleanProf_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P608246,Fernox TF1 range seal and O ring kit,Fernox,2.88,"This useful Fernox seal and O-ring kit spares pack contains all the seals required to ensure a TF1 filter remains watertight following chemical dosing, servicing and maintenance.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Fernox TF1 range seal and O ring kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/46/NW-608246_wm.jpg,,,,TF1,N,59288,Seal and O-Ring kit,N,Includes cap O-ring and bleed valve O-ring,With 2x valve washers,,,,,,,,,,,,,,,,,,,,,,
8,P600698,Center filter and chemical pack,Center,53.0,"Featuring a 500ml inhibitor and 500ml of cleaner, this Center CB filter and chemical pack makes the dosing of heating systems, easier, faster and cleaner.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Center filter and chemical pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/8_/pk/600698 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Wolseley_Plumbing-Heating_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P606211,Fernox SIG mini filter with 265 ml chemical pack,Fernox,55.0,TBC,Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Fernox SIG mini filter with 265 ml chemical pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/11/606211_wm.jpg,,,,,N,606211 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,
