,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Weight,Hazardous,Depth (mm),Liquid Line Connection,Noise Level,Power Supply,Suction Connection Size (inch),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Range,Attachment 8,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9
0,P696455,Tecumseh cajn 2464zbr 230v fz cond unit,Tecumseh,1152.84,"The Tecumseh L'Unite CAJN2464ZBR single phase condensing unit brings together a compressor, condenser, fan motor, controls and a mounting plate. It offers a heat exchanger function for cooling down and condensing incoming refrigerant vapor plus a fan, designed to pull outside air through the heat exchanger to effectively cool the internal refrigerant.",Refrigeration/Condensing Units/Condensing Units.csv -> Tecumseh cajn 2464zbr 230v fz cond unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/55/NW-696453_696455_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Tecumseh_General_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Tecumseh_General_Cond_Unit_Cat_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Tecumseh_CAJN2464ZBR_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
1,P658003,Tecumseh CAJ 2446P-Fz 230V 1Ph Tb R404A+A2L,Tecumseh,801.64,"A single phase LBP compressor, the Techumseh AJ2446P-FZ employs crankshaft-driven pistons, supporting high pressure low die to high side delivery of refrigerant.",Refrigeration/Condensing Units/Condensing Units.csv -> Tecumseh CAJ 2446P-Fz 230V 1Ph Tb R404A+A2L,,Compressor;AVM's;elecrical box (not connected to compressor),https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/03/658003_wm.jpg,,,,21.88kg,N,342,5/16,"57dBA, Sound Power",230v/1/50Hz,1/2,AJ2PM1JF603A06,Compressor,N,CSR version,Junior electrical box,With tube connections,,,,,,,,,,,,
2,P696453,Tecumseh cajn 2432zbr 230v fz cond unit,Tecumseh,907.09,"The Tecumseh L'Unite CAJN2432Z single phase condensing unit brings together a compressor, condenser, fan motor, controls and a mounting plate. It offers a heat exchanger function for cooling down and condensing incoming refrigerant vapor plus a fan, designed to pull outside air through the heat exchanger to effectively cool the internal refrigerant.",Refrigeration/Condensing Units/Condensing Units.csv -> Tecumseh cajn 2432zbr 230v fz cond unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/55/NW-696453_696455_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Tecumseh_General_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Tecumseh_General_Cond_Unit_Cat_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Tecumseh_CAJN2432ZBR_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
3,P656306,Tecumseh SILENSYS SIL FH 2480Z TZ sil fh 2480z 400v 3ph silensys cu,Tecumseh,2156.42,"Both quiet and safe in operation, the Tecumseh Silensys SILFH2480ZXG three phase packaged condensing unit contains a compressor, condenser, fan motor and mounting plate. Attractively designed, this condensing unit has a heat exchanger function for cooling down and condensing incoming refrigerant vapor, its fan pulling outside air through the heat exchanger for effective cooling of the internal refrigerant.",Refrigeration/Condensing Units/Condensing Units.csv -> Tecumseh SILENSYS SIL FH 2480Z TZ sil fh 2480z 400v 3ph silensys cu,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/08/NW-656305_656308_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Tecumseh_General_Cond_Unit_Cat_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P669091,Copeland MultiCool MC-R7-ZB42KE-PFJ 1 phase (PFJ) scroll condensing unit,Copeland,3624.7,"This Copeland Multicool MC-R7-ZB42KE-PFJ single phase air-cooled refrigeration unit is suitable for medium and low temperature applications. Copeland Scroll refrigeration units offer up-to-date refrigeration scroll compressors while the modular line concept consists of base units that can be easily adapted with the addition of selected fittings, including weather housings and fan speed controls, to create a bespoke solution for your specific application.",Refrigeration/Condensing Units/Condensing Units.csv -> Copeland MultiCool MC-R7-ZB42KE-PFJ 1 phase (PFJ) scroll condensing unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/91/NW-669090_669091_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Copeland_Refrigerant_Gas_Regul_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Copeland_MC_Unit_ZB_PFJ_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ec/la/Copeland_Cond_Unit_MCseries_EU_Decla.pdf,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Copeland_Fans_For_Cond_Unit_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Copeland_Compressor_Oil_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Copeland_Product_Catalogue_2021.pdf,,,,,,,,,
5,P684000,Tecumseh SILENSYS SIL AJ 4517Z FZ sil aj 4517z 230v silensys cu,Tecumseh,1740.62,"Both quiet and safe in operation, the Tecumseh Silensys SILAJ4517ZFZ single phase packaged condensing unit contains a compressor, condenser, fan motor and mounting plate. Attractively designed, this condensing unit has a heat exchanger function for cooling down and condensing incoming refrigerant vapor, its fan pulling outside air through the heat exchanger for effective cooling of the internal refrigerant.",Refrigeration/Condensing Units/Condensing Units.csv -> Tecumseh SILENSYS SIL AJ 4517Z FZ sil aj 4517z 230v silensys cu,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/01/NW-683997_684001_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Tecumseh_Silensys_DG9051_A_3_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Tecumseh_General_Cond_Unit_Cat_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Tecumseh_SILAJ4517ZFZ_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
6,P695397,Copeland MultiCool MC-M8-ZF15KE-TFD condensing unit,Copeland,3197.39,"This Copeland Multicool MC-M8-ZF15KE-TFD three phase air-cooled refrigeration unit is suitable for medium and low temperature applications. Copeland Scroll refrigeration units offer up-to-date refrigeration scroll compressors while the modular line concept consists of base units that can be easily adapted with the addition of selected fittings, including weather housings and fan speed controls, to create a bespoke solution for your specific application.",Refrigeration/Condensing Units/Condensing Units.csv -> Copeland MultiCool MC-M8-ZF15KE-TFD condensing unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/97/NW-695397_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Copeland_Refrigerant_Gas_Regul_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ec/la/Copeland_Cond_Unit_MCseries_EU_Decla.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Copeland_Fans_For_Cond_Unit_Tech.pdf,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Copeland_Compressor_Oil_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Copeland_MC_Unit_ZB_ZF_TFD_TF5_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Copeland_Product_Catalogue_2021.pdf,,,,,,,,,
7,P613977,Danfoss Optyma Slim Pack OP-MSUM080MLW05E 3 phase condensing unit,Danfoss,1745.38,"The cost-efficient Danfoss Optyma Slim Pack OP-MSUM080MLW05E three phase packaged condensing unit combines up-to-date condenser technology with a micro channel heat exchanger. Compact and reliable, this dedicated outdoor condensing unit is optimised for use in cold, fermentation and storage rooms in convenience stores or restaurants.",Refrigeration/Condensing Units/Condensing Units.csv -> Danfoss Optyma Slim Pack OP-MSUM080MLW05E 3 phase condensing unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/82/NW-613968_613982_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Optyma_Slim_Pack_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Danfoss_Optyma_Cond_Unit_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_c/at/Danfoss_Optyma_Pack_Cond_Unit_Cat.pdf,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_Slim Pack_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/cl/ar/Danfoss_Optyma_Cond_Unit_EU_Declar.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Danfoss_PID_Slim_Pack_W05_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_Slim Pack._Instalation.pdf,,,,,,,,
8,P673637,Danfoss Optyma Plus LPOM067LLP02E 3 phase LBP condesning unit,Danfoss,2828.24,"Saving installation time and costs, the Danfoss Optyma Plus New Generation LPOM067LLP02E three phase condensing unit offers simple plug-and-play installation and set-up as well as straightforward servicing. Smooth and quiet, thanks to its long-life compressor, acoustic insulation, component design and intelligent fan speed reduction during low capacity operation, this highly efficient unit also saves on energy bills with an optimised micro channel heat exchanger and electronic controller.",Refrigeration/Condensing Units/Condensing Units.csv -> Danfoss Optyma Plus LPOM067LLP02E 3 phase LBP condesning unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/39/NW-673637_673639_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Danfoss_Optyma_Cond_Unit_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_c/at/Danfoss_Optyma_Pack_Cond_Unit_Cat.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Optyma_Plus_Controller_Install.pdf,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Optyma_Plus_Cond_Unit_Install.pdf,,,,,,,,,,,
9,P656281,Tecumseh WINTSYS WIN FH 4532Z FZ win fh 4532z 230v wintsys cu,Tecumseh,1759.82,"Both efficient and quiet, the Tecumseh Wintsys WINFH4532ZXC single phase packaged condensing unit contains a compressor, condenser, fan motor and mounting plate. Attractively designed, this condensing unit has a heat exchanger function for cooling down and condensing incoming refrigerant vapor, its fan pulling outside air through the heat exchanger for effective cooling of the internal refrigerant.",Refrigeration/Condensing Units/Condensing Units.csv -> Tecumseh WINTSYS WIN FH 4532Z FZ win fh 4532z 230v wintsys cu,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/81/NW-656281_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tecumseh_Wintsys_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Tecumseh_General_Cond_Unit_Cat_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
