,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Diameter,Weight,Hazardous,Model For Use With,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 1,Attachment 2,Part Gas Council number,By Model Number,Attachment 3
0,P333811,Baxi standard horizontal flue,Baxi,76.99,"With white aluminium on the main pipe, with black terminal end, this robust flue is the standard choice for normal installation through a domestic property wall. Featuring push seal jointing and positive fixing screws, build quality is superb and of the standard you would expect from Baxi & Potterton.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi standard horizontal flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/11/333811_wm.jpg,White,100mm,2300 kg,N,Multifit Flue Kit,Flue,Duo-TecPlatinumMegafloMain Eco EliteBaxi 600Baxi 400Baxi 200,333811 PK,Flue Pack,N,Genuine baxi horizontal flue,For all flueing applications,Suitable for most baxi boilers,,,,,
1,P427558,Baxi Multifit 93deg flue bend outer diameter 100mm,Baxi,60.14,"The Baxi elbow kit is for use in locating a flue on the brand's Combi, Duo-tec, Megaflo, Platinum, Main Combi/Combi HE, Main Eco, Main HE, Gold, Heatmax, Performa, Performa SL, Promax and Suprima boilers. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance and extensions and elbow kits can help to provide flexibility of siting. We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi Multifit 93deg flue bend outer diameter 100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/58/427558_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Combi_105_Installation.pdf,,,,
2,P118822,Baxi Multifit plume displacement kit White,Baxi,222.5,"Under the Multifit brand, the telescopic flue kit for Baxi boilers provides a length of 350 - 500 mm, and flue lengths are available in 0.25 metre, 0.5 metre and 1 metre.  This means that there is hardly ever a need to cut a length of flue, reducing installation time and wastage, which is a particular consideration for new build.  The flue sections are joined using a simple push seal mechanism with two positive screw connections giving reassurance that the joint will not come apart. By popular demand, white, black and brown terminal options are now available to better blend into the building.  Where pluming is likely to be a nuisance, a new plume management kit has been introduced.  Available in black or white, the new kit can be retrofitted to the flue terminal and is competitively priced and easy to fit.  And for even greater flexibility, a new ridge tile terminal is available.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi Multifit plume displacement kit White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/22/118822_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_600_Plat_Duo_Mega_Guide.pdf,,,,
3,P118451,Baxi multifit IFOS combi kit,Baxi,44.95,"The Baxi Multifit in-flue outdoor sensor, or IFOS, combi kit provides a cost-effective solution to meeting Boiler Plus regulations. Simple to install, this IFOS is suitable for use with a range of vertical flue combi boilers, accurately taking a temperature reading from outside the house and adjusting your boiler's output in response for added comfort, efficiency and compliancy.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi multifit IFOS combi kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/51/118451_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Baxi_Flue_Solutions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_IFOS_Kit_Installation.pdf,,,
4,P427557,Baxi Multifit flue extension 1mtr,Baxi,76.79,"The Baxi branded extension kit assists in the fitting of a flue in Baxi's Combi, Duo-tec, Megaflo, Platinum, Main Combi/Combi HE, Main Eco, Main HE, Gold, Heatmax, Performa, Performa SL, Promax and Suprima boilers. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance. As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi Multifit flue extension 1mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/57/427557_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Combi_105_Installation.pdf,,,,
5,P333676,Baxi Multifit vertical flue 60/100mm,Baxi,89.99,The Baxi & Potterton Multifit Vertical Flue Kit for safe extraction of exhaust gases from the boiler.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi Multifit vertical flue 60/100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/03/119903_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,,
6,P118854,Baxi Multifit 2 standard horizontal flue including low profile elbow,Baxi,117.78,"With white aluminium on the main pipe, with black terminal end, this robust flue is the standard choice for normal installation through a domestic property wall. Featuring push seal jointing and positive fixing screws, build quality is superb and of the standard you would expect from Baxi & Potterton.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi Multifit 2 standard horizontal flue including low profile elbow,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/54/118854_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Potterton_Gold_Tita_Guide.pdf,,,,
7,P118821,Baxi Multifit plume displacement kit Black,Baxi,222.5,"Under the Multifit brand, the telescopic flue kit for Baxi boilers provides a length of 350 - 500 mm, and flue lengths are available in 0.25 metre, 0.5 metre and 1 metre.  This means that there is hardly ever a need to cut a length of flue, reducing installation time and wastage, which is a particular consideration for new build.  The flue sections are joined using a simple push seal mechanism with two positive screw connections giving reassurance that the joint will not come apart. By popular demand, white, black and brown terminal options are now available to better blend into the building.  Where pluming is likely to be a nuisance, a new plume management kit has been introduced.  Available in black or white, the new kit can be retrofitted to the flue terminal and is competitively priced and easy to fit.  And for even greater flexibility, a new ridge tile terminal is available.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi Multifit plume displacement kit Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/21/118821_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_600_Plat_Duo_Mega_Guide.pdf,,,,
8,P211190,Baxi Multifit plume plus length 1mtr Black,Baxi,99.62,"Suitable for telescopic flues, this Baxi Multifit 60mm plume displacement terminal kit in black includes a 1M extension and brackets. It is used to redirect a nuisance gas and steam plume where an outlet is inconveniently located. This kit is compatible with Promax Combi, System, Duo-Tec, Megaflow, EcoBlue, EcoBlue+ and EcoBlue Advance Combi and Regular boilers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi Multifit plume plus length 1mtr Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/90/NW-211190_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Baxi_Flue_Solutions_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,
9,P797559,Baxi standard flue kit - horizontal,Baxi,188.73,"This Baxi flue kit is for use with Combi, Performa, Main Combi/Combi HE and System boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi standard flue kit - horizontal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/59/797559_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Combi_80_Eco_Installation.pdf,,,,
