,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Diameter,Operating Temperature,Warranty,Hazardous,Capacitance,Dimensions (L x W x D),By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 2
0,PU91085,Riello capacitor 4.5 uf,Riello,37.74,"Designed to start a burner motor, this Riello 20071576 4.5µF capacitor has moulded connection leads and is suitable for the majority of domestic RDB burners.",Heating/Burner Parts/Capacitors/Capacitors.csv -> Riello capacitor 4.5 uf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/85/NW-U91085_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Riello_Grant_Parts_List.pdf,,,,,,,,,,,,
1,P445221,Riello capacitor,Riello,26.92,"Designed to start a burner motor, this Riello 20081251 5µF capacitor has moulded connection leads and is suitable for the majority of domestic RDB burners including RDB3 and RDB4.",Heating/Burner Parts/Capacitors/Capacitors.csv -> Riello capacitor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/21/NW-445221_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Riello_Grant_Parts_List.pdf,,,,,,,,,,,,
2,P466579,Ecoflam capacitor 3mfd,Ecoflam,16.24,"Designed to start a burner motor, this Ecoflam C107/9 50 - 75W 3µF two pole capacitor has moulded connection leads and is suitable for the majority of domestic burners.",Heating/Burner Parts/Capacitors/Capacitors.csv -> Ecoflam capacitor 3mfd,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/79/NW-466579_wm.jpg,,70 mm,8 to 28,1 year,N,3 µF,30 (Dia) x 70 (L) mm,"Minor 4.1,Max 1 17/23 FS,Max 4,Minor 1R,Max 1 15/22 WM,Minor 4.1 R cr,Max 1 23/28 WM,Minor 1,Max 1 23/30 FS,Minor 4.1 R,Minor 4.1 cr,Max 1",65325037,Capacitor,N,All available off the shelf at extremely competitive prices,
3,P445223,Riello P2 capacitor (RDB) 1-2,Riello,24.17,"Designed to start a burner motor, this Riello 20087035 4µF capacitor has moulded connection leads and is suitable for the majority of domestic RDB burners.",Heating/Burner Parts/Capacitors/Capacitors.csv -> Riello P2 capacitor (RDB) 1-2,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/23/NW-445223_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Riello_Grant_Parts_List.pdf,,,,,,,,,,,,
4,P466543,Ecoflam capacitor 4uf,Ecoflam,9.62,"Designed to start a burner motor, this Ecoflam C107/2 100W 4µF capacitor has moulded connection leads and is suitable for the majority of domestic burners including those in the Ecoflam Minor range.",Heating/Burner Parts/Capacitors/Capacitors.csv -> Ecoflam capacitor 4uf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/43/NW-466543_wm.jpg,,25 mm,8 to 28,1 year,N,4 µF,27 (Dia) x 62 (L) mm,"Minor 8 AB,Minor 4 AB",65321851,Capacitor,N,All available off the shelf at extremely competitive prices,
5,P437908,Eogb M02 0004 capacitor,Eogb,9.17,This Eogb 400V 4µF capacitor is suitable for use with X400 and X500.,Heating/Burner Parts/Capacitors/Capacitors.csv -> Eogb M02 0004 capacitor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/08/NW-437908_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Eogb_X-Series_Parts_List.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Eogb_X_Series_Burners_Instrct_Manual.pdf
6,P455509,Eogb M02-0007 capacitor 4MF 400V THRD,Eogb,9.39,This Eogb 400V 4µF threaded capacitor is suitable for use with P4B.,Heating/Burner Parts/Capacitors/Capacitors.csv -> Eogb M02-0007 capacitor 4MF 400V THRD,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/09/NW-455509_wm.jpg,,,,,N,4 µF,,,M02-0007,Capacitor,N,Fits multiple appliances,
7,P466548,Ecoflam capacitor,Ecoflam,8.98,"Designed to start a burner motor, this Ecoflam C107/8 75W 3.5µF capacitor has moulded connection leads and is suitable for the majority of domestic burners including those in the Ecoflam Minor and Dual ranges.",Heating/Burner Parts/Capacitors/Capacitors.csv -> Ecoflam capacitor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/48/NW-466548_wm.jpg,,25 mm,8 to 28,1 year,N,3.5 µF,25 mm (Dia),C107/8,65070297,Capacitor,N,All available off the shelf at extremely competitive prices,
8,P445222,Riello P2 capacitor (R40) G2-10,Riello,21.46,"Designed to start a burner motor, this Riello 20087025 4µF capacitor has moulded connection leads and is suitable for the majority of domestic RDB burners.",Heating/Burner Parts/Capacitors/Capacitors.csv -> Riello P2 capacitor (R40) G2-10,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/22/NW-445222_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Riello_Grant_Parts_List.pdf,,,,,,,,,,,,
9,P436679,Nu-Way capacitor,Nu-Way,20.11,A Nuway BN11596504 3µF capacitor.,Heating/Burner Parts/Capacitors/Capacitors.csv -> Nu-Way capacitor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/79/NW-436679_wm.jpg,,,,,N,3 µF,,,112093301,Capacitor,N,Fits multiple appliances,
